,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,169398,1.5,2,PGH,1168,182950,2325,10/05/2019,09/18/2013,110000,40.406293,-80.043122,6724,159234,15216,Crestview Road,Pennsylvania,126000.0,2019,SingleFamily,1955
1,171785,1.0,3,PGH,1280,185528,2370,10/05/2019,02/04/2004,114000,40.407343,-80.043999,13892,156324,15216,Crestview Road,Pennsylvania,117500.0,2019,SingleFamily,1955
2,207695,2.0,3,PGH,1744,228464,2533,10/05/2019,NA,NA,40.412685,-80.04326,8118,182772,15216,Winchester Drive,Pennsylvania,147300.0,2019,SingleFamily,1962
3,155300,1.0,3,Green Tree,1248,169277,2340,10/05/2019,NA,NA,40.406253,-80.043773,7125,138217,15216,Potomac Avenue,Pennsylvania,90500.0,2019,SingleFamily,1952
4,190200,2.5,3,Green Tree,1456,220632,2278,10/05/2019,12/21/1964,4000,40.405737,-80.040895,6779,163572,15216,Rosegarden Road,Pennsylvania,120000.0,2019,SingleFamily,1964
5,253567,2.5,3,PGH,2231,278924,1599,10/05/2019,06/04/2002,170000,40.415124,-80.041876,11875,225675,15220,Daleland Avenue,Pennsylvania,155300.0,2019,SingleFamily,1972
6,231705,2.0,3,PGH,1776,245607,2315,10/05/2019,NA,NA,40.404548,-80.045769,5060,217803,15220,Silver Oak Drive,Pennsylvania,168000.0,2019,SingleFamily,1972
7,101351,1.0,2,PGH,1164,125675,1537,10/05/2019,03/10/2000,13500,40.411926,-80.03285,27000,76013,15216,Roseberry Street,Pennsylvania,89100.0,2019,SingleFamily,1900
8,281150,2.5,4,PGH,2132,300831,1909,10/05/2019,06/07/1985,16000,40.407917,-80.037995,7405,261469,15216,Shelly Drive,Pennsylvania,190000.0,2019,SingleFamily,1985
9,150612,1.0,3,PGH,1193,167179,6,10/05/2019,02/22/2002,72000,40.407787,-80.035737,4000,135551,15216,Younger Avenue,Pennsylvania,108800.0,2019,SingleFamily,1940
10,171773,1.0,2,PGH,2346,194103,2237,10/05/2019,06/28/2012,90000,40.40335,-80.044134,9435,156313,15216,Hayson Avenue,Pennsylvania,114300.0,2019,MultiFamily2To4,1908
11,33047,2.5,3,PGH,1924,37013,1211,10/05/2019,05/05/2017,30000,40.411647,-80.041651,10800,29742,15216,Carnahan Road,Pennsylvania,230000.0,2019,SingleFamily,2017
