,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,309246,1.0,3,PGH,2556,324708,314,10/07/2019,NA,NA,40.461296,-79.949521,2509,293784,15224,Cedarville Street,Pennsylvania,80000.0,2019,SingleFamily,1900
1,318256,2.0,5,PGH,2184,381907,132,10/07/2019,04/11/2019,160000,40.463247,-79.935955,2873,248240,15206,South Graham Street,Pennsylvania,145600.0,2019,Duplex,1900
2,316423,1.0,3,PGH,2715,367051,110,10/07/2019,03/03/2011,150000,40.455863,-79.949534,5239,262631,15213,Morewood Avenue,Pennsylvania,150000.0,2019,MultiFamily2To4,1910
3,252067,1.0,3,PGH,1750,287356,578,10/07/2019,NA,NA,40.457912,-79.943503,2475,211736,15224,Aspen Street,Pennsylvania,130100.0,2019,SingleFamily,1910
4,214261,2.0,2,PGH,1944,252828,521,10/07/2019,05/12/2014,154750,40.458684,-79.945215,2400,179979,15224,Gross Street,Pennsylvania,120000.0,2019,SingleFamily,1924
5,221517,2.0,3,PGH,1764,268036,429,10/07/2019,05/01/2015,195700,40.45893,-79.941759,2770,181644,15224,South Evaline Street,Pennsylvania,113000.0,2019,SingleFamily,1907
6,127540,1.0,3,PGH,1410,142845,4202,10/07/2019,10/29/2010,95600,40.381585,-79.906462,3895,113511,15224,Main Street,Pennsylvania,86100.0,2019,SingleFamily,1930
7,,1.5,0,PGH,1560,,463,01/01/1970,01/31/1996,1880,40.459837,-79.952585,1370,,15224,Sapphire Way,Pennsylvania,6900.0,2019,SingleFamily,1890
8,195070,1.0,2,PGH,1122,220429,445,10/07/2019,07/26/1974,15000,40.461366,-79.951478,2750,161908,15224,Sapphire Way,Pennsylvania,67100.0,2019,SingleFamily,1890
9,196617,1.0,4,PGH,2150,206448,4099,10/07/2019,NA,NA,40.464597,-79.957299,3049,186786,15224,Mintwood Street,Pennsylvania,107800.0,2019,SingleFamily,1912
10,181675,1.0,1,PGH,2480,232544,118,10/07/2019,03/02/2012,35000,40.463873,-79.935715,2873,136256,15206,South Graham Street,Pennsylvania,70000.0,2019,Townhouse,1910
11,,1.0,0,PGH,306,,408,01/01/1970,NA,NA,40.459164,-79.937134,NA,,15232,South Graham Street,Pennsylvania,NA,NA,MultiFamily5Plus,NA
12,,1.0,2,PGH,994,,4060,01/01/1970,09/22/2015,1540,40.465044,-79.955089,2091,,15224,Woolslayer Way,Pennsylvania,800.0,2019,SingleFamily,1900
13,322992,2.0,4,PGH,2477,361751,365,10/07/2019,NA,NA,40.460465,-79.943198,3752,277773,15224,South Winebiddle Street,Pennsylvania,135000.0,2019,SingleFamily,1925
14,,1.0,2,PGH,1350,,626,01/01/1970,NA,NA,40.492615,-79.966265,NA,,15224,South Millvale Avenue,Pennsylvania,NA,NA,Townhouse,NA
15,171662,1.0,2,PGH,1270,197411,225,10/07/2019,06/02/1982,28000,40.464436,-79.947431,2008,133896,15224,Edmond Street,Pennsylvania,79300.0,2019,SingleFamily,1910
16,228935,1.5,5,PGH,2450,286169,4770,10/07/2019,NA,NA,40.460135,-79.948285,2000,183148,15224,Sciota Street,Pennsylvania,103500.0,2019,SingleFamily,1910
17,179053,1.0,2,PGH,1084,209492,4720,10/07/2019,07/17/1989,4500,40.458145,-79.952151,2000,146823,15224,Juniper Street,Pennsylvania,62800.0,2019,SingleFamily,1900
18,214767,1.0,2,PGH,1648,249130,4073,10/07/2019,NA,NA,40.464673,-79.954701,2880,186847,15224,Cabinet Way,Pennsylvania,94700.0,2019,SingleFamily,1910
19,406257,4.0,4,PGH,3205,475321,451,10/07/2019,07/22/2005,71000,40.458224,-79.93914,6500,333131,15224,South Atlantic Avenue,Pennsylvania,195000.0,2019,Quadruplex,1920
20,171671,1.0,2,PGH,960,180255,4084,10/07/2019,09/12/2019,172000,40.464627,-79.955794,1350,163087,15224,Mintwood Street,Pennsylvania,103000.0,2019,SingleFamily,1911
21,194231,1.0,1,PGH,1593,227250,4728,10/07/2019,NA,NA,40.45802,-79.951919,2130,155385,15224,Juniper Street,Pennsylvania,74200.0,2019,SingleFamily,1900
22,216876,1.0,3,PGH,1372,255914,338,10/07/2019,NA,NA,40.461134,-79.944971,2004,184345,15224,Gross Street,Pennsylvania,114800.0,2019,SingleFamily,1949
23,293600,3.0,4,PGH,2175,361128,151,10/07/2019,08/02/1995,85000,40.462608,-79.941219,5350,243688,15224,South Evaline Street,Pennsylvania,150500.0,2019,Duplex,1930
24,469718,3.0,6,PGH,2975,540176,5407,10/07/2019,07/31/2015,360000,40.462076,-79.936932,3999,403957,15206,Friendship Avenue,Pennsylvania,203400.0,2019,SingleFamily,1904
25,,NA,0,PGH,NA,,4016,01/01/1970,09/10/2018,100000,40.462753,-79.956407,3000,,15224,Liberty Avenue,Pennsylvania,12000.0,2019,SingleFamily,NA
26,286285,2.0,4,PGH,2764,349268,212,10/07/2019,NA,NA,40.464691,-79.946848,2228,229028,15224,South Mathilda Street,Pennsylvania,151900.0,2019,Duplex,1910
27,200912,2.0,2,PGH,1436,233058,145,10/07/2019,09/23/1999,33300,40.464638,-79.948089,1341,170775,15224,Pearl Street,Pennsylvania,96000.0,2019,Duplex,1910
28,182300,1.5,2,PGH,1356,227875,354,10/07/2019,09/20/2006,31000,40.45975,-79.952275,1370,151309,15224,Sapphire Way,Pennsylvania,73000.0,2019,SingleFamily,1890
29,,1.0,3,PGH,1156,,126,01/01/1970,02/27/2015,44110,40.464013,-79.9364,1165,,15206,Latham Street,Pennsylvania,600.0,2019,SingleFamily,1905
30,446158,2.5,4,PGH,2507,504159,263,10/07/2019,09/23/2014,320000,40.462748,-79.940624,3900,401542,15224,South Pacific Avenue,Pennsylvania,290600.0,2019,SingleFamily,1884
31,296709,1.0,3,PGH,2160,332314,369,10/07/2019,04/09/1990,69000,40.460359,-79.943212,3752,255170,15224,South Winebiddle Street,Pennsylvania,130000.0,2019,SingleFamily,1925
32,161992,1.0,2,PGH,1152,204110,4600,10/07/2019,NA,NA,40.464781,-79.949454,2000,134453,15224,Torley Street,Pennsylvania,45000.0,2019,SingleFamily,1900
33,,1.0,0,PGH,NA,,389,01/01/1970,NA,NA,40.460045,-79.94387,NA,,15224,South Winebiddle Street,Pennsylvania,NA,NA,Apartment,NA
34,145234,1.0,1,PGH,616,175733,449,10/07/2019,NA,NA,40.460734,-79.953261,828,123449,15224,Orwell Way,Pennsylvania,45500.0,2019,SingleFamily,1900
35,243250,1.0,3,PGH,1829,282170,4098,10/07/2019,03/18/1998,45000,40.464149,-79.957171,1816,211628,15224,Mintwood Street,Pennsylvania,72800.0,2019,SingleFamily,1910
36,,1.0,1,PGH,NA,,333,01/01/1970,NA,NA,40.460957,-79.940131,NA,,15224,South Pacific Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
37,205355,1.0,3,PGH,NA,269015,4514,10/07/2019,NA,NA,40.462422,-79.951423,NA,154016,15224,Panama Way,Pennsylvania,NA,NA,SingleFamily,NA
38,174615,1.0,2,PGH,960,209538,4581,10/07/2019,01/28/2010,29500,40.459987,-79.953465,2040,141438,15224,Wertz Way,Pennsylvania,61800.0,2019,SingleFamily,1890
