,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,35423,1.0,2,PGH,720,58802,315,10/07/2019,07/24/2019,10000,40.407213,-79.999048,6000,20545,15210,Conniston Avenue,Pennsylvania,40000.0,2019,SingleFamily,1920
1,119565,2.0,4,PGH,1465,131521,233,10/07/2019,11/30/2017,109900,40.408725,-80.000215,4739,108804,15210,Fordyce Street,Pennsylvania,80100.0,2019,SingleFamily,1941
2,88918,1.0,2,PGH,884,112037,342,10/07/2019,07/21/2004,62000,40.409972,-80.000456,4920,76469,15210,Caperton Street,Pennsylvania,56600.0,2019,SingleFamily,1948
3,123801,2.0,3,PGH,1428,134943,320,10/07/2019,07/05/2018,120000,40.407224,-79.998548,6000,113897,15210,Camfield Street,Pennsylvania,74100.0,2019,SingleFamily,1928
4,49002,1.5,2,PGH,1056,62723,1308,10/07/2019,NA,NA,40.399724,-79.998015,2500,26951,15210,Nobles Lane,Pennsylvania,47600.0,2019,SingleFamily,1900
5,117562,1.5,3,PGH,980,131669,343,10/07/2019,11/08/1991,56000,40.406522,-79.99902,6000,97576,15210,Bon Air Avenue,Pennsylvania,70300.0,2019,SingleFamily,1954
6,109850,1.0,2,PGH,928,126327,350,10/07/2019,NA,NA,40.406277,-79.998507,7500,93373,15210,Camfield Street,Pennsylvania,64800.0,2019,SingleFamily,1953
7,120183,1.0,3,PGH,1092,134605,462,10/07/2019,NA,NA,40.404918,-79.998318,6000,104559,15210,Camfield Street,Pennsylvania,72500.0,2019,SingleFamily,1954
8,147662,1.5,3,PGH,1461,162428,304,10/07/2019,05/05/1976,23000,40.410272,-80.003245,7955,131419,15210,Bon Air Avenue,Pennsylvania,85400.0,2019,SingleFamily,1950
9,114429,1.0,3,PGH,875,130449,431,10/07/2019,NA,NA,40.404863,-79.996894,7925,96120,15210,Drycove Street,Pennsylvania,67200.0,2019,SingleFamily,1955
10,,1.0,2,PGH,NA,,180,01/01/1970,NA,NA,40.407977,-79.99201,NA,,15210,Reifert Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
11,135989,1.5,3,PGH,1198,148228,316,10/07/2019,04/23/2014,82000,40.410503,-80.001759,5520,119670,15210,Bon Air Avenue,Pennsylvania,73700.0,2019,SingleFamily,1941
12,187192,2.5,3,PGH,1540,217143,314,10/07/2019,NA,NA,40.407365,-79.996994,9583,166601,15210,Tarragonna Street,Pennsylvania,107900.0,2019,SingleFamily,1976
13,125528,1.5,3,PGH,1694,140591,345,10/07/2019,07/07/1986,26500,40.405704,-79.997414,10237,106699,15210,Camfield Street,Pennsylvania,99000.0,2019,SingleFamily,1900
14,112824,1.5,3,PGH,1464,130876,368,10/07/2019,NA,NA,40.405834,-79.998989,6000,86874,15210,Conniston Avenue,Pennsylvania,64000.0,2019,SingleFamily,1950
15,115482,1.5,3,PGH,875,131649,411,10/07/2019,03/17/2009,72500,40.405127,-79.997038,7950,94695,15210,Drycove Street,Pennsylvania,63600.0,2019,SingleFamily,1953
16,147607,1.5,3,PGH,1456,162368,351,10/07/2019,07/08/2009,85000,40.406298,-79.997733,11434,129894,15210,Camfield Street,Pennsylvania,86700.0,2019,SingleFamily,1950
17,122650,1.0,3,PGH,1260,134915,465,10/07/2019,06/23/2000,54000,40.405394,-79.99789,5450,103026,15210,Camfield Street,Pennsylvania,82900.0,2019,SingleFamily,1920
18,124978,1.5,3,PGH,1116,139975,327,10/07/2019,06/16/2016,96500,40.406896,-79.997771,10890,108731,15210,Camfield Street,Pennsylvania,72500.0,2019,SingleFamily,1951
19,,1.0,3,PGH,1617,,1312,01/01/1970,09/19/2000,41000,40.400462,-79.997573,6749,,15210,Nobles Lane,Pennsylvania,47700.0,2019,SingleFamily,1925
20,47846,1.0,2,PGH,1184,63635,121,10/07/2019,09/15/1992,34500,40.40817,-79.997713,5607,26794,15210,Schuchert Street,Pennsylvania,51200.0,2019,SingleFamily,1900
21,109219,1.0,1,PGH,1001,125602,272,10/07/2019,NA,NA,40.409226,-79.999629,6000,92836,15210,Conniston Avenue,Pennsylvania,70300.0,2019,SingleFamily,1955
22,103933,1.0,2,PGH,875,119523,477,10/07/2019,08/15/1986,41000,40.403764,-79.99787,7011,84186,15210,Drycove Street,Pennsylvania,59600.0,2019,SingleFamily,1950
23,124396,1.5,2,PGH,1211,138080,202,10/07/2019,09/13/2017,113600,40.409513,-80.002743,8347,111956,15210,Caperton Street,Pennsylvania,70600.0,2019,SingleFamily,1938
24,104595,1.0,3,PGH,1074,125514,300,10/07/2019,10/30/2015,70000,40.407561,-79.999121,7200,85768,15210,Bon Air Avenue,Pennsylvania,64000.0,2019,SingleFamily,1920
25,105709,1.0,3,PGH,750,128965,498,10/07/2019,11/09/2015,59500,40.407521,-79.998958,7200,86681,15210,Calle Avenue,Pennsylvania,58500.0,2019,SingleFamily,1942
26,149554,2.0,3,PGH,1197,161518,339,10/07/2019,04/04/2005,118000,40.406746,-79.997798,9801,133103,15210,Camfield Street,Pennsylvania,88100.0,2019,SingleFamily,1955
27,128875,2.0,4,PGH,1950,145629,257,10/07/2019,08/24/1971,15000,40.407822,-80.001288,3950,103100,15210,Institute Street,Pennsylvania,79900.0,2019,Duplex,1942
28,,1.0,2,PGH,1266,,132,01/01/1970,06/08/1998,18000,40.407852,-79.997129,2225,,15210,Schuchert Street,Pennsylvania,30000.0,2019,SingleFamily,1920
29,112824,1.5,3,PGH,1464,130876,367,10/07/2019,NA,NA,40.405834,-79.998989,6000,86874,15210,Bon Air Avenue,Pennsylvania,64000.0,2019,SingleFamily,1950
30,117737,1.0,3,PGH,1374,134220,217,10/07/2019,NA,NA,40.409183,-80.000297,6000,89480,15210,Fordyce Street,Pennsylvania,71900.0,2019,SingleFamily,1939
31,67673,1.0,2,PGH,1680,87298,305,10/07/2019,12/06/2011,35000,40.407755,-79.998054,1931,43987,15210,Camfield Street,Pennsylvania,60400.0,2019,SingleFamily,1925
32,,1.0,1,PGH,702,,170,01/01/1970,NA,NA,40.408102,-79.997866,2225,,15210,Schuchert Street,Pennsylvania,36100.0,2019,SingleFamily,1900
33,97918,1.5,3,PGH,1224,107710,455,10/07/2019,11/21/2017,89900,40.404109,-79.996834,7487,89105,15210,Drycove Street,Pennsylvania,58500.0,2019,SingleFamily,1954
34,111371,1.0,3,PGH,850,126963,340,10/07/2019,06/26/1984,39900,40.406393,-79.999516,6000,92438,15210,Conniston Avenue,Pennsylvania,66700.0,2019,SingleFamily,1955
35,90597,1.0,2,PGH,1014,110528,251,10/07/2019,08/07/2015,42400,40.407925,-80.001291,5400,77913,15210,Institute Street,Pennsylvania,58000.0,2019,SingleFamily,1940
36,174415,1.5,3,PGH,2298,195345,374,10/07/2019,NA,NA,40.406596,-79.997792,9801,156974,15210,Camfield Street,Pennsylvania,105800.0,2019,SingleFamily,1953
37,110124,1.0,2,PGH,900,126643,246,10/07/2019,12/01/2010,65000,40.406462,-79.998422,6300,90302,15210,Camfield Street,Pennsylvania,66300.0,2019,SingleFamily,1955
38,144582,1.5,3,PGH,1378,161932,401,10/07/2019,NA,NA,40.405594,-79.996835,6422,128678,15210,Drycove Street,Pennsylvania,88200.0,2019,SingleFamily,1979
39,110813,1.5,3,PGH,895,128543,441,10/07/2019,11/16/1993,44000,40.404522,-79.997857,5000,88650,15210,Camfield Street,Pennsylvania,64900.0,2019,SingleFamily,1953
40,106047,1.0,2,PGH,875,123015,384,10/07/2019,NA,NA,40.406107,-79.999607,6000,88019,15210,Conniston Avenue,Pennsylvania,63300.0,2019,SingleFamily,1954
41,201490,3.0,4,PGH,2030,235743,331,10/07/2019,NA,NA,40.406807,-79.999061,6000,171267,15210,Bon Air Avenue,Pennsylvania,112800.0,2019,SingleFamily,1955
42,111182,2.0,3,PGH,1858,134530,213,10/07/2019,05/24/1989,43000,40.40855,-79.999167,4500,76716,15210,Conniston Avenue,Pennsylvania,73500.0,2019,SingleFamily,1920
43,108331,1.5,2,PGH,875,120247,470,10/07/2019,08/02/1999,65000,40.405424,-79.998972,6000,87748,15210,Conniston Avenue,Pennsylvania,64600.0,2019,SingleFamily,1953
44,89346,2.0,2,PGH,850,97387,344,10/07/2019,04/16/2018,85000,40.406243,-79.999608,5998,82198,15210,Conniston Avenue,Pennsylvania,63100.0,2019,SingleFamily,1955
