,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,0,PGH,NA,,2129,01/01/1970,NA,NA,40.462178,-80.019827,1284,,15214,Brighton Road,Pennsylvania,600.0,2019,SingleFamily,NA
1,,1.0,3,PGH,1080,,1217,01/01/1970,NA,NA,40.461399,-80.026994,2184,,15212,Marvista Street,Pennsylvania,11500.0,2019,SingleFamily,1901
2,,2.0,4,PGH,1896,,950,01/01/1970,NA,NA,40.460637,-80.021279,2800,,15212,Lamont Street,Pennsylvania,32400.0,2019,Duplex,1900
3,,NA,0,PGH,NA,,982,01/01/1970,NA,NA,40.460789,-80.020433,1960,,15212,Morrison Street,Pennsylvania,800.0,2019,SingleFamily,NA
4,,NA,0,PGH,NA,,1100,01/01/1970,NA,NA,40.46317,-80.023734,808,,15212,Success Street,Pennsylvania,300.0,2019,SingleFamily,NA
5,,NA,0,PGH,NA,,2000,01/01/1970,01/23/1997,7080,40.460431,-80.024,5377,,15212,Sedgwick Street,Pennsylvania,16000.0,2019,SingleFamily,NA
6,41702,1.0,2,PGH,1435,65055,802,10/07/2019,03/01/2007,41370,40.441721,-79.882066,1435,27940,14233,Pennsylvania Avenue,Pennsylvania,34000.0,2019,Condominium,1930
7,,NA,0,PGH,NA,,975,01/01/1970,NA,NA,40.459487,-80.02138,612,,15212,Kirkbride Street,Pennsylvania,300.0,2019,SingleFamily,NA
8,,1.0,3,PGH,1216,,1221,01/01/1970,08/29/1995,1000,40.461301,-80.027115,2186,,15212,Marvista Street,Pennsylvania,11500.0,2019,SingleFamily,1886
9,,3.0,4,PGH,1946,,1391,01/01/1970,10/11/2017,75000,40.462288,-80.026699,2640,,15212,Success Street,Pennsylvania,64600.0,2019,MultiFamily2To4,1896
10,,1.0,3,PGH,1254,,1319,01/01/1970,06/15/1989,21000,40.461321,-80.027049,2186,,15212,Marvista Street,Pennsylvania,11500.0,2019,SingleFamily,1901
11,,2.0,4,PGH,2878,,1563,01/01/1970,05/19/2010,20500,40.457713,-80.01691,1804,,15212,Brighton Place,Pennsylvania,49200.0,2019,Duplex,1900
12,,1.0,2,PGH,666,,2133,01/01/1970,NA,NA,40.462181,-80.02002,3360,,15214,Brighton Road,Pennsylvania,40200.0,2019,SingleFamily,1900
13,,1.0,3,PGH,1600,,1929,01/01/1970,NA,NA,40.46094,-80.019101,3927,,15214,Brighton Road,Pennsylvania,1500.0,2019,SingleFamily,1900
14,,1.5,3,PGH,3691,,1519,01/01/1970,07/01/1975,10700,40.457126,-80.01732,3360,,14233,Brighton Road,Pennsylvania,25600.0,2019,SingleFamily,1900
15,,1.0,2,PGH,1280,,1376,01/01/1970,12/11/1980,11900,40.461742,-80.027117,3102,,15212,Marvista Street,Pennsylvania,13000.0,2019,SingleFamily,1921
16,,1.5,5,PGH,1592,,1232,01/01/1970,07/10/2018,2000,40.461041,-80.027105,2140,,15212,Sigel Street,Pennsylvania,11400.0,2019,SingleFamily,1925
17,,1.0,3,PGH,1220,,1101,01/01/1970,02/05/1976,10500,40.46162,-80.02472,3360,,15212,Marvista Street,Pennsylvania,1100.0,2019,SingleFamily,1928
18,,1.0,3,PGH,1870,,999,01/01/1970,02/08/2011,4763,40.459799,-80.01955,1606,,15212,Kirkbride Street,Pennsylvania,700.0,2019,SingleFamily,1910
19,,1.0,3,PGH,1040,,977,01/01/1970,NA,NA,40.45948,-80.021421,579,,15212,Kirkbride Street,Pennsylvania,32300.0,2019,SingleFamily,1900
20,230570,2.0,5,PGH,3060,283601,1770,10/07/2019,04/04/1983,887000,40.458482,-80.017759,2120,191373,15212,Brighton Place,Pennsylvania,122700.0,2019,SingleFamily,1900
21,,2.0,4,PGH,2706,,900,01/01/1970,08/30/2019,7744568,40.459473,-80.019201,2310,,15214,California Avenue,Pennsylvania,30000.0,2019,Duplex,1880
22,,1.0,2,PGH,3380,,1303,01/01/1970,02/09/1995,500,40.460462,-80.026205,1658,,15212,Stranmore Street,Pennsylvania,22900.0,2019,Duplex,1897
