,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,3,PGH,1404,,238,01/01/1970,06/22/2007,45000,40.40765,-79.993789,2500,,15210,Wilbur Street,Pennsylvania,35600.0,2019,SingleFamily,1911
1,119174,1.0,3,PGH,1630,137050,152,10/07/2019,01/01/1993,53000,40.387111,-79.976372,4815,97723,15227,Spencer Avenue,Pennsylvania,69300.0,2019,SingleFamily,1948
2,,1.0,3,PGH,1218,,407,01/01/1970,06/01/1989,33900,40.386279,-79.990212,3938,,15210,Overbrook Boulevard,Pennsylvania,54900.0,2019,SingleFamily,1924
3,,1.0,2,PGH,705,,202,01/01/1970,01/29/1996,24000,40.399403,-79.985484,5178,,15210,Alries Street,Pennsylvania,33700.0,2019,SingleFamily,1906
4,27487,2.0,3,PGH,1084,31060,227,10/07/2019,10/12/2016,24000,40.396296,-79.991497,3179,24463,15210,Newett Street,Pennsylvania,32300.0,2019,SingleFamily,1927
5,,1.0,2,PGH,1183,,237,01/01/1970,NA,NA,40.400207,-79.984093,6000,,15210,Alries Street,Pennsylvania,35000.0,2019,SingleFamily,1894
6,95246,1.5,3,PGH,1333,123820,364,10/07/2019,10/13/2015,23000,40.383987,-79.986787,6838,62862,15227,Meritt Avenue,Pennsylvania,45000.0,2019,SingleFamily,1949
7,,1.0,3,Whitehall,1000,,233,01/01/1970,10/24/1978,30000,40.38169,-79.983606,4349,,15227,Stewart Avenue,Pennsylvania,46400.0,2019,SingleFamily,1935
8,,1.0,4,PGH,1644,,204,01/01/1970,NA,NA,40.400278,-79.985694,3300,,15210,East Meyers Street,Pennsylvania,62600.0,2019,SingleFamily,1909
9,,1.5,3,PGH,1875,,1706,01/01/1970,NA,NA,40.398562,-79.986725,5426,,15210,Concordia Street,Pennsylvania,61400.0,2019,SingleFamily,1906
10,60959,1.5,4,PGH,1480,82295,116,10/07/2019,07/12/2016,12000,40.389433,-79.981838,5675,37795,15210,Carrick Avenue,Pennsylvania,50900.0,2019,SingleFamily,1922
11,,2.0,3,PGH,1997,,196,01/01/1970,07/18/2003,50000,40.403001,-79.988408,4351,,15210,Linnview Avenue,Pennsylvania,60600.0,2019,SingleFamily,1900
12,73110,1.0,3,PGH,1638,84808,220,10/07/2019,07/11/2013,42000,40.396724,-79.983881,3000,56295,15210,Poplargrove Street,Pennsylvania,60800.0,2019,SingleFamily,1926
13,,1.0,2,PGH,1815,,399,01/01/1970,06/16/1993,22500,40.401373,-79.982631,9900,,15210,East Meyers Street,Pennsylvania,58500.0,2019,SingleFamily,1886
14,,1.0,2,Mount Oliver,1456,,1080,01/01/1970,10/25/2002,45792,40.405598,-79.985782,4233,,15210,Wingate Street,Pennsylvania,70500.0,2019,SingleFamily,1900
15,47417,1.0,3,PGH,1126,64961,232,10/07/2019,08/29/2013,14000,40.399615,-79.984155,5793,36511,15210,Alries Street,Pennsylvania,38600.0,2019,SingleFamily,1930
16,,2.0,3,PGH,1728,,116,01/01/1970,02/15/2013,54000,40.404009,-79.988388,3833,,15210,Laughlin Avenue,Pennsylvania,45500.0,2019,SingleFamily,1900
17,73996,2.0,3,PGH,1100,93235,391,10/07/2019,01/31/2014,42000,40.384302,-79.9851,5966,56977,15227,Maytide Street,Pennsylvania,42000.0,2019,SingleFamily,1952
18,69141,2.0,3,PGH,1452,82969,61,10/07/2019,NA,NA,40.389046,-79.981792,2160,46324,15210,Lauch Way,Pennsylvania,53700.0,2019,SingleFamily,1940
19,71035,2.0,3,PGH,1200,85952,2098,10/07/2019,06/11/2015,59900,40.394365,-79.987281,2645,46173,15210,Dellrose Street,Pennsylvania,53800.0,2019,SingleFamily,1934
20,68710,1.5,3,PGH,1096,86575,222,10/07/2019,06/21/2002,36000,40.396832,-79.983856,3000,45349,15210,Poplargrove Street,Pennsylvania,58500.0,2019,SingleFamily,1925
21,8766,1.0,2,PGH,960,9380,378,10/07/2019,12/06/2018,8500,40.403901,-79.983746,3750,8152,15210,Linnview Avenue,Pennsylvania,25000.0,2019,SingleFamily,1920
22,,1.0,2,PGH,1536,,2440,01/01/1970,NA,NA,40.391032,-79.978332,13260,,15227,Waterman Avenue,Pennsylvania,40200.0,2019,SingleFamily,1900
23,39172,1.0,2,PGH,1273,65026,200,10/07/2019,12/18/1996,28900,40.397278,-79.985154,1463,20761,15210,Meredith Street,Pennsylvania,43300.0,2019,SingleFamily,1915
24,76302,1.0,3,PGH,1144,105297,348,10/07/2019,03/24/1995,55000,40.398631,-79.98365,6000,53411,15210,Sprucewood Street,Pennsylvania,61200.0,2019,SingleFamily,1957
25,105101,1.5,4,PGH,1620,124019,454,10/07/2019,NA,NA,40.386997,-79.992002,5000,80928,15210,Ariston Avenue,Pennsylvania,63000.0,2019,SingleFamily,1928
26,110890,1.0,2,PGH,1421,126415,2420,10/07/2019,01/25/2017,90000,40.385978,-79.983012,4510,88712,15210,Edgar Street,Pennsylvania,65600.0,2019,SingleFamily,1947
27,72215,1.5,3,PGH,1000,93879,251,10/07/2019,NA,NA,40.399162,-79.983609,5700,54161,15210,East Cherryhill Street,Pennsylvania,50500.0,2019,SingleFamily,1971
28,,1.0,2,PGH,1637,,300,01/01/1970,06/25/2007,48600,40.407435,-79.992595,4033,,15210,Wilbur Street,Pennsylvania,53100.0,2019,SingleFamily,1907
29,83749,1.0,3,PGH,1390,106361,2412,10/07/2019,12/12/2013,25000,40.386032,-79.983298,4510,66162,15210,Edgar Street,Pennsylvania,61000.0,2019,SingleFamily,1931
30,74102,1.0,3,Baldwin,1318,92628,2701,10/07/2019,01/01/1982,29900,40.393282,-79.976307,3640,48907,15227,Custer Avenue,Pennsylvania,55900.0,2019,SingleFamily,1926
31,,1.0,4,Baldwin,2274,,506,01/01/1970,02/04/2015,27000,40.393207,-79.976893,8723,,15227,Kirk Avenue,Pennsylvania,40500.0,2019,SingleFamily,1917
32,94275,NA,0,PGH,2109,98989,212,10/07/2019,06/02/1994,57000,40.397364,-79.984679,5039,89561,15210,Meredith Street,Pennsylvania,53500.0,2019,MultiFamily2To4,1918
33,126073,1.0,3,Baldwin,1404,136159,415,10/07/2019,08/18/1987,61800,40.395631,-79.978588,6993,110944,15227,Calvert Avenue,Pennsylvania,81000.0,2019,SingleFamily,1977
34,124953,2.0,3,PGH,1120,137448,1074,10/07/2019,10/23/2008,63500,40.385526,-79.975216,8050,108709,15227,Sankey Court,Pennsylvania,70800.0,2019,SingleFamily,1954
35,74419,1.0,2,PGH,1322,96745,1923,10/07/2019,10/29/2003,66000,40.395154,-79.987693,4060,49861,15210,Westmont Avenue,Pennsylvania,62000.0,2019,SingleFamily,1926
36,65613,1.0,3,PGH,1320,80048,226,10/07/2019,06/15/2018,35500,40.402521,-79.995074,3149,42648,15210,Nobles Lane,Pennsylvania,46000.0,2019,SingleFamily,1929
37,71307,1.5,3,PGH,1140,98404,230,10/07/2019,02/12/1999,44900,40.393181,-79.990778,5565,48489,15210,Parkfield Street,Pennsylvania,51200.0,2019,SingleFamily,1940
38,77103,1.0,3,PGH,1232,97150,225,10/07/2019,04/01/1980,30000,40.394666,-79.992748,4284,54743,15210,Parkfield Street,Pennsylvania,56000.0,2019,SingleFamily,1925
39,107166,2.0,4,PGH,2392,142531,2130,10/07/2019,11/16/2007,70000,40.39254,-79.985266,7250,64300,15210,Hazeldell Street,Pennsylvania,84300.0,2019,Duplex,1920
40,116608,1.0,3,PGH,1196,134099,2108,10/07/2019,06/24/2016,94000,40.391024,-79.993298,4750,96785,15210,Lucina Avenue,Pennsylvania,56200.0,2019,SingleFamily,1952
41,,1.5,4,PGH,2304,,364,01/01/1970,NA,NA,40.395341,-79.978467,22176,,15210,Becks Run Road,Pennsylvania,30200.0,2019,SingleFamily,1900
42,,1.5,3,PGH,1451,,2323,01/01/1970,12/27/2007,67000,40.387669,-79.989171,3800,,15210,Spokane Avenue,Pennsylvania,60700.0,2019,SingleFamily,1920
43,123019,1.5,2,PGH,1220,137781,271,10/07/2019,09/21/2010,84000,40.384645,-80.003075,4152,100876,15210,Brook Street,Pennsylvania,81200.0,2019,SingleFamily,1953
44,,1.0,3,PGH,1476,,260,01/01/1970,03/13/1995,50000,40.397289,-79.984922,2550,,15210,Meredith Street,Pennsylvania,45300.0,2019,SingleFamily,1910
45,69375,1.0,2,PGH,1500,85331,210,10/07/2019,11/01/2006,17200,40.393176,-79.982335,3699,41625,15210,Madeline Street,Pennsylvania,60500.0,2019,SingleFamily,1900
46,125275,1.5,3,PGH,1853,139055,175,10/07/2019,05/19/2006,69735,40.385041,-79.981243,7250,108989,15227,Belplain Street,Pennsylvania,77400.0,2019,SingleFamily,1938
47,55613,1.0,3,PGH,1296,77302,475,10/07/2019,NA,NA,40.384378,-79.992414,2500,39485,15210,Antenor Avenue,Pennsylvania,48900.0,2019,SingleFamily,1911
48,47253,1.0,2,PGH,1499,67572,2259,10/07/2019,02/08/2006,21000,40.389352,-79.988657,2500,31660,15210,Almont Street,Pennsylvania,35000.0,2019,SingleFamily,1905
49,58637,1.0,3,PGH,1512,77401,109,10/07/2019,NA,NA,40.393091,-79.988463,5000,36941,15210,West Woodford Avenue,Pennsylvania,51400.0,2019,SingleFamily,1924
50,84137,1.0,2,Baldwin,1338,112744,2752,10/07/2019,NA,NA,40.391588,-79.973512,5850,62261,15227,Waterman Avenue,Pennsylvania,57800.0,2019,SingleFamily,1947
51,,1.5,3,PGH,1440,,312,01/01/1970,01/11/2012,30000,40.395234,-79.991922,2577,,15210,Copperfield Avenue,Pennsylvania,30600.0,2019,SingleFamily,1925
52,112519,1.0,3,PGH,1080,133898,242,10/07/2019,06/06/1997,60000,40.395809,-79.980764,5800,92266,15210,Hornaday Road,Pennsylvania,68600.0,2019,SingleFamily,1956
53,72989,1.0,3,PGH,1542,83207,36,10/07/2019,03/02/2005,89000,40.40511,-79.992098,6503,50362,15210,Cedricton Street,Pennsylvania,62800.0,2019,SingleFamily,1928
54,74175,1.0,3,PGH,1053,81592,198,10/07/2019,03/16/2018,69900,40.400068,-79.991068,4500,67499,15210,West Meyers Street,Pennsylvania,42500.0,2019,SingleFamily,1930
55,75428,1.5,3,PGH,1615,93531,147,10/07/2019,03/01/1999,59800,40.39447,-79.983005,3000,53554,15210,Scout Avenue,Pennsylvania,64400.0,2019,SingleFamily,1926
56,107166,2.0,4,PGH,2392,142531,2120,10/07/2019,11/16/2007,70000,40.39254,-79.985266,7250,64300,15210,Hazeldell Street,Pennsylvania,84300.0,2019,Duplex,1920
57,,1.0,4,PGH,2314,,117,01/01/1970,07/01/1980,33000,40.392418,-79.983992,10500,,15210,Duffland Street,Pennsylvania,66300.0,2019,SingleFamily,1902
58,123942,2.0,3,PGH,1666,145012,435,10/07/2019,NA,NA,40.387571,-79.990861,5940,104111,15210,Sinton Avenue,Pennsylvania,69400.0,2019,SingleFamily,1940
59,59144,1.0,3,PGH,1053,75113,170,10/07/2019,08/11/2015,106000,40.400048,-79.991171,4500,40809,15210,West Meyers Street,Pennsylvania,48300.0,2019,SingleFamily,1933
60,,1.0,1,PGH,1032,,1,01/01/1970,NA,NA,40.38425,-79.983571,NA,,15227,Maytide Street,Pennsylvania,NA,NA,MultiFamily5Plus,NA
61,91021,1.5,4,PGH,2014,123789,118,10/07/2019,06/09/1995,42500,40.394008,-79.984362,12796,59164,15210,Madeline Street,Pennsylvania,72000.0,2019,Triplex,1890
62,65848,1.0,3,PGH,1053,81652,107,10/07/2019,01/21/1997,45000,40.399996,-79.99092,4500,46752,15210,West Meyers Street,Pennsylvania,52400.0,2019,SingleFamily,1938
63,62385,2.0,3,PGH,1404,82348,27,10/07/2019,11/20/2007,44900,40.39704,-79.988691,2668,38679,15210,Newett Street,Pennsylvania,54200.0,2019,SingleFamily,1920
64,46388,1.0,2,PGH,828,49635,548,10/07/2019,12/14/2018,45000,40.384181,-79.990069,2678,43141,15227,Maytide Street,Pennsylvania,47400.0,2019,Townhouse,1950
65,,1.0,3,PGH,1368,,263,01/01/1970,10/28/1998,55000,40.382029,-79.98216,13198,,15210,Carrick Avenue,Pennsylvania,58200.0,2019,SingleFamily,1900
66,,1.0,2,PGH,896,,298,01/01/1970,NA,NA,40.392698,-79.982527,4286,,15210,East Woodford Avenue,Pennsylvania,35900.0,2019,SingleFamily,1914
67,148557,2.0,3,PGH,1939,161927,428,10/07/2019,06/14/2018,143500,40.387368,-79.990389,5649,136672,15210,Ariston Avenue,Pennsylvania,75500.0,2019,SingleFamily,1941
68,76524,1.0,3,PGH,1360,98716,431,10/07/2019,08/18/1998,69900,40.385501,-79.990378,3800,55863,15210,Olivet Avenue,Pennsylvania,61100.0,2019,SingleFamily,1930
69,106120,2.0,4,PGH,2132,134772,361,10/07/2019,06/06/2013,8000,40.385598,-79.988913,5000,78529,15210,Antenor Avenue,Pennsylvania,78700.0,2019,Duplex,1925
70,,1.0,3,PGH,1244,,39,01/01/1970,NA,NA,40.404582,-79.992459,3022,,15210,Cedricton Street,Pennsylvania,46600.0,2019,SingleFamily,1927
71,121211,2.0,5,PGH,2032,139393,347,10/07/2019,01/08/2019,112500,40.392727,-79.976602,4791,90908,15227,Spencer Avenue,Pennsylvania,77300.0,2019,SingleFamily,1908
72,,2.0,4,PGH,1500,,2223,01/01/1970,11/15/1999,45000,40.390671,-79.984591,8432,,15210,Lutz Street,Pennsylvania,54900.0,2019,Duplex,1958
73,,1.0,2,PGH,1448,,357,01/01/1970,12/19/2008,53000,40.401036,-79.983451,4440,,15210,East Meyers Street,Pennsylvania,61100.0,2019,SingleFamily,1896
74,149894,2.0,3,PGH,1563,161886,2221,10/07/2019,NA,NA,40.38885,-79.991301,5667,133406,15210,Yale Drive,Pennsylvania,102300.0,2019,SingleFamily,1969
75,63477,1.0,3,PGH,1392,77442,24,10/07/2019,12/22/2009,24000,40.404838,-79.984124,2500,42530,15210,Lacona Street,Pennsylvania,51500.0,2019,SingleFamily,1919
76,142598,1.5,2,PGH,1272,158284,535,10/07/2019,06/06/2018,15700,40.407995,-80.014793,2803,124060,15210,Line Street,Pennsylvania,101700.0,2019,Townhouse,1985
77,66447,1.0,3,PGH,1218,75750,128,10/07/2019,NA,NA,40.404041,-79.987851,3559,43191,15210,Laughlin Avenue,Pennsylvania,60500.0,2019,SingleFamily,1938
