,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,127094,1.0,3,PGH,1040,147429,230,10/07/2019,12/05/2016,82900,40.474377,-79.936828,4800,96591,15201,Schenley Manor Drive,Pennsylvania,68900.0,2019,Condominium,1955
1,122305,1.0,2,PGH,1148,152881,125,10/07/2019,05/14/1991,10000,40.470716,-79.964542,681,80721,15201,40th Street,Pennsylvania,30000.0,2019,SingleFamily,1900
2,191543,1.0,2,PGH,720,247090,174,10/07/2019,07/19/2012,35000,40.47307,-79.960046,461,162812,15201,Cotton Way,Pennsylvania,46700.0,2019,SingleFamily,1900
3,,NA,NA,PGH,NA,,4211,01/01/1970,NA,NA,40.470628,-79.960617,1798,,15206,Butler Street,Pennsylvania,149400.0,2019,SingleFamily,NA
4,179830,2.0,6,PGH,2936,206804,45,10/07/2019,01/12/2005,175000,40.432443,-80.062488,6300,151057,15201,43rd Street,Pennsylvania,128900.0,2019,Duplex,1935
5,,1.0,3,PGH,1044,,969,01/01/1970,05/17/2019,145500,40.477685,-79.942512,2840,,15201,Woodbine Street,Pennsylvania,51000.0,2019,Townhouse,1951
6,321003,1.0,3,PGH,1720,388414,117,10/07/2019,11/28/2006,74300,40.47201,-79.962906,999,260012,15201,42nd Street,Pennsylvania,66400.0,2019,SingleFamily,1880
7,266399,1.0,3,PGH,1778,287711,244,10/07/2019,08/03/2004,47500,40.471674,-79.957529,4000,229103,15201,46th Street,Pennsylvania,78300.0,2019,SingleFamily,1925
8,179830,2.0,6,PGH,2936,206804,31,10/07/2019,01/12/2005,175000,40.432443,-80.062488,6300,151057,15201,43rd Street,Pennsylvania,128900.0,2019,Duplex,1935
9,173449,1.0,1,PGH,768,235891,2,10/07/2019,08/22/2011,35000,40.471628,-79.96065,764,140494,15201,43 1/2 Street,Pennsylvania,32400.0,2019,SingleFamily,1900
10,317205,3.0,3,PGH,1660,339409,271,10/07/2019,01/31/2019,310000,40.46778,-79.959317,1481,298173,15201,Fisk Street,Pennsylvania,107600.0,2019,SingleFamily,1910
11,312513,1.5,3,PGH,2354,365640,239,10/07/2019,NA,NA,40.470762,-79.958419,2675,265636,15201,44th Street,Pennsylvania,120800.0,2019,SingleFamily,1900
12,283695,1.0,2,PGH,1178,346108,4850,10/07/2019,04/05/2012,41050,40.477066,-79.957385,934,232630,15201,Blackberry Way,Pennsylvania,57800.0,2019,SingleFamily,1900
13,283323,2.5,3,PGH,1308,320155,321,10/07/2019,10/26/2012,155156,40.469774,-79.957057,2376,243658,15201,44th Street,Pennsylvania,155000.0,2019,SingleFamily,1900
14,239295,1.0,2,PGH,1220,258439,402,10/07/2019,10/03/2018,232000,40.467425,-79.956527,1030,222544,15201,42nd Street,Pennsylvania,54200.0,2019,SingleFamily,1900
15,328388,1.0,3,PGH,1689,420337,161,10/07/2019,10/15/1979,6500,40.473156,-79.960404,855,282414,15201,45th Street,Pennsylvania,62700.0,2019,SingleFamily,1900
16,227280,1.0,2,PGH,1212,259099,4413,10/07/2019,06/04/2013,110000,40.470394,-79.957673,1001,202279,15201,Davison Street,Pennsylvania,110000.0,2019,SingleFamily,1900
17,326839,2.5,5,PGH,2615,362791,233,10/07/2019,07/14/2017,298000,40.470905,-79.958617,2675,294155,15201,44th Street,Pennsylvania,121200.0,2019,SingleFamily,1901
18,369957,3.0,3,PGH,2500,403253,183,10/07/2019,03/29/2018,350000,40.472032,-79.960164,2326,336661,15201,44th Street,Pennsylvania,64300.0,2019,SingleFamily,1900
19,216790,2.0,3,PGH,1834,244973,4203,10/07/2019,07/06/2000,72900,40.476923,-79.941688,6534,192943,15201,Coleridge Street,Pennsylvania,94500.0,2019,SingleFamily,1955
20,200339,1.0,2,PGH,832,242410,198,10/07/2019,03/13/2019,160000,40.469817,-79.961939,832,170288,15201,41st Street,Pennsylvania,59100.0,2019,SingleFamily,1900
21,349074,2.5,3,PGH,1550,366528,4698,10/07/2019,07/17/2019,350000,40.470941,-79.955624,2639,331620,15201,Carlton Street,Pennsylvania,73500.0,2019,SingleFamily,1920
