,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,134324,2.5,3,PGH,1400,157159,1463,10/06/2019,01/27/1999,39000,40.456838,-80.072097,5000,114175,15204,Orator Street,Pennsylvania,88400.0,2019,SingleFamily,1977
1,73478,1.0,3,PGH,882,103604,3529,10/06/2019,NA,NA,40.457084,-80.069341,3062,51435,15204,Centralia Street,Pennsylvania,49800.0,2019,SingleFamily,1963
2,101688,2.0,2,PGH,864,128127,3540,10/06/2019,05/14/2014,45000,40.457791,-80.069162,6500,80334,15204,Centralia Street,Pennsylvania,57800.0,2019,SingleFamily,1950
3,262312,1.0,3,PGH,1966,296413,1400,10/06/2019,10/31/2016,230000,40.454787,-80.070069,95806,233458,15204,Ashtola Way,Pennsylvania,132000.0,2019,SingleFamily,1937
4,128128,1.5,4,PGH,1176,142222,1418,10/06/2019,08/06/2014,80000,40.460047,-80.071156,6534,111471,15204,Harlow Street,Pennsylvania,79700.0,2019,SingleFamily,1965
5,,1.0,3,PGH,715,,1424,01/01/1970,NA,NA,40.459902,-80.071196,5150,,15204,Harlow Street,Pennsylvania,43800.0,2019,SingleFamily,1957
6,119606,1.0,3,PGH,992,136351,1386,10/06/2019,03/04/2009,25000,40.459074,-80.070985,6370,94489,15204,Harlow Street,Pennsylvania,67000.0,2019,SingleFamily,1965
7,61525,1.0,3,PGH,1710,77521,3540,10/06/2019,11/15/1993,57000,40.456477,-80.072893,2567,37530,15204,Middletown Road,Pennsylvania,65600.0,2019,SingleFamily,1900
8,91341,1.0,3,PGH,1560,118743,3566,10/06/2019,NA,NA,40.457094,-80.072959,11179,73986,15204,Middletown Road,Pennsylvania,58400.0,2019,SingleFamily,1929
9,120804,1.0,3,PGH,1182,135300,1420,10/06/2019,10/29/1992,44900,40.459635,-80.071183,6400,101475,15204,Harlow Street,Pennsylvania,85800.0,2019,SingleFamily,1956
10,,1.0,2,PGH,1152,,1402,01/01/1970,10/27/2016,25480,40.457493,-80.071287,4650,,15204,Orator Street,Pennsylvania,34700.0,2019,SingleFamily,1900
11,138995,1.5,3,PGH,1506,154284,1131,10/06/2019,NA,NA,40.459313,-80.068739,7500,123706,15204,Oltman Street,Pennsylvania,103400.0,2019,SingleFamily,1965
12,92889,1.0,3,PGH,2004,137476,1450,10/06/2019,10/07/2015,121000,40.455649,-80.07207,5500,60378,15204,Isolene Street,Pennsylvania,77900.0,2019,SingleFamily,1880
