,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,2,PGH,720,,899,01/01/1970,04/26/2007,14500,40.448723,-80.053542,10200,,15204,Greenway Drive,Pennsylvania,6500.0,2019,SingleFamily,1925
1,182060,2.5,3,Ingram,3332,234857,1267,10/04/2019,NA,NA,40.44155,-80.047135,43560,125621,15220,Steuben Street,Pennsylvania,100000.0,2019,Duplex,1850
2,80270,2.0,2,PGH,1625,86692,1217,10/04/2019,09/05/2018,78000,40.446448,-80.048462,6000,73848,15220,Dickens Street,Pennsylvania,96200.0,2019,SingleFamily,1950
3,83500,1.5,2,PGH,2465,110220,1241,10/04/2019,05/01/2000,50000,40.446503,-80.044363,4802,48430,15220,Chartiers Avenue,Pennsylvania,70600.0,2019,SingleFamily,1900
4,87763,1.0,3,PGH,1306,106193,1203,10/04/2019,08/09/1982,42000,40.449008,-80.055399,3119,71966,15204,Merryfield Street,Pennsylvania,69300.0,2019,SingleFamily,1940
5,135895,1.0,3,PGH,1089,156279,1307,10/04/2019,10/05/2004,67000,40.447888,-80.044583,130549,112793,15220,Chartiers Avenue,Pennsylvania,80000.0,2019,SingleFamily,1950
6,104266,1.0,3,Ingram,1188,125119,2826,10/04/2019,11/22/2010,50000,40.449267,-80.063537,9116,75072,15204,Middletown Road,Pennsylvania,63000.0,2019,SingleFamily,1950
7,,1.0,1,PGH,768,,808,01/01/1970,NA,NA,40.450456,-80.050601,9354,,15204,Dubois Street,Pennsylvania,16400.0,2019,SingleFamily,1910
8,,1.0,3,PGH,1800,,838,01/01/1970,09/16/2016,25000,40.45086,-80.052789,3450,,15204,Fairston Street,Pennsylvania,21800.0,2019,SingleFamily,1901
9,76349,1.0,3,PGH,1570,95436,1202,10/04/2019,06/15/1993,40000,40.443225,-80.055821,3750,48863,15205,Hollywood Street,Pennsylvania,66500.0,2019,SingleFamily,1900
10,,NA,0,PGH,4400,,1720,01/01/1970,NA,NA,40.437985,-80.052983,NA,,15205,Noblestown Road,Pennsylvania,NA,NA,SingleFamily,NA
11,,2.0,4,PGH,2993,,1201,01/01/1970,06/21/2017,40000,40.43969,-80.052274,3977,,15205,Clairhaven Street,Pennsylvania,138400.0,2019,Duplex,1920
12,82215,1.0,3,PGH,956,96192,930,10/04/2019,12/31/2012,79000,40.464772,-79.814959,7342,66594,15204,Greenway Drive,Pennsylvania,59700.0,2019,SingleFamily,1955
13,147954,2.0,5,PGH,2426,155352,1213,10/04/2019,07/11/2019,148000,40.439423,-80.052654,2500,140556,15205,Clairhaven Street,Pennsylvania,106500.0,2019,SingleFamily,1925
14,118915,1.0,3,PGH,1200,131996,1300,10/04/2019,05/04/2005,91500,40.450925,-80.057148,3892,99889,15204,Oakglen Street,Pennsylvania,93700.0,2019,SingleFamily,1956
15,159424,1.5,2,Ingram,1619,176961,1745,10/04/2019,06/21/2017,145000,40.443276,-80.056909,5352,143482,15205,Steuben Street,Pennsylvania,93900.0,2019,SingleFamily,1950
16,164200,1.0,2,PGH,2016,183904,1616,10/04/2019,08/11/2011,85000,40.44016,-80.059012,5000,147780,15205,Cumberland Avenue,Pennsylvania,135900.0,2019,MultiFamily2To4,1950
17,134154,1.0,3,Ingram,2022,147569,1400,10/04/2019,01/24/2018,125000,40.443768,-80.054115,10454,122080,15220,Steuben Street,Pennsylvania,75000.0,2019,SingleFamily,1926
18,113586,1.0,3,Ingram,1120,127216,2898,10/04/2019,03/19/2015,87980,40.447135,-80.06094,3600,93141,15204,Middletown Road,Pennsylvania,76000.0,2019,SingleFamily,1950
19,129942,1.5,2,Ingram,1728,149433,1399,10/04/2019,11/27/2007,108000,40.442102,-80.050717,8500,111750,15220,Steuben Street,Pennsylvania,84900.0,2019,SingleFamily,1940
20,118994,1.0,2,PGH,988,132083,922,10/04/2019,NA,NA,40.444402,-80.044829,6150,97575,15220,Wilton Way,Pennsylvania,74300.0,2019,SingleFamily,1955
21,145916,2.0,4,PGH,2194,167803,141,10/04/2019,11/16/2006,99000,40.439408,-80.054575,5000,126947,15205,Elmont Street,Pennsylvania,114000.0,2019,Duplex,1928
22,,1.0,1,PGH,780,,1700,01/01/1970,09/04/1975,18900,40.440016,-79.98623,2730,,15204,City Way,Pennsylvania,44400.0,2019,Apartment,1930
23,126573,2.0,2,PGH,864,137965,1086,10/04/2019,04/23/1999,61000,40.442826,-80.051257,6342,106321,15220,Lessing Street,Pennsylvania,72700.0,2019,SingleFamily,1954
24,105405,1.0,3,PGH,1630,133864,1071,10/04/2019,NA,NA,40.444034,-80.053342,6440,73784,15205,Woodlow Street,Pennsylvania,78300.0,2019,SingleFamily,1909
25,144811,1.5,3,PGH,1512,160740,1234,10/04/2019,11/08/1979,44000,40.449987,-80.057545,6600,128882,15204,Straka Street,Pennsylvania,104000.0,2019,SingleFamily,1950
26,98779,1.0,3,PGH,1391,126437,1272,10/04/2019,NA,NA,40.449604,-80.058829,4500,79023,15204,Straka Street,Pennsylvania,65000.0,2019,SingleFamily,1933
27,112309,1.0,3,PGH,1943,134771,230,10/04/2019,05/07/2012,70000,40.440198,-80.056818,5000,79739,15205,Earlham Street,Pennsylvania,95900.0,2019,SingleFamily,1900
28,,1.5,2,Ingram,1094,,1713,01/01/1970,NA,NA,40.441411,-80.045608,2300,,15205,Steuben Street,Pennsylvania,15200.0,2019,SingleFamily,1920
