,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,2,PGH,1030,,1809,01/01/1970,NA,NA,40.440016,-79.98623,NA,,15219,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
1,191798,1.5,3,PGH,1258,209060,598,10/01/2019,02/08/2011,125900,40.442253,-79.983904,3006,174536,15219,Arthur Street,Pennsylvania,127000.0,2019,SingleFamily,1994
2,,NA,0,PGH,NA,,201,01/01/1970,NA,NA,40.439254,-79.979923,779,,15219,Wick Street,Pennsylvania,400.0,2019,SingleFamily,NA
3,171690,2.0,3,PGH,1752,207745,216,10/01/2019,08/04/2006,22000,40.439558,-79.97952,1848,142503,15219,Wick Street,Pennsylvania,89800.0,2019,SingleFamily,1900
4,193199,1.5,3,PGH,1228,212519,563,10/01/2019,06/18/1993,94500,40.443091,-79.98445,2831,177743,15219,Arthur Street,Pennsylvania,137200.0,2019,SingleFamily,1993
5,,1.0,3,PGH,NA,,1,01/01/1970,NA,NA,40.444955,-79.972256,NA,,15219,Reed Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
6,,1.0,2,PGH,1020,,81,01/01/1970,11/27/2012,5400,40.439445,-79.982037,1436,,15219,Miller Street,Pennsylvania,29000.0,2019,SingleFamily,1890
7,,2.0,5,PGH,2520,,1817,01/01/1970,03/18/1992,140000,40.446585,-79.985306,3120,,15219,Cliff Street,Pennsylvania,12100.0,2019,SingleFamily,1890
8,291803,2.5,3,PGH,1820,315147,602,10/01/2019,02/15/2008,171500,40.444593,-79.984757,2940,265541,15219,Roberts Street,Pennsylvania,189700.0,2019,SingleFamily,2007
9,,1.0,2,PGH,4672,,1900,01/01/1970,12/29/1988,35000,40.4517,-79.967003,5862,,15219,Webster Avenue,Pennsylvania,102400.0,2019,Apartment,1900
10,171996,1.5,3,PGH,1349,187476,1781,10/01/2019,04/25/1983,65000,40.44569,-79.985948,2664,154796,15219,Cliff Street,Pennsylvania,123100.0,2019,SingleFamily,1980
11,249658,2.0,2,PGH,1428,274624,509,10/01/2019,12/19/2017,230000,40.443498,-79.986184,3284,227189,15219,Protectory Place,Pennsylvania,146100.0,2019,SingleFamily,1996
12,183840,3.0,4,PGH,1256,211416,1898,10/01/2019,05/09/2013,140000,40.4415,-79.861347,10419,163618,15219,Cliff Street,Pennsylvania,144700.0,2019,SingleFamily,1954
13,,1.5,3,PGH,1807,,245,01/01/1970,05/19/2010,31500,40.440364,-79.980904,2032,,15219,Dinwiddie Street,Pennsylvania,19600.0,2019,SingleFamily,2011
14,171705,1.5,3,PGH,2622,223216,1641,10/01/2019,06/28/2001,11000,40.439318,-79.982712,3036,120194,15219,Colwell Street,Pennsylvania,75800.0,2019,SingleFamily,1900
15,,NA,0,PGH,NA,,2023,01/01/1970,NA,NA,40.43908,-79.976578,2200,,15219,Colwell Street,Pennsylvania,14400.0,2019,SingleFamily,NA
16,,NA,0,PGH,NA,,1799,01/01/1970,08/22/2014,35000,40.44583,-79.986903,3124,,15219,Cliff Street,Pennsylvania,36600.0,2019,VacantResidentialLand,2019
17,116064,1.5,3,PGH,1349,155526,1738,10/01/2019,04/12/1983,65000,40.445928,-79.985692,1188,64996,15219,Cliff Street,Pennsylvania,41000.0,2019,SingleFamily,1980
18,,NA,0,PGH,NA,,1750,01/01/1970,NA,NA,40.446674,-79.983945,1342,,15219,Cliff Street,Pennsylvania,6000.0,2019,SingleFamily,NA
19,138439,1.5,3,PGH,1330,163358,1720,10/01/2019,04/07/1983,65000,40.445714,-79.985878,3848,102445,15219,Cliff Street,Pennsylvania,60000.0,2019,SingleFamily,1980
20,,NA,0,PGH,NA,,1705,01/01/1970,NA,NA,40.438901,-79.981857,1800,,15219,Colwell Street,Pennsylvania,8100.0,2019,SingleFamily,NA
21,,1.0,1,PGH,716,,503,01/01/1970,NA,NA,40.438638,-79.982708,NA,,15219,Roberts Street,Pennsylvania,NA,NA,Apartment,NA
22,198394,1.5,3,PGH,1276,220217,553,10/01/2019,01/26/1994,94500,40.443031,-79.984892,2701,182522,15219,Arthur Street,Pennsylvania,139600.0,2019,SingleFamily,1994
23,74686,1.0,2,PGH,928,86636,355,10/01/2019,11/16/2017,65000,40.403496,-79.894779,8820,61243,15219,Vine Street,Pennsylvania,54900.0,2019,SingleFamily,1955
24,165723,1.5,3,PGH,1274,183953,232,10/01/2019,08/01/2017,151000,40.439986,-79.980393,3297,149151,15219,Dinwiddie Street,Pennsylvania,132600.0,2019,Townhouse,2005
25,,1.0,0,PGH,460,,1807,01/01/1970,NA,NA,40.440016,-79.98623,NA,,15219,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
26,,1.0,3,PGH,1075,,279,01/01/1970,03/06/2014,19847,40.440973,-79.980097,2350,,15219,Wick Street,Pennsylvania,33100.0,2019,SingleFamily,1900
