,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,187150,2.0,6,Dormont,2880,228323,1202,10/04/2019,11/06/2002,120000,40.391996,-80.031634,4050,157206,15216,Tennessee Avenue,Pennsylvania,112800.0,2019,Duplex,1920
1,,1.0,1,Dormont,600,,2701,01/01/1970,NA,NA,40.399734,-80.032877,NA,,15216,Broadway Avenue,Pennsylvania,NA,NA,Apartment,1925
2,137553,1.0,3,Dormont,1144,154059,1095,10/04/2019,06/04/2008,60000,40.389032,-80.034655,7725,123798,15216,Kelton Avenue,Pennsylvania,71000.0,2019,SingleFamily,1962
3,80205,1.0,2,Dormont,728,86621,2700,10/04/2019,11/08/2018,78000,40.402498,-80.037006,2500,74591,15216,Philadelphia Avenue,Pennsylvania,78400.0,2019,SingleFamily,1945
4,,1.0,3,Dormont,949,,2817,01/01/1970,06/30/1992,66000,40.399773,-80.036883,6600,,15216,Louisiana Avenue,Pennsylvania,63900.0,2019,SingleFamily,1900
5,282686,1.0,4,Dormont,2365,296820,3218,10/04/2019,08/20/2019,283000,40.389821,-80.040096,4321,268552,15216,Wainbell Avenue,Pennsylvania,145400.0,2019,SingleFamily,1920
6,142936,1.0,4,Dormont,1650,168664,2804,10/04/2019,NA,NA,40.401213,-80.038348,1900,115778,15216,Philadelphia Avenue,Pennsylvania,82100.0,2019,SingleFamily,1900
7,117324,1.0,3,Dormont,1191,151348,2822,10/04/2019,12/04/1987,25000,40.399414,-80.036751,3300,78607,15216,Connecticut Avenue,Pennsylvania,57000.0,2019,SingleFamily,1920
8,173619,1.5,3,Dormont,1276,190981,3001,10/04/2019,01/01/1979,42000,40.38933,-80.034676,4961,159729,15216,Delwood Avenue,Pennsylvania,114300.0,2019,SingleFamily,1950
9,,NA,0,Dormont,NA,,1666,01/01/1970,10/23/2018,24500,40.399059,-80.037851,3854,,15216,Potomac Avenue,Pennsylvania,10000.0,2019,VacantResidentialLand,2018
