,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,97222,1.0,2,PGH,1197,122500,375,10/07/2019,NA,NA,40.436867,-80.027586,4030,66111,15211,Fingal Street,Pennsylvania,67700.0,2019,SingleFamily,1880
1,117343,1.0,2,PGH,800,143158,1739,10/07/2019,11/06/2006,87500,40.438927,-80.027703,2600,91528,15211,Greenleaf Street,Pennsylvania,67200.0,2019,SingleFamily,1955
2,140334,1.0,3,PGH,1303,165594,494,10/07/2019,NA,NA,40.435065,-80.025025,2000,98234,15211,Edith Street,Pennsylvania,68100.0,2019,SingleFamily,1900
3,163935,2.0,3,PGH,2008,186886,245,10/07/2019,10/08/2008,110000,40.434857,-80.021057,10858,139345,15211,Plymouth Street,Pennsylvania,96500.0,2019,SingleFamily,1900
4,180764,2.0,4,PGH,2585,211494,302,10/07/2019,01/09/2012,150000,40.43738,-80.023209,5500,160880,15211,Augusta Street,Pennsylvania,115700.0,2019,Duplex,1900
5,97886,1.0,2,PGH,1432,129210,312,10/07/2019,NA,NA,40.438454,-80.026962,2329,75372,15211,Republic Street,Pennsylvania,69400.0,2019,SingleFamily,1920
6,138122,1.0,2,PGH,1025,147791,415,10/07/2019,NA,NA,40.432152,-80.020688,4800,122929,15211,Oneida Street,Pennsylvania,91000.0,2019,SingleFamily,1953
7,119166,1.0,2,PGH,1218,138233,343,10/07/2019,10/20/1995,45000,40.437471,-80.026702,3559,98908,15211,Republic Street,Pennsylvania,80200.0,2019,SingleFamily,1900
8,150444,1.0,2,PGH,1720,159471,1744,10/07/2019,05/15/2019,150000,40.440788,-80.026628,5985,142922,15211,Rutledge Street,Pennsylvania,61100.0,2019,SingleFamily,1875
9,184299,1.5,4,PGH,2122,208258,457,10/07/2019,10/22/1993,35500,40.431125,-80.020879,4851,167712,15211,Oneida Street,Pennsylvania,117200.0,2019,SingleFamily,1905
10,,NA,0,PGH,NA,,1608,01/01/1970,03/16/2018,61250,40.440277,-80.023496,4800,,15211,Grandview Avenue,Pennsylvania,27000.0,2019,SingleFamily,NA
11,169473,1.5,3,PGH,2376,177947,509,10/07/2019,08/26/2019,175000,40.435797,-80.023636,3600,160999,15211,Augusta Street,Pennsylvania,100100.0,2019,SingleFamily,1930
12,65616,2.0,4,PGH,1920,115484,330,10/07/2019,NA,NA,40.438031,-80.027013,3600,43307,15211,Republic Street,Pennsylvania,53200.0,2019,SingleFamily,1890
13,163398,2.0,2,PGH,1670,178104,428,10/07/2019,10/22/2003,104000,40.431834,-80.020197,5000,148692,15211,Meridan Street,Pennsylvania,102500.0,2019,SingleFamily,1954
14,80685,1.0,4,PGH,1242,117800,232,10/07/2019,NA,NA,40.43936,-80.025371,5000,49218,15211,Seward Street,Pennsylvania,55600.0,2019,SingleFamily,1900
15,83448,1.5,2,PGH,1024,116827,427,10/07/2019,11/09/2011,85000,40.434955,-80.022105,2265,54241,15211,Sweetbriar Street,Pennsylvania,57000.0,2019,SingleFamily,1905
16,,4.0,3,PGH,3000,,223,01/01/1970,12/28/2000,60000,40.439818,-80.025385,3400,,15211,Republic Street,Pennsylvania,4900.0,2019,SingleFamily,1920
17,109906,1.0,2,PGH,1131,126392,377,10/07/2019,03/31/2003,52442,40.438254,-80.026603,3337,83529,15211,Republic Street,Pennsylvania,63100.0,2019,SingleFamily,1900
18,303486,2.0,3,PGH,1627,342939,1727,10/07/2019,11/15/2016,265000,40.440207,-80.026318,6012,270103,15211,Rutledge Street,Pennsylvania,231000.0,2019,SingleFamily,1920
19,,NA,0,PGH,NA,,267,01/01/1970,NA,NA,40.508257,-79.970379,21477,,15211,Shaler Street,Pennsylvania,7300.0,2019,SingleFamily,NA
20,,NA,0,PGH,NA,,1559,01/01/1970,07/06/1998,41300,40.440094,-80.023009,1800,,15211,Grandview Avenue,Pennsylvania,8100.0,2019,SingleFamily,NA
21,204911,1.0,2,PGH,1224,227451,1201,10/07/2019,08/11/2017,187000,40.425277,-79.984952,15523,184420,15219,West Carson Street,Pennsylvania,44000.0,2019,SingleFamily,1878
