,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,NA,PGH,NA,,901,01/01/1970,12/23/2010,2668,40.455776,-79.994348,1580,,15212,Peralta Street,Pennsylvania,17600.0,2019,SingleFamily,NA
1,175219,2.0,3,PGH,1470,194493,973,10/06/2019,01/12/1976,32900,40.360825,-80.032044,6250,161201,15212,Vista Street,Pennsylvania,109800.0,2019,SingleFamily,1955
2,,NA,0,PGH,NA,,806,01/01/1970,01/31/2001,35000,40.455921,-79.997039,1400,,15212,Suismon Street,Pennsylvania,600.0,2019,SingleFamily,NA
3,158467,1.0,3,PGH,2016,193330,537,10/06/2019,11/23/1998,23418,40.455169,-79.999801,990,117266,15212,Suismon Street,Pennsylvania,71500.0,2019,SingleFamily,1872
4,183321,1.5,3,PGH,1545,210819,903,10/06/2019,07/13/2012,48204,40.369367,-80.021463,7589,163156,15212,Chestnut Street,Pennsylvania,114400.0,2019,SingleFamily,1925
5,122943,2.0,4,PGH,2490,142614,702,10/06/2019,01/20/1998,15000,40.494359,-80.058609,3300,83601,15212,Madison Avenue,Pennsylvania,70200.0,2019,Duplex,1902
6,11399,1.0,2,PGH,1680,12881,972,10/06/2019,11/22/2016,10000,40.455676,-79.994118,1234,10145,15212,Phineas Street,Pennsylvania,66200.0,2019,SingleFamily,1900
7,,1.5,3,PGH,2268,,982,01/01/1970,09/27/1985,63000,40.459575,-79.99553,2286,,15212,Vista Street,Pennsylvania,18000.0,2019,SingleFamily,1900
8,,NA,0,PGH,NA,,846,01/01/1970,NA,NA,40.454735,-79.995378,NA,,15212,East Ohio Street,Pennsylvania,100.0,2019,SingleFamily,NA
9,176406,3.0,5,PGH,2565,245204,598,10/06/2019,02/06/1991,40000,40.457685,-80.001529,3600,125248,15212,Knoll Street,Pennsylvania,61200.0,2019,Triplex,1910
10,,NA,0,PGH,NA,,930,01/01/1970,NA,NA,40.459615,-79.995471,2038,,15212,Vista Street,Pennsylvania,500.0,2019,SingleFamily,NA
11,301751,2.5,4,PGH,3308,331926,907,10/06/2019,12/19/2017,279540,40.455326,-80.001422,997,274593,15212,James Street,Pennsylvania,123700.0,2019,SingleFamily,1900
12,145865,1.0,3,PGH,2077,188166,834,10/06/2019,NA,NA,40.458459,-79.997077,6961,93354,15212,Vista Street,Pennsylvania,72600.0,2019,SingleFamily,1900
13,,NA,0,PGH,NA,,848,01/01/1970,01/03/2001,200,40.456606,-79.995848,1397,,15212,Lovitt Way,Pennsylvania,600.0,2019,SingleFamily,NA
14,140260,1.0,3,PGH,1160,161299,871,10/06/2019,06/23/2008,5000,40.458507,-79.99579,1897,117818,15212,Vista Street,Pennsylvania,89400.0,2019,SingleFamily,1900
15,,NA,0,PGH,NA,,842,01/01/1970,NA,NA,40.454697,-79.995522,101,,15212,East Ohio Street,Pennsylvania,100.0,2019,SingleFamily,NA
16,,1.5,4,PGH,1842,,894,01/01/1970,12/10/1997,9000,40.458331,-79.996439,4500,,15212,Vista Street,Pennsylvania,27800.0,2019,SingleFamily,1900
17,151981,1.0,2,PGH,1530,196055,815,10/06/2019,NA,NA,40.455876,-80.000043,1129,110946,15212,Middle Street,Pennsylvania,67900.0,2019,SingleFamily,1890
