,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,417351,3.0,3,PGH,2880,484127,517,09/23/2019,03/05/1991,33000,40.46798,-79.925997,2689,313013,15206,North Saint Clair Street,Pennsylvania,47200.0,2019,Triplex,1910
1,288392,2.0,4,PGH,2708,380677,6114,09/23/2019,NA,NA,40.468012,-79.918494,2546,213410,15206,Saint Marie Street,Pennsylvania,72500.0,2019,Duplex,1910
2,186439,1.5,3,PGH,1428,212540,6101,09/23/2019,NA,NA,40.464822,-79.920908,3139,151016,15206,Rodman Street,Pennsylvania,89600.0,2019,SingleFamily,1970
3,147693,1.5,3,PGH,1228,186093,6107,09/23/2019,12/16/1983,16500,40.46491,-79.921133,2885,104862,15206,Rodman Street,Pennsylvania,40000.0,2019,SingleFamily,1970
4,299929,2.0,4,PGH,2608,338920,733,09/23/2019,NA,NA,40.471767,-79.930736,5250,242942,15206,Chislett Street,Pennsylvania,124900.0,2019,Duplex,1924
5,266255,NA,NA,PGH,NA,375420,5920,09/23/2019,NA,NA,40.462258,-79.925591,NA,159753,15206,Kirkwood Street,Pennsylvania,NA,NA,SingleFamily,NA
6,294206,2.0,4,PGH,2948,361873,746,09/23/2019,09/04/2001,45000,40.4711,-79.926056,7500,232423,15206,North Negley Avenue,Pennsylvania,83600.0,2019,Duplex,1900
7,220570,2.0,4,PGH,2116,297770,6202,09/23/2019,07/01/2013,85625,40.467848,-79.918025,2400,161016,15206,Saint Marie Street,Pennsylvania,57900.0,2019,Duplex,1910
8,,NA,0,PGH,NA,,250,01/01/1970,NA,NA,40.463252,-79.923506,2700,,15206,North Highland Avenue,Pennsylvania,3500.0,2019,SingleFamily,NA
9,310490,2.0,4,PGH,3496,332224,5457,09/23/2019,06/08/2004,120000,40.47118,-79.930153,7980,270126,15206,Hays Street,Pennsylvania,152300.0,2019,Duplex,1945
10,,1.0,1,PGH,NA,,5712,01/01/1970,NA,NA,40.466343,-79.92509,NA,,15206,East Liberty Boulevard,Pennsylvania,NA,NA,Apartment,NA
11,407793,3.0,0,PGH,2881,489352,225,09/23/2019,09/27/2012,197500,40.460977,-79.930766,3433,358858,15206,Amber Street,Pennsylvania,203100.0,2019,MultiFamily2To4,1909
