,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,0,PGH,NA,,2913,01/01/1970,12/11/2006,35000,40.422818,-79.966292,3702,,15204,West Carson Street,Pennsylvania,33300.0,2019,SingleFamily,NA
1,,1.0,4,PGH,2208,,3371,01/01/1970,01/08/2008,5000,40.462331,-80.051833,3614,,15204,West Carson Street,Pennsylvania,25800.0,2019,SingleFamily,1900
2,,1.0,2,PGH,1476,,298,01/01/1970,NA,NA,40.461528,-80.05268,1800,,15204,Florien Street,Pennsylvania,25000.0,2019,SingleFamily,1900
3,103743,1.0,3,PGH,2345,134866,3326,09/25/2019,01/16/1991,33500,40.462316,-80.05367,3131,63283,15204,Oregon Street,Pennsylvania,72500.0,2019,SingleFamily,1925
4,,1.0,3,PGH,1792,,3328,01/01/1970,08/13/1998,27000,40.462441,-80.053742,3131,,15204,Oregon Street,Pennsylvania,73300.0,2019,SingleFamily,1925
5,,NA,0,PGH,NA,,421,01/01/1970,NA,NA,40.461344,-80.051682,3625,,15204,Sloan Way,Pennsylvania,1400.0,2019,SingleFamily,NA
6,,1.0,3,PGH,1504,,126,01/01/1970,12/30/1991,15900,40.460377,-80.050125,4000,,15204,Saginaw Street,Pennsylvania,45200.0,2019,SingleFamily,1900
7,,NA,0,PGH,NA,,221,01/01/1970,09/16/2014,1600,40.463055,-80.054002,2250,,15204,Sagamore Street,Pennsylvania,1000.0,2019,SingleFamily,NA
8,,1.0,2,PGH,1516,,299,01/01/1970,04/17/2003,20000,40.463273,-80.053439,3000,,15204,Sagamore Street,Pennsylvania,24000.0,2019,SingleFamily,1900
9,,1.0,3,PGH,1390,,215,01/01/1970,02/08/1993,8600,40.463807,-80.054141,3382,,15204,Stanhope Street,Pennsylvania,1300.0,2019,SingleFamily,1926
10,,1.0,3,PGH,1508,,206,01/01/1970,07/23/2013,14300,40.462977,-80.05466,3000,,15204,Oregon Street,Pennsylvania,30300.0,2019,Condominium,1886
11,99753,1.0,2,PGH,825,124691,1422,09/25/2019,11/28/2000,35000,40.460182,-80.071203,6415,75812,15204,Harlow Street,Pennsylvania,59700.0,2019,SingleFamily,1957
12,,1.0,3,PGH,1932,,3303,01/01/1970,07/22/2011,4000,40.461441,-80.050621,1656,,15204,West Carson Street,Pennsylvania,37800.0,2019,SingleFamily,1919
13,121309,1.0,3,PGH,1182,139505,1420,09/25/2019,10/29/1992,44900,40.459635,-80.071183,6400,95834,15204,Harlow Street,Pennsylvania,85800.0,2019,SingleFamily,1956
14,,1.0,2,PGH,990,,113,01/01/1970,05/02/1994,48400,40.461138,-80.051017,1595,,15204,Frustum Street,Pennsylvania,19800.0,2019,SingleFamily,1911
15,,1.0,4,PGH,2208,,3311,01/01/1970,01/08/2008,5000,40.462331,-80.051833,3614,,15204,West Carson Street,Pennsylvania,25800.0,2019,SingleFamily,1900
16,,NA,0,PGH,NA,,101,01/01/1970,NA,NA,40.460445,-80.049522,2200,,15204,Sanford Street,Pennsylvania,900.0,2019,SingleFamily,NA
17,,1.0,3,PGH,1932,,229,01/01/1970,NA,NA,40.462118,-80.05471,3000,,15204,Radcliffe Street,Pennsylvania,43800.0,2019,SingleFamily,1910
18,,1.0,2,PGH,1917,,210,01/01/1970,12/10/1999,1000,40.461519,-80.052768,1608,,15204,Florien Street,Pennsylvania,19800.0,2019,SingleFamily,1906
19,128332,1.5,3,PGH,1944,155282,221,09/25/2019,NA,NA,40.501717,-80.072405,3780,82132,15204,Harrison Way,Pennsylvania,74000.0,2019,SingleFamily,1900
20,151110,1.0,2,PGH,832,214576,333,09/25/2019,NA,NA,40.461961,-79.952135,NA,86133,15204,Oregon Street,Pennsylvania,NA,NA,Townhouse,NA
21,72969,1.0,3,PGH,1452,97049,1101,09/25/2019,NA,NA,40.459974,-80.069209,5858,53997,15204,Oltman Street,Pennsylvania,60800.0,2019,SingleFamily,1910
22,159286,1.0,3,PGH,1427,176807,1428,09/25/2019,07/19/1978,7000,40.460269,-80.071381,5668,138579,15204,Harlow Street,Pennsylvania,121600.0,2019,SingleFamily,1978
23,151943,1.5,4,PGH,1792,174734,201,09/25/2019,11/25/1991,57000,40.501359,-80.072823,3675,127632,15204,Harrison Way,Pennsylvania,110900.0,2019,SingleFamily,1900
24,20286,1.0,2,PGH,1254,22720,231,09/25/2019,12/02/2016,17500,40.462368,-80.054855,3000,18055,15204,Radcliffe Street,Pennsylvania,48400.0,2019,SingleFamily,1900
25,,1.0,2,PGH,1386,,307,01/01/1970,12/20/2011,8500,40.462838,-80.055124,6000,,15204,Radcliffe Street,Pennsylvania,55400.0,2019,SingleFamily,1886
26,148206,0.5,2,PGH,936,180811,2919,09/25/2019,05/06/2009,300000,40.423569,-79.965735,1261,109672,15204,West Carson Street,Pennsylvania,86100.0,2019,SingleFamily,1890
27,211349,2.0,3,PGH,1732,253619,2527,09/25/2019,01/30/2015,160000,40.426853,-79.969152,1200,164852,15204,West Carson Street,Pennsylvania,110000.0,2019,Duplex,1890
28,36785,1.0,2,PGH,1116,39728,200,09/25/2019,07/05/2018,35000,40.462745,-80.055071,3001,34210,15204,Radcliffe Street,Pennsylvania,47300.0,2019,SingleFamily,1898
29,20496,1.0,2,PGH,1314,30334,227,09/25/2019,09/16/2014,10000,40.46218,-80.054744,3000,15987,15204,Radcliffe Street,Pennsylvania,22000.0,2019,SingleFamily,1900
30,,NA,0,PGH,NA,,225,01/01/1970,NA,NA,40.463761,-80.054601,3520,,15204,Stanhope Street,Pennsylvania,1300.0,2019,SingleFamily,NA
31,,1.0,2,PGH,NA,,261,01/01/1970,06/10/1985,10000,40.463562,-80.053996,3000,,15204,Sagamore Street,Pennsylvania,9000.0,2019,SingleFamily,1886
32,,1.0,2,PGH,1400,,240,01/01/1970,04/22/1998,16900,40.461587,-80.052534,2400,,15204,Florien Street,Pennsylvania,57400.0,2019,SingleFamily,1909
33,,NA,0,PGH,NA,,2653,01/01/1970,NA,NA,40.457194,-80.044598,3264,,15204,West Carson Street,Pennsylvania,1200.0,2019,SingleFamily,NA
34,138674,2.0,3,PGH,2080,165022,2739,09/25/2019,04/21/2003,35000,40.419845,-79.969147,1300,97072,15204,West Carson Street,Pennsylvania,60000.0,2019,SingleFamily,1920
35,,1.0,3,PGH,1932,,3293,01/01/1970,07/22/2011,4000,40.461441,-80.050621,1656,,15204,Esplen Street,Pennsylvania,37800.0,2019,SingleFamily,1919
