,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,510519,6.0,8,PGH,3807,587097,229,10/01/2019,06/13/2005,222000,40.461598,-79.933647,5250,449257,15206,South Fairmount Street,Pennsylvania,258800.0,2019,MultiFamily2To4,1920
1,225111,1.0,2,PGH,NA,274635,342,10/01/2019,NA,NA,40.460126,-79.935082,NA,184591,15232,South Fairmount Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
2,126046,3.0,3,PGH,3397,142432,335,10/01/2019,11/29/2016,110000,40.460233,-79.934543,5250,112181,15232,South Fairmount Street,Pennsylvania,110000.0,2019,SingleFamily,1910
3,,1.0,1,PGH,470,,5551,01/01/1970,NA,NA,40.457355,-79.934747,NA,,15232,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
4,,NA,0,PGH,NA,,5522,01/01/1970,12/22/2014,100000,40.457416,-79.936056,25230,,15232,Baum Boulevard,Pennsylvania,1.97103E7,2019,MultiFamily5Plus,NA
5,379137,2.0,4,PGH,2684,451173,129,10/01/2019,01/10/2011,180000,40.463253,-79.935407,3351,329849,15206,South Graham Street,Pennsylvania,183300.0,2019,SingleFamily,1900
6,393936,2.0,4,PGH,2535,460905,5506,10/01/2019,05/29/2001,110000,40.459156,-79.9357,4800,311209,15232,Harriet Street,Pennsylvania,165800.0,2019,Duplex,1900
7,276503,2.0,3,PGH,2690,326274,119,10/01/2019,03/17/2006,70000,40.463476,-79.932501,3518,221202,15206,South Fairmount Street,Pennsylvania,94000.0,2019,Duplex,1920
8,263954,1.0,1,PGH,NA,314105,314,10/01/2019,NA,NA,40.460464,-79.933914,NA,227000,15232,Stratford Avenue,Pennsylvania,NA,NA,MultiFamily2To4,NA
9,,1.0,2,PGH,NA,,358,01/01/1970,NA,NA,40.459458,-79.933474,NA,,15232,South Negley Avenue,Pennsylvania,NA,NA,Apartment,NA
10,402614,2.0,5,PGH,3732,483137,129,10/01/2019,09/05/2002,140000,40.463088,-79.934136,7947,346248,15206,Roup Avenue,Pennsylvania,222300.0,2019,Duplex,1890
