,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,147041,NA,4,PGH,1433,183801,5098,09/23/2019,09/17/2018,101000,40.465634,-79.943565,1960,108810,15224,Dearborn Street,Pennsylvania,63700.0,2019,SingleFamily,1910
1,96259,1.5,3,PGH,1978,106847,5507,09/23/2019,07/25/2017,86500,40.46521,-79.93137,3001,86633,15206,Broad Street,Pennsylvania,50500.0,2019,SingleFamily,1905
2,,1.0,1,PGH,800,,5500,01/01/1970,NA,NA,40.468309,-79.930401,NA,,15206,Margaretta Street,Pennsylvania,NA,NA,MultiFamily5Plus,1960
3,107603,1.0,2,PGH,996,153872,5475,09/23/2019,01/14/1992,2500,40.467526,-79.931819,2980,64562,15206,Hillcrest Street,Pennsylvania,44000.0,2019,SingleFamily,1910
4,91703,1.0,3,PGH,1280,99039,434,09/23/2019,05/25/2018,87000,40.468318,-79.931087,2970,84367,15206,North Fairmount Street,Pennsylvania,61000.0,2019,SingleFamily,1930
5,224391,2.0,5,PGH,1951,273757,5563,09/23/2019,12/21/1990,12000,40.468479,-79.928294,1998,168293,15206,Columbo Street,Pennsylvania,26900.0,2019,SingleFamily,1900
6,133029,1.0,2,PGH,896,147662,554,09/23/2019,06/20/1985,17500,40.47007,-79.932801,2520,106423,15206,North Aiken Avenue,Pennsylvania,53900.0,2019,SingleFamily,1943
7,181336,1.0,2,PGH,1464,213976,500,09/23/2019,07/24/1979,33900,40.468535,-79.945091,5508,148696,15224,North Mathilda Street,Pennsylvania,77400.0,2019,SingleFamily,1920
8,,NA,0,PGH,NA,,5106,01/01/1970,NA,NA,40.467705,-79.941694,3630,,15224,Rosetta Street,Pennsylvania,30200.0,2019,SingleFamily,NA
9,,1.0,2,PGH,1330,,5203,01/01/1970,NA,NA,40.467775,-79.939088,2000,,15224,Rosetta Street,Pennsylvania,800.0,2019,SingleFamily,1890
10,176295,1.5,3,PGH,2091,215080,311,09/23/2019,05/21/2001,22000,40.466848,-79.931563,4026,142799,15206,North Fairmount Street,Pennsylvania,75200.0,2019,SingleFamily,1920
11,,NA,0,PGH,NA,,5348,01/01/1970,NA,NA,40.469795,-79.934178,3600,,15224,Warble Street,Pennsylvania,30100.0,2019,SingleFamily,NA
12,80365,1.0,3,PGH,1088,137424,5416,09/23/2019,10/17/2017,59000,40.466065,-79.934798,916,52237,15206,Kincaid Street,Pennsylvania,11800.0,2019,Townhouse,1910
13,,1.0,1,PGH,845,,5491,01/01/1970,08/29/2014,209000,40.464544,-79.932625,29529,,15206,Penn Avenue,Pennsylvania,49700.0,2012,Apartment,NA
14,103988,1.5,3,PGH,1958,124786,130,09/23/2019,NA,NA,40.475,-79.888409,14040,77991,15206,Broad Street,Pennsylvania,75200.0,2019,SingleFamily,1962
15,248952,1.5,3,PGH,1470,278826,5322,09/23/2019,08/07/2008,134500,40.465828,-79.938723,3800,224057,15224,Broad Street,Pennsylvania,132800.0,2019,SingleFamily,2007
16,,1.0,3,PGH,2025,,5513,01/01/1970,10/26/2010,4000,40.464526,-79.931556,2438,,15206,Dunkirk Street,Pennsylvania,4000.0,2019,SingleFamily,1900
17,158725,1.5,3,PGH,1263,193645,423,09/23/2019,07/02/2010,51000,40.467977,-79.93145,4412,114282,15206,North Fairmount Street,Pennsylvania,51000.0,2019,SingleFamily,1928
18,111080,1.0,2,PGH,1120,166620,428,09/23/2019,NA,NA,40.46808,-79.932205,2863,66648,15206,Ardary Street,Pennsylvania,36200.0,2019,SingleFamily,1910
19,456400,4.0,5,PGH,3668,538552,228,09/23/2019,03/06/2012,190000,40.466087,-79.930904,8472,360556,15206,North Fairmount Street,Pennsylvania,190000.0,2019,MultiFamily2To4,1900
20,222433,1.5,6,PGH,2395,306958,5468,09/23/2019,12/23/2005,20000,40.469642,-79.930584,3000,155703,15206,Black Street,Pennsylvania,30000.0,2019,SingleFamily,1900
21,154412,1.0,1,PGH,1920,180662,5525,09/23/2019,06/28/1991,12700,40.465086,-79.93537,3522,112721,15206,Penn Avenue,Pennsylvania,49100.0,2019,SingleFamily,1900
22,,1.0,2,PGH,1300,,501,01/01/1970,NA,NA,40.467971,-79.928271,NA,,15206,North Negley Avenue,Pennsylvania,NA,NA,Apartment,NA
23,67807,1.0,2,PGH,840,91539,5375,09/23/2019,08/09/1984,5000,40.467007,-79.937239,756,42040,15224,Brown Way,Pennsylvania,20800.0,2019,SingleFamily,1900
24,,NA,0,PGH,NA,,5424,01/01/1970,NA,NA,40.468342,-79.932651,1581,,15206,Columbo Street,Pennsylvania,700.0,2019,SingleFamily,NA
25,42433,1.0,2,PGH,959,62377,5400,09/23/2019,08/15/1997,7000,40.338361,-79.994393,4254,31400,15206,Broad Street,Pennsylvania,25000.0,2019,SingleFamily,1915
26,173910,2.0,3,PGH,1440,212170,5434,09/23/2019,08/30/2017,52000,40.467308,-79.933221,1594,135650,15206,Hillcrest Street,Pennsylvania,45600.0,2019,SingleFamily,1915
27,309841,2.0,4,PGH,3015,402793,526,09/23/2019,10/16/1987,38500,40.468394,-79.927398,5250,247873,15206,North Negley Avenue,Pennsylvania,58300.0,2019,SingleFamily,1900
28,,1.0,1,PGH,2605,,229,01/01/1970,10/21/2011,6000,40.466515,-79.934526,2820,,15206,North Graham Street,Pennsylvania,10000.0,2019,Apartment,1915
29,176437,1.5,4,PGH,2267,208196,5455,09/23/2019,NA,NA,40.465541,-79.93379,3230,135856,15206,Broad Street,Pennsylvania,63400.0,2019,SingleFamily,1920
30,266261,3.5,3,PGH,1598,303538,5450,09/23/2019,NA,NA,40.466452,-79.932988,2575,199696,15206,Rosetta Street,Pennsylvania,73100.0,2019,SingleFamily,1910
31,,1.0,1,PGH,900,,5418,01/01/1970,10/23/2013,22251,40.470129,-79.932074,1089000,,15206,Black Street,Pennsylvania,42300.0,2019,Apartment,1930
32,628411,NA,0,PGH,400000,760377,4835,09/23/2019,NA,NA,40.462552,-79.927528,48138,546718,15224,Penn Avenue,Pennsylvania,400000.0,2019,Condominium,NA
33,186076,2.0,4,PGH,1943,228873,418,09/23/2019,NA,NA,40.468208,-79.933977,4840,143279,15206,North Aiken Avenue,Pennsylvania,74200.0,2019,Duplex,1920
34,235694,2.5,3,PGH,1322,271048,5506,09/23/2019,10/04/1974,37500,40.467247,-79.930026,9065,207411,15206,Rippey Place,Pennsylvania,121500.0,2019,SingleFamily,1960
35,,1.0,1,PGH,950,,226,01/01/1970,NA,NA,40.463121,-79.940468,NA,,15224,North Pacific Avenue,Pennsylvania,NA,NA,Apartment,1910
36,,1.5,4,PGH,1688,,5463,01/01/1970,07/21/2000,3000,40.465519,-79.933531,2550,,15206,Broad Street,Pennsylvania,34000.0,2019,SingleFamily,1923
37,258504,2.5,5,PGH,2095,292110,5488,09/23/2019,NA,NA,40.464983,-79.932567,2925,201633,15206,Broad Street,Pennsylvania,90500.0,2019,SingleFamily,1945
38,,2.0,5,PGH,2882,,322,01/01/1970,11/09/1988,32000,40.467156,-79.930974,4072,,15206,North Fairmount Street,Pennsylvania,116200.0,2019,SingleFamily,1925
39,167388,2.0,5,PGH,2470,217604,5051,09/23/2019,08/11/2016,130000,40.46522,-79.93165,1751,115498,15224,Broad Street,Pennsylvania,35000.0,2019,MultiFamily2To4,1900
40,222581,2.0,5,PGH,1852,264871,5555,09/23/2019,09/01/1994,12000,40.468553,-79.928593,6204,169162,15206,Columbo Street,Pennsylvania,36000.0,2019,SingleFamily,1900
41,,1.0,3,PGH,1692,,5213,01/01/1970,08/14/2015,14662,40.472363,-79.938423,12000,,15224,Nora Way,Pennsylvania,35600.0,2019,SingleFamily,1950
42,,NA,0,PGH,NA,,5513,01/01/1970,10/01/2014,5900,40.465386,-79.930912,1874,,15206,Armitage Way,Pennsylvania,800.0,2019,SingleFamily,NA
43,195668,1.0,3,PGH,1760,223062,5305,09/23/2019,09/29/2006,17000,40.465142,-79.936672,2691,164361,15224,Waterford Street,Pennsylvania,92400.0,2019,SingleFamily,1930
