,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,0,PGH,NA,,1300,01/01/1970,NA,NA,40.459384,-79.890445,1495,,15208,Collier Street,Pennsylvania,600.0,2019,SingleFamily,NA
1,87095,1.5,2,PGH,1298,101030,7300,10/07/2019,NA,NA,40.440702,-79.862272,1232,75773,15208,Forest Way,Pennsylvania,65000.0,2019,Condominium,1981
2,,1.0,3,PGH,1758,,7115,01/01/1970,NA,NA,40.462816,-79.896862,2250,,15206,Upland Street,Pennsylvania,29300.0,2019,SingleFamily,1900
3,,1.0,3,PGH,1604,,7141,01/01/1970,NA,NA,40.462514,-79.895754,2500,,15206,Upland Street,Pennsylvania,26300.0,2019,SingleFamily,1900
4,,1.5,5,PGH,2374,,7337,01/01/1970,NA,NA,40.458826,-79.891558,2325,,15208,Monticello Street,Pennsylvania,35800.0,2019,SingleFamily,1924
5,,1.0,2,PGH,1362,,907,01/01/1970,12/10/2007,2000,40.458267,-79.898577,790,,15208,North Lang Avenue,Pennsylvania,300.0,2019,SingleFamily,1920
6,,1.0,3,PGH,1364,,7081,01/01/1970,10/08/1998,1500,40.455345,-79.886342,3625,,15208,Frankstown Avenue,Pennsylvania,17900.0,2019,SingleFamily,1900
7,,2.0,3,PGH,1785,,7063,01/01/1970,01/11/2012,7685,40.460992,-79.898042,1873,,15208,Hermitage Street,Pennsylvania,15000.0,2019,SingleFamily,1900
8,,NA,0,PGH,NA,,1008,01/01/1970,NA,NA,40.459045,-79.898378,2300,,15208,North Lang Avenue,Pennsylvania,900.0,2019,SingleFamily,NA
9,,1.5,6,PGH,1452,,7229,01/01/1970,NA,NA,40.461322,-79.89332,2325,,15208,Mount Vernon Street,Pennsylvania,27200.0,2019,SingleFamily,1890
10,,2.0,6,PGH,2152,,7194,01/01/1970,07/11/1986,19000,40.459761,-79.897461,2906,,15208,Monticello Street,Pennsylvania,48800.0,2019,SingleFamily,1920
11,,2.5,3,PGH,1655,,7150,01/01/1970,NA,NA,40.46134,-79.895258,2325,,15208,Mount Vernon Street,Pennsylvania,24000.0,2019,Duplex,1900
12,,1.0,2,PGH,1232,,7221,01/01/1970,06/04/2007,4000,40.462047,-79.893589,4000,,15206,Upland Street,Pennsylvania,32500.0,2019,SingleFamily,1935
13,,1.0,3,PGH,NA,,7112,01/01/1970,NA,NA,40.460444,-79.896942,NA,,15208,Hermitage Street,Pennsylvania,NA,NA,Unknown,NA
14,,1.0,2,PGH,828,,7319,01/01/1970,NA,NA,40.46133,-79.891251,3300,,15206,Upland Street,Pennsylvania,16200.0,2019,SingleFamily,1930
15,,1.0,3,PGH,2209,,7147,01/01/1970,10/11/1991,22000,40.462505,-79.895486,2500,,15206,Upland Street,Pennsylvania,32600.0,2019,SingleFamily,1900
16,,1.0,3,PGH,858,,7042,01/01/1970,01/11/2012,6418,40.458464,-79.899261,672,,15208,Forest Way,Pennsylvania,200.0,2019,SingleFamily,1920
17,,2.0,5,PGH,1942,,7194,01/01/1970,NA,NA,40.461096,-79.895352,2326,,15208,Kedron Street,Pennsylvania,5200.0,2019,SingleFamily,1915
18,,3.0,6,PGH,4128,,7121,01/01/1970,NA,NA,40.462749,-79.896568,5000,,15206,Upland Street,Pennsylvania,4000.0,2019,SingleFamily,1900
19,,1.0,3,PGH,1479,,7328,01/01/1970,01/20/2016,12000,40.458551,-79.89213,2325,,15208,Monticello Street,Pennsylvania,29900.0,2019,SingleFamily,1925
20,,NA,0,PGH,NA,,7477,01/01/1970,NA,NA,40.460206,-79.889747,3822,,15208,Mount Vernon Street,Pennsylvania,3500.0,2019,SingleFamily,NA
21,,1.0,3,PGH,1800,,7029,01/01/1970,06/29/1995,600,40.461867,-79.898694,1860,,15208,Kedron Street,Pennsylvania,2700.0,2019,SingleFamily,1900
22,,1.0,2,PGH,884,,1298,01/01/1970,05/21/1979,10800,40.459261,-79.889569,715,,15208,Pineridge Street,Pennsylvania,12500.0,2019,SingleFamily,1918
23,,1.0,5,PGH,1717,,7414,01/01/1970,NA,NA,40.45816,-79.89042,2325,,15208,Monticello Street,Pennsylvania,26400.0,2019,SingleFamily,1909
24,,1.0,4,PGH,2068,,7197,01/01/1970,03/05/2015,990,40.459473,-79.897605,2325,,15208,Race Street,Pennsylvania,34300.0,2019,SingleFamily,1915
25,,NA,NA,PGH,NA,,7467,01/01/1970,NA,NA,40.455764,-79.888157,2375,,15208,Frankstown Avenue,Pennsylvania,57000.0,2019,SingleFamily,NA
26,,3.0,6,PGH,3419,,7740,01/01/1970,NA,NA,40.455935,-79.886072,4000,,15208,Baxter Street,Pennsylvania,14800.0,2019,Triplex,1900
