,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,51164,1.0,1,PGH,825,68048,871,10/07/2019,06/20/2002,16500,40.458391,-79.904393,7437,35303,15208,McCombs Street,Pennsylvania,25600.0,2019,SingleFamily,1946
1,,1.0,4,PGH,2125,,6744,01/01/1970,08/26/2005,20000,40.462309,-79.903329,3500,,15206,Atwell Street,Pennsylvania,33600.0,2019,SingleFamily,1900
2,,3.0,5,PGH,2514,,6729,01/01/1970,NA,NA,40.458739,-79.907067,4024,,15206,Frankstown Avenue,Pennsylvania,38000.0,2019,Triplex,1910
3,,1.0,2,PGH,924,,6716,01/01/1970,NA,NA,40.462676,-79.904056,3497,,15206,Atwell Street,Pennsylvania,24800.0,2019,SingleFamily,1923
4,,NA,0,PGH,NA,,6828,01/01/1970,12/07/2018,481,40.463389,-79.90121,1860,,15206,Upland Street,Pennsylvania,500.0,2019,SingleFamily,NA
5,,1.0,5,PGH,2520,,846,01/01/1970,05/06/2005,14000,40.460115,-79.904332,3380,,15208,Inwood Street,Pennsylvania,40700.0,2019,SingleFamily,1900
6,,1.0,2,PGH,1216,,809,01/01/1970,NA,NA,40.462545,-79.902736,2080,,15206,Laxton Street,Pennsylvania,8100.0,2019,SingleFamily,1900
7,,NA,0,PGH,NA,,816,01/01/1970,NA,NA,40.458882,-79.905717,3591,,15208,Sweeney Place,Pennsylvania,1400.0,2019,SingleFamily,NA
8,,2.0,4,PGH,2174,,839,01/01/1970,07/30/2019,3000,40.45959,-79.905022,3672,,15208,Inwood Street,Pennsylvania,2600.0,2019,SingleFamily,1910
9,,2.0,4,PGH,2418,,6901,01/01/1970,10/27/2011,30000,40.457733,-79.90369,2592,,15208,Bennett Street,Pennsylvania,65500.0,2019,Duplex,1920
10,,2.0,3,PGH,1768,,6905,01/01/1970,NA,NA,40.462082,-79.901175,3496,,15208,Kedron Street,Pennsylvania,29900.0,2019,Duplex,1900
11,,1.0,3,PGH,1592,,916,01/01/1970,03/14/1974,14500,40.463357,-79.901628,3500,,15206,Laxton Street,Pennsylvania,22800.0,2019,SingleFamily,1920
12,,1.0,3,PGH,1980,,6908,01/01/1970,08/14/2009,10500,40.463944,-79.900259,3000,,15208,Chaucer Street,Pennsylvania,30000.0,2019,SingleFamily,1930
13,,1.0,3,PGH,1870,,1098,01/01/1970,05/16/2000,3000,40.459951,-79.901404,2760,,15208,Gerritt Street,Pennsylvania,3100.0,2019,SingleFamily,1915
14,,NA,0,PGH,NA,,806,01/01/1970,NA,NA,40.458765,-79.90535,756,,15208,Sweeney Place,Pennsylvania,300.0,2019,SingleFamily,NA
15,,NA,0,PGH,NA,,6738,01/01/1970,NA,NA,40.462408,-79.903597,2700,,15206,Atwell Street,Pennsylvania,600.0,2019,SingleFamily,NA
16,,2.0,2,PGH,1360,,6827,01/01/1970,11/18/1998,35000,40.463217,-79.902271,2832,,15206,Lyric Street,Pennsylvania,10600.0,2019,SingleFamily,1870
17,,1.5,3,PGH,1740,,6805,01/01/1970,NA,NA,40.455375,-79.886138,2787,,15208,Frankstown Avenue,Pennsylvania,15000.0,2019,SingleFamily,1900
18,,NA,0,PGH,NA,,6929,01/01/1970,NA,NA,40.464094,-79.899291,960,,15206,Chaucer Street,Pennsylvania,400.0,2019,SingleFamily,NA
19,,1.0,2,PGH,1057,,904,01/01/1970,NA,NA,40.463033,-79.901796,3780,,15206,Laxton Street,Pennsylvania,12700.0,2019,SingleFamily,1920
20,,1.5,2,PGH,1160,,6951,01/01/1970,NA,NA,40.45636,-79.902334,1197,,15208,Formosa Way,Pennsylvania,17400.0,2019,SingleFamily,1920
21,,3.0,6,PGH,2565,,6973,01/01/1970,09/17/1990,9400,40.46297,-79.90055,1860,,15208,Mount Vernon Street,Pennsylvania,2700.0,2019,SingleFamily,1900
22,,1.0,3,PGH,1200,,1509,01/01/1970,02/07/2005,8000,40.463526,-79.899398,1760,,15208,North Murtland Street,Pennsylvania,6500.0,2019,SingleFamily,1920
23,,1.0,2,PGH,896,,981,01/01/1970,NA,NA,40.461822,-79.906048,1299,,15206,Washington Boulevard,Pennsylvania,16200.0,2019,SingleFamily,1923
24,,4.0,8,PGH,2836,,911,01/01/1970,NA,NA,40.460253,-79.907117,4965,,15206,Washington Boulevard,Pennsylvania,43500.0,2019,Quadruplex,1929
25,,1.5,2,PGH,1967,,830,01/01/1970,05/13/1982,14500,40.459567,-79.904343,4650,,15208,Inwood Street,Pennsylvania,42000.0,2019,SingleFamily,1920
26,,1.0,4,PGH,1360,,6927,01/01/1970,09/28/2007,8000,40.462389,-79.900926,3860,,15208,Kedron Street,Pennsylvania,19700.0,2019,SingleFamily,1900
27,,2.5,6,PGH,2187,,6829,01/01/1970,02/12/1992,34500,40.457604,-79.905104,2500,,15208,Kelly Street,Pennsylvania,39300.0,2019,SingleFamily,1900
28,,1.0,1,PGH,NA,,900,01/01/1970,NA,NA,40.463484,-79.902912,NA,,15206,Lincoln Avenue,Pennsylvania,NA,NA,Apartment,NA
29,,2.0,4,PGH,2408,,6848,01/01/1970,11/14/2000,43500,40.457067,-79.904742,2685,,15208,Kelly Street,Pennsylvania,38500.0,2019,SingleFamily,1900
30,,1.0,4,PGH,1680,,854,01/01/1970,08/14/2000,15069,40.460395,-79.904278,2236,,15208,Inwood Street,Pennsylvania,23200.0,2019,SingleFamily,1900
31,,1.0,3,PGH,1768,,914,01/01/1970,07/16/2007,343000,40.463277,-79.901701,3000,,15206,Laxton Street,Pennsylvania,33600.0,2019,SingleFamily,1920
32,,NA,0,PGH,NA,,898,01/01/1970,NA,NA,40.458812,-79.904623,2236,,15208,Inwood Street,Pennsylvania,900.0,2019,SingleFamily,NA
33,,1.5,3,PGH,1620,,6924,01/01/1970,NA,NA,40.461902,-79.900541,1860,,15208,Kedron Street,Pennsylvania,21900.0,2019,SingleFamily,1900
34,,3.0,3,PGH,1884,,6808,01/01/1970,01/02/1991,2000,40.458049,-79.905809,2600,,15208,Frankstown Avenue,Pennsylvania,41200.0,2019,Triplex,1910
35,,1.0,2,PGH,2083,,6998,01/01/1970,NA,NA,40.46199,-79.901011,2240,,15208,Kedron Street,Pennsylvania,30500.0,2019,SingleFamily,1920
36,,1.0,4,PGH,1760,,814,01/01/1970,04/26/2013,1610,40.459021,-79.904566,2400,,15208,Inwood Street,Pennsylvania,600.0,2019,SingleFamily,1910
37,,1.5,1,PGH,773,,6742,01/01/1970,04/26/2013,5918,40.462329,-79.903454,3500,,15206,Atwell Street,Pennsylvania,13800.0,2019,SingleFamily,1900
38,,4.0,8,PGH,2836,,907,01/01/1970,NA,NA,40.460253,-79.907117,4965,,15206,Washington Boulevard,Pennsylvania,43500.0,2019,Quadruplex,1929
39,,2.0,6,PGH,2489,,6801,01/01/1970,10/26/2012,17275,40.457788,-79.90611,1715,,15208,Kelly Street,Pennsylvania,400.0,2019,SingleFamily,1900
40,,1.0,2,PGH,1292,,6921,01/01/1970,NA,NA,40.463139,-79.901067,2068,,15206,Belmar Street,Pennsylvania,14000.0,2019,SingleFamily,1920
41,,3.0,3,PGH,1884,,6809,01/01/1970,01/02/1991,2000,40.458049,-79.905809,2600,,15208,Frankstown Avenue,Pennsylvania,41200.0,2019,Triplex,1910
42,,4.0,8,PGH,4723,,6713,01/01/1970,05/30/1995,6000,40.46305,-79.903855,5477,,15206,Atwell Street,Pennsylvania,72100.0,2019,Quadruplex,1930
43,,1.0,3,PGH,1456,,6725,01/01/1970,NA,NA,40.462883,-79.903529,6000,,15206,Atwell Street,Pennsylvania,4100.0,2019,SingleFamily,1900
44,,2.0,0,PGH,2808,,600,01/01/1970,06/30/1987,57500,40.457273,-79.904093,2200,,15208,North Dallas Avenue,Pennsylvania,400.0,2019,SingleFamily,1930
45,,NA,0,PGH,NA,,1099,01/01/1970,NA,NA,40.460185,-79.902646,3040,,15208,Beecher Street,Pennsylvania,1200.0,2019,SingleFamily,NA
46,,1.0,3,PGH,1148,,6727,01/01/1970,04/14/1977,11500,40.462823,-79.903426,3000,,15206,Atwell Street,Pennsylvania,14800.0,2019,SingleFamily,1900
47,,3.0,6,PGH,2520,,826,01/01/1970,11/01/2005,19000,40.463392,-79.903299,644,,15206,Lincoln Avenue,Pennsylvania,34600.0,2019,Triplex,1900
48,,1.0,4,PGH,1601,,6967,01/01/1970,NA,NA,40.462782,-79.899867,1380,,15208,Mount Vernon Street,Pennsylvania,15700.0,2019,SingleFamily,1920
49,,NA,0,PGH,NA,,6739,01/01/1970,NA,NA,40.46266,-79.903144,4560,,15206,Atwell Street,Pennsylvania,3800.0,2019,SingleFamily,NA
50,,1.0,3,PGH,1538,,6850,01/01/1970,10/26/2012,26667,40.457793,-79.905923,2500,,15208,Kelly Street,Pennsylvania,3000.0,2019,SingleFamily,1900
