,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,3,PGH,1228,,177,01/01/1970,05/01/1995,15000,40.462608,-79.91385,2178,,15206,Mayflower Street,Pennsylvania,7800.0,2019,SingleFamily,1900
1,,1.5,4,PGH,2630,,551,01/01/1970,03/31/2003,5000,40.463889,-79.910299,2675,,15206,Winfield Street,Pennsylvania,3800.0,2019,SingleFamily,1905
2,71510,1.5,3,PGH,2048,104405,120,09/26/2019,NA,NA,40.465606,-79.911842,2554,42191,15206,Shetland Street,Pennsylvania,33600.0,2019,SingleFamily,1910
3,265198,1.0,2,PGH,2100,350061,6515,09/26/2019,NA,NA,40.464168,-79.93173,NA,182987,15206,Penn Avenue,Pennsylvania,NA,NA,MultiFamily2To4,NA
4,,1.5,4,PGH,2118,,26,01/01/1970,12/23/2002,27500,40.465122,-79.917251,2400,,15206,Mayflower Street,Pennsylvania,3700.0,2019,SingleFamily,1920
5,,1.0,3,PGH,1760,,151,01/01/1970,11/29/2017,1187,40.464801,-79.911733,1615,,15206,Maxwell Way,Pennsylvania,400.0,2019,SingleFamily,1921
6,48453,1.0,2,PGH,840,50876,6662,09/26/2019,04/18/2019,47500,40.458681,-79.909068,1400,46030,15206,Frankstown Avenue,Pennsylvania,9500.0,2019,SingleFamily,1905
7,,2.0,4,PGH,2088,,6505,01/01/1970,03/28/2012,43500,40.462743,-79.909838,3012,,15206,Winslow Street,Pennsylvania,65700.0,2019,Triplex,1920
8,1760297,NA,NA,PGH,NA,2323592,180,09/26/2019,NA,NA,40.45727,-79.915651,NA,1232208,15206,Bakery Square Boulevard,Pennsylvania,8103400.0,2019,Condominium,NA
9,,1.0,3,PGH,1536,,557,01/01/1970,06/21/2012,3307,40.467116,-79.913575,2067,,15206,Lenora Street,Pennsylvania,22200.0,2019,SingleFamily,1910
10,,1.0,2,PGH,1024,,603,01/01/1970,NA,NA,40.465454,-79.911145,650,,15206,Thompson Street,Pennsylvania,15500.0,2019,SingleFamily,1921
11,,NA,0,PGH,NA,,333,01/01/1970,NA,NA,40.460786,-79.912251,3011,,15206,Lincoln Avenue,Pennsylvania,4000.0,2019,SingleFamily,NA
12,,NA,0,PGH,NA,,1225,01/01/1970,03/05/1996,50000,40.466529,-79.90856,9960,,15206,Washington Boulevard,Pennsylvania,134200.0,2019,SingleFamily,NA
13,56997,1.0,3,PGH,1276,71246,6621,09/26/2019,NA,NA,40.459352,-79.909975,4032,41608,15206,Frankstown Avenue,Pennsylvania,24200.0,2019,SingleFamily,1920
14,55378,1.0,3,PGH,1272,76422,6611,09/26/2019,NA,NA,40.461315,-79.907581,1705,33781,15206,Shetland Street,Pennsylvania,27300.0,2019,SingleFamily,1901
15,,1.0,3,PGH,2305,,620,01/01/1970,NA,NA,40.461638,-79.907044,3570,,15206,Lincoln Avenue,Pennsylvania,4300.0,2019,SingleFamily,1920
16,419905,2.0,2,PGH,1883,453497,1120,09/26/2019,05/01/2018,395000,40.438418,-80.020338,1883,386313,15206,Washington Boulevard,Pennsylvania,362900.0,2019,Condominium,1983
17,54071,1.0,3,PGH,1168,74077,613,09/26/2019,08/01/2011,16900,40.464986,-79.910096,1846,34065,15206,Paulson Avenue,Pennsylvania,20000.0,2019,Townhouse,1900
18,,3.0,7,PGH,2238,,507,01/01/1970,12/23/2009,47900,40.461333,-79.909565,2380,,15206,Lincoln Avenue,Pennsylvania,47500.0,2019,SingleFamily,1900
19,50776,1.0,2,PGH,1176,73625,6613,09/26/2019,01/15/2003,21000,40.460782,-79.909278,1200,33004,15206,Meadow Street,Pennsylvania,9800.0,2019,SingleFamily,1920
20,,1.0,3,PGH,1052,,655,01/01/1970,03/31/2003,15900,40.468098,-79.911163,2400,,15206,Lenora Street,Pennsylvania,11400.0,2019,SingleFamily,1900
21,,1.0,3,PGH,1658,,6601,01/01/1970,01/29/2003,3500,40.45959,-79.910644,1235,,15206,Frankstown Avenue,Pennsylvania,3100.0,2019,SingleFamily,1910
22,,NA,0,PGH,NA,,426,01/01/1970,NA,NA,40.460276,-79.91049,9500,,15206,Lincoln Avenue,Pennsylvania,5400.0,2018,SingleFamily,NA
23,176927,2.0,4,PGH,3272,249467,117,09/26/2019,06/15/1984,40000,40.45969,-79.909847,6000,111464,15206,Finley Street,Pennsylvania,66200.0,2019,Duplex,1910
24,46968,1.0,2,PGH,672,64346,637,09/26/2019,NA,NA,40.465579,-79.909366,4880,27241,15206,Paulson Avenue,Pennsylvania,17100.0,2019,SingleFamily,1915
25,58034,1.0,1,PGH,1950,77766,650,09/26/2019,10/06/2009,9060,40.465525,-79.90853,2725,39463,15206,Paulson Avenue,Pennsylvania,29100.0,2019,SingleFamily,1920
26,63791,2.0,4,PGH,2480,93773,6546,09/26/2019,04/03/2008,17000,40.462558,-79.907515,2904,40188,15206,Ladson Street,Pennsylvania,34900.0,2019,Duplex,1910
27,53166,1.0,2,PGH,560,68584,147,09/26/2019,NA,NA,40.464346,-79.913161,2740,36685,15206,Meadow Street,Pennsylvania,14800.0,2019,SingleFamily,1930
28,195105,1.5,3,PGH,1344,212664,510,09/26/2019,07/22/2008,146000,40.553175,-80.043771,5150,179497,15206,Lincoln Avenue,Pennsylvania,136400.0,2019,SingleFamily,1973
29,,2.0,5,PGH,2272,,119,01/01/1970,04/20/1984,7000,40.465852,-79.911576,2500,,15206,Shetland Street,Pennsylvania,31400.0,2019,SingleFamily,1910
30,58508,1.0,2,PGH,1607,78401,404,09/26/2019,NA,NA,40.461774,-79.911386,2465,39785,15206,Lowell Street,Pennsylvania,24300.0,2019,SingleFamily,1890
31,,2.0,6,PGH,2312,,226,01/01/1970,05/20/1996,10000,40.46198,-79.912443,2500,,15206,Carver Street,Pennsylvania,3800.0,2019,SingleFamily,1900
32,,3.0,6,PGH,1376,,160,01/01/1970,03/01/2006,1000,40.464238,-79.912013,2061,,15206,Winslow Street,Pennsylvania,27600.0,2019,Triplex,1900
33,,1.5,3,PGH,1400,,535,01/01/1970,11/24/1998,500,40.466877,-79.91414,2140,,15206,Lenora Street,Pennsylvania,10000.0,2019,SingleFamily,1910
