,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,121521,1.0,3,PGH,1202,132458,5143,10/03/2019,06/29/2003,65000,40.374101,-79.917746,5000,108154,15207,Glenhurst Road,Pennsylvania,75500.0,2019,SingleFamily,1950
1,129025,1.0,3,PGH,1060,140637,918,10/03/2019,12/12/2005,69000,40.365607,-79.920038,6000,117413,15207,Stock Street,Pennsylvania,94000.0,2019,SingleFamily,1965
2,121465,1.0,3,West Mifflin,950,134826,4996,10/03/2019,01/17/1978,37000,40.371552,-79.90566,10533,102031,15122,Aspen Street,Pennsylvania,81100.0,2019,SingleFamily,1960
3,115588,1.0,3,Munhall,1080,131770,913,10/03/2019,08/17/2001,56900,40.379972,-79.915207,5500,97094,15120,Lindberg Avenue,Pennsylvania,68300.0,2019,SingleFamily,1949
4,110506,1.0,2,West Mifflin,875,127082,902,10/03/2019,05/14/2015,79000,40.368799,-79.922146,8017,92825,15207,Elwell Street,Pennsylvania,70100.0,2019,SingleFamily,1952
5,108670,1.0,3,PGH,1185,129317,1925,10/03/2019,11/15/1999,57950,40.365628,-79.917869,8987,84763,15207,McElhinny Avenue,Pennsylvania,65500.0,2019,SingleFamily,1942
6,133272,1.5,3,West Mifflin,1296,145266,949,10/03/2019,08/29/1995,29000,40.370199,-79.921041,7208,121278,15207,Mifflinridge Road,Pennsylvania,97300.0,2019,SingleFamily,1950
7,131867,1.5,3,PGH,950,142416,826,10/03/2019,10/02/2018,128000,40.388006,-79.876062,6952,122636,15207,Mifflin Road,Pennsylvania,75200.0,2019,SingleFamily,1950
8,72013,1.0,3,West Mifflin,1008,77774,1014,10/03/2019,08/22/2018,70000,40.368397,-79.920239,5998,66252,15207,Muldowney Avenue,Pennsylvania,38700.0,2019,SingleFamily,1921
9,127843,1.0,3,PGH,1168,141906,5605,10/03/2019,12/02/2011,55000,40.367652,-79.907069,6750,109945,15207,Century Avenue,Pennsylvania,93600.0,2019,SingleFamily,1963
10,,2.0,2,West Mifflin,1188,,5631,01/01/1970,10/03/2003,25000,40.367334,-79.912068,3000,,15207,Rodgers Street,Pennsylvania,3600.0,2019,SingleFamily,2004
11,182449,3.0,5,PGH,2535,220763,4854,10/03/2019,05/03/1993,102000,40.376722,-79.91167,7740,149608,15207,Lougean Avenue,Pennsylvania,115000.0,2019,SingleFamily,1957
12,75936,1.0,2,PGH,875,91883,4835,10/03/2019,NA,NA,40.375634,-79.912972,8400,61508,15207,Kinley Avenue,Pennsylvania,58000.0,2019,SingleFamily,1950
13,73155,1.0,2,PGH,1100,91444,1628,10/03/2019,02/08/2006,61000,40.369873,-79.90985,6800,47551,15207,McBride Street,Pennsylvania,61000.0,2019,SingleFamily,1930
14,69203,1.0,2,PGH,1184,86504,1204,10/03/2019,12/04/2002,39900,40.366097,-79.915843,5135,45674,15207,Stock Street,Pennsylvania,59500.0,2019,SingleFamily,1901
15,84953,1.0,2,PGH,1258,102793,1361,10/03/2019,07/26/2004,71000,40.371411,-79.910285,7200,69661,15207,Leaside Drive,Pennsylvania,64300.0,2019,SingleFamily,1918
16,119168,1.5,3,PGH,1644,134660,1243,10/03/2019,09/18/2008,45000,40.372966,-79.913167,6050,91759,15207,Leaside Drive,Pennsylvania,77900.0,2019,SingleFamily,1930
17,63144,1.0,1,PGH,800,74510,5519,10/03/2019,03/19/1992,12500,40.367884,-79.920638,4500,43569,15207,Dellaglen Avenue,Pennsylvania,50200.0,2019,SingleFamily,1928
18,74461,1.0,2,West Mifflin,1122,84886,5898,10/03/2019,09/30/2011,24900,40.36527,-79.911265,13908,55846,15207,Rodgers Street,Pennsylvania,56100.0,2019,SingleFamily,1925
19,67971,1.0,2,West Mifflin,1040,81565,5649,10/03/2019,01/08/2013,25000,40.366275,-79.912002,2550,46220,15207,Rodgers Street,Pennsylvania,49400.0,2019,SingleFamily,1942
20,151633,1.5,3,PGH,1428,165280,1778,10/03/2019,05/30/1997,92900,40.363312,-79.904774,8250,134953,15207,Nollhill Street,Pennsylvania,108700.0,2019,SingleFamily,1976
21,,1.0,2,PGH,684,,5364,01/01/1970,06/23/2017,163000,40.34076,-79.981533,10634,,15207,V Way,Pennsylvania,136200.0,2019,MultiFamily5Plus,1950
22,110440,2.0,2,PGH,1000,125902,1110,10/03/2019,NA,NA,40.372789,-79.91891,29620,91665,15207,Mifflin Road,Pennsylvania,69000.0,2019,SingleFamily,1960
23,119213,1.5,3,PGH,1310,133519,930,10/03/2019,07/27/2006,119900,40.380051,-79.913499,8138,103715,15120,Sunglow Street,Pennsylvania,72600.0,2019,SingleFamily,1941
