,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,0,PGH,NA,,1341,01/01/1970,NA,NA,40.457773,-80.029021,1180,,15233,Warner Street,Pennsylvania,1900.0,2019,SingleFamily,NA
1,,1.0,2,PGH,1156,,1001,01/01/1970,09/04/2001,14000,40.451377,-80.02562,967,,15233,Manhattan Street,Pennsylvania,65500.0,2019,SingleFamily,1900
2,,1.0,2,PGH,1200,,1442,01/01/1970,NA,NA,40.45305,-80.027432,2976,,15233,Sheffield Street,Pennsylvania,185900.0,2019,Apartment,1887
3,207931,3.0,5,PGH,2248,255755,1329,09/26/2019,08/14/2000,35000,40.452152,-80.025199,2640,166345,15233,West North Avenue,Pennsylvania,110000.0,2019,Triplex,1890
4,,1.0,3,PGH,1690,,1498,01/01/1970,11/12/2015,175000,40.455993,-80.027368,4464,,15233,North Franklin Street,Pennsylvania,35200.0,2019,SingleFamily,1910
5,,1.0,4,PGH,2805,,1320,01/01/1970,11/13/1990,9500,40.460289,-80.024957,1872,,15212,California Avenue,Pennsylvania,11000.0,2019,SingleFamily,1900
6,,NA,0,PGH,NA,,1407,01/01/1970,NA,NA,40.45339,-80.02649,1344,,15233,Stedman Street,Pennsylvania,600.0,2019,SingleFamily,NA
7,303030,2.0,6,PGH,2552,339394,1383,09/26/2019,NA,NA,40.560533,-80.007008,33850,263636,15233,North Franklin Street,Pennsylvania,211400.0,2019,Duplex,1966
8,190000,1.0,1,PGH,3051,237500,1306,09/26/2019,01/08/1982,110000,40.455437,-80.025507,3171,153900,15233,Liverpool Street,Pennsylvania,95000.0,2019,MultiFamily2To4,1915
9,,NA,0,PGH,NA,,1498,01/01/1970,01/18/2012,6435,40.451805,-80.026005,1220,,15233,Faulsey Way,Pennsylvania,4900.0,2019,SingleFamily,NA
10,58654,1.0,3,PGH,1570,83875,1491,09/26/2019,NA,NA,40.458302,-80.028496,1806,41644,15233,Adams Street,Pennsylvania,22700.0,2019,SingleFamily,1897
11,178849,3.0,3,PGH,1560,193157,1210,09/26/2019,07/14/2006,47500,40.453906,-80.023156,1492,162753,15233,Sheffield Street,Pennsylvania,136300.0,2019,Townhouse,1983
12,,2.0,6,PGH,1472,,1415,01/01/1970,NA,NA,40.457336,-80.028114,3120,,15233,Columbus Avenue,Pennsylvania,13400.0,2019,Duplex,1882
13,,1.0,2,PGH,1440,,1434,01/01/1970,NA,NA,40.458488,-80.029162,2793,,15233,Adams Street,Pennsylvania,12500.0,2019,SingleFamily,1880
14,73831,1.0,3,PGH,1080,90812,1441,09/26/2019,04/11/2008,28000,40.455796,-80.02854,2288,59803,15233,North Franklin Street,Pennsylvania,48000.0,2019,SingleFamily,1970
15,136377,1.0,3,PGH,1717,196383,1406,09/26/2019,11/16/1979,1500,40.455076,-80.026945,1076,85918,15233,Liverpool Street,Pennsylvania,55100.0,2019,SingleFamily,1910
16,,1.0,2,PGH,1152,,1472,01/01/1970,04/18/1991,1500,40.458657,-80.028443,1056,,15233,Adams Street,Pennsylvania,400.0,2019,SingleFamily,1877
17,,1.0,3,PGH,1750,,1403,01/01/1970,11/28/2005,3300,40.457333,-80.027622,1320,,15233,Lake Street,Pennsylvania,500.0,2019,SingleFamily,1900
18,172362,1.0,3,PGH,1962,244754,1242,09/26/2019,12/13/2002,58000,40.455498,-80.02449,3681,136166,15233,Liverpool Street,Pennsylvania,96300.0,2019,SingleFamily,1900
19,,NA,0,PGH,NA,,1443,01/01/1970,NA,NA,40.453225,-80.027514,725,,15233,Stedman Street,Pennsylvania,400.0,2019,SingleFamily,NA
20,128687,1.0,3,PGH,3672,169867,1122,09/26/2019,12/13/2012,248620,40.455378,-80.022282,2784,68204,15233,Warlo Street,Pennsylvania,45300.0,2019,Triplex,1900
21,111843,1.5,2,PGH,1898,149870,1494,09/26/2019,NA,NA,40.453163,-80.026338,1628,63751,15233,Sheffield Street,Pennsylvania,71100.0,2019,SingleFamily,1887
22,,1.5,0,PGH,1612,,1378,01/01/1970,NA,NA,40.457692,-80.026592,1925,,15233,Lake Street,Pennsylvania,700.0,2019,SingleFamily,1915
23,,1.0,3,PGH,1343,,1102,01/01/1970,10/07/1982,1200,40.455509,-80.021658,1560,,15233,Warlo Street,Pennsylvania,6200.0,2019,SingleFamily,1876
24,64763,2.0,4,PGH,2689,105564,1244,09/26/2019,NA,NA,40.455961,-80.027948,2855,40153,15233,North Franklin Street,Pennsylvania,33800.0,2019,SingleFamily,1910
25,113648,1.0,3,PGH,1394,119330,1016,09/26/2019,02/22/2019,110000,40.455302,-80.02094,931162,107966,15233,Pennsylvania Avenue,Pennsylvania,125800.0,2019,SingleFamily,1983
26,,NA,0,PGH,NA,,1511,01/01/1970,NA,NA,40.455317,-80.026927,1430,,15233,Manhattan Street,Pennsylvania,500.0,2019,SingleFamily,NA
27,37984,1.0,2,PGH,1462,62674,1310,09/26/2019,NA,NA,40.455751,-80.025676,1200,24690,15233,Decatur Street,Pennsylvania,23900.0,2019,SingleFamily,1910
28,,2.0,4,PGH,2809,,1520,01/01/1970,02/18/1987,17000,40.45506,-80.028322,3149,,15233,Chateau Street,Pennsylvania,32600.0,2019,SingleFamily,1890
29,,2.0,4,PGH,1920,,1601,01/01/1970,12/02/2011,43000,40.455754,-80.022967,2016,,15233,Sedgwick Street,Pennsylvania,43000.0,2019,Duplex,1900
30,233752,3.5,4,PGH,2600,299203,1200,09/26/2019,07/28/2014,99000,40.453975,-80.022781,4722,182327,15233,Sheffield Street,Pennsylvania,120000.0,2019,MultiFamily2To4,1984
31,108370,1.0,2,PGH,1302,131128,1337,09/26/2019,NA,NA,40.452879,-80.025802,5456,80194,15233,Sheffield Street,Pennsylvania,82000.0,2019,SingleFamily,1877
32,,2.0,5,PGH,3100,,1146,01/01/1970,07/03/2003,80000,40.455951,-80.027618,1643,,15233,North Franklin Street,Pennsylvania,47700.0,2019,SingleFamily,1910
33,,1.5,3,PGH,876,,1448,01/01/1970,02/19/1974,2500,40.458493,-80.029322,1407,,15233,Adams Street,Pennsylvania,20000.0,2019,SingleFamily,1880
34,192654,2.0,4,PGH,2632,209993,1426,09/26/2019,01/16/2018,176000,40.457689,-80.028556,1453,177242,15233,Columbus Avenue,Pennsylvania,76400.0,2019,Duplex,1890
35,95381,1.0,2,PGH,1090,117319,1115,09/26/2019,03/25/2016,123900,40.455495,-80.022186,3120,68674,15233,Liverpool Street,Pennsylvania,59300.0,2019,SingleFamily,1901
36,319434,2.5,4,PGH,2041,341794,1163,09/26/2019,06/23/2009,260000,40.55645,-80.013532,11848,297074,15233,North Franklin Street,Pennsylvania,226400.0,2019,SingleFamily,1988
37,113886,1.0,3,PGH,1134,119580,1446,09/26/2019,NA,NA,40.455765,-80.02869,1738,105914,15233,North Franklin Street,Pennsylvania,45100.0,2019,Townhouse,1970
38,,1.0,3,PGH,1839,,1121,01/01/1970,NA,NA,40.453758,-80.02474,1490,,15233,Fulton Street,Pennsylvania,26000.0,2019,SingleFamily,1900
39,433793,NA,0,PGH,3738,537903,1336,09/26/2019,06/22/2018,215000,40.454308,-80.026293,3249,321007,15233,Pennsylvania Avenue,Pennsylvania,183300.0,2019,SingleFamily,1891
40,,NA,0,PGH,NA,,1406,01/01/1970,NA,NA,40.45272,-80.02617,992,,15233,Hamlin Street,Pennsylvania,400.0,2019,SingleFamily,NA
41,,1.0,3,PGH,1178,,1476,01/01/1970,01/12/2005,35000,40.458716,-80.028588,2451,,15233,Adams Street,Pennsylvania,24600.0,2019,SingleFamily,1890
42,,1.0,4,PGH,2416,,1316,01/01/1970,07/19/2005,60000,40.461078,-80.026896,2140,,15212,California Avenue,Pennsylvania,11400.0,2019,SingleFamily,1887
43,233752,3.5,4,PGH,2600,299203,1201,09/26/2019,07/28/2014,99000,40.453975,-80.022781,4722,182327,15233,Sheffield Street,Pennsylvania,120000.0,2019,MultiFamily2To4,1984
44,,1.0,3,PGH,1164,,1024,01/01/1970,12/27/2012,5967,40.456716,-80.023345,975,,15233,North Franklin Street,Pennsylvania,400.0,2019,SingleFamily,1915
45,161797,2.0,3,PGH,1460,179595,1219,09/26/2019,07/20/2017,145000,40.457187,-80.024016,2008,145617,15233,Juniata Street,Pennsylvania,35000.0,2019,SingleFamily,1900
46,,1.5,3,PGH,1708,,1262,01/01/1970,08/01/2006,39000,40.455943,-80.024662,1560,,15233,Decatur Street,Pennsylvania,49400.0,2019,SingleFamily,1910
47,,1.0,3,PGH,2936,,1135,01/01/1970,03/23/2007,500,40.45513,-80.024187,1917,,15233,Liverpool Street,Pennsylvania,3300.0,2019,SingleFamily,1900
48,370240,3.5,4,PGH,2303,418371,1211,09/26/2019,05/05/2015,320113,40.458081,-80.024076,5361,333216,15233,Columbus Avenue,Pennsylvania,245300.0,2019,SingleFamily,2015
49,157208,1.5,3,PGH,1530,180789,1617,09/26/2019,NA,NA,40.457231,-80.022197,14650,135199,15233,Allegheny Avenue,Pennsylvania,100300.0,2019,SingleFamily,1980
50,,NA,0,PGH,NA,,1808,01/01/1970,NA,NA,40.458624,-80.029637,1540,,15233,Chateau Street,Pennsylvania,2500.0,2019,SingleFamily,NA
51,,NA,0,PGH,NA,,1204,01/01/1970,NA,NA,40.455263,-80.023025,1632,,15233,Warlo Street,Pennsylvania,700.0,2019,SingleFamily,NA
