,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.5,3,PGH,1240,,2301,01/01/1970,08/19/1998,45000,40.464181,-80.028656,1576,,15212,Sorrell Street,Pennsylvania,36100.0,2019,SingleFamily,1910
1,,1.0,3,PGH,2120,,2622,01/01/1970,05/04/1977,24000,40.467597,-80.030831,2175,,15212,Bartold Street,Pennsylvania,66100.0,2019,SingleFamily,1920
2,,1.0,3,PGH,1040,,3160,01/01/1970,02/12/1999,25600,40.473245,-80.037125,2492,,15212,Mount Hope Road,Pennsylvania,29600.0,2019,SingleFamily,1900
3,67363,1.0,2,PGH,816,85551,3129,10/08/2019,11/18/2004,16500,40.474129,-80.031358,2700,47828,15212,Shadeland Avenue,Pennsylvania,51900.0,2019,SingleFamily,1956
4,77076,1.0,3,PGH,1040,107906,1223,10/08/2019,08/22/2006,32500,40.469905,-80.028455,2500,52412,15212,Dickson Street,Pennsylvania,50600.0,2019,SingleFamily,1952
5,,1.0,2,PGH,684,,2827,01/01/1970,NA,NA,40.469337,-80.034891,6810,,15212,Pitler Street,Pennsylvania,22100.0,2019,Mobile,1969
6,182851,2.0,4,PGH,1800,206622,1308,10/08/2019,06/29/2015,149000,40.466413,-80.029712,3500,164566,15212,Ingham Street,Pennsylvania,112700.0,2019,SingleFamily,1931
7,52659,1.0,2,PGH,1448,82148,1422,10/08/2019,08/13/1999,10000,40.471623,-80.033246,3400,38441,15212,Eckert Street,Pennsylvania,49200.0,2019,SingleFamily,1900
8,,1.0,2,PGH,1229,,2499,01/01/1970,02/27/1998,44000,40.464415,-80.028731,3469,,15212,Sorrell Street,Pennsylvania,24900.0,2019,SingleFamily,1920
9,,1.5,1,PGH,745,,3182,01/01/1970,NA,NA,40.472659,-80.037093,3500,,15212,Mount Hope Road,Pennsylvania,30000.0,2019,SingleFamily,1918
10,108644,1.0,3,PGH,1856,140151,1179,10/08/2019,02/05/2019,42000,40.467449,-80.02597,3125,76051,15212,Hodgkiss Street,Pennsylvania,71700.0,2019,SingleFamily,1918
11,61858,1.0,3,PGH,936,73611,1398,10/08/2019,04/23/2008,35500,40.474775,-80.033283,2661,39589,15212,Malden Street,Pennsylvania,36700.0,2019,SingleFamily,1930
12,,1.0,3,PGH,1272,,3022,01/01/1970,02/16/1995,33500,40.472331,-80.030249,2875,,15212,Frederick Street,Pennsylvania,20100.0,2019,SingleFamily,1910
13,69555,1.0,3,PGH,1282,86944,1424,10/08/2019,09/28/1999,68000,40.469455,-80.032864,2520,45906,15212,Dickson Street,Pennsylvania,48600.0,2019,SingleFamily,1927
14,,1.0,3,PGH,3078,,1220,01/01/1970,09/29/1997,24651,40.467705,-80.027595,11485,,15212,Hodgkiss Street,Pennsylvania,20600.0,2019,SingleFamily,1911
15,111918,1.0,3,PGH,1512,149970,1407,10/08/2019,12/29/2006,76000,40.466434,-80.030861,4067,76104,15212,Hodgkiss Street,Pennsylvania,68200.0,2019,SingleFamily,1910
16,,1.5,3,PGH,2356,,836,01/01/1970,08/12/1999,40000,40.476287,-80.022981,4775,,15212,Grand Avenue,Pennsylvania,63100.0,2019,SingleFamily,1910
17,57057,1.0,2,PGH,1050,73033,1309,10/08/2019,01/03/2011,21000,40.465868,-80.029395,2156,42222,15212,Gifford Street,Pennsylvania,38800.0,2019,SingleFamily,1970
18,56372,1.0,3,PGH,1250,77793,2900,10/08/2019,12/31/2007,27000,40.47065,-80.032297,2450,34951,15212,Mullins Street,Pennsylvania,41000.0,2019,SingleFamily,1925
19,45070,1.0,4,PGH,1562,63999,992,10/08/2019,03/02/2011,5500,40.475367,-80.023574,4933,25239,15212,Smithton Avenue,Pennsylvania,13000.0,2019,SingleFamily,1881
20,,1.5,2,PGH,1452,,1400,01/01/1970,NA,NA,40.464444,-80.030139,1264,,15212,Halsey Place,Pennsylvania,21500.0,2019,SingleFamily,1920
21,,1.5,2,PGH,994,,3399,01/01/1970,06/27/1979,21900,40.476675,-80.028658,6285,,15212,Shelby Street,Pennsylvania,45100.0,2019,SingleFamily,1930
22,,1.0,2,PGH,1088,,198,01/01/1970,10/21/1982,7000,40.466838,-80.033232,1008,,15212,Ireland Way,Pennsylvania,400.0,2019,SingleFamily,1906
23,130817,2.0,3,PGH,1546,154364,1205,10/08/2019,04/25/2005,78000,40.466665,-80.028335,3750,99421,15212,Ingham Street,Pennsylvania,85000.0,2019,SingleFamily,1925
24,70131,1.0,3,PGH,1406,94677,3311,10/08/2019,11/01/2004,69000,40.476919,-80.028668,2400,51897,15212,Shelby Street,Pennsylvania,54000.0,2019,SingleFamily,1920
25,,1.0,3,PGH,612,,2600,01/01/1970,08/24/1989,3004,40.467731,-80.033676,1850,,15212,Toberg Street,Pennsylvania,700.0,2019,SingleFamily,1900
26,71893,1.0,3,PGH,1144,118623,1137,10/08/2019,12/13/2016,43000,40.464915,-80.025637,4320,43855,15212,Ridgeland Drive,Pennsylvania,38000.0,2019,SingleFamily,1940
27,,1.0,2,PGH,479,,2707,01/01/1970,12/26/1997,9500,40.470104,-80.025912,1992,,15290,Brighton Road,Pennsylvania,29500.0,2019,SingleFamily,1886
28,151459,1.5,4,PGH,2080,174178,1257,10/08/2019,12/12/2005,114000,40.466176,-80.028444,6365,130255,15212,Ingham Street,Pennsylvania,93500.0,2019,SingleFamily,1925
29,,2.0,3,PGH,1734,,3237,01/01/1970,07/18/2005,62000,40.47569,-80.029015,2500,,15212,Central Avenue,Pennsylvania,56700.0,2019,SingleFamily,1906
