,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,232052,1.5,3,PGH,1499,257578,1246,10/07/2019,NA,NA,40.480565,-79.92908,2800,201885,15206,Jancey Street,Pennsylvania,117200.0,2019,SingleFamily,1929
1,245093,1.0,4,PGH,1800,274504,1644,10/07/2019,NA,NA,40.483565,-79.926924,6293,225486,15206,Chislett Street,Pennsylvania,125300.0,2019,SingleFamily,1949
2,449609,2.0,4,PGH,4118,521546,1200,10/07/2019,02/27/1998,30000,40.479683,-79.928027,92582,364183,15206,Chislett Street,Pennsylvania,228700.0,2019,SingleFamily,1908
3,131630,1.0,2,PGH,1064,151374,1811,10/07/2019,11/17/1988,25000,40.485818,-79.925663,2200,103988,15206,Chislett Street,Pennsylvania,65600.0,2019,SingleFamily,1925
4,,2.0,3,PGH,2525,,1724,01/01/1970,NA,NA,40.484708,-79.92631,3000,,15206,Chislett Street,Pennsylvania,110100.0,2019,Duplex,1900
5,,NA,0,PGH,NA,,1820,01/01/1970,NA,NA,40.486803,-79.926394,1188,,15206,Morningside Avenue,Pennsylvania,2200.0,2019,SingleFamily,NA
6,242856,2.0,4,PGH,1810,254999,6918,10/07/2019,NA,NA,40.484795,-79.925434,2975,230713,15206,Greenwood Street,Pennsylvania,100600.0,2019,SingleFamily,1935
7,216315,2.0,3,PGH,1256,237946,1435,10/07/2019,04/04/2002,72000,40.482348,-79.930098,2700,186031,15206,Morningside Avenue,Pennsylvania,103500.0,2019,SingleFamily,1926
8,152273,1.0,3,PGH,1560,187296,1845,10/07/2019,05/24/1985,32900,40.486992,-79.925689,1800,109637,15206,Jancey Street,Pennsylvania,52500.0,2019,SingleFamily,1910
9,225582,1.0,3,PGH,1338,252652,6910,10/07/2019,02/24/2017,200000,40.486595,-79.923619,3005,200768,15206,Manistee Street,Pennsylvania,89400.0,2019,SingleFamily,1930
10,144735,1.0,2,PGH,840,169340,7315,10/07/2019,NA,NA,40.487082,-79.921434,4800,120130,15206,Java Way,Pennsylvania,88300.0,2019,SingleFamily,1960
11,214930,1.0,3,PGH,1150,232124,1412,10/07/2019,05/25/1976,38000,40.481246,-79.927798,5500,184840,15206,Chislett Street,Pennsylvania,107300.0,2019,SingleFamily,1948
12,218072,2.0,3,PGH,1218,235518,1240,10/07/2019,NA,NA,40.480824,-79.931027,3100,187542,15206,Duffield Street,Pennsylvania,115700.0,2019,SingleFamily,1920
13,,NA,0,PGH,NA,,6808,01/01/1970,NA,NA,40.4892,-79.92697,5000,,15206,Butler Street,Pennsylvania,35000.0,2019,SingleFamily,NA
14,,NA,0,PGH,NA,,6311,01/01/1970,NA,NA,40.489129,-79.935744,NA,,15206,Butler Street,Pennsylvania,NA,NA,SingleFamily,NA
15,229692,2.0,4,PGH,2236,268740,845,10/07/2019,11/29/1995,50000,40.474294,-79.929664,4000,188347,15206,Highview Street,Pennsylvania,73700.0,2019,Duplex,1920
16,342389,NA,0,PGH,2110,359508,901,10/07/2019,NA,NA,40.474654,-79.929545,4900,325270,15206,Highview Street,Pennsylvania,116800.0,2019,MultiFamily2To4,1910
17,287222,3.0,4,PGH,2113,321689,1618,10/07/2019,07/24/2008,182750,40.483187,-79.929235,3500,249883,15206,Morningside Avenue,Pennsylvania,152200.0,2019,SingleFamily,1927
18,123997,1.0,3,PGH,1284,153756,7213,10/07/2019,06/01/2004,24900,40.488189,-79.92292,1920,88038,15206,Ballard Way,Pennsylvania,54000.0,2019,SingleFamily,1910
19,124618,1.0,2,PGH,1080,147049,7124,10/07/2019,NA,NA,40.48766,-79.923683,3150,95956,15206,Baker Street,Pennsylvania,70000.0,2019,SingleFamily,1935
20,349565,2.0,4,PGH,2064,381026,5418,10/07/2019,05/11/2018,335000,40.476603,-79.928726,2178,321600,15206,Hampton Street,Pennsylvania,160400.0,2019,SingleFamily,1925
21,,1.0,2,PGH,1122,,6720,01/01/1970,NA,NA,40.489339,-79.927809,2000,,15206,Butler Street,Pennsylvania,49500.0,2019,SingleFamily,1910
22,230247,1.5,4,PGH,1872,262482,6928,10/07/2019,10/03/1978,35000,40.486241,-79.923129,3200,198012,15206,Manistee Street,Pennsylvania,95000.0,2019,SingleFamily,1930
23,185413,1.0,2,PGH,1160,200246,1836,10/07/2019,07/31/2018,180000,40.485271,-79.923465,3336,170580,15206,Antietam Street,Pennsylvania,81800.0,2019,SingleFamily,1930
24,214565,1.0,3,PGH,1216,242458,1828,10/07/2019,NA,NA,40.485004,-79.923615,2640,182380,15206,Antietam Street,Pennsylvania,81000.0,2019,SingleFamily,1930
25,205280,2.0,4,PGH,1740,236072,1832,10/07/2019,10/14/1998,49900,40.486839,-79.925166,2000,176541,15206,Jancey Street,Pennsylvania,97100.0,2019,SingleFamily,1920
