,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,198404,1.0,2,Dormont,1120,230149,1725,10/03/2019,07/19/2016,215000,40.396593,-80.047428,9763,174596,15216,Helen Drive,Pennsylvania,144900.0,2019,MultiFamily2To4,1951
1,279881,2.0,3,Castle Shannon,1891,305070,292,10/03/2019,11/30/2012,234900,40.380248,-80.030964,5414,249094,15228,Sleepy Hollow Road,Pennsylvania,209900.0,2019,SingleFamily,1941
2,368116,1.5,4,Castle Shannon,1920,397565,229,10/03/2019,07/01/1997,275000,40.364543,-80.041097,9429,327623,15234,Hoodridge Drive,Pennsylvania,232400.0,2019,SingleFamily,1936
3,234523,1.5,3,Castle Shannon,1480,257975,545,10/03/2019,NA,NA,40.376092,-80.022553,9732,215761,15228,Sleepy Hollow Road,Pennsylvania,158100.0,2019,SingleFamily,1960
4,231290,2.0,4,Castle Shannon,2204,247480,517,10/03/2019,12/26/2018,225000,40.376972,-80.023975,4843,215100,15228,Sleepy Hollow Road,Pennsylvania,178400.0,2019,SingleFamily,1953
5,210690,1.5,3,Dormont,1639,242293,800,10/03/2019,NA,NA,40.383045,-80.03549,1997,179087,15216,Parkside Avenue,Pennsylvania,136600.0,2019,SingleFamily,1935
6,99159,1.0,2,Dormont,968,119982,1107,10/03/2019,10/19/2000,30000,40.390113,-80.032911,2612,79327,15216,Wisconsin Avenue,Pennsylvania,56600.0,2019,SingleFamily,1940
7,122192,1.0,2,Dormont,935,136855,246,10/03/2019,12/23/1996,72300,40.390455,-80.046453,4400,95310,15216,Dell Avenue,Pennsylvania,96500.0,2019,SingleFamily,1924
8,772683,6.0,5,Castle Shannon,3796,865405,67,10/03/2019,07/19/2013,615000,40.362768,-80.042734,15478,672234,15228,Hoodridge Drive,Pennsylvania,492000.0,2019,SingleFamily,1930
9,253228,2.0,3,Dormont,1464,276019,226,10/03/2019,04/21/1977,33000,40.390771,-80.045856,4400,227905,15216,Dell Avenue,Pennsylvania,167300.0,2019,SingleFamily,1926
