,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,3,PGH,837,,429,01/01/1970,NA,NA,40.413692,-79.980407,2375,,15210,Saint Joseph Street,Pennsylvania,17600.0,2019,SingleFamily,1924
1,44873,1.0,3,PGH,761,61925,431,10/03/2019,11/22/1994,42000,40.413701,-79.980277,5000,31411,15210,Saint Joseph Street,Pennsylvania,30900.0,2019,SingleFamily,1950
2,,1.0,3,Mount Oliver,1848,,473,01/01/1970,10/30/2014,40000,40.413032,-79.980002,5657,,15210,Ormsby Avenue,Pennsylvania,36600.0,2019,SingleFamily,1927
3,,1.5,3,PGH,1080,,452,01/01/1970,NA,NA,40.411437,-79.980243,3750,,15210,Fisher Street,Pennsylvania,37800.0,2019,SingleFamily,1950
4,,2.0,4,Mount Oliver,1362,,421,01/01/1970,09/12/1994,39500,40.413006,-79.980736,3880,,15210,Ormsby Avenue,Pennsylvania,23800.0,2019,SingleFamily,1900
5,,1.0,3,PGH,1562,,425,01/01/1970,NA,NA,40.413688,-79.980581,2011,,15210,Saint Joseph Street,Pennsylvania,28400.0,2019,SingleFamily,1915
6,,1.0,3,PGH,1320,,474,01/01/1970,07/31/2015,30000,40.4133,-79.981167,2704,,15210,Saint Joseph Street,Pennsylvania,28900.0,2019,SingleFamily,1927
7,42591,1.5,3,PGH,1285,60479,446,10/03/2019,03/29/1999,14000,40.413337,-79.979658,4290,31091,15210,Saint Joseph Street,Pennsylvania,28000.0,2019,SingleFamily,1930
8,20107,1.0,3,Mount Oliver,1079,35790,410,10/03/2019,05/01/1995,9000,40.410709,-79.980564,2500,13070,15210,Walde Street,Pennsylvania,19700.0,2019,SingleFamily,1901
9,,1.0,0,Mount Oliver,2112,,490,01/01/1970,12/02/2011,25000,40.412624,-79.981619,2400,,15210,Ormsby Avenue,Pennsylvania,32500.0,2019,MultiFamily5Plus,1900
10,,1.0,2,Mount Oliver,1232,,414,01/01/1970,04/15/2010,26106,40.413937,-79.981114,3000,,15210,Parkwood Road,Pennsylvania,23400.0,2019,SingleFamily,1930
11,76286,NA,0,Mount Oliver,3280,106800,453,10/03/2019,07/16/2013,20000,40.412605,-79.979286,6001,54163,15210,Ormsby Avenue,Pennsylvania,52000.0,2019,MultiFamily2To4,1880
12,42591,1.5,3,PGH,1285,60479,456,10/03/2019,03/29/1999,14000,40.413337,-79.979658,4290,31091,15210,Saint Joseph Street,Pennsylvania,28000.0,2019,SingleFamily,1930
13,,1.0,3,Mount Oliver,1356,,475,01/01/1970,NA,NA,40.412942,-79.981004,3958,,15210,Ormsby Avenue,Pennsylvania,29800.0,2019,SingleFamily,1910
14,,1.0,3,PGH,891,,129,01/01/1970,11/20/1980,18900,40.41208,-79.978243,10700,,15210,Burr Street,Pennsylvania,29600.0,2019,SingleFamily,1890
15,,1.0,3,Mount Oliver,2052,,419,01/01/1970,11/30/1998,33000,40.41292,-79.980859,3855,,15210,Ormsby Avenue,Pennsylvania,22000.0,2019,SingleFamily,1910
16,16453,1.0,2,Mount Oliver,992,17276,411,10/03/2019,08/14/2019,16500,40.410077,-79.980598,2350,15630,15210,Mc Manus Street,Pennsylvania,26600.0,2019,SingleFamily,1945
17,,1.0,4,Mount Oliver,1936,,455,01/01/1970,12/19/2000,23000,40.413046,-79.979679,4356,,15210,Ormsby Avenue,Pennsylvania,37500.0,2019,SingleFamily,1910
18,19484,1.0,2,Mount Oliver,1152,36630,401,10/03/2019,12/13/2011,13000,40.410072,-79.980734,4700,11690,15210,Mc Manus Street,Pennsylvania,20900.0,2019,SingleFamily,1900
19,,1.0,4,PGH,1692,,410,01/01/1970,NA,NA,40.411737,-79.977021,2959,,15210,Mountain Avenue,Pennsylvania,19000.0,2019,SingleFamily,1910
20,,2.0,3,PGH,2160,,527,01/01/1970,08/09/2017,37500,40.413688,-79.980536,2500,,15210,Saint Joseph Street,Pennsylvania,33800.0,2019,Duplex,1920
21,,2.0,2,Mount Oliver,1120,,434,01/01/1970,09/14/1978,12000,40.410376,-79.979627,5261,,15210,Walde Street,Pennsylvania,27500.0,2019,SingleFamily,1930
22,,1.0,2,PGH,1000,,427,01/01/1970,08/19/1999,11500,40.413688,-79.980536,1100,,15210,Saint Joseph Street,Pennsylvania,400.0,2019,Apartment,1920
23,58312,1.0,3,PGH,2639,71141,443,10/03/2019,09/20/1990,36000,40.411446,-79.979994,5000,37320,15210,Fisher Street,Pennsylvania,49800.0,2019,SingleFamily,1920
24,,1.0,2,Mount Oliver,765,,459,01/01/1970,12/11/2002,20577,40.413048,-79.979424,2747,,15210,Ormsby Avenue,Pennsylvania,24300.0,2019,SingleFamily,1920
25,,NA,NA,PGH,NA,,774,01/01/1970,NA,NA,40.416528,-79.978255,499198,,15210,Mountain Avenue,Pennsylvania,24993.0,2018,SingleFamily,NA
26,44090,1.0,2,PGH,684,48058,420,10/03/2019,04/17/2018,42000,40.411045,-79.980497,2500,40563,15210,Fisher Street,Pennsylvania,31600.0,2019,SingleFamily,1960
