,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,2,PGH,983,,144,01/01/1970,04/05/2004,130000,40.448307,-79.951184,2880,,15213,North Dithridge Street,Pennsylvania,174400.0,2019,MultiFamily5Plus,1940
1,534372,3.5,4,PGH,3310,641246,235,10/07/2019,12/20/2011,1500000,40.449818,-79.952636,3861,443529,15213,North Dithridge Street,Pennsylvania,273400.0,2019,Triplex,1900
2,147622,1.0,1,PGH,1192,166813,108,10/07/2019,12/06/2016,129000,40.448289,-79.950934,1192,131384,15213-2608,North Dithridge Street,Pennsylvania,88300.0,2019,Condominium,1940
3,218364,2.0,2,PGH,1330,235833,166,10/07/2019,05/05/2016,47171,40.44868,-79.951057,1330,200895,15213,North Dithridge Street,Pennsylvania,127800.0,2019,Condominium,1928
4,,NA,0,PGH,NA,,4400,01/01/1970,NA,NA,40.443698,-79.949098,2530,,15213,Forbes Avenue,Pennsylvania,33900.0,2019,SingleFamily,NA
5,,1.0,1,PGH,NA,,391,01/01/1970,NA,NA,40.45274,-79.951511,NA,,15213,Melwood Avenue,Pennsylvania,NA,NA,Apartment,NA
6,299757,2.0,2,PGH,1900,329733,301,10/07/2019,11/15/2017,275000,40.449133,-79.948464,1900,272779,15213-1678,North Neville Street,Pennsylvania,211100.0,2019,Condominium,1973
7,323795,2.0,2,PGH,1516,339985,220,10/07/2019,11/07/2013,303000,40.449611,-79.951753,1516,307605,15213,North Dithridge Street,Pennsylvania,196900.0,2019,Condominium,1972
8,306936,2.0,2,PGH,1910,334560,201,10/07/2019,08/01/1992,172500,40.449049,-79.948768,1910,273173,15213,North Neville Street,Pennsylvania,208900.0,2019,Condominium,1973
9,611822,2.0,3,PGH,357700,728068,128,10/07/2019,09/26/2014,127000,40.44791,-79.948983,3280,513930,15213,North Craig Street,Pennsylvania,357700.0,2019,Condominium,1957
10,,1.0,1,PGH,570,,221,01/01/1970,NA,NA,40.449492,-79.952452,NA,,15213,North Dithridge Street,Pennsylvania,NA,NA,Apartment,NA
11,207428,3.0,3,PGH,1591,217799,211,10/07/2019,NA,NA,40.448307,-79.951184,2045,197057,15213,North Dithridge Street,Pennsylvania,108900.0,2019,Condominium,1940
12,337964,2.5,2,PGH,192200,385279,520,10/07/2019,02/09/2012,192200,40.454682,-79.953237,4392,287269,15213,North Craig Street,Pennsylvania,192200.0,2019,Condominium,1911
13,251305,2.0,2,PGH,1382,266383,417,10/07/2019,05/03/2019,250000,40.447815,-79.949003,1382,238740,15213,North Craig Street,Pennsylvania,101200.0,2019,Condominium,1957
14,327215,2.0,3,PGH,1568,369753,226,10/07/2019,06/03/1986,105000,40.447137,-79.956101,6000,294494,15213,Lytton Avenue,Pennsylvania,205000.0,2019,SingleFamily,1930
15,,NA,0,PGH,NA,,626,01/01/1970,NA,NA,40.457902,-79.954987,2000,,15213,Melwood Avenue,Pennsylvania,4000.0,2019,SingleFamily,NA
16,896567,3.5,4,PGH,5350,1093812,4209,10/07/2019,07/01/1994,200000,40.44887,-79.956574,15188,780013,15260,Parkman Avenue,Pennsylvania,565000.0,2019,SingleFamily,1920
17,328843,4.0,3,PGH,NA,522860,4605,10/07/2019,NA,NA,40.452205,-79.951812,NA,203883,15213,Centre Avenue,Pennsylvania,NA,NA,MultiFamily2To4,NA
18,658632,2.0,3,PGH,2609,704736,146,10/07/2019,09/12/2013,425000,40.447986,-79.952093,2609,619114,15213,North Bellefield Avenue,Pennsylvania,368200.0,2019,Condominium,1986
19,442058,2.0,8,PGH,3780,543731,225,10/07/2019,NA,NA,40.449619,-79.952523,4050,340385,15213,North Dithridge Street,Pennsylvania,215400.0,2019,SingleFamily,1900
20,747214,4.0,5,PGH,2730,836880,245,10/07/2019,01/18/2011,420000,40.447536,-79.956597,6000,672493,15213,Lytton Avenue,Pennsylvania,378000.0,2019,SingleFamily,1920
21,578863,3.0,4,PGH,2060,625172,4233,10/07/2019,09/03/1991,236750,40.448158,-79.957535,6788,509399,15213,Parkman Avenue,Pennsylvania,320300.0,2019,SingleFamily,1910
22,,1.0,2,PGH,817,,2,01/01/1970,01/25/1985,14000,40.456579,-79.953513,1144,,15213,Denver Street,Pennsylvania,20300.0,2019,SingleFamily,1895
