,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,55821,1.0,3,PGH,1575,59728,3234,09/24/2019,08/27/2008,15000,40.475023,-80.036024,2949,51914,15214,East Street,Pennsylvania,30600.0,2019,SingleFamily,1890
1,,1.0,4,PGH,1426,,224,01/01/1970,05/21/1996,34732,40.483314,-80.005281,10730,,15214,Ames Street,Pennsylvania,62000.0,2019,SingleFamily,1926
2,,1.0,2,PGH,1430,,134,01/01/1970,NA,NA,40.477539,-80.004628,4400,,15214,Chicago Street,Pennsylvania,54800.0,2019,SingleFamily,1910
3,,1.0,3,PGH,1300,,1651,01/01/1970,10/18/1988,21500,40.476373,-80.004074,16798,,15214,Boyer Street,Pennsylvania,65300.0,2019,SingleFamily,1920
4,190635,1.5,3,PGH,1886,215418,178,09/24/2019,06/19/1974,21000,40.476389,-80.003764,23205,169665,15214,Boyer Street,Pennsylvania,121100.0,2019,SingleFamily,1950
5,175000,1.0,3,PGH,900,183750,3479,09/24/2019,05/20/2019,90000,40.382605,-79.950258,6159,166250,15214,East Street,Pennsylvania,80800.0,2019,SingleFamily,1953
6,109696,1.0,2,PGH,904,129441,108,09/24/2019,05/05/2006,29000,40.476572,-80.005444,15432,80078,15214,Chicago Street,Pennsylvania,60000.0,2019,SingleFamily,1950
7,408789,3.0,4,PGH,2890,429228,3399,09/24/2019,07/27/2005,354000,40.331042,-80.066068,15863,388350,15214,Parkway North,Pennsylvania,336200.0,2019,SingleFamily,1971
8,120172,1.0,3,PGH,1448,136996,2942,09/24/2019,03/15/2012,80000,40.472919,-79.981449,5000,98541,15214,East Street,Pennsylvania,73600.0,2019,SingleFamily,1940
9,115997,1.5,2,PGH,930,133397,3270,09/24/2019,07/18/2013,100000,40.488043,-80.011706,5190,98597,15214,East Street,Pennsylvania,69900.0,2019,SingleFamily,1984
10,,NA,0,PGH,NA,,101,01/01/1970,NA,NA,40.478065,-80.002487,81414,,15214,Hazlett Street,Pennsylvania,139000.0,2019,SingleFamily,NA
11,177106,2.5,3,PGH,1904,214298,238,09/24/2019,NA,NA,40.482485,-80.004354,70567,145227,15214,Mount Pleasant Road,Pennsylvania,93900.0,2019,Mobile,2001
12,305020,1.0,3,PGH,1540,356873,400,09/24/2019,09/04/2015,187000,40.367905,-80.041158,10821,256217,15214,Mount Pleasant Road,Pennsylvania,197000.0,2019,SingleFamily,1937
13,109851,1.1,2,PGH,1240,118639,3024,09/24/2019,05/30/2018,104000,40.472691,-79.982099,4791,101063,15214,East Street,Pennsylvania,58300.0,2019,SingleFamily,1910
14,147252,2.0,2,PGH,1080,159032,2940,09/24/2019,06/26/2018,140000,40.401128,-80.041672,5501,136944,15214,East Street,Pennsylvania,79500.0,2019,SingleFamily,1955
15,160203,1.5,3,PGH,1444,179427,3065,09/24/2019,01/10/2017,139000,40.388049,-80.034614,13921,142581,15214,East Street,Pennsylvania,134100.0,2019,SingleFamily,1940
16,74179,1.0,3,PGH,1275,80855,1226,09/24/2019,01/22/2018,68000,40.476778,-80.005078,14956,68245,15214,Chicago Street,Pennsylvania,50000.0,2019,SingleFamily,1950
17,92752,1.0,2,PGH,1122,98317,23,09/24/2019,12/05/2018,89000,40.489525,-80.046514,2387,87187,15214,East Street,Pennsylvania,59300.0,2019,SingleFamily,1909
18,139010,2.0,3,PGH,1440,151521,2918,09/24/2019,01/09/2018,127100,40.472694,-79.982242,5000,126499,15214,East Street,Pennsylvania,66600.0,2019,SingleFamily,1906
19,278131,2.5,3,PGH,1608,303163,2988,09/24/2019,02/09/2018,256035,40.37365,-80.001646,2806,255881,15214,East Street,Pennsylvania,209400.0,2019,SingleFamily,2017
20,377768,2.5,3,PGH,1919,430656,2862,09/24/2019,12/22/2000,227500,40.424671,-79.916599,3816,343769,15214,East Street,Pennsylvania,219100.0,2019,SingleFamily,1925
21,,1.0,2,PGH,1144,,2639,01/01/1970,NA,NA,40.473846,-80.000806,3093,,15214,Sunset Avenue,Pennsylvania,54200.0,2019,SingleFamily,1950
22,160400,1.5,3,PGH,974,171628,129,09/24/2019,11/12/2015,136500,40.516302,-79.956275,6000,142756,15214,East Street,Pennsylvania,112700.0,2019,SingleFamily,1966
23,166813,1.0,1,PGH,1494,195171,3002,09/24/2019,10/10/2018,177000,40.428309,-79.977424,1466,131782,15214,East Street,Pennsylvania,132300.0,2019,MultiFamily2To4,2002
24,223324,1.0,3,PGH,1324,234490,3072,09/24/2019,04/09/2019,218500,40.420998,-79.921097,3049,212158,15214,East Street,Pennsylvania,161300.0,2019,SingleFamily,1940
25,364710,2.5,4,PGH,1280,401181,3434,09/24/2019,08/04/2017,327500,40.463301,-79.965812,3000,331886,15214,East Street,Pennsylvania,130100.0,2019,SingleFamily,1993
26,223050,2.0,4,PGH,1566,245355,122,09/24/2019,10/25/2005,180000,40.335936,-80.064127,9627,205206,15214,Lamar Street,Pennsylvania,152700.0,2019,SingleFamily,1950
27,,1.0,3,PGH,1512,,2957,01/01/1970,07/05/2006,15000,40.457636,-80.050438,2500,,15214,East Street,Pennsylvania,31400.0,2019,SingleFamily,1930
28,301531,3.5,3,PGH,4995,382944,3414,09/24/2019,08/23/2011,107000,40.482678,-80.004782,26048,223133,15214,East Street,Pennsylvania,107000.0,2019,SingleFamily,2000
29,71730,1.0,2,PGH,559,100422,424,09/24/2019,04/12/2007,55000,40.483092,-80.004409,6662,44473,15214,Mount Pleasant Road,Pennsylvania,53400.0,2019,SingleFamily,1910
30,358772,2.5,3,PGH,1477,391061,2818,09/24/2019,02/15/2018,330819,40.374269,-80.001598,3422,330070,15214,East Street,Pennsylvania,202900.0,2019,SingleFamily,2018
31,,1.0,3,PGH,1300,,1661,01/01/1970,10/18/1988,21500,40.476373,-80.004074,16798,,15214,Boyer Street,Pennsylvania,65300.0,2019,SingleFamily,1920
32,223384,2.5,4,PGH,2256,256892,2955,09/24/2019,05/11/2009,135000,40.395898,-80.03722,4800,189876,15214,East Street,Pennsylvania,133700.0,2019,SingleFamily,1917
33,117023,1.0,3,PGH,1721,143938,2814,09/24/2019,02/11/2019,33000,40.488498,-80.01535,4800,97129,15214,East Street,Pennsylvania,78700.0,2019,SingleFamily,1900
34,25221,1.0,4,PGH,1484,30265,11,09/24/2019,09/20/2016,19500,40.405636,-79.898567,NA,20681,15214,East Street,Pennsylvania,NA,NA,SingleFamily,1900
35,102417,1.0,3,PGH,1408,123925,243,09/24/2019,02/23/1984,37500,40.483472,-80.004841,5894,64523,15214,Mount Pleasant Road,Pennsylvania,60100.0,2019,SingleFamily,1930
36,74179,1.0,3,PGH,1275,80855,1126,09/24/2019,01/22/2018,68000,40.476778,-80.005078,14956,68245,15214,Chicago Street,Pennsylvania,50000.0,2019,SingleFamily,1950
37,489951,1.5,3,PGH,3200,514449,2842,09/24/2019,05/31/2019,485000,40.426459,-79.923721,6006,465453,15214,East Street,Pennsylvania,209800.0,2019,SingleFamily,1900
38,89460,1.0,2,PGH,806,113614,3073,09/24/2019,04/19/2016,35000,40.480541,-79.988798,6250,54571,15214,East Street,Pennsylvania,76700.0,2019,SingleFamily,1940
39,,1.0,0,PGH,1000,,3055,01/01/1970,06/09/2005,56000,40.37959,-79.885728,5000,,15214,East Street,Pennsylvania,1000.0,2019,SingleFamily,1962
40,172193,2.0,3,PGH,1580,191134,3400,09/24/2019,03/03/2017,151000,40.481781,-80.012181,8189,154974,15214,East Street,Pennsylvania,94500.0,2019,SingleFamily,1931
41,151396,2.0,3,PGH,1046,165022,3498,09/24/2019,11/14/1985,55000,40.378088,-79.949077,16102,137770,15214,East Street,Pennsylvania,103400.0,2019,SingleFamily,1958
42,,NA,0,PGH,NA,,108,01/01/1970,NA,NA,40.413017,-79.831843,2500,,15214,Creek Street,Pennsylvania,200.0,2019,SingleFamily,NA
43,242679,1.5,3,PGH,1948,271800,1,09/24/2019,03/06/2015,244000,40.499603,-79.853938,9375,215984,15214,East Street,Pennsylvania,183500.0,2019,SingleFamily,1900
44,159860,1.0,1,PGH,600,187036,2912,09/24/2019,12/03/2004,9000,40.428385,-79.977003,1535,127888,15214,East Street,Pennsylvania,23000.0,2019,MultiFamily2To4,1910
45,165193,1.0,2,PGH,1600,183364,3398,09/24/2019,08/07/2002,96000,40.372369,-80.017544,5650,150326,15214,Parkway North,Pennsylvania,120700.0,2019,Duplex,1960
46,158424,1.5,2,PGH,1260,172682,3082,09/24/2019,02/13/2018,146000,40.387186,-80.074597,1203,145750,15214,East Street,Pennsylvania,113800.0,2019,Condominium,1979
47,,2.0,4,PGH,1220,,151,01/01/1970,NA,NA,40.403381,-79.887385,9000,,15214,East Street,Pennsylvania,33900.0,2019,SingleFamily,1925
48,258075,2.0,3,PGH,2736,289044,299,09/24/2019,NA,NA,40.514002,-79.954174,6500,232268,15214,East Street,Pennsylvania,176100.0,2019,SingleFamily,1920
49,319579,2.5,3,PGH,1608,345145,2806,09/24/2019,06/29/2018,303970,40.373659,-80.001758,1825,297208,15214,East Street,Pennsylvania,205400.0,2019,SingleFamily,2017
50,52428,1.5,0,PGH,1648,56622,2812,09/24/2019,07/31/2018,50000,40.470295,-80.030254,5319,48758,15214,East Street,Pennsylvania,35000.0,2019,SingleFamily,1920
51,,3.0,0,PGH,NA,,2874,01/01/1970,NA,NA,40.37382,-80.001999,2443,,15214,East Street,Pennsylvania,4200.0,2019,SingleFamily,NA
52,,2.5,2,PGH,NA,,2828,01/01/1970,NA,NA,40.477109,-79.785284,NA,,15214,East Street,Pennsylvania,NA,NA,SingleFamily,2018
53,293783,2.5,3,PGH,2015,314348,2893,09/24/2019,10/19/2018,281023,40.37331,-80.001574,2182,276156,15214,East Street,Pennsylvania,252800.0,2019,SingleFamily,2017
54,206859,1.5,3,PGH,1398,233751,3081,09/24/2019,07/03/2002,123000,40.396453,-80.042457,4528,182036,15214,East Street,Pennsylvania,135700.0,2019,SingleFamily,1945
55,304362,1.5,2,PGH,1368,334798,2978,09/24/2019,10/02/1997,145000,40.421696,-79.918367,8322,267839,15214,East Street,Pennsylvania,201400.0,2019,SingleFamily,1955
56,,1.0,1,PGH,956,,2836,01/01/1970,11/05/2003,11000,40.423973,-79.962058,5201,,15214,East Street,Pennsylvania,72700.0,2019,Unknown,1920
57,273206,3.0,3,PGH,1092,286866,2997,09/24/2019,07/01/2019,271900,40.3733,-80.001777,2182,259546,15214,East Street,Pennsylvania,3800.0,2019,Townhouse,2017
58,176855,2.0,4,PGH,1636,191003,3060,09/24/2019,06/20/2018,168000,40.395691,-80.041098,3920,164475,15214,East Street,Pennsylvania,182800.0,2019,Cooperative,1933
59,,1.0,3,PGH,2000,,2870,01/01/1970,03/13/2014,16500,40.489252,-80.017227,2048,,15214,East Street,Pennsylvania,69800.0,2019,SingleFamily,1912
60,172471,1.0,3,PGH,1267,184544,3085,09/24/2019,10/22/2018,165000,40.388085,-80.035934,3519,162123,15214,East Street,Pennsylvania,95100.0,2019,SingleFamily,1930
61,,1.5,3,PGH,2660,,3004,01/01/1970,11/20/2017,17571,40.428306,-79.977338,3750,,15214,East Street,Pennsylvania,69400.0,2019,Apartment,1905
62,,2.0,4,PGH,2080,,2841,01/01/1970,04/26/2013,26919,40.470414,-80.012364,5760,,15214,East Street,Pennsylvania,9000.0,2019,Duplex,1910
63,278131,2.5,3,PGH,1608,303163,2808,09/24/2019,02/09/2018,256035,40.37365,-80.001646,2806,255881,15214,East Street,Pennsylvania,209400.0,2019,SingleFamily,2017
