,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,122398,2.0,4,Crafton,2450,149326,88,10/06/2019,01/08/2009,15500,40.427658,-80.063556,10250,78335,15205,Baldwick Road,Pennsylvania,61000.0,2019,Duplex,1920
1,143302,1.0,3,PGH,1000,160498,179,10/06/2019,03/03/2008,122000,40.427708,-80.068456,5501,130405,15205,Balver Avenue,Pennsylvania,90000.0,2019,SingleFamily,1958
2,167274,1.0,3,PGH,1450,182329,233,10/06/2019,02/19/2014,126000,40.429464,-80.067727,6000,152219,15205,Balver Avenue,Pennsylvania,108100.0,2019,SingleFamily,1959
3,241774,4.0,8,Crafton,4182,287711,1832,10/06/2019,12/27/2000,125000,40.430667,-80.065746,7188,169242,15205,Crafton Boulevard,Pennsylvania,186800.0,2019,Quadruplex,1920
4,177026,1.0,3,PGH,1496,198269,169,10/06/2019,NA,NA,40.429417,-80.0688,12444,162864,15205,Balver Avenue,Pennsylvania,123000.0,2019,SingleFamily,1956
5,173115,1.0,3,PGH,1450,192158,168,10/06/2019,NA,NA,40.428536,-80.067913,5240,157535,15205,Balver Avenue,Pennsylvania,119100.0,2019,SingleFamily,1957
6,214354,2.0,3,PGH,1471,237933,100,10/06/2019,06/20/2017,196000,40.42847,-80.068057,9052,192919,15205,Balver Avenue,Pennsylvania,140800.0,2019,SingleFamily,1957
7,188574,1.5,3,PGH,1540,209317,138,10/06/2019,09/13/2017,173000,40.428493,-80.068456,5980,169717,15205,Balver Avenue,Pennsylvania,115200.0,2019,SingleFamily,1960
8,131219,1.0,2,PGH,1068,145653,1657,10/06/2019,03/28/2002,74000,40.425284,-80.067124,5657,114161,15205,Durbin Street,Pennsylvania,88500.0,2019,SingleFamily,1953
9,155078,2.0,2,Green Tree,1185,172137,169,10/06/2019,NA,NA,40.424084,-80.068842,9180,138019,15205,Angena Drive,Pennsylvania,101300.0,2019,SingleFamily,1956
10,188934,2.0,3,Green Tree,1462,213495,135,10/06/2019,12/15/1993,76000,40.423493,-80.068352,11388,170041,15205,Angena Drive,Pennsylvania,115900.0,2019,SingleFamily,1957
11,107365,2.0,3,PGH,1000,120249,1673,10/06/2019,04/14/2017,96900,40.425625,-80.067382,6500,95555,15205,Durbin Street,Pennsylvania,88600.0,2019,SingleFamily,1956
12,161275,1.5,3,PGH,1250,174177,226,10/06/2019,11/21/2012,112500,40.429094,-80.068089,6120,145148,15205,Balver Avenue,Pennsylvania,105300.0,2019,SingleFamily,1957
13,143302,1.0,3,PGH,1000,160498,191,10/06/2019,03/03/2008,122000,40.427708,-80.068456,5501,130405,15205,Balver Avenue,Pennsylvania,90000.0,2019,SingleFamily,1958
14,186341,1.5,3,PGH,1444,214292,125,10/06/2019,NA,NA,40.428037,-80.069,9337,165843,15205,Balver Avenue,Pennsylvania,115300.0,2019,SingleFamily,1959
15,177837,2.0,3,PGH,1250,188507,120,10/06/2019,05/10/2019,178000,40.429117,-80.067887,5898,168945,15205,Balver Avenue,Pennsylvania,118000.0,2019,SingleFamily,1959
16,153765,1.5,4,PGH,1568,170679,53,10/06/2019,08/01/2017,140950,40.427552,-80.065928,3938,138389,15205,Oakwood Road,Pennsylvania,58000.0,2019,SingleFamily,1910
17,148881,1.5,3,PGH,1521,168236,207,10/06/2019,NA,NA,40.427971,-80.067935,5894,131015,15205,Balver Avenue,Pennsylvania,92000.0,2019,SingleFamily,1959
18,128926,1.0,2,PGH,1650,149554,41,10/06/2019,08/30/1994,50000,40.428082,-80.066219,6852,96694,15205,Oakwood Road,Pennsylvania,77500.0,2019,SingleFamily,1915
19,132526,1.0,3,PGH,1616,153730,55,10/06/2019,09/26/1989,46000,40.427465,-80.065862,3938,106021,15205,Oakwood Road,Pennsylvania,79400.0,2019,SingleFamily,1910
20,139380,1.0,3,Green Tree,1048,157499,2564,10/06/2019,02/10/1976,23400,40.426602,-80.062308,6000,121261,15205,Noblestown Road,Pennsylvania,78900.0,2019,SingleFamily,1950
21,186341,1.5,3,PGH,1444,214292,225,10/06/2019,NA,NA,40.428037,-80.069,9337,165843,15205,Balver Avenue,Pennsylvania,115300.0,2019,SingleFamily,1959
22,156730,1.5,3,Crafton,1440,172403,68,10/06/2019,01/26/1996,41000,40.428559,-80.06371,6000,141057,15205,Baldwick Road,Pennsylvania,106100.0,2019,SingleFamily,1930
23,,1.0,3,PGH,1020,,2,01/01/1970,NA,NA,40.427658,-80.063575,NA,,15205,Oakwood Road,Pennsylvania,NA,NA,Apartment,NA
24,153672,2.0,3,PGH,1010,169039,221,10/06/2019,05/26/2011,110000,40.427805,-80.06864,6992,138305,15205,Balver Avenue,Pennsylvania,100700.0,2019,SingleFamily,1959
25,207888,2.5,3,PGH,1794,241150,2400,10/06/2019,11/15/2010,179000,40.426512,-80.068046,7500,176705,15205,Craftmont Avenue,Pennsylvania,133600.0,2019,SingleFamily,1959
26,182877,1.0,3,PGH,1473,208480,105,10/06/2019,05/10/2013,108000,40.429622,-80.068463,7498,164589,15205,Balver Avenue,Pennsylvania,121200.0,2019,SingleFamily,1959
27,147546,2.0,5,PGH,1742,172629,8,10/06/2019,06/29/1992,23500,40.429074,-80.066608,3720,122463,15205,Oakwood Road,Pennsylvania,92100.0,2019,SingleFamily,1910
28,136377,1.0,3,PGH,864,151378,273,10/06/2019,04/02/2012,68000,40.428197,-80.06738,5176,118648,15205,Balver Avenue,Pennsylvania,77600.0,2019,SingleFamily,1958
29,111627,1.0,3,PGH,1386,137301,165,10/06/2019,NA,NA,40.427842,-80.065153,5500,82604,15205,Grasmere Street,Pennsylvania,72600.0,2019,SingleFamily,1920
30,169782,1.5,3,PGH,1400,195249,159,10/06/2019,NA,NA,40.429058,-80.069054,7219,152804,15205,Balver Avenue,Pennsylvania,105600.0,2019,SingleFamily,1958
31,137397,1.0,3,PGH,1696,152511,4,10/06/2019,NA,NA,40.429306,-80.066662,6960,116787,15205,Oakwood Road,Pennsylvania,79700.0,2019,SingleFamily,1910
32,,NA,0,Green Tree,NA,,367,01/01/1970,NA,NA,40.437421,-80.04264,11534,,15205,Noblestown Road,Pennsylvania,16600.0,2019,SingleFamily,NA
33,,1.0,2,Crafton,1020,,3,01/01/1970,NA,NA,40.428295,-80.064123,NA,,15205,Baldwick Road,Pennsylvania,NA,NA,MultiFamily2To4,NA
34,199717,3.0,4,PGH,2178,241658,6,10/06/2019,05/29/2014,136000,40.428081,-80.066795,12113,165765,15205,Cannon Street,Pennsylvania,106400.0,2019,SingleFamily,1907
35,139013,1.0,3,PGH,1765,154304,122,10/06/2019,NA,NA,40.428176,-80.065847,3938,126502,15205,Grasmere Street,Pennsylvania,95300.0,2019,SingleFamily,1930
36,179097,5.0,4,Crafton,NA,259691,1925,10/06/2019,NA,NA,40.431427,-80.069741,NA,116413,15205,Crafton Boulevard,Pennsylvania,NA,NA,MultiFamily2To4,NA
37,199854,1.0,3,Crafton,2349,229832,1801,10/06/2019,08/05/2003,195000,40.430366,-80.061725,26793,173873,15205,Crafton Boulevard,Pennsylvania,143100.0,2019,SingleFamily,1928
38,98345,2.0,3,PGH,1318,131782,23,10/06/2019,11/05/2012,47000,40.427619,-80.066828,2625,69825,15205,Cannon Street,Pennsylvania,66400.0,2019,SingleFamily,1901
39,149534,1.0,3,Crafton,1000,165983,60,10/06/2019,11/29/2017,41100,40.428464,-80.06358,6098,131590,15205,Baldwick Road,Pennsylvania,92400.0,2019,SingleFamily,1960
