,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,134049,1.0,3,PGH,1438,148794,2769,09/25/2019,06/26/2009,90000,40.376732,-80.001678,4800,113942,15234,Homehurst Avenue,Pennsylvania,90000.0,2019,SingleFamily,1930
1,117020,1.0,3,PGH,1144,136913,2973,09/25/2019,NA,NA,40.374442,-80.003979,4125,88935,15234,Homehurst Avenue,Pennsylvania,64200.0,2019,SingleFamily,1930
2,127600,1.0,3,PGH,1074,140360,2348,09/25/2019,01/08/2002,55000,40.378403,-79.995525,6500,112288,15234,Kingwood Street,Pennsylvania,76300.0,2019,SingleFamily,1940
3,84613,1.0,3,PGH,1226,110843,2228,09/25/2019,NA,NA,40.388322,-79.991811,3161,65152,15210,Yale Drive,Pennsylvania,58800.0,2019,SingleFamily,1945
4,84836,1.0,3,PGH,1496,93320,225,09/25/2019,11/22/2017,77000,40.376457,-80.002817,8280,77201,15234,Elwyn Avenue,Pennsylvania,63400.0,2019,SingleFamily,1930
5,120446,1.0,3,PGH,1648,143331,2655,09/25/2019,10/13/2010,54636,40.377711,-80.002083,9013,81903,15234,Kingwood Street,Pennsylvania,63400.0,2019,SingleFamily,1910
6,115132,1.0,3,PGH,1242,130099,2298,09/25/2019,09/17/2004,83000,40.388236,-79.994878,5500,95560,15210,Fairland Street,Pennsylvania,60500.0,2019,SingleFamily,1950
7,159155,1.5,3,PGH,1529,175070,2225,09/25/2019,10/11/1996,72500,40.387184,-80.003309,5200,143240,15234,Groveland Street,Pennsylvania,98700.0,2019,SingleFamily,1954
8,152836,1.0,3,Castle Shannon,1500,168120,2996,09/25/2019,09/05/2003,78000,40.373711,-80.003331,4703,137552,15234,Belleville Street,Pennsylvania,96600.0,2019,SingleFamily,1941
9,123901,2.0,4,PGH,1848,163549,21,09/25/2019,10/17/2008,72100,40.379528,-79.991815,8690,89209,15227,Mullooly Street,Pennsylvania,64700.0,2019,Duplex,1930
10,114386,1.0,3,Whitehall,1062,128112,274,09/25/2019,01/26/1993,64000,40.380265,-79.985689,4472,94940,15227,Stewart Avenue,Pennsylvania,69300.0,2019,SingleFamily,1950
11,51041,1.0,3,PGH,1278,78093,2630,09/25/2019,10/11/1988,42500,40.380133,-79.992473,3000,37260,15227,Ivyglen Street,Pennsylvania,38000.0,2019,SingleFamily,1925
12,89901,2.0,2,PGH,1512,134852,108,09/25/2019,08/18/1998,26000,40.388419,-79.99996,8499,56638,15234,Aaron Avenue,Pennsylvania,53900.0,2019,Triplex,1920
13,131401,2.0,3,PGH,1824,145855,2111,09/25/2019,03/11/2013,98000,40.390955,-79.99548,4680,114319,15210,Dartmore Street,Pennsylvania,83800.0,2019,SingleFamily,1956
14,,1.0,2,PGH,1388,,2636,01/01/1970,05/25/1989,22000,40.379885,-80.00098,3805,,15227,Library Road,Pennsylvania,30000.0,2019,SingleFamily,1930
15,105415,1.0,3,PGH,1144,124390,2777,09/25/2019,06/07/2007,42500,40.376554,-80.001852,4800,81170,15234,Homehurst Avenue,Pennsylvania,50000.0,2019,SingleFamily,1935
