,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,206565,1.5,3,PGH,1884,231353,206,10/06/2019,05/19/2017,188000,40.491099,-80.015159,10998,185909,15214,Waldorf Street,Pennsylvania,111400.0,2019,SingleFamily,1926
1,134649,1.0,3,PGH,1400,148114,4014,10/06/2019,NA,NA,40.491197,-80.02343,3900,117145,15214,Stilwell Street,Pennsylvania,90100.0,2019,SingleFamily,1955
2,109670,1.0,3,PGH,1144,135991,230,10/06/2019,04/11/2011,110000,40.48541,-80.013209,2940,69092,15214,Venture Street,Pennsylvania,67400.0,2019,SingleFamily,1930
3,142203,1.5,3,PGH,1386,156423,442,10/06/2019,07/03/2012,73000,40.492853,-80.061481,5310,127983,15214,Riverview Avenue,Pennsylvania,78700.0,2019,SingleFamily,1954
4,159732,1.0,3,PGH,2080,177303,3547,10/06/2019,07/07/2016,119900,40.484898,-80.010474,16385,143759,15214,Oklahoma Street,Pennsylvania,98900.0,2019,SingleFamily,1930
5,194993,1.5,4,PGH,2901,226192,14,10/06/2019,12/28/2010,53302,40.487031,-80.015478,5000,169644,15214,Richey Avenue,Pennsylvania,138300.0,2019,SingleFamily,1910
6,129032,1.0,3,PGH,1344,145806,4119,10/06/2019,10/18/2012,66000,40.494204,-80.017635,10277,104516,15214,Grizella Street,Pennsylvania,71300.0,2019,SingleFamily,1930
7,116332,1.0,2,PGH,1250,132618,3680,10/06/2019,07/20/1995,46000,40.488239,-80.014378,3072,88412,15214,East Street,Pennsylvania,59500.0,2019,SingleFamily,2018
8,158744,1.5,3,PGH,1503,174618,216,10/06/2019,02/21/2013,81000,40.493941,-80.014295,12000,136520,15214,Montana Street,Pennsylvania,94900.0,2019,SingleFamily,1957
9,27744,1.0,2,PGH,1568,31073,469,10/06/2019,04/07/2017,25000,40.490326,-80.025251,3262,24692,15214,Dornestic Street,Pennsylvania,42300.0,2019,SingleFamily,1921
10,278684,2.5,5,PGH,4840,326060,3344,10/06/2019,05/28/1997,17700,40.480846,-80.012883,16360,228521,15214,Perrysville Avenue,Pennsylvania,164100.0,2019,SingleFamily,1920
11,190176,NA,4,PGH,2753,224408,36,10/06/2019,05/29/2018,56000,40.478063,-80.010181,6499,159748,15214,Watson Boulevard,Pennsylvania,103600.0,2019,SingleFamily,1900
