,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,0,PGH,NA,,414,01/01/1970,06/05/1998,8400,40.471874,-80.015914,3491,,15214,Marshall Avenue,Pennsylvania,15300.0,2019,SingleFamily,NA
1,,1.0,3,PGH,1440,,518,01/01/1970,NA,NA,40.466711,-80.016286,3430,,15214,Chester Avenue,Pennsylvania,35300.0,2019,SingleFamily,1900
2,186437,2.0,3,PGH,1236,195759,2743,10/03/2019,06/18/2015,149900,40.401368,-80.037601,3001,177115,15214,Parkway North,Pennsylvania,137900.0,2019,SingleFamily,1930
3,,1.5,4,PGH,3185,,383,01/01/1970,01/20/2016,197500,40.465544,-80.006316,6250,,15214,Lafayette Avenue,Pennsylvania,58700.0,2019,SingleFamily,1900
4,81249,1.0,3,PGH,1232,103999,631,10/03/2019,06/03/1987,8500,40.469562,-80.018338,2973,62562,15214,Marshall Avenue,Pennsylvania,55800.0,2019,SingleFamily,1929
5,,1.5,3,PGH,2124,,2629,01/01/1970,NA,NA,40.471014,-80.014673,3250,,15214,Linwood Street,Pennsylvania,45300.0,2019,SingleFamily,1920
6,96231,1.0,2,PGH,1188,127025,2219,10/03/2019,NA,NA,40.466212,-80.007576,8581,56776,15214,Osgood Street,Pennsylvania,46500.0,2019,SingleFamily,1955
7,,1.0,2,PGH,1229,,2133,01/01/1970,01/19/1996,500,40.464153,-80.014323,3780,,15214,Holyoke Street,Pennsylvania,51000.0,2019,SingleFamily,1881
8,,3.0,8,PGH,4554,,2590,01/01/1970,04/04/1983,887000,40.467577,-80.015643,14136,,15214,North Charles Street,Pennsylvania,74200.0,2019,Triplex,1900
9,,1.0,2,PGH,1008,,811,01/01/1970,07/31/2001,5000,40.462671,-80.017833,5200,,15214,Melrose Avenue,Pennsylvania,30000.0,2019,SingleFamily,1900
10,38000,1.0,2,PGH,1051,47880,621,10/03/2019,NA,NA,40.462463,-80.015911,1643,24700,15214,Ridgewood Street,Pennsylvania,22600.0,2019,SingleFamily,1910
11,146934,1.5,2,PGH,2402,170443,1909,10/03/2019,08/15/1991,75350,40.461203,-80.013911,2700,120486,15214,Perrysville Avenue,Pennsylvania,86200.0,2019,SingleFamily,1920
12,76611,1.0,2,PGH,972,100360,2709,10/03/2019,07/03/1996,39500,40.472742,-80.013151,4947,55926,15214,Leland Street,Pennsylvania,51900.0,2019,SingleFamily,1952
13,,1.0,3,PGH,2009,,2641,01/01/1970,04/03/2002,37000,40.4715,-80.013378,2250,,15214,Norwood Avenue,Pennsylvania,52200.0,2019,SingleFamily,1901
14,,1.0,3,PGH,1630,,2423,01/01/1970,03/07/2006,20000,40.469335,-80.005828,2500,,15214,Lyzell Street,Pennsylvania,36800.0,2019,SingleFamily,1930
15,153662,2.0,4,PGH,3130,199761,1966,10/03/2019,10/08/1993,39000,40.463222,-80.014037,8500,109100,15214,Perrysville Avenue,Pennsylvania,83000.0,2019,Duplex,1878
16,,NA,0,PGH,NA,,2212,01/01/1970,NA,NA,40.465009,-80.013615,14278,,15214,Holyoke Street,Pennsylvania,18800.0,2019,SingleFamily,NA
17,103874,1.0,2,PGH,745,123610,426,10/03/2019,10/24/1995,68000,40.47448,-80.015949,9650,78944,15214,Kennedy Avenue,Pennsylvania,59000.0,2019,SingleFamily,1950
18,,1.0,2,PGH,1658,,2646,01/01/1970,01/22/2008,23650,40.471861,-80.013038,1500,,15214,Norwood Avenue,Pennsylvania,37700.0,2019,SingleFamily,1927
19,,NA,0,PGH,NA,,2441,01/01/1970,NA,NA,40.466441,-80.020779,3796,,15214,Snyder Street,Pennsylvania,1200.0,2019,SingleFamily,NA
20,,1.5,4,PGH,1134,,2328,01/01/1970,NA,NA,40.465069,-80.020422,744,,15214,North Charles Street,Pennsylvania,19600.0,2019,SingleFamily,1910
21,569282,3.0,4,PGH,2702,626210,2483,10/03/2019,12/30/2005,535000,40.427537,-79.911973,10500,518047,15214,Parkway North,Pennsylvania,323900.0,2019,SingleFamily,1960
