,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,185456,2.0,4,PGH,1530,205856,3539,10/06/2019,08/01/2017,170000,40.459125,-79.959621,5800,166910,15213,Bethoven Street,Pennsylvania,82500.0,2019,SingleFamily,1895
1,179757,1.0,2,PGH,1406,215708,1210,10/06/2019,09/02/1992,15000,40.45879,-79.965418,2233,150996,15219,Herron Avenue,Pennsylvania,75800.0,2019,SingleFamily,1885
2,140904,1.0,2,PGH,1278,173312,3391,10/06/2019,NA,NA,40.45675,-79.962124,1980,115541,15213,Ridgway Street,Pennsylvania,51200.0,2019,SingleFamily,1900
3,,NA,0,PGH,NA,,3417,01/01/1970,NA,NA,40.459479,-79.962363,4400,,15219,Flavian Street,Pennsylvania,1600.0,2019,SingleFamily,NA
4,159708,1.5,3,PGH,1292,194844,3463,10/06/2019,10/15/1993,13000,40.459422,-79.962146,4400,129363,15219,Flavian Street,Pennsylvania,45200.0,2019,SingleFamily,1900
5,315674,2.0,5,PGH,2856,344085,3095,10/06/2019,07/25/2018,307500,40.455861,-79.968791,2613,290420,15219,Paulowna Street,Pennsylvania,200300.0,2019,SingleFamily,1900
6,223650,2.0,4,PGH,2139,263907,3607,10/06/2019,01/23/2016,240000,40.459588,-79.957642,2850,187866,15213,Bethoven Street,Pennsylvania,93600.0,2019,Duplex,1920
7,,NA,0,PGH,NA,,3386,01/01/1970,NA,NA,40.456577,-79.963016,5075,,15213,Bigelow Boulevard,Pennsylvania,30000.0,2019,SingleFamily,NA
8,158102,2.0,2,PGH,1280,184979,3301,10/06/2019,07/13/1999,22000,40.457533,-79.963451,6370,129644,15219,Cargill Street,Pennsylvania,61100.0,2019,Duplex,1900
9,173054,1.5,2,PGH,1560,207665,3514,10/06/2019,10/09/2002,35000,40.45882,-79.960523,5280,141904,15213,Bethoven Street,Pennsylvania,71000.0,2019,SingleFamily,1920
10,,NA,0,PGH,NA,,1204,01/01/1970,NA,NA,40.458613,-79.965428,1353,,15219,Herron Avenue,Pennsylvania,800.0,2019,SingleFamily,NA
11,254890,2.0,3,PGH,2436,298221,3453,10/06/2019,12/31/2015,12800,40.457492,-79.960091,3602,209010,15213,Ridgway Street,Pennsylvania,142300.0,2019,SingleFamily,1900
12,145749,1.0,3,PGH,2132,182186,412,10/06/2019,NA,NA,40.457103,-79.965661,1620,113684,15219,Hancock Street,Pennsylvania,48400.0,2019,SingleFamily,1900
13,,NA,0,PGH,2500,,3219,01/01/1970,NA,NA,40.456278,-79.964986,NA,,15219,Bigelow Boulevard,Pennsylvania,NA,NA,SingleFamily,NA
14,155807,2.0,4,PGH,3014,205665,3061,10/06/2019,NA,NA,40.455598,-79.968195,6716,105949,15219,Paulowna Street,Pennsylvania,49500.0,2019,Duplex,1970
15,159225,1.0,3,PGH,2340,197439,3049,10/06/2019,10/05/1994,450,40.456884,-79.968011,3000,130565,15219,Brereton Street,Pennsylvania,89200.0,2019,SingleFamily,1920
16,144878,1.0,2,PGH,1360,170956,3484,10/06/2019,03/01/1995,37000,40.457472,-79.960445,1606,120249,15213,Bismark Street,Pennsylvania,67100.0,2019,SingleFamily,1930
17,175569,2.0,3,PGH,1501,217706,3443,10/06/2019,NA,NA,40.459439,-79.961991,4400,147478,15219,Flavian Street,Pennsylvania,55700.0,2019,SingleFamily,1930
18,266004,3.0,3,PGH,2460,343145,3401,10/06/2019,11/17/2006,105000,40.457838,-79.962615,2500,207483,15219,Bethoven Street,Pennsylvania,116000.0,2019,Triplex,1920
19,70105,1.0,2,PGH,1152,128993,3328,10/06/2019,10/11/1994,18500,40.457219,-79.961042,1606,43465,15213,Bismark Street,Pennsylvania,47600.0,2019,SingleFamily,1930
20,144314,3.0,4,PGH,2088,193381,3027,10/06/2019,06/03/2014,45000,40.456722,-79.968969,3001,85145,15219,Brereton Street,Pennsylvania,54100.0,2019,SingleFamily,1900
21,,NA,0,PGH,1728,,3036,01/01/1970,NA,NA,40.45564,-79.967304,1525,,15219,Paulowna Street,Pennsylvania,19600.0,2019,VacantResidentialLand,2017
22,206908,2.0,2,PGH,2268,231737,3333,10/06/2019,04/26/2012,100000,40.458262,-79.961599,4500,173803,15219,Bethoven Street,Pennsylvania,114600.0,2019,Duplex,1920
23,,1.0,3,PGH,1188,,3550,01/01/1970,09/16/2016,2500,40.459492,-79.959365,2425,,15213,Melwood Avenue,Pennsylvania,1000.0,2019,SingleFamily,1900
24,,1.0,2,PGH,1116,,3404,01/01/1970,NA,NA,40.458917,-79.963255,2046,,15219,Flavian Street,Pennsylvania,33200.0,2019,SingleFamily,1900
25,486548,4.0,3,PGH,2000,515741,3099,10/06/2019,01/18/2018,75000,40.455881,-79.968661,2400,452490,15219,Paulowna Street,Pennsylvania,35000.0,2019,SingleFamily,1900
26,175775,1.0,1,PGH,2112,223234,1202,10/06/2019,06/05/1996,12000,40.458202,-79.963944,1980,144136,15219,Herron Avenue,Pennsylvania,51600.0,2019,SingleFamily,1880
27,,NA,0,PGH,NA,,3322,01/01/1970,10/23/2006,1500,40.45942,-79.964366,2880,,15219,North Ruthven Street,Pennsylvania,1000.0,2019,SingleFamily,NA
28,270615,6.0,12,PGH,2925,376155,3029,10/06/2019,NA,NA,40.456841,-79.968909,3000,170487,15219,Brereton Street,Pennsylvania,83300.0,2019,MultiFamily2To4,1900
29,,2.0,4,PGH,1060,,3422,01/01/1970,04/23/2007,1000,40.459744,-79.962814,2200,,15219,North Ruthven Street,Pennsylvania,6600.0,2019,SingleFamily,1900
30,110677,NA,1,PGH,1056,149414,3511,10/06/2019,10/07/2002,25000,40.458741,-79.960541,2640,75260,15213,Bethoven Street,Pennsylvania,39600.0,2019,SingleFamily,1920
31,,1.5,2,PGH,1200,,3464,01/01/1970,04/05/2017,163500,40.458781,-79.961459,2861,,15219,Melwood Avenue,Pennsylvania,103900.0,2019,MultiFamily5Plus,1960
32,176432,2.0,4,PGH,1120,213483,1172,10/06/2019,02/18/1993,27000,40.458471,-79.964119,1980,142910,15219,Herron Avenue,Pennsylvania,69800.0,2019,Duplex,1900
33,230378,1.0,3,PGH,1609,287973,3503,10/06/2019,01/15/1999,26500,40.459339,-79.961328,1981,186606,15213,Melwood Avenue,Pennsylvania,62300.0,2019,SingleFamily,1861
