,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,107466,1.0,3,PGH,920,125735,795,10/01/2019,03/19/1993,43000,40.428744,-80.038051,4344,81674,15220,Ridgemont Drive,Pennsylvania,66400.0,2019,SingleFamily,1939
1,120792,1.0,2,PGH,875,130455,437,10/01/2019,07/31/2018,117000,40.431818,-80.035625,6298,111129,15220,Ridgemont Drive,Pennsylvania,75900.0,2019,SingleFamily,1957
2,148988,1.0,3,PGH,1100,169846,407,10/01/2019,NA,NA,40.432901,-80.036622,19584,132599,15220,Ridgemont Drive,Pennsylvania,93300.0,2019,SingleFamily,1960
3,138177,1.0,3,PGH,1275,149231,736,10/01/2019,06/24/1994,70000,40.429979,-80.037875,4150,125741,15220,Hestor Drive,Pennsylvania,76700.0,2019,SingleFamily,1957
4,113003,1.0,3,PGH,920,134474,643,10/01/2019,02/12/2015,66000,40.429509,-80.038689,4536,88142,15220,Ridgemont Drive,Pennsylvania,62200.0,2019,SingleFamily,1930
5,114144,1.0,3,PGH,920,134690,735,10/01/2019,07/31/2013,79000,40.429702,-80.038518,4242,90174,15220,Ridgemont Drive,Pennsylvania,58900.0,2019,SingleFamily,1930
6,151377,1.0,3,PGH,1100,169542,418,10/01/2019,03/16/2010,100000,40.431953,-80.035019,8400,134726,15220,Ridgemont Drive,Pennsylvania,92000.0,2019,SingleFamily,1960
7,150296,1.5,3,PGH,1176,166829,400,10/01/2019,08/22/2017,137000,40.431957,-80.037174,9240,135266,15220,Ridgemont Drive,Pennsylvania,82900.0,2019,SingleFamily,1950
8,101370,1.0,3,PGH,1240,121644,650,10/01/2019,NA,NA,40.429564,-80.038167,4788,69945,15220,Ridgemont Drive,Pennsylvania,60800.0,2019,SingleFamily,1945
9,105139,1.0,3,PGH,920,125115,763,10/01/2019,09/01/2016,97500,40.429074,-80.037822,4386,86214,15220,Ridgemont Drive,Pennsylvania,45000.0,2019,SingleFamily,1945
10,130847,2.5,3,PGH,1176,147857,424,10/01/2019,09/01/2004,61000,40.43141,-80.037711,7000,103369,15220,Ridgemont Drive,Pennsylvania,68300.0,2019,SingleFamily,1943
11,116298,1.0,3,PGH,920,134906,709,10/01/2019,04/20/1998,54500,40.428657,-80.038151,4242,89549,15220,Ridgemont Drive,Pennsylvania,70000.0,2019,SingleFamily,1948
12,140345,2.0,3,PGH,1176,151573,405,10/01/2019,09/19/2007,100000,40.431413,-80.036785,5000,127714,15220,Ridgemont Drive,Pennsylvania,75200.0,2019,SingleFamily,1950
13,,1.0,2,PGH,920,,733,01/01/1970,08/03/2004,46000,40.428805,-80.039895,5610,,15220,Ridgemont Drive,Pennsylvania,52600.0,2019,SingleFamily,1930
14,,NA,0,PGH,NA,,398,01/01/1970,NA,NA,40.432922,-80.034388,3200,,15220,Journal Street,Pennsylvania,9600.0,2019,SingleFamily,NA
15,63855,1.0,3,PGH,1333,70879,607,10/01/2019,10/06/2017,58300,40.430367,-80.03798,4000,57470,15220,Ridgemont Drive,Pennsylvania,72300.0,2019,SingleFamily,1946
16,122581,1.0,2,PGH,1934,144646,43,10/01/2019,03/16/1979,34320,40.430147,-80.034814,10910,84581,15220,Albany Street,Pennsylvania,72400.0,2019,SingleFamily,1900
17,134442,1.0,3,PGH,1333,146542,537,10/01/2019,10/25/1975,25000,40.430749,-80.037665,5200,118309,15220,Ridgemont Drive,Pennsylvania,74500.0,2019,SingleFamily,1946
18,,1.0,3,PGH,1040,,360,01/01/1970,04/24/2003,55000,40.43282,-80.034959,2500,,15220,Junius Street,Pennsylvania,7500.0,2019,SingleFamily,1890
19,115362,1.0,3,PGH,920,134974,739,10/01/2019,06/16/1993,47500,40.429708,-80.037479,3880,89982,15220,Hestor Drive,Pennsylvania,65100.0,2019,SingleFamily,1948
20,139040,1.0,3,PGH,1333,151554,692,10/01/2019,NA,NA,40.430682,-80.0384,4800,123746,15220,Ridgemont Drive,Pennsylvania,82000.0,2019,SingleFamily,1946
