,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,554504,4.0,5,PGH,2427,615499,5791,10/07/2019,05/20/2010,277500,40.452608,-79.929989,2861,476873,15232,Walnut Street,Pennsylvania,277500.0,2019,SingleFamily,1900
1,352106,1.0,4,PGH,1864,408443,329,10/07/2019,NA,NA,40.456296,-79.926075,2880,316895,15232,Lehigh Avenue,Pennsylvania,175000.0,2019,SingleFamily,1894
2,,1.0,2,PGH,NA,,512,01/01/1970,NA,NA,40.453941,-79.921756,NA,,15206-4471,Shady Avenue,Pennsylvania,NA,NA,Apartment,1890
3,812383,4.5,5,PGH,3756,853002,5919,10/07/2019,09/30/1997,204000,40.453027,-79.92602,5000,731145,15232,Howe Street,Pennsylvania,484400.0,2019,SingleFamily,1901
4,,2.5,3,PGH,1554,,507,01/01/1970,06/08/2016,5000,40.450148,-79.948358,1623,,15213,North Neville Street,Pennsylvania,175000.0,2017,Condominium,1980
5,407465,2.5,3,PGH,1854,480809,6644,10/07/2019,NA,NA,40.452721,-79.911096,7800,342271,15206,Penn Avenue,Pennsylvania,171600.0,2019,SingleFamily,1940
6,1061886,4.0,5,PGH,4087,1114980,6105,10/07/2019,03/05/2004,450000,40.45508,-79.924413,9022,998173,15206,Walnut Street,Pennsylvania,497100.0,2019,SingleFamily,1864
7,,1.0,0,PGH,347,,4720,01/01/1970,NA,NA,40.452585,-79.948753,NA,,15213,Centre Avenue,Pennsylvania,NA,NA,Apartment,NA
8,237325,2.0,2,PGH,1270,251565,5,10/07/2019,04/15/2019,235500,40.452625,-79.942606,1270,223085,15213,Bayard Road,Pennsylvania,133400.0,2019,Condominium,1969
9,,1.0,2,PGH,925,,257,01/01/1970,07/17/2002,217000,40.457676,-79.923185,4026,,15206,Emerson Street,Pennsylvania,305000.0,2019,MultiFamily5Plus,1930
10,674817,3.5,4,PGH,3132,708558,6215,10/07/2019,08/05/2019,677000,40.453769,-79.922117,3885,641076,15206,Kentucky Avenue,Pennsylvania,494400.0,2019,SingleFamily,1912
11,,1.0,0,PGH,654,,6105,01/01/1970,NA,NA,40.460061,-79.923249,NA,,15206,Spirit Street,Pennsylvania,NA,NA,MultiFamily5Plus,2015
12,,1.0,1,PGH,NA,,265,01/01/1970,NA,NA,40.457383,-79.922308,NA,,15206,Shady Avenue,Pennsylvania,NA,NA,Apartment,1970
13,906837,4.0,6,PGH,4522,1024726,5107,10/07/2019,02/05/2008,440000,40.45169,-79.940686,7124,861495,15232-1419,Ellsworth Avenue,Pennsylvania,636400.0,2019,SingleFamily,1916
14,,1.0,2,PGH,NA,,636,01/01/1970,NA,NA,40.455233,-79.930587,NA,,15232,Maryland Avenue,Pennsylvania,NA,NA,Apartment,NA
15,,1.0,1,PGH,620,,5700,01/01/1970,NA,NA,40.457023,-79.933448,NA,,15206,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
16,,NA,NA,PGH,NA,,323,01/01/1970,NA,NA,40.453584,-79.943766,NA,,15213,Morewood Avenue,Pennsylvania,NA,NA,Unknown,NA
17,744612,4.0,4,PGH,3225,781843,5220,10/07/2019,01/13/2011,455700,40.447642,-79.936024,1690,707381,15232,Fifth Avenue,Pennsylvania,425200.0,2019,Townhouse,1990
18,,2.0,2,PGH,NA,,6305,01/01/1970,NA,NA,40.457236,-79.921894,NA,,15206,Marchand Street,Pennsylvania,NA,NA,MultiFamily5Plus,NA
19,310103,3.0,3,PGH,1200,341113,220,10/07/2019,11/29/2017,285000,40.458753,-79.922902,2652,282194,15206,Swope Street,Pennsylvania,128700.0,2019,Townhouse,1885
20,117145,1.0,3,PGH,1196,127688,651,10/07/2019,01/17/1997,74000,40.503674,-80.052004,3280,86687,15232,Maryland Avenue,Pennsylvania,70500.0,2019,SingleFamily,1928
21,316875,2.0,2,PGH,1400,335888,5025,10/07/2019,01/14/2016,184830,40.448221,-79.942289,1481,285188,15232-2131,Fifth Avenue,Pennsylvania,217000.0,2019,Condominium,1960
22,,1.0,1,PGH,NA,,341,01/01/1970,NA,NA,40.455996,-79.924921,NA,,15206,South Highland Avenue,Pennsylvania,NA,NA,Apartment,NA
23,,2.0,2,PGH,1000,,5523,01/01/1970,12/22/2004,82500,40.453855,-79.935186,NA,,15232,Ellsworth Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
24,423620,1.5,5,PGH,1910,482927,5634,10/07/2019,02/04/1987,41000,40.449773,-79.931742,2500,372786,15232,Kentucky Avenue,Pennsylvania,264500.0,2019,SingleFamily,1900
25,,1.0,2,PGH,870,,6401,01/01/1970,NA,NA,40.453298,-79.919538,NA,,15206,Fifth Avenue,Pennsylvania,NA,NA,Apartment,NA
26,,1.0,0,PGH,455,,35,01/01/1970,NA,NA,40.454576,-79.922121,NA,,15232,Shadyside Lane,Pennsylvania,NA,NA,Apartment,1880
27,446632,1.5,3,PGH,1302,518093,5802,10/07/2019,11/16/2016,392500,40.453625,-79.92909,3515,397502,15232,Elwood Street,Pennsylvania,341900.0,2019,SingleFamily,1950
28,841660,3.5,5,PGH,4672,900576,4744,10/07/2019,01/08/2004,643000,40.45178,-79.947278,8176,749077,15213,Wallingford Street,Pennsylvania,569800.0,2019,Duplex,1900
29,489811,2.5,3,PGH,1470,558385,4807,10/07/2019,06/23/2016,504000,40.451756,-79.948885,1355,445728,15213,Wallingford Street,Pennsylvania,376000.0,2019,SingleFamily,2012
30,289531,2.0,3,PGH,1704,347437,244,10/07/2019,NA,NA,40.457574,-79.927606,1441,234520,15232,Spahr Street,Pennsylvania,175000.0,2019,Townhouse,1900
31,737168,4.5,6,PGH,3972,833000,416,10/07/2019,07/01/1992,69500,40.452495,-79.943936,6539,641336,15213,Morewood Avenue,Pennsylvania,422800.0,2019,Duplex,1905
32,584276,3.0,4,PGH,3753,642704,639,10/07/2019,09/29/1999,145000,40.454,-79.931807,3450,514163,15232,South Negley Avenue,Pennsylvania,325000.0,2019,Triplex,1901
33,233111,1.0,2,PGH,2164,317031,240,10/07/2019,NA,NA,40.458278,-79.923692,3864,163178,15206,Emerson Street,Pennsylvania,87800.0,2019,SingleFamily,1895
34,812375,3.5,5,PGH,4044,852994,5325,10/07/2019,03/30/2007,592000,40.452898,-79.937006,5299,739261,15232,Ellsworth Avenue,Pennsylvania,514000.0,2019,SingleFamily,1900
35,,1.0,2,PGH,1000,,270,01/01/1970,NA,NA,40.457312,-79.923643,NA,,15206,Emerson Street,Pennsylvania,NA,NA,Apartment,NA
36,1964312,3.5,6,PGH,7194,2258959,993,10/07/2019,09/02/1998,756000,40.448525,-79.938851,13652,1453591,15232,Amberson Avenue,Pennsylvania,966600.0,2019,SingleFamily,1923
37,577389,3.0,5,PGH,3157,646676,609,10/07/2019,08/01/2001,39000,40.453237,-79.931383,4000,485007,15232,South Negley Avenue,Pennsylvania,285000.0,2019,Duplex,1900
38,456852,1.5,3,PGH,1600,511674,5405,10/07/2019,12/28/2016,400000,40.453065,-79.936526,2075,406598,15232-1803,Ellsworth Avenue,Pennsylvania,348400.0,2019,SingleFamily,1964
39,1090571,4.5,7,PGH,4942,1232345,5224,10/07/2019,07/06/2015,1290000,40.450654,-79.93763,6989,1003325,15232,Pembroke Place,Pennsylvania,771900.0,2019,SingleFamily,1900
40,959383,3.5,4,PGH,3036,1007352,5131,10/07/2019,04/18/2014,796500,40.452064,-79.940016,16725,911414,15232-1419,Ellsworth Avenue,Pennsylvania,751400.0,2019,SingleFamily,1884
41,,1.0,1,PGH,542,,5522,01/01/1970,NA,NA,40.456519,-79.935465,NA,,15232,Centre Avenue,Pennsylvania,NA,NA,Apartment,NA
