,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,115046,2.0,3,PGH,1690,128852,3236,10/05/2019,NA,NA,40.451874,-80.067072,4800,92037,15204,Faronia Street,Pennsylvania,69800.0,2019,MultiFamily2To4,1961
1,88594,1.0,3,PGH,1224,116058,1401,10/05/2019,06/17/1992,220000,40.453471,-80.069672,3610,69103,15204,Evanston Street,Pennsylvania,58100.0,2019,SingleFamily,1975
2,,1.0,3,PGH,1064,,3407,01/01/1970,06/26/1987,20000,40.457789,-80.067571,3885,,15204,Chartiers Avenue,Pennsylvania,33500.0,2019,SingleFamily,1905
3,29601,1.0,3,PGH,1450,39073,2529,10/05/2019,04/12/1996,10500,40.453431,-80.045258,2250,19833,15204,Merwyn Avenue,Pennsylvania,28300.0,2019,SingleFamily,1930
4,,1.0,2,PGH,1536,,3323,01/01/1970,12/22/1986,12000,40.455269,-80.065794,4838,,15204,Allendorf Street,Pennsylvania,40800.0,2019,SingleFamily,1925
5,80343,1.0,3,PGH,1540,103642,1200,10/05/2019,01/25/1999,35000,40.457398,-80.06432,4800,61061,15204,Faust Street,Pennsylvania,56700.0,2019,SingleFamily,1930
6,124747,2.0,3,PGH,1436,130984,1428,10/05/2019,07/18/2019,125000,40.452947,-80.069571,5040,118510,15204,Swantek Street,Pennsylvania,62800.0,2019,SingleFamily,1940
7,,1.0,2,PGH,792,,3302,01/01/1970,NA,NA,40.457055,-80.061335,3000,,15204,Francisco Street,Pennsylvania,11200.0,2019,SingleFamily,1920
8,,1.0,3,PGH,1574,,1033,01/01/1970,NA,NA,40.454547,-80.06151,5000,,15204,Sutherland Street,Pennsylvania,38800.0,2019,SingleFamily,1900
9,162612,2.0,3,PGH,1496,201639,3466,10/05/2019,06/18/2013,30000,40.436092,-79.824963,28889,134968,15204,Universal Street,Pennsylvania,111800.0,2019,SingleFamily,1950
10,,1.0,3,PGH,1370,,2770,01/01/1970,02/12/2016,40000,40.456283,-80.046602,42925,,15204,Glasgow Street,Pennsylvania,49200.0,2019,SingleFamily,1900
11,129283,1.5,2,PGH,1452,148675,1199,10/05/2019,03/31/2004,25000,40.459393,-80.066816,6700,115062,15204,Oetting Street,Pennsylvania,88800.0,2019,SingleFamily,1956
12,59992,2.0,3,PGH,1738,74390,1202,10/05/2019,11/01/1963,12000,40.456069,-80.063525,5000,43194,15204,Tweed Street,Pennsylvania,54400.0,2019,SingleFamily,1901
13,30524,1.0,3,PGH,1332,39986,2921,10/05/2019,03/31/2014,3000,40.456996,-80.049931,2500,20146,15204,Sacramento Avenue,Pennsylvania,36000.0,2019,SingleFamily,1927
14,104858,1.0,3,Ingram,1388,127927,3200,10/05/2019,11/30/2007,115000,40.45095,-80.06674,7210,76546,15204,Middletown Road,Pennsylvania,66300.0,2019,SingleFamily,1948
15,56346,2.0,6,PGH,2496,82265,3135,10/05/2019,04/16/2013,19119,40.454934,-80.060822,6700,32681,15204,Allendale Street,Pennsylvania,30000.0,2019,Duplex,1910
16,,1.0,3,PGH,1860,,2985,01/01/1970,11/06/2006,25000,40.457081,-80.051636,2500,,15204,Merwyn Avenue,Pennsylvania,40600.0,2019,SingleFamily,1899
17,70410,1.0,3,PGH,2232,86604,3108,10/05/2019,05/28/1996,44000,40.456246,-80.056446,3000,45766,15204,Ashlyn Street,Pennsylvania,58900.0,2019,SingleFamily,1928
18,123508,2.0,3,PGH,1268,133389,1400,10/05/2019,09/20/2012,81000,40.453536,-80.07012,4940,107452,15204,Evanston Street,Pennsylvania,79200.0,2019,SingleFamily,1956
19,129704,1.0,3,PGH,1956,147863,3032,10/05/2019,05/24/2016,109900,40.450909,-80.063898,6000,105060,15204,Briscoe Street,Pennsylvania,92500.0,2019,SingleFamily,1925
20,87994,1.5,3,PGH,NA,95913,1401,10/05/2019,06/20/2018,85400,40.451926,-80.06577,2482,80954,15204,Jeffers Street,Pennsylvania,58500.0,2019,SingleFamily,1925
21,22174,1.0,3,PGH,1128,33704,1022,10/05/2019,04/17/2013,43000,40.454613,-80.061395,2500,16852,15204,Sutherland Street,Pennsylvania,12000.0,2019,SingleFamily,1910
22,,1.0,3,PGH,1080,,2704,01/01/1970,03/24/2006,80000,40.453634,-80.049023,2500,,15204,Merwyn Avenue,Pennsylvania,25800.0,2019,SingleFamily,1920
