,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,2.0,5,PGH,4424,,908,01/01/1970,NA,NA,40.45952,-79.996654,27703,,15212,Goehring Street,Pennsylvania,102900.0,2019,SingleFamily,1890
1,48030,3.0,3,PGH,1613,51872,173,09/25/2019,07/30/2018,45795,40.462523,-79.992182,5875,44668,15212,Zang Way,Pennsylvania,48200.0,2019,SingleFamily,1900
2,,1.0,3,PGH,1736,,1146,01/01/1970,NA,NA,40.470336,-79.995098,6624,,15212,South Side Avenue,Pennsylvania,40000.0,2019,SingleFamily,1911
3,,1.0,0,PGH,880,,2136,01/01/1970,07/11/2017,1000,40.46397,-80.013912,2000,,15212,Parkway North,Pennsylvania,800.0,2019,SingleFamily,1915
4,,NA,0,PGH,NA,,95,01/01/1970,NA,NA,40.464795,-79.998079,6509,,15212,Brahm Street,Pennsylvania,18100.0,2019,SingleFamily,NA
5,100654,1.0,3,PGH,1304,116759,2299,09/25/2019,NA,NA,40.469359,-79.990078,4082,72471,15212,Harbor Street,Pennsylvania,59600.0,2019,SingleFamily,1955
6,212932,1.5,2,PGH,918,259777,2280,09/25/2019,10/06/2016,148000,40.428122,-79.974156,6351,172475,15212,East Street,Pennsylvania,128900.0,2019,MultiFamily2To4,1980
7,212932,1.5,2,PGH,NA,259777,2208,09/25/2019,NA,NA,40.428122,-79.974156,NA,172475,15212,East Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
8,50517,1.0,3,PGH,1296,70219,99,09/25/2019,NA,NA,40.464485,-79.998409,5775,34857,15212,Brahm Street,Pennsylvania,47900.0,2019,SingleFamily,1900
9,,3.0,9,PGH,4000,,1914,01/01/1970,02/03/1998,22000,40.465794,-79.992347,6452,,15212,Rhine Street,Pennsylvania,18100.0,2019,SingleFamily,1910
10,,2.0,2,PGH,956,,2201,01/01/1970,06/25/2007,30000,40.469205,-79.990022,8246,,15212,Harbor Street,Pennsylvania,43600.0,2019,SingleFamily,1925
