,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,800730,3.0,4,PGH,2962,856781,157,10/06/2019,09/21/2015,655000,40.422589,-79.917417,5415,760694,15217,Gilda Avenue,Pennsylvania,602600.0,2019,SingleFamily,1986
1,363211,2.0,4,PGH,1843,395900,6369,10/06/2019,07/23/1985,68000,40.433829,-79.915596,4620,312361,15217,Douglas Street,Pennsylvania,183800.0,2019,SingleFamily,1910
2,315917,3.0,4,PGH,1944,350668,6434,10/06/2019,10/02/2017,290000,40.432189,-79.91695,3259,284325,15217,Phillips Avenue,Pennsylvania,204300.0,2019,SingleFamily,1914
3,235360,1.0,2,PGH,1302,270664,5518,10/06/2019,03/21/2011,165000,40.432148,-79.929787,3120,204763,15217,Hobart Street,Pennsylvania,145800.0,2019,SingleFamily,1920
4,603593,4.0,4,PGH,3370,694132,6311,10/06/2019,06/04/1996,215000,40.426244,-79.920541,6500,543234,15217,Burchfield Avenue,Pennsylvania,333800.0,2019,SingleFamily,1910
5,411636,2.0,3,PGH,1800,461032,5431,10/06/2019,03/25/2014,200000,40.436203,-79.932634,8250,386938,15217,Darlington Road,Pennsylvania,263600.0,2019,SingleFamily,2016
6,309375,1.0,3,PGH,1379,334125,6373,10/06/2019,08/22/2018,301500,40.424626,-79.921509,3104,284625,15217,Ebdy Street,Pennsylvania,164200.0,2019,SingleFamily,1925
7,291549,1.0,2,PGH,NA,320704,5603,10/06/2019,NA,NA,40.433882,-79.927337,NA,256563,15217,Beacon Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
8,674942,3.0,3,PGH,2530,708689,1902,10/06/2019,07/25/2014,550000,40.437454,-79.911256,11799,634445,15217,Beechwood Boulevard,Pennsylvania,480000.0,2019,SingleFamily,1927
9,464196,2.5,2,PGH,1600,515258,1110,10/06/2019,07/03/2017,425000,40.424184,-79.910981,2103,417776,15217,Frick Lane,Pennsylvania,239600.0,2019,SingleFamily,2004
10,392197,1.5,3,PGH,2036,454949,2748,10/06/2019,07/24/1974,37000,40.425119,-79.916155,10416,341211,15217,Fernwald Road,Pennsylvania,201500.0,2019,SingleFamily,1948
11,622461,4.0,8,PGH,4284,697156,5832,10/06/2019,07/19/2000,292000,40.436747,-79.921651,7100,560215,15217,Darlington Road,Pennsylvania,368200.0,2019,Duplex,1920
12,626892,1.0,0,PGH,374700,739733,1900,10/06/2019,03/04/2009,435000,40.435861,-79.923263,1086,514051,15217,Murray Avenue,Pennsylvania,374700.0,2019,Condominium,NA
13,531979,2.0,3,PGH,2418,611776,5578,10/06/2019,06/29/1992,152500,40.436466,-79.929803,4750,462822,15217,Darlington Road,Pennsylvania,290900.0,2019,SingleFamily,1920
14,196254,1.5,3,PGH,1200,221767,6699,10/06/2019,09/13/2016,167000,40.422665,-79.920311,3354,168778,15217,Rosemoor Street,Pennsylvania,125300.0,2019,SingleFamily,1956
15,857305,3.5,4,PGH,3060,900170,1267,10/06/2019,NA,NA,40.421462,-79.914633,6407,780148,15217,Fairstead Lane,Pennsylvania,504500.0,2019,SingleFamily,2005
16,638201,2.5,4,PGH,3196,714785,5524,10/06/2019,09/20/1994,177000,40.434151,-79.929669,8125,574381,15217,Beacon Street,Pennsylvania,344600.0,2019,SingleFamily,1925
17,201161,1.0,3,PGH,1176,239382,3278,10/06/2019,NA,NA,40.431461,-79.919123,3541,158917,15217,Shady Avenue,Pennsylvania,79900.0,2019,SingleFamily,1920
18,204607,1.0,3,PGH,1340,214837,6616,10/06/2019,07/23/2019,205000,40.421443,-79.923205,6098,194377,15217,Landview Road,Pennsylvania,155000.0,2019,SingleFamily,1955
19,293099,2.0,3,PGH,1432,325340,6499,10/06/2019,06/10/2016,275000,40.428549,-79.917953,3960,234479,15217,Forward Avenue,Pennsylvania,155400.0,2019,SingleFamily,1901
20,226096,1.0,2,PGH,1260,280359,5743,10/06/2019,03/01/2001,83900,40.430615,-79.925894,4917,178616,15217,Melvin Street,Pennsylvania,127000.0,2019,SingleFamily,1930
21,577667,1.0,4,PGH,2666,618104,5363,10/06/2019,09/02/2005,299000,40.437087,-79.926441,6402,525677,15217,Darlington Road,Pennsylvania,306600.0,2019,SingleFamily,1918
22,637154,1.0,4,PGH,2799,751842,6309,10/06/2019,NA,NA,40.436503,-79.918493,10615,579810,15217,Bartlett Street,Pennsylvania,320000.0,2019,SingleFamily,1925
23,434944,3.0,4,PGH,2980,482788,6301,10/06/2019,10/27/2017,400000,40.420093,-79.921731,21854,391450,15217,Quinn Way,Pennsylvania,340300.0,2019,SingleFamily,1940
24,794371,4.0,5,PGH,4287,881752,1728,10/06/2019,08/16/1988,500000,40.437138,-79.91584,18850,714934,15217,Beechwood Boulevard,Pennsylvania,545100.0,2019,SingleFamily,1920
25,378931,4.0,5,PGH,2042,466085,5534,10/06/2019,06/16/1992,128700,40.436496,-79.929212,3510,341038,15217,Darlington Road,Pennsylvania,203000.0,2019,SingleFamily,1916
26,573484,2.5,3,PGH,2363,619363,2608,10/06/2019,12/30/1988,135000,40.4284,-79.912554,9028,521870,15217,Mount Royal Road,Pennsylvania,301600.0,2019,SingleFamily,1965
27,556631,3.0,4,PGH,3005,601161,5899,10/06/2019,NA,NA,40.436423,-79.919326,3990,484269,15217,Bartlett Street,Pennsylvania,322600.0,2019,SingleFamily,1900
