,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,188341,1.0,2,PGH,1220,207175,6618,09/25/2019,09/01/1994,72500,40.487775,-79.929542,4280,167623,15206,Greenwood Street,Pennsylvania,111500.0,2019,SingleFamily,1960
1,147205,2.5,4,PGH,1829,163398,4501,09/25/2019,05/19/2017,131000,40.482248,-79.94045,2400,132485,15201,Stanton Avenue,Pennsylvania,103100.0,2019,SingleFamily,1901
2,222086,3.0,3,PGH,2100,282049,104,09/25/2019,12/05/2017,71000,40.478594,-79.936777,8555,175448,15201,Elena Court,Pennsylvania,62100.0,2019,SingleFamily,1900
3,130106,1.0,2,PGH,621,170439,5007,09/25/2019,NA,NA,40.478388,-79.932531,4004,87171,15206,Stanton Avenue,Pennsylvania,30167.0,2019,SingleFamily,1914
4,205022,1.0,2,PGH,1794,248077,5175,09/25/2019,02/16/2016,50000,40.477719,-79.951829,1260,161967,15206,Stanton Avenue,Pennsylvania,49000.0,2019,SingleFamily,1900
5,223076,1.5,4,PGH,1680,234230,6512,09/25/2019,04/11/2019,218500,40.486578,-79.930526,3733,211922,15206,Martha Street,Pennsylvania,125500.0,2019,SingleFamily,1951
6,230375,1.0,2,PGH,1248,255716,1162,09/25/2019,06/23/2017,206000,40.483378,-79.938737,2252,207338,15201,Downlook Street,Pennsylvania,74000.0,2019,SingleFamily,1940
7,115339,1.0,3,PGH,998,136100,910,09/25/2019,06/13/1996,24000,40.475501,-79.936846,3768,88811,15201,Oranmore Street,Pennsylvania,64600.0,2019,Townhouse,1950
8,226044,1.0,2,PGH,1503,246388,5047,09/25/2019,04/16/1975,35000,40.47774,-79.934764,6800,203440,15201,Rosecrest Drive,Pennsylvania,110000.0,2019,SingleFamily,1955
9,195591,2.0,3,PGH,1320,224930,132,09/25/2019,05/09/1985,53000,40.481976,-79.935108,3185,170164,15201,West Stanton Court,Pennsylvania,112400.0,2019,SingleFamily,1940
10,170561,1.5,3,PGH,1229,191028,946,09/25/2019,02/15/2017,149000,40.476728,-79.937766,4945,153505,15201,Millerdale Street,Pennsylvania,95700.0,2019,SingleFamily,1956
11,231241,2.0,3,PGH,1398,254365,5097,09/25/2019,12/04/2013,120000,40.476164,-79.934618,6050,210429,15201,Rosecrest Drive,Pennsylvania,122300.0,2019,SingleFamily,1958
12,,1.0,3,PGH,1757,,4928,01/01/1970,NA,NA,40.479308,-79.933954,2500,,15201,Coleridge Street,Pennsylvania,3200.0,2019,SingleFamily,1980
13,180403,1.0,2,PGH,1061,202051,1627,09/25/2019,07/23/2009,100000,40.486604,-79.931803,4000,156951,15206,Trinity Street,Pennsylvania,92600.0,2019,SingleFamily,1952
14,269753,2.5,4,PGH,2280,315611,976,09/25/2019,11/01/1982,61050,40.477152,-79.936503,7460,226593,15201,Oranmore Street,Pennsylvania,161000.0,2019,SingleFamily,1960
15,232038,2.0,4,PGH,1725,269164,4216,09/25/2019,12/19/1996,63000,40.476162,-79.939792,5631,197232,15201,Coleridge Street,Pennsylvania,94800.0,2019,SingleFamily,1948
16,299656,2.0,3,PGH,1764,314639,1522,09/25/2019,07/23/2019,299000,40.484897,-79.933026,7200,284673,15206,Trinity Street,Pennsylvania,130500.0,2019,SingleFamily,1950
17,163484,1.0,3,PGH,1504,199450,5628,09/25/2019,NA,NA,40.48201,-79.942855,5598,130787,15201,Camelia Street,Pennsylvania,53100.0,2019,SingleFamily,1910
18,273371,2.5,3,PGH,2150,311643,5185,09/25/2019,09/02/2005,147000,40.474194,-79.935012,7930,226898,15201,Rosecrest Drive,Pennsylvania,157200.0,2019,SingleFamily,1955
