,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,62657,1.0,3,PGH,1600,78321,295,10/06/2019,03/25/2019,24000,40.389899,-79.932589,2252,40727,15218,Homestead Street,Pennsylvania,53800.0,2019,SingleFamily,1916
1,175529,1.0,2,PGH,864,200103,1100,10/06/2019,NA,NA,40.419892,-79.90644,3976,143934,15218,Love Street,Pennsylvania,128000.0,2019,SingleFamily,1980
2,262140,1.5,3,PGH,1879,293597,1111,10/06/2019,NA,NA,40.423067,-79.90108,10812,222819,15218,Windermere Drive,Pennsylvania,170000.0,2019,SingleFamily,1954
3,267647,2.5,4,PGH,1782,297088,1276,10/06/2019,06/30/2017,245000,40.421493,-79.901577,7200,240882,15218,Commercial Street,Pennsylvania,170000.0,2019,SingleFamily,1957
4,164993,1.0,2,PGH,1188,188092,1149,10/06/2019,09/04/2001,102000,40.419197,-79.902076,2800,138594,15218,Goodman Street,Pennsylvania,95000.0,2019,SingleFamily,1955
5,175822,2.0,2,PGH,1134,203954,1272,10/06/2019,11/16/2015,115000,40.420069,-79.903741,3750,137141,15218,Love Street,Pennsylvania,82700.0,2019,SingleFamily,1952
6,,1.5,3,PGH,1219,,6,01/01/1970,NA,NA,40.416439,-79.914355,2342,,15217,Blackmore Street,Pennsylvania,30000.0,2019,SingleFamily,1900
7,276253,1.0,2,PGH,1425,312166,1101,10/06/2019,NA,NA,40.423558,-79.905631,18616,240340,15218,Onondago Street,Pennsylvania,166600.0,2019,SingleFamily,1923
8,356803,2.5,3,PGH,1861,403187,1037,10/06/2019,08/12/2015,370000,40.424835,-79.901657,6000,331827,15218,Windermere Drive,Pennsylvania,206000.0,2019,SingleFamily,1952
9,276253,1.0,2,PGH,1425,312166,1201,10/06/2019,NA,NA,40.423558,-79.905631,18616,240340,15218,Onondago Street,Pennsylvania,166600.0,2019,SingleFamily,1923
10,309629,2.5,3,PGH,2178,346784,1163,10/06/2019,04/10/2017,279000,40.422169,-79.904575,11933,275570,15218,Onondago Street,Pennsylvania,253600.0,2019,SingleFamily,1958
11,212994,2.0,3,PGH,1234,223644,1164,10/06/2019,12/03/2018,101251,40.420003,-79.904804,2178,202344,15218,Love Street,Pennsylvania,115000.0,2019,SingleFamily,1925
12,,1.5,3,PGH,1128,,135,01/01/1970,NA,NA,40.419971,-79.900633,7200,,15218,Homestead Street,Pennsylvania,20000.0,2019,SingleFamily,1875
13,180369,1.5,3,PGH,1108,200210,1114,10/06/2019,07/31/2008,99900,40.418541,-79.905621,2500,162332,15218,Goodman Street,Pennsylvania,115000.0,2019,SingleFamily,1960
14,182950,1.0,2,Swissvale,1008,204904,1120,10/06/2019,NA,NA,40.424524,-79.900486,6300,144530,15218,Nevada Street,Pennsylvania,147500.0,2019,SingleFamily,1940
15,,1.0,1,Swissvale,5712,,1330,01/01/1970,NA,NA,40.418699,-79.901319,26100,,15218,Pocono Street,Pennsylvania,286400.0,2019,Apartment,1900
16,327065,1.5,3,PGH,1690,366313,1224,10/06/2019,04/25/2002,145000,40.422809,-79.902505,6300,300900,15218,Windermere Drive,Pennsylvania,217300.0,2019,SingleFamily,1951
17,155104,1.0,1,Swissvale,733,183023,1346,10/06/2019,07/31/2002,56900,40.419456,-79.902196,2500,116328,15218,Pocono Street,Pennsylvania,92700.0,2019,SingleFamily,1931
18,305995,2.5,3,PGH,2120,354954,1140,10/06/2019,01/08/2015,240000,40.418601,-79.904682,5000,266216,15218,Goodman Street,Pennsylvania,204600.0,2019,SingleFamily,1968
19,277087,2.5,3,PGH,1934,321421,1237,10/06/2019,10/04/1983,55000,40.421878,-79.901233,5775,238295,15218,Commercial Street,Pennsylvania,171000.0,2019,SingleFamily,1955
20,203116,1.0,2,PGH,1260,229521,1124,10/06/2019,06/16/2004,135000,40.421314,-79.90593,2500,184836,15218,Olivia Street,Pennsylvania,154200.0,2019,SingleFamily,1957
21,209518,1.0,3,PGH,1054,219994,1226,10/06/2019,06/18/2019,210000,40.420107,-79.903179,2500,199042,15218,Love Street,Pennsylvania,116200.0,2019,SingleFamily,1900
22,279015,1.5,4,Swissvale,1794,315287,1332,10/06/2019,08/01/2014,228000,40.418909,-79.900907,11865,237163,15218,Pocono Street,Pennsylvania,204300.0,2019,SingleFamily,1923
23,188703,1.5,3,PGH,1083,211347,1198,10/06/2019,11/05/2013,155000,40.418527,-79.905799,2500,166059,15218,Goodman Street,Pennsylvania,119000.0,2019,SingleFamily,1973
24,186185,1.0,3,PGH,1141,214113,1225,10/06/2019,01/19/2016,134900,40.419828,-79.90323,3750,152672,15218,Pocono Street,Pennsylvania,89000.0,2019,SingleFamily,1929
25,172081,1.0,3,Swissvale,1320,203056,1316,10/06/2019,08/03/2004,59700,40.419084,-79.901402,4025,144548,15218,Pocono Street,Pennsylvania,86000.0,2019,SingleFamily,1925
26,186810,1.0,3,PGH,1120,212963,260,10/06/2019,07/25/2014,72000,40.420558,-79.8995,3600,156920,15218,Homestead Street,Pennsylvania,137100.0,2019,SingleFamily,1925
27,320666,1.5,3,PGH,1630,359146,1166,10/06/2019,NA,NA,40.423842,-79.902689,6110,291806,15218,Windermere Drive,Pennsylvania,219700.0,2019,SingleFamily,1957
28,,1.0,1,PGH,990,,174,01/01/1970,05/18/2009,5000,40.416084,-79.915212,13800,,15217,Ettwein Street,Pennsylvania,32100.0,2019,SingleFamily,1890
29,,1.0,2,Swissvale,1996,,41,01/01/1970,11/16/2018,60000,40.422524,-79.898632,6000,,15218,Nevada Street,Pennsylvania,139600.0,2019,Duplex,1940
30,286717,1.5,3,PGH,1874,329725,1355,10/06/2019,12/04/2013,119100,40.423503,-79.900204,7000,237975,15218,Windermere Drive,Pennsylvania,182400.0,2019,SingleFamily,1939
31,192804,1.0,3,PGH,1144,221725,204,10/06/2019,06/29/2012,147000,40.419241,-79.900586,5200,171596,15218,Homestead Street,Pennsylvania,157200.0,2019,SingleFamily,1940
32,267848,1.0,3,PGH,1448,299990,201,10/06/2019,06/20/2007,133010,40.421107,-79.899733,7200,235706,15218,Homestead Street,Pennsylvania,201100.0,2019,SingleFamily,1958
33,262267,1.0,3,PGH,1294,293739,1228,10/06/2019,NA,NA,40.422108,-79.90311,11100,230795,15218,Commercial Street,Pennsylvania,195200.0,2019,SingleFamily,1959
