,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,145958,1.5,3,PGH,1334,173690,1047,10/06/2019,12/30/2014,83700,40.495908,-79.927042,7310,119686,15212,South Canal Street,Pennsylvania,72000.0,2019,SingleFamily,1971
1,,1.0,2,PGH,925,,2051,01/01/1970,09/04/2001,27000,40.469298,-79.979528,1137,,15212,Straubs Lane,Pennsylvania,21700.0,2019,SingleFamily,1900
2,,2.0,5,PGH,2808,,1967,01/01/1970,05/20/2019,500,40.467615,-79.980108,1575,,15212,Lowrie Street,Pennsylvania,1900.0,2019,SingleFamily,1910
3,,1.0,3,PGH,1240,,1300,01/01/1970,NA,NA,40.459252,-79.988147,1689,,15212,Lowrie Street,Pennsylvania,8000.0,2019,SingleFamily,1900
4,247227,NA,0,PGH,1814,259588,1504,10/06/2019,04/04/2008,12000,40.463461,-79.984287,2069,234866,15212,Hatteras Street,Pennsylvania,51400.0,2019,MultiFamily2To4,1910
5,,1.0,2,PGH,2413,,1412,01/01/1970,01/15/2010,12900,40.462458,-79.984331,2932,,15212,Dehaven Street,Pennsylvania,35600.0,2019,SingleFamily,1919
6,,NA,NA,PGH,NA,,1600,01/01/1970,04/03/2017,235000,40.462752,-79.983548,2086,,15212,Lowrie Street,Pennsylvania,260300.0,2019,SingleFamily,NA
7,174988,2.0,6,PGH,2072,197736,1609,10/06/2019,NA,NA,40.463815,-79.981866,15485,146990,15212,Lowrie Street,Pennsylvania,128100.0,2019,Quadruplex,1945
8,,2.0,3,PGH,1200,,1507,01/01/1970,09/23/2009,14000,40.463665,-79.984146,1600,,15212,Claim Street,Pennsylvania,14000.0,2019,SingleFamily,1930
9,,1.0,2,PGH,600,,1234,01/01/1970,09/04/1981,8000,40.405456,-79.886054,5850,,15212,River Avenue,Pennsylvania,1900.0,2019,SingleFamily,1896
10,154596,1.5,3,PGH,1368,177785,1154,10/06/2019,08/11/1978,39500,40.496461,-79.923276,1423,128315,15212,South Canal Street,Pennsylvania,57800.0,2019,SingleFamily,1979
11,,3.0,4,PGH,2640,,1555,01/01/1970,11/12/1980,2666,40.462174,-79.983654,1400,,15212,Lowrie Street,Pennsylvania,38800.0,2019,Triplex,1910
