,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,NA,PGH,NA,,299,01/01/1970,NA,NA,40.434484,-80.033856,NA,,15220,China Street,Pennsylvania,NA,NA,Unknown,NA
1,,1.0,3,PGH,1702,,137,01/01/1970,05/23/1990,19000,40.436568,-80.034952,1400,,15220,Warden Street,Pennsylvania,33300.0,2019,SingleFamily,1890
2,208692,1.5,3,PGH,1286,223300,100,10/01/2019,NA,NA,40.518251,-80.048786,7993,191997,15220,Violet Way,Pennsylvania,153100.0,2019,SingleFamily,1955
3,,1.0,2,PGH,898,,201,01/01/1970,10/26/2012,15374,40.434212,-80.03379,2400,,15220,China Street,Pennsylvania,11800.0,2019,SingleFamily,1900
4,,NA,0,PGH,NA,,27,01/01/1970,04/26/2001,5800,40.440034,-80.03508,3132,,15220,Noblestown Road,Pennsylvania,4400.0,2019,SingleFamily,NA
5,,1.0,2,PGH,1520,,327,01/01/1970,NA,NA,40.441596,-80.032064,2000,,15220,South Main Street,Pennsylvania,89700.0,2019,Unknown,1905
6,507808,2.0,2,PGH,1994,553511,173,10/01/2019,05/03/2018,484899,40.534151,-80.091649,2431,467183,15220,McKnight Street,Pennsylvania,417900.0,2019,SingleFamily,2018
7,,1.5,3,PGH,2032,,109,01/01/1970,05/19/2008,1689,40.442124,-80.036913,10820,,15220,Elliott Street,Pennsylvania,12800.0,2019,SingleFamily,1900
8,40075,1.0,2,PGH,1391,56506,178,10/01/2019,05/01/2002,6000,40.435235,-80.032979,2052,24846,15220,Wabash Street,Pennsylvania,34800.0,2019,SingleFamily,1900
9,,2.0,4,PGH,2272,,162,01/01/1970,NA,NA,40.440822,-80.036303,2400,,15220,Elliott Street,Pennsylvania,39500.0,2019,SingleFamily,1900
10,,2.5,3,PGH,2573,,113,01/01/1970,06/02/2016,28000,40.437668,-80.034346,8000,,15220,Wabash Street,Pennsylvania,26900.0,2019,SingleFamily,1875
11,,NA,NA,PGH,NA,,414,01/01/1970,12/22/2016,300000,40.435557,-80.034116,2600,,15220,Greentree Road,Pennsylvania,240000.0,2019,SingleFamily,NA
12,187127,2.1,3,PGH,1534,198355,58,10/01/2019,05/01/2019,186000,40.544827,-80.020148,1601,177771,15220,McKnight Street,Pennsylvania,140200.0,2019,Condominium,1979
13,,2.0,4,PGH,2452,,212,01/01/1970,01/11/1999,44900,40.434134,-80.033734,2400,,15220,China Street,Pennsylvania,7800.0,2019,SingleFamily,1900
14,188639,1.5,2,PGH,1648,205617,598,10/01/2019,03/15/1990,120000,40.430732,-80.09083,1738,179207,15220,Greentree Road,Pennsylvania,154300.0,2019,Condominium,1981
15,,2.0,2,PGH,1248,,153,01/01/1970,04/03/1992,7008,40.441181,-80.040455,6667,,15220,Elliott Street,Pennsylvania,28100.0,2019,Duplex,1900
16,,NA,0,PGH,NA,,425,01/01/1970,NA,NA,40.435013,-80.033641,16674,,15220,Greentree Road,Pennsylvania,106800.0,2019,SingleFamily,NA
17,187284,1.0,3,PGH,1215,206012,122,10/01/2019,07/18/1994,90000,40.517079,-80.050644,7200,172301,15220,Violet Way,Pennsylvania,128400.0,2019,SingleFamily,1958
18,,1.0,3,PGH,2128,,70,01/01/1970,03/18/2015,2860,40.439298,-80.03471,1851,,15220,Wabash Street,Pennsylvania,2600.0,2019,SingleFamily,1890
19,115347,1.0,3,PGH,1200,134956,428,10/01/2019,03/08/2019,52500,40.432364,-80.05807,2500,91124,15220,Greentree Road,Pennsylvania,75100.0,2019,SingleFamily,1900
20,277691,2.5,3,PGH,2065,294352,564,10/01/2019,08/24/2000,239000,40.394304,-80.063428,2206,263806,15220,Wabash Street,Pennsylvania,250000.0,2019,Condominium,2000
21,,1.5,3,PGH,1280,,135,01/01/1970,11/27/2006,80000,40.442161,-80.033639,2400,,15220,Steuben Street,Pennsylvania,14300.0,2019,SingleFamily,1890
22,485957,3.0,3,PGH,2549,529693,139,10/01/2019,06/05/2018,467836,40.536933,-80.092802,2499,447080,15220,McKnight Street,Pennsylvania,417800.0,2019,SingleFamily,2018
23,241327,1.5,3,PGH,1762,258220,558,10/01/2019,10/17/1985,16900,40.395577,-80.080214,10086,224434,15220,Wabash Street,Pennsylvania,183800.0,2019,SingleFamily,1986
24,,2.0,3,PGH,1670,,127,01/01/1970,08/28/2006,29900,40.442347,-80.038061,5300,,15220,Elliott Street,Pennsylvania,14000.0,2019,SingleFamily,1900
25,,2.0,4,PGH,3094,,158,01/01/1970,03/28/2006,40000,40.442117,-80.03463,9240,,15220,Steuben Street,Pennsylvania,52300.0,2019,Duplex,1900
26,,NA,0,PGH,NA,,183,01/01/1970,02/21/2007,10000,40.441694,-80.035738,7800,,15220,Elliott Street,Pennsylvania,7300.0,2019,SingleFamily,NA
27,37936,1.0,3,PGH,1584,59560,46,10/01/2019,06/27/1995,33000,40.434432,-80.032515,3000,23520,15220,McKnight Street,Pennsylvania,27900.0,2019,SingleFamily,1900
28,,1.5,1,PGH,2640,,190,01/01/1970,03/07/2011,25000,40.441792,-80.035886,5700,,15220,Elliott Street,Pennsylvania,25000.0,2019,Apartment,1900
29,306159,3.5,3,PGH,2068,333713,448,10/01/2019,05/25/2018,294000,40.394672,-80.063501,2206,281666,15220,Wabash Street,Pennsylvania,250000.0,2019,Condominium,2000
30,61152,1.0,5,PGH,2145,94174,72,10/01/2019,NA,NA,40.43925,-80.034684,1392,42806,15220,Wabash Street,Pennsylvania,53600.0,2019,SingleFamily,1890
31,48722,1.0,1,PGH,486,55056,61,10/01/2019,10/12/2016,42500,40.549438,-80.02629,486,43363,15220,McKnight Street,Pennsylvania,38400.0,2019,Condominium,1953
32,,NA,0,PGH,NA,,199,01/01/1970,NA,NA,40.441195,-80.036002,3000,,15220,Steuben Street,Pennsylvania,1000.0,2019,SingleFamily,NA
33,,NA,NA,PGH,NA,,599,01/01/1970,NA,NA,40.494439,-79.935993,NA,,15220,South Main Street,Pennsylvania,NA,NA,SingleFamily,NA
34,203867,2.0,2,PGH,1273,224254,101,10/01/2019,07/03/2013,155500,40.518177,-80.048098,10025,185519,15220,Violet Way,Pennsylvania,148700.0,2019,SingleFamily,1953
35,130639,1.0,2,PGH,875,145009,474,10/01/2019,NA,NA,40.432458,-80.036638,19656,111043,15220,Wabash Street,Pennsylvania,83100.0,2019,SingleFamily,1960
36,69565,2.0,3,PGH,1704,95304,161,10/01/2019,07/15/2015,82500,40.440505,-80.036301,1740,44522,15220,Elliott Street,Pennsylvania,60300.0,2019,SingleFamily,1880
37,,2.0,2,PGH,806,,138,01/01/1970,07/27/2018,43000,40.436162,-80.035126,2500,,15220,Warden Street,Pennsylvania,30500.0,2019,SingleFamily,1890
38,,2.0,4,PGH,1980,,148,01/01/1970,02/11/2015,400000,40.442324,-80.034453,10360,,15220,Steuben Street,Pennsylvania,12700.0,2019,Duplex,1900
39,342870,1.5,3,PGH,1976,373728,117,10/01/2019,05/11/2007,231000,40.388944,-80.05095,5875,305154,15220,McKnight Street,Pennsylvania,196700.0,2019,SingleFamily,1928
40,,1.0,2,PGH,980,,140,01/01/1970,04/13/2011,28800,40.442075,-80.032676,748,,15220,Violet Way,Pennsylvania,22600.0,2019,SingleFamily,1880
41,,1.0,3,PGH,1008,,165,01/01/1970,NA,NA,40.451085,-80.04144,4447,,15220,Elliott Street,Pennsylvania,43200.0,2019,SingleFamily,1900
42,120364,NA,3,PGH,3540,151659,110,10/01/2019,06/13/2006,6000,40.437762,-80.034746,3750,81848,15220,Wabash Street,Pennsylvania,62700.0,2019,MultiFamily2To4,1900
43,,1.5,4,PGH,1909,,143,01/01/1970,11/15/2007,48000,40.444708,-80.040767,3100,,15220,Elliott Street,Pennsylvania,64300.0,2019,SingleFamily,1937
44,,NA,0,PGH,NA,,450,01/01/1970,NA,NA,40.440119,-80.034794,1500,,15220,Wabash Street,Pennsylvania,900.0,2019,SingleFamily,NA
45,,NA,0,PGH,NA,,194,01/01/1970,02/21/2007,10000,40.441694,-80.035738,7800,,15220,Elliott Street,Pennsylvania,7300.0,2019,SingleFamily,NA
46,,2.5,8,PGH,3646,,607,01/01/1970,03/22/2004,126000,40.440731,-80.036112,3400,,15220,South Main Street,Pennsylvania,52500.0,2019,Duplex,1900
47,46226,1.0,3,PGH,1620,70264,166,10/01/2019,11/13/2009,19000,40.435246,-80.033067,2000,28660,15220,Wabash Street,Pennsylvania,29000.0,2019,SingleFamily,1900
48,,NA,0,PGH,NA,,440,01/01/1970,NA,NA,40.440119,-80.034794,1500,,15220,Wabash Street,Pennsylvania,900.0,2019,SingleFamily,NA
49,281700,2.5,3,PGH,1986,301419,566,10/01/2019,09/24/1999,30000,40.395444,-80.08004,9109,264798,15220,Wabash Street,Pennsylvania,210800.0,2019,SingleFamily,1993
50,213709,2.0,3,PGH,1250,230806,114,10/01/2019,07/20/2018,207000,40.517454,-80.049779,8220,196612,15220,Violet Way,Pennsylvania,152000.0,2019,SingleFamily,1958
51,154851,2.0,3,PGH,1232,167239,136,10/01/2019,09/26/2018,150000,40.510713,-79.9987,15058,144011,15220,McKnight Street,Pennsylvania,124700.0,2019,SingleFamily,1965
52,,NA,NA,PGH,NA,,509,01/01/1970,NA,NA,40.494439,-79.935993,NA,,15220,South Main Street,Pennsylvania,NA,NA,SingleFamily,NA
53,,NA,0,PGH,NA,,131,01/01/1970,NA,NA,40.437058,-80.034438,1418,,15220,Wabash Street,Pennsylvania,900.0,2019,SingleFamily,NA
54,,2.0,2,PGH,1432,,176,01/01/1970,01/16/1985,15000,40.44262,-80.036991,5000,,15220,Elliott Street,Pennsylvania,34400.0,2019,SingleFamily,1860
55,47762,1.0,2,PGH,1280,66867,104,10/01/2019,08/22/2013,28500,40.4432,-80.039234,3015,32478,15220,Elliott Street,Pennsylvania,25800.0,2019,SingleFamily,1910
56,,1.0,3,PGH,1866,,108,01/01/1970,07/25/2012,3000,40.437881,-80.034915,3350,,15220,Wabash Street,Pennsylvania,11700.0,2019,SingleFamily,1895
