,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,109203,1.0,3,PGH,1474,129952,3434,10/07/2019,12/17/1982,47000,40.451902,-80.072527,4950,81902,15204,Harrisburg Street,Pennsylvania,82900.0,2019,SingleFamily,1929
1,51495,1.0,3,PGH,1161,55615,3832,10/07/2019,08/28/2018,50000,40.45872,-80.076268,3497,47375,15204,Chartiers Avenue,Pennsylvania,48700.0,2019,SingleFamily,1945
2,82693,1.0,3,PGH,1690,109155,1567,10/07/2019,08/10/1995,45000,40.456129,-80.075717,2500,67808,15204,Summerdale Street,Pennsylvania,79100.0,2019,SingleFamily,1895
3,126980,1.0,3,PGH,1000,144757,3822,10/07/2019,NA,NA,40.459764,-80.079877,6250,107933,15204,Mayfair Street,Pennsylvania,74100.0,2019,SingleFamily,1956
4,131776,1.0,3,PGH,1160,150225,3721,10/07/2019,02/18/1997,68500,40.457455,-80.081753,7150,119916,15204,Mayfair Street,Pennsylvania,84000.0,2019,SingleFamily,1958
5,143557,2.0,3,PGH,1144,163655,3373,10/07/2019,08/09/2016,138000,40.450271,-80.070576,12069,127766,15204,Kathy Drive,Pennsylvania,91700.0,2019,SingleFamily,1968
6,74745,1.5,2,PGH,900,81472,3749,10/07/2019,05/08/2018,71500,40.457723,-80.079942,4647,68765,15204,Windgap Avenue,Pennsylvania,55800.0,2019,Townhouse,1955
7,,3.0,3,PGH,1080,,3721,01/01/1970,10/06/2009,114000,40.457368,-80.081302,6534,,15204,Haven Street,Pennsylvania,95800.0,2019,SingleFamily,1959
8,157416,2.0,3,PGH,1250,171583,3327,10/07/2019,NA,NA,40.450258,-80.07111,7227,138526,15204,Kathy Drive,Pennsylvania,107100.0,2019,SingleFamily,1972
9,112946,1.5,3,PGH,1408,129888,3467,10/07/2019,05/03/2007,81500,40.452938,-80.073476,4097,89227,15204,Clearfield Street,Pennsylvania,91800.0,2019,SingleFamily,1930
10,209937,2.0,5,Ingram,2691,239328,3027,10/07/2019,05/31/2000,85000,40.44991,-80.065243,19460,182645,15204,Middletown Road,Pennsylvania,153300.0,2019,SingleFamily,1960
11,115320,1.5,2,PGH,965,136078,3717,10/07/2019,07/13/2005,79000,40.459924,-80.080434,5000,89950,15204,Mayfair Street,Pennsylvania,74800.0,2019,SingleFamily,1955
12,133664,1.0,2,PGH,825,140347,3988,10/07/2019,09/04/2019,134000,40.461211,-80.078401,1920,126981,15204,Mayfair Street,Pennsylvania,60400.0,2019,SingleFamily,1955
13,131192,1.0,3,PGH,1120,149559,3706,10/07/2019,02/04/1991,64900,40.45694,-80.081447,6885,119385,15204,Haven Street,Pennsylvania,92600.0,2019,SingleFamily,1960
14,236367,2.5,3,PGH,2000,260004,1672,10/07/2019,02/02/2018,220000,40.456735,-80.077588,118918,215094,15204,Summerdale Street,Pennsylvania,190900.0,2019,SingleFamily,1999
15,76688,1.5,3,PGH,1492,106596,3829,10/07/2019,12/08/2008,55000,40.459076,-80.078636,6588,55215,15204,Windgap Avenue,Pennsylvania,53100.0,2019,SingleFamily,1951
16,111471,1.5,3,Ingram,1539,125962,2885,10/07/2019,12/19/2014,75000,40.448412,-80.062198,3600,92521,15204,Middletown Road,Pennsylvania,78600.0,2019,SingleFamily,1928
17,123573,1.5,1,PGH,1423,133459,3633,10/07/2019,08/09/2018,120000,40.458427,-80.073449,8900,113687,15204,Middletown Road,Pennsylvania,80300.0,2019,SingleFamily,1952
18,117528,1.5,3,PGH,975,138683,3854,10/07/2019,02/11/2009,79900,40.460614,-80.07957,5335,91672,15204,Mayfair Street,Pennsylvania,75200.0,2019,SingleFamily,1955
19,127560,1.0,2,PGH,1014,141592,3315,10/07/2019,07/21/1998,60000,40.450224,-80.070789,7800,117355,15204,Kathy Drive,Pennsylvania,89100.0,2019,SingleFamily,1968
20,71140,1.0,2,PGH,768,96750,3809,10/07/2019,NA,NA,40.458111,-80.075871,4778,48375,15204,Windgap Avenue,Pennsylvania,49900.0,2019,SingleFamily,1947
21,,NA,0,PGH,NA,,1674,01/01/1970,NA,NA,40.45645,-80.077242,5100,,15204,Summerdale Street,Pennsylvania,16000.0,2019,SingleFamily,NA
22,87382,1.0,1,Ingram,672,117092,1,10/07/2019,NA,NA,40.44834,-80.067873,NA,63789,15205,Berry Street,Pennsylvania,3600.0,2019,Mobile,1990
23,130995,1.0,3,PGH,1080,148024,3725,10/07/2019,NA,NA,40.45792,-80.08224,7500,119205,15204,Mayfair Street,Pennsylvania,80400.0,2019,SingleFamily,1960
24,115744,1.5,3,PGH,1152,137735,3444,10/07/2019,05/05/2014,65000,40.452886,-80.072665,5318,86808,15204,Clearfield Street,Pennsylvania,65000.0,2019,SingleFamily,1952
25,129133,2.0,3,PGH,1505,144629,3723,10/07/2019,NA,NA,40.460023,-80.08031,5000,114928,15204,Mayfair Street,Pennsylvania,92000.0,2019,SingleFamily,1955
26,117528,1.5,3,PGH,975,138683,3853,10/07/2019,02/11/2009,79900,40.460614,-80.07957,5335,91672,15204,Mayfair Street,Pennsylvania,75200.0,2019,SingleFamily,1955
27,127560,1.0,2,PGH,1014,141592,3375,10/07/2019,07/21/1998,60000,40.450224,-80.070789,7800,117355,15204,Kathy Drive,Pennsylvania,89100.0,2019,SingleFamily,1968
28,131546,1.5,3,PGH,1134,149962,1619,10/07/2019,NA,NA,40.45733,-80.077395,7509,117076,15204,Belhurst Avenue,Pennsylvania,82100.0,2019,SingleFamily,1959
29,220841,2.0,2,Ingram,2006,247342,3039,10/07/2019,NA,NA,40.449747,-80.065688,19076,194340,15204,Middletown Road,Pennsylvania,156600.0,2019,SingleFamily,1952
30,111400,1.5,2,Ingram,1254,130338,2851,10/07/2019,12/19/2001,69900,40.447831,-80.062281,6000,86892,15204,Middletown Road,Pennsylvania,81200.0,2019,SingleFamily,1935
31,,NA,0,PGH,NA,,1614,01/01/1970,NA,NA,40.45645,-80.077242,5100,,15204,Summerdale Street,Pennsylvania,16000.0,2019,SingleFamily,NA
32,138846,1.0,3,PGH,1462,161061,3876,10/07/2019,NA,NA,40.457783,-80.073885,7734,123573,15204,Chartiers Avenue,Pennsylvania,100000.0,2019,SingleFamily,1977
33,88103,1.5,2,PGH,1064,111891,1599,10/07/2019,NA,NA,40.456137,-80.073641,3080,62553,15204,Summerdale Street,Pennsylvania,73900.0,2019,SingleFamily,1970
34,178221,1.0,2,PGH,2064,210301,3452,10/07/2019,07/31/2002,150000,40.452258,-80.073096,9900,149706,15204,Harrisburg Street,Pennsylvania,130700.0,2019,SingleFamily,1938
35,87611,1.0,3,PGH,1298,94620,5,10/07/2019,09/17/2018,85000,40.447575,-80.068907,3675,81478,15205,Berry Street,Pennsylvania,50000.0,2019,SingleFamily,1938
36,121281,1.5,3,PGH,1068,128558,3330,10/07/2019,04/22/2019,120500,40.450541,-80.071406,12671,114004,15204,Kathy Drive,Pennsylvania,89900.0,2019,SingleFamily,1966
37,87248,1.5,3,PGH,1064,115167,1521,10/07/2019,08/23/2006,61000,40.456124,-80.074242,3080,70671,15204,Summerdale Street,Pennsylvania,61000.0,2019,SingleFamily,1970
38,111163,1.0,3,PGH,1100,124503,3814,10/07/2019,10/03/2016,100000,40.459196,-80.07924,NA,98935,15204,Haven Street,Pennsylvania,NA,NA,SingleFamily,NA
39,131046,1.0,3,PGH,1500,148082,3303,10/07/2019,09/27/2011,32097,40.450726,-80.070366,8829,119252,15204,Kathy Drive,Pennsylvania,94800.0,2019,SingleFamily,1966
40,121636,1.0,4,PGH,1433,136232,3927,10/07/2019,NA,NA,40.460121,-80.080186,5000,98525,15204,Mayfair Street,Pennsylvania,84400.0,2019,SingleFamily,1955
41,130459,2.0,3,PGH,1375,151332,3785,10/07/2019,NA,NA,40.461324,-80.079046,7250,117413,15204,Mayfair Street,Pennsylvania,88300.0,2019,SingleFamily,1955
