,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,3,PGH,1532,,713,01/01/1970,08/28/1986,27900,40.424458,-79.995351,2610,,15210,McLain Street,Pennsylvania,42200.0,2019,SingleFamily,1900
1,78684,1.0,2,PGH,780,96781,1000,10/06/2019,08/19/2013,35000,40.422601,-79.987874,1800,59013,15203,St Martin Street,Pennsylvania,61100.0,2019,SingleFamily,1905
2,,1.0,2,PGH,1368,,848,01/01/1970,06/30/1989,14000,40.418613,-79.991758,2500,,15210,Lillian Street,Pennsylvania,37600.0,2019,SingleFamily,1908
3,,1.0,3,PGH,1356,,324,01/01/1970,NA,NA,40.419218,-79.993876,2925,,15210,Allen Street,Pennsylvania,21900.0,2019,SingleFamily,1900
4,19143,1.0,2,PGH,768,27757,961,10/06/2019,12/04/2009,2500,40.418902,-79.991324,1700,14932,15210,Lillian Street,Pennsylvania,13700.0,2019,SingleFamily,1900
5,,1.0,3,PGH,1200,,894,01/01/1970,04/12/2011,6100,40.419681,-79.991699,1563,,15210,Loyal Way,Pennsylvania,17100.0,2019,SingleFamily,1900
6,,1.0,2,PGH,985,,870,01/01/1970,NA,NA,40.422962,-79.993404,2500,,15210,Excelsior Street,Pennsylvania,17800.0,2019,SingleFamily,1900
7,45996,1.0,2,PGH,1536,69454,673,10/06/2019,02/17/1994,7000,40.423844,-79.996828,1875,25298,15210,Eureka Street,Pennsylvania,23000.0,2019,SingleFamily,1890
8,,1.0,3,PGH,1660,,51,01/01/1970,04/15/2010,40000,40.423979,-79.997196,2768,,15210,Beltzhoover Avenue,Pennsylvania,36500.0,2019,SingleFamily,1930
9,87900,1.0,2,PGH,1408,130092,50,10/06/2019,NA,NA,40.424745,-79.988043,2000,59772,15203,Hartford Street,Pennsylvania,55000.0,2019,SingleFamily,1910
10,26025,1.0,2,PGH,360,49448,859,10/06/2019,07/04/1977,2500,40.423208,-79.991863,540,16656,15210,Ceres Way,Pennsylvania,3800.0,2019,SingleFamily,1900
11,,1.0,3,PGH,NA,,740,01/01/1970,NA,NA,40.421684,-79.994197,NA,,15210,East Warrington Avenue,Pennsylvania,NA,NA,Apartment,NA
12,,1.0,1,PGH,NA,,1,01/01/1970,NA,NA,40.4234,-79.994003,NA,,15210,Allen Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
13,71512,2.0,4,PGH,1680,100832,25,10/06/2019,NA,NA,40.424887,-79.997217,2600,40047,15210,Beltzhoover Avenue,Pennsylvania,32900.0,2019,Duplex,1930
14,314804,3.0,5,PGH,5500,368321,1090,10/06/2019,10/25/2016,175000,40.424418,-79.98911,23049,264435,15203,Arlington Avenue,Pennsylvania,161000.0,2019,SingleFamily,1840
