,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,2,PGH,1344,,2022,01/01/1970,12/14/2011,1500,40.415421,-79.966503,7552,,15210,Spring Street,Pennsylvania,24300.0,2019,SingleFamily,1909
1,69768,2.5,4,PGH,1600,108838,325,10/07/2019,01/11/2017,34040,40.415306,-79.974579,3000,42558,15210,Sterling Street,Pennsylvania,29600.0,2019,SingleFamily,1880
2,,2.0,2,PGH,2340,,2412,01/01/1970,01/21/2003,25500,40.416018,-79.974166,3600,,15210,Spring Street,Pennsylvania,42100.0,2019,SingleFamily,1904
3,118909,1.0,2,PGH,1459,146258,237,10/07/2019,NA,NA,40.438634,-80.024266,3080,91560,15210,Shafer Street,Pennsylvania,75500.0,2019,SingleFamily,1911
4,,1.5,3,PGH,1884,,2113,01/01/1970,10/18/1974,2000,40.415019,-79.977262,3125,,15210,Sur Way,Pennsylvania,33600.0,2019,SingleFamily,1921
5,50286,1.5,2,PGH,980,74926,2915,10/07/2019,NA,NA,40.415805,-79.966901,5544,37212,15210,Spring Street,Pennsylvania,35600.0,2019,SingleFamily,1950
6,,2.5,4,PGH,2080,,125,01/01/1970,12/28/2011,19900,40.416551,-79.969345,3000,,15210,Cologne Street,Pennsylvania,33800.0,2019,SingleFamily,1925
7,50418,1.5,4,Mount Oliver,2032,56468,1946,10/07/2019,03/20/2017,45000,40.417769,-79.978824,3001,44872,15210,Arlington Avenue,Pennsylvania,33300.0,2019,SingleFamily,1906
8,47421,1.5,3,PGH,1536,61647,2976,10/07/2019,NA,NA,40.414681,-79.966848,2640,32246,15210,Devlin Street,Pennsylvania,21900.0,2019,SingleFamily,1918
9,,NA,0,PGH,NA,,2812,01/01/1970,NA,NA,40.41547,-79.968736,3288,,15210,Spring Street,Pennsylvania,1000.0,2019,SingleFamily,NA
10,,2.0,3,PGH,1266,,2111,01/01/1970,09/14/2011,40000,40.417102,-79.976556,3125,,15210,Elsie Street,Pennsylvania,26300.0,2019,SingleFamily,1905
11,,1.0,2,PGH,572,,130,01/01/1970,10/10/1997,30000,40.416352,-79.96564,2818,,15210,Syrian Street,Pennsylvania,900.0,2019,SingleFamily,1890
12,,1.0,1,PGH,1320,,2002,01/01/1970,02/03/2011,10000,40.417482,-79.978477,5396,,15210,Spring Street,Pennsylvania,14500.0,2019,Apartment,1900
13,,1.0,1,PGH,1188,,137,01/01/1970,01/22/2008,28000,40.416215,-79.979316,2500,,15210,Weber Way,Pennsylvania,19900.0,2019,SingleFamily,1890
14,,1.0,2,PGH,1712,,1911,01/01/1970,02/13/1979,4400,40.417387,-79.978822,2875,,15210,Waite Street,Pennsylvania,29400.0,2019,SingleFamily,1890
15,,NA,0,Mount Oliver,NA,,531,01/01/1970,NA,NA,40.414529,-79.980423,9022,,15210,Parkwood Road,Pennsylvania,10400.0,2019,SingleFamily,NA
16,54258,1.0,2,PGH,1170,74876,2117,10/07/2019,08/10/1978,29500,40.415742,-79.976955,6250,37981,15210,Brent Street,Pennsylvania,28000.0,2019,SingleFamily,1930
17,62980,2.0,3,PGH,1649,86283,320,10/07/2019,NA,NA,40.413912,-79.971192,6000,44086,15210,Flack Street,Pennsylvania,34500.0,2019,Duplex,1920
18,,1.0,3,PGH,1941,,2330,01/01/1970,03/23/2018,9120,40.415947,-79.973532,3000,,15210,Spring Street,Pennsylvania,8000.0,2019,SingleFamily,1930
19,48871,1.0,2,Mount Oliver,1563,64021,1900,10/07/2019,07/14/2008,37200,40.417496,-79.980505,7139,29323,15210,Arlington Avenue,Pennsylvania,41400.0,2019,SingleFamily,1927
20,62379,1.0,2,PGH,1232,76102,621,10/07/2019,06/01/1994,56000,40.414077,-79.976984,5586,45537,15210,Parkwood Road,Pennsylvania,44500.0,2019,SingleFamily,1953
21,,NA,0,PGH,NA,,3300,01/01/1970,05/22/2003,900,40.421779,-79.962867,4356,,15203,Jane Street,Pennsylvania,90100.0,2019,SingleFamily,2019
22,68705,1.0,2,Mount Oliver,1008,91378,423,10/07/2019,NA,NA,40.414317,-79.98101,12442,43971,15210,Parkwood Road,Pennsylvania,37900.0,2019,SingleFamily,1950
23,,1.0,3,PGH,2057,,121,01/01/1970,NA,NA,40.415271,-79.981509,15153,,15210,Dawes Street,Pennsylvania,25000.0,2019,SingleFamily,1920
24,,NA,NA,PGH,NA,,145,01/01/1970,NA,NA,40.415751,-79.968529,4860,,15210,Rinne Street,Pennsylvania,17500.0,2019,SingleFamily,1900
25,,1.5,3,PGH,1856,,152,01/01/1970,07/07/2008,82500,40.415601,-79.980193,4791,,15210,Dawes Street,Pennsylvania,75100.0,2019,SingleFamily,1958
26,,NA,0,PGH,NA,,2193,01/01/1970,NA,NA,40.415071,-79.977759,9731,,15210,Wenke Street,Pennsylvania,10400.0,2019,SingleFamily,NA
27,51375,1.5,2,PGH,1470,67815,300,10/07/2019,11/10/2010,32000,40.414737,-79.972119,3049,37504,15210,Clover Street,Pennsylvania,26000.0,2019,SingleFamily,1911
28,,1.0,1,PGH,842,,2375,01/01/1970,12/10/1999,12000,40.416771,-79.973994,2000,,15210,Elsie Street,Pennsylvania,16100.0,2019,SingleFamily,1910
29,,NA,0,PGH,NA,,2,01/01/1970,NA,NA,40.412261,-79.968991,3125,,15210,Eads Street,Pennsylvania,400.0,2019,SingleFamily,NA
