,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,72908,1.0,2,PGH,672,93322,1534,10/07/2019,05/17/2013,600,40.411502,-80.029568,3000,51765,15216,Napoleon Street,Pennsylvania,55600.0,2019,SingleFamily,1970
1,67097,1.5,5,PGH,2500,90581,1821,10/07/2019,NA,NA,40.406941,-80.024272,3300,37574,15216,Realty Avenue,Pennsylvania,20000.0,2019,SingleFamily,1935
2,126277,1.0,3,PGH,1903,150270,1325,10/07/2019,03/23/1990,30000,40.415189,-80.025619,3000,93445,15216,Methyl Street,Pennsylvania,71600.0,2019,SingleFamily,1925
3,157930,2.0,3,PGH,1490,173723,1121,10/07/2019,12/04/1985,46000,40.417572,-80.024957,5360,142137,15216,Tropical Avenue,Pennsylvania,103500.0,2019,SingleFamily,1926
4,,1.0,2,Dormont,992,,2509,01/01/1970,06/07/2005,79000,40.404937,-80.035414,13936,,15216,Dalemount Street,Pennsylvania,50000.0,2019,SingleFamily,1900
5,,1.0,2,PGH,494,,213,01/01/1970,NA,NA,40.411888,-80.016162,5700,,15216,Platt Avenue,Pennsylvania,40100.0,2019,SingleFamily,1920
6,95316,1.0,1,PGH,925,121051,2534,10/07/2019,12/29/2004,70000,40.40402,-80.027428,6600,76253,15216,Shiras Avenue,Pennsylvania,61300.0,2019,SingleFamily,1955
7,142981,2.0,4,PGH,1714,161569,1401,10/07/2019,04/10/2014,84000,40.414186,-80.026471,3000,127253,15216,Beechview Avenue,Pennsylvania,82100.0,2019,SingleFamily,1920
8,177266,2.0,3,Dormont,1670,205629,2208,10/07/2019,08/08/2013,146900,40.403585,-80.03241,10380,154221,15216,Candace Street,Pennsylvania,103800.0,2019,SingleFamily,1913
9,90181,1.5,3,PGH,1276,110923,1631,10/07/2019,07/12/2013,78000,40.409519,-80.025324,3000,75752,15216,Methyl Street,Pennsylvania,52400.0,2019,SingleFamily,1928
10,136035,1.0,3,PGH,1200,150999,407,10/07/2019,05/01/2019,1075,40.410979,-80.022311,6059,119711,15216,Cape May Avenue,Pennsylvania,75900.0,2019,SingleFamily,2018
11,112721,1.0,2,PGH,1462,128502,1225,10/07/2019,NA,NA,40.42554,-80.02725,3750,91304,15216,Shadycrest Drive,Pennsylvania,78700.0,2019,SingleFamily,1945
12,,1.0,2,PGH,696,,1426,01/01/1970,03/19/2019,32000,40.412415,-80.018651,3001,,15216,Orangewood Avenue,Pennsylvania,31400.0,2019,SingleFamily,1891
13,149603,1.0,3,PGH,1380,157083,2220,10/07/2019,07/14/2019,150000,40.4033,-80.028372,3301,142123,15216,Vodeli Street,Pennsylvania,67700.0,2019,SingleFamily,1926
14,115486,1.5,2,PGH,1076,135119,2134,10/07/2019,08/24/1984,29000,40.405291,-80.031153,3402,88924,15216,Boustead Street,Pennsylvania,99500.0,2019,SingleFamily,1910
