,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,3,PGH,1520,,303,01/01/1970,09/30/1994,3551,40.419806,-79.998605,2500,,15210,Curtin Avenue,Pennsylvania,26900.0,2019,SingleFamily,1900
1,,1.0,3,PGH,1642,,867,01/01/1970,NA,NA,40.413902,-80.000012,4800,,15210,Estella Avenue,Pennsylvania,24900.0,2019,SingleFamily,1920
2,,NA,NA,PGH,NA,,527,01/01/1970,NA,NA,40.41747,-80.004671,5490,,15210,Gearing Avenue,Pennsylvania,4000.0,2019,SingleFamily,NA
3,,2.0,4,PGH,1345,,199,01/01/1970,09/18/2014,1000,40.419665,-80.007838,3875,,15210,Boggston Avenue,Pennsylvania,16900.0,2019,SingleFamily,1935
4,126035,2.0,3,PGH,1200,136118,155,10/05/2019,07/14/2003,99000,40.418892,-80.004083,3573,109650,15210,Freeland Street,Pennsylvania,86300.0,2019,SingleFamily,2002
5,53919,1.5,4,PGH,1562,75487,836,10/05/2019,07/02/1985,34000,40.414694,-80.004135,2500,35047,15210,Delmont Avenue,Pennsylvania,45500.0,2019,SingleFamily,1925
6,29605,1.5,3,PGH,1502,40263,327,10/05/2019,05/30/2008,7800,40.417594,-80.000988,3880,17763,15210,Sylvania Avenue,Pennsylvania,23500.0,2019,SingleFamily,1910
7,,1.0,3,PGH,1200,,20,01/01/1970,NA,NA,40.417795,-80.009224,2469,,15210,Climax Street,Pennsylvania,3000.0,2019,SingleFamily,1910
8,,NA,0,PGH,NA,,438,01/01/1970,NA,NA,40.415714,-79.998876,2500,,15210,Michigan Street,Pennsylvania,400.0,2019,SingleFamily,NA
9,,NA,0,PGH,NA,,229,01/01/1970,NA,NA,40.420771,-80.000725,1204,,15210,Industry Way,Pennsylvania,300.0,2019,SingleFamily,NA
10,,1.0,3,PGH,1296,,859,01/01/1970,02/06/2002,43700,40.413722,-80.000007,2400,,15210,Estella Avenue,Pennsylvania,35900.0,2019,SingleFamily,1925
11,31008,1.0,2,PGH,1296,42481,337,10/05/2019,NA,NA,40.420155,-80.00089,2500,18605,15210,Climax Street,Pennsylvania,22500.0,2019,SingleFamily,1926
12,,1.5,3,PGH,1440,,202,01/01/1970,NA,NA,40.420589,-80.004553,10000,,15210,East Warrington Avenue,Pennsylvania,55500.0,2019,SingleFamily,1967
13,,NA,0,PGH,400,,141,01/01/1970,06/21/2013,18000,40.421908,-79.994366,NA,,15210,East Warrington Avenue,Pennsylvania,NA,NA,SingleFamily,NA
14,,NA,0,PGH,NA,,321,01/01/1970,NA,NA,40.417667,-79.999604,3188,,15210,Sylvania Avenue,Pennsylvania,1300.0,2019,SingleFamily,NA
15,,1.0,3,PGH,1462,,238,01/01/1970,12/18/1990,21500,40.420807,-80.003216,3362,,15210,East Warrington Avenue,Pennsylvania,22700.0,2019,SingleFamily,1926
16,,2.0,3,PGH,2064,,339,01/01/1970,11/30/2016,11000,40.417644,-80.000849,6248,,15210,Sylvania Avenue,Pennsylvania,35500.0,2019,SingleFamily,1910
17,,2.0,3,PGH,1440,,361,01/01/1970,NA,NA,40.417173,-80.001582,2563,,15210,Sylvania Avenue,Pennsylvania,3000.0,2019,SingleFamily,1920
18,61719,2.0,3,PGH,1930,76532,832,10/05/2019,01/12/2016,31999,40.414798,-80.004136,4791,45672,15210,Delmont Avenue,Pennsylvania,48800.0,2019,SingleFamily,1925
19,,1.0,3,PGH,1629,,800,01/01/1970,NA,NA,40.415803,-80.00063,2400,,15210,Estella Avenue,Pennsylvania,19400.0,2019,SingleFamily,1900
20,,NA,NA,PGH,NA,,429,01/01/1970,11/30/1998,17000,40.421282,-79.999702,2650,,15210,Cicero Way,Pennsylvania,11700.0,2019,SingleFamily,NA
21,,1.0,3,PGH,1524,,499,01/01/1970,08/03/1988,17000,40.415163,-79.995681,3000,,15210,Rochelle Street,Pennsylvania,32400.0,2019,SingleFamily,1915
22,,2.0,3,PGH,2064,,393,01/01/1970,11/30/2016,11000,40.417644,-80.000849,6248,,15210,Sylvania Avenue,Pennsylvania,35500.0,2019,SingleFamily,1910
23,,1.0,4,PGH,1663,,210,01/01/1970,NA,NA,40.417197,-80.003371,2562,,15210,Sylvania Avenue,Pennsylvania,600.0,2019,SingleFamily,1910
24,,1.0,3,PGH,1690,,910,01/01/1970,11/21/2000,1000,40.414215,-79.998348,2275,,15210,Bernd Street,Pennsylvania,30100.0,2019,SingleFamily,1900
25,,1.0,3,PGH,1176,,240,01/01/1970,10/01/1990,12000,40.420731,-80.003105,3250,,15210,East Warrington Avenue,Pennsylvania,22800.0,2019,SingleFamily,1926
26,,NA,0,PGH,NA,,43,01/01/1970,NA,NA,40.417549,-80.008478,2580,,15210,Lafferty Avenue,Pennsylvania,600.0,2019,SingleFamily,NA
27,,2.0,2,PGH,1830,,127,01/01/1970,NA,NA,40.419518,-80.004777,2500,,15210,Climax Street,Pennsylvania,3000.0,2019,SingleFamily,1930
28,,1.0,4,PGH,1492,,606,01/01/1970,NA,NA,40.417032,-80.004115,2500,,15210,Delmont Avenue,Pennsylvania,3000.0,2019,SingleFamily,1900
29,,1.0,3,PGH,2046,,263,01/01/1970,12/13/2002,3367,40.420083,-79.996467,6250,,15210,Climax Street,Pennsylvania,4100.0,2019,SingleFamily,1910
30,,1.0,4,PGH,2066,,447,01/01/1970,11/04/1998,36000,40.421337,-79.999032,2500,,15210,East Warrington Avenue,Pennsylvania,20000.0,2019,SingleFamily,1925
31,,1.0,2,PGH,1256,,11,01/01/1970,NA,NA,40.415729,-80.009288,19141,,15210,Sylvania Avenue,Pennsylvania,21000.0,2019,SingleFamily,1935
32,,1.0,2,PGH,1830,,55,01/01/1970,NA,NA,40.417642,-80.008455,2700,,15210,Lafferty Avenue,Pennsylvania,600.0,2019,SingleFamily,1900
33,,2.5,3,PGH,1460,,209,01/01/1970,07/27/2015,21000,40.420273,-80.000223,2500,,15210,Estella Avenue,Pennsylvania,25700.0,2019,SingleFamily,1900
34,,1.0,3,PGH,1232,,407,01/01/1970,01/31/2007,2000,40.418778,-79.998564,2500,,15210,Curtin Avenue,Pennsylvania,600.0,2019,SingleFamily,1900
35,28494,1.5,3,PGH,840,32198,323,10/05/2019,11/30/2016,25000,40.417413,-80.010094,840,25360,15210,Boggston Avenue,Pennsylvania,37900.0,2019,SingleFamily,1955
36,,1.5,3,PGH,2849,,61,01/01/1970,NA,NA,40.417086,-80.007312,6000,,15210,Sylvania Avenue,Pennsylvania,48000.0,2019,SingleFamily,1910
37,,1.0,4,PGH,1920,,405,01/01/1970,05/03/1996,7500,40.418918,-80.000137,2563,,15210,Freeland Street,Pennsylvania,3000.0,2019,SingleFamily,1934
38,,1.0,2,PGH,1060,,430,01/01/1970,07/14/1995,19900,40.421593,-79.999263,1314,,15211,Kingsboro Street,Pennsylvania,17200.0,2019,SingleFamily,1903
39,,NA,0,PGH,NA,,314,01/01/1970,NA,NA,40.419692,-80.001732,3175,,15210,Climax Street,Pennsylvania,3300.0,2019,SingleFamily,NA
40,,1.0,3,PGH,1755,,828,01/01/1970,02/21/1996,7000,40.414868,-80.000596,2400,,15210,Estella Avenue,Pennsylvania,600.0,2019,SingleFamily,1900
41,24919,1.0,3,PGH,1474,35136,380,10/05/2019,06/30/2010,20000,40.419011,-79.992419,3125,15948,15210,Freeland Street,Pennsylvania,23000.0,2019,SingleFamily,1900
42,,1.0,3,PGH,1838,,299,01/01/1970,07/29/2019,28000,40.420274,-79.989034,3125,,15210,Climax Street,Pennsylvania,36500.0,2019,SingleFamily,1900
43,,1.0,3,PGH,1860,,371,01/01/1970,05/10/2002,50000,40.419287,-80.001803,3125,,15210,Freeland Street,Pennsylvania,28800.0,2019,SingleFamily,1929
44,,1.0,2,PGH,1390,,861,01/01/1970,12/18/2000,24000,40.414053,-80.000018,2400,,15210,Estella Avenue,Pennsylvania,16600.0,2019,SingleFamily,1925
45,76744,2.0,3,PGH,1252,84418,234,10/05/2019,12/14/2017,71000,40.420787,-80.003387,1710,69837,15210,East Warrington Avenue,Pennsylvania,23800.0,2019,SingleFamily,1942
46,,1.0,2,PGH,960,,434,01/01/1970,02/08/2008,3000,40.421613,-79.999154,1034,,15211,Kingsboro Street,Pennsylvania,16000.0,2019,SingleFamily,1903
47,29581,1.0,3,PGH,1610,39934,426,10/05/2019,NA,NA,40.41894,-79.999241,1750,18044,15210,Freeland Street,Pennsylvania,20100.0,2019,SingleFamily,1920
48,,1.0,5,PGH,1848,,474,01/01/1970,12/24/2007,14000,40.421597,-79.999899,2500,,15211,Kingsboro Street,Pennsylvania,57900.0,2019,SingleFamily,1920
49,,1.0,3,PGH,1440,,437,01/01/1970,NA,NA,40.414492,-79.998855,2500,,15210,Althea Street,Pennsylvania,36200.0,2019,SingleFamily,1900
50,137607,2.5,3,PGH,1644,184393,320,10/05/2019,NA,NA,40.418839,-80.001506,5125,78436,15210,Freeland Street,Pennsylvania,59000.0,2019,SingleFamily,1980
51,,1.0,3,PGH,1566,,206,01/01/1970,NA,NA,40.417151,-80.003542,2562,,15210,Sylvania Avenue,Pennsylvania,27600.0,2019,SingleFamily,1910
52,,1.0,2,PGH,1124,,200,01/01/1970,10/22/2001,5000,40.41995,-80.004468,3000,,15210,Industry Way,Pennsylvania,3200.0,2019,SingleFamily,1924
53,,1.0,2,PGH,1216,,313,01/01/1970,NA,NA,40.417602,-80.003345,6375,,15210,Sylvania Avenue,Pennsylvania,40500.0,2019,SingleFamily,1910
54,32633,1.0,3,PGH,1102,44707,713,10/05/2019,06/26/2013,20700,40.41576,-80.006912,3250,18274,15210,Taft Avenue,Pennsylvania,20700.0,2019,SingleFamily,1930
55,,NA,0,PGH,NA,,420,01/01/1970,NA,NA,40.418866,-79.9996,2563,,15210,Freeland Street,Pennsylvania,600.0,2019,SingleFamily,NA
56,,NA,0,PGH,NA,,511,01/01/1970,04/29/2010,3001,40.420198,-79.998397,2750,,15210,Climax Street,Pennsylvania,1100.0,2019,SingleFamily,NA
57,,1.0,4,PGH,2002,,841,01/01/1970,NA,NA,40.414665,-80.001017,2500,,15210,Eldora Place,Pennsylvania,29100.0,2019,SingleFamily,1910
58,,1.0,2,PGH,1198,,35,01/01/1970,03/17/2008,4000,40.418337,-80.008795,1177,,15210,Climax Street,Pennsylvania,300.0,2019,SingleFamily,1900
59,,1.0,2,PGH,960,,446,01/01/1970,NA,NA,40.421591,-79.999086,5728,,15211,Kingsboro Street,Pennsylvania,17400.0,2019,SingleFamily,1903
60,,NA,0,PGH,NA,,433,01/01/1970,NA,NA,40.414489,-79.999029,2400,,15210,Althea Street,Pennsylvania,1000.0,2019,SingleFamily,NA
61,22634,1.0,3,PGH,786,35083,462,10/05/2019,07/02/2015,9000,40.41572,-79.998531,2500,16975,15210,Michigan Street,Pennsylvania,9000.0,2019,SingleFamily,1915
62,61295,1.0,3,PGH,1510,79683,703,10/05/2019,05/03/2016,16000,40.416045,-80.006815,3201,40455,15210,Taft Avenue,Pennsylvania,54400.0,2019,SingleFamily,1920
63,,1.0,4,PGH,1701,,201,01/01/1970,NA,NA,40.416047,-80.00376,2562,,15210,Michigan Street,Pennsylvania,49200.0,2019,SingleFamily,1920
64,,2.0,4,PGH,1908,,41,01/01/1970,02/12/2014,11000,40.416799,-80.00819,3000,,15210,Sylvania Avenue,Pennsylvania,54200.0,2019,SingleFamily,1910
65,101442,2.0,3,PGH,1406,106514,590,10/05/2019,02/02/1995,79900,40.417894,-80.003687,5000,93327,15210,Delmont Avenue,Pennsylvania,91300.0,2019,SingleFamily,1995
66,,1.0,3,PGH,1280,,315,01/01/1970,NA,NA,40.417171,-80.00167,2575,,15210,Sylvania Avenue,Pennsylvania,3000.0,2019,SingleFamily,1900
67,,NA,0,PGH,NA,,52,01/01/1970,NA,NA,40.418275,-80.007782,9000,,15210,Climax Street,Pennsylvania,4400.0,2019,SingleFamily,NA
68,,2.0,2,PGH,1492,,15,01/01/1970,NA,NA,40.419462,-80.008126,2030,,15210,Industry Way,Pennsylvania,26200.0,2019,SingleFamily,1920
69,,1.0,2,PGH,1220,,406,01/01/1970,12/17/1998,12000,40.417199,-79.999976,2563,,15210,Sylvania Avenue,Pennsylvania,11000.0,2019,SingleFamily,1910
70,,NA,0,PGH,NA,,350,01/01/1970,NA,NA,40.418848,-80.000849,2563,,15210,Freeland Street,Pennsylvania,1000.0,2019,SingleFamily,NA
71,125426,3.0,4,PGH,1680,184376,143,10/05/2019,07/18/2016,174000,40.421512,-80.002197,3223,68984,15211,Haberman Avenue,Pennsylvania,63300.0,2019,SingleFamily,1910
72,,1.0,3,PGH,1600,,599,01/01/1970,10/19/2015,5000,40.420876,-79.99851,2344,,15210,Industry Street,Pennsylvania,14300.0,2019,SingleFamily,1900
73,,1.0,2,PGH,1700,,17,01/01/1970,06/21/1995,5000,40.41949,-80.008043,2064,,15210,Industry Way,Pennsylvania,27200.0,2019,SingleFamily,1920
74,,1.0,3,PGH,1488,,974,01/01/1970,11/20/2003,1000,40.414584,-80.006872,2500,,15210,Taft Avenue,Pennsylvania,600.0,2019,SingleFamily,1910
75,,1.0,2,PGH,1200,,372,01/01/1970,10/21/1994,13876,40.420906,-80.001788,2750,,15210,East Warrington Avenue,Pennsylvania,17700.0,2019,SingleFamily,1900
76,,1.0,2,PGH,1258,,90,01/01/1970,12/18/1981,11500,40.41779,-80.006428,3000,,15210,Lafferty Avenue,Pennsylvania,42200.0,2019,SingleFamily,1905
77,,1.0,2,PGH,914,,428,01/01/1970,12/10/1999,116000,40.417178,-80.001238,2548,,15210,Sylvania Avenue,Pennsylvania,27800.0,2019,SingleFamily,1910
78,67316,2.0,4,PGH,2921,105013,236,10/05/2019,02/14/2011,5000,40.420794,-80.003298,1794,36351,15210,East Warrington Avenue,Pennsylvania,22500.0,2019,MultiFamily2To4,1910
