,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,127121,1.0,2,PGH,1232,142376,3611,10/01/2019,04/01/1997,65000,40.480845,-80.039731,5640,101697,15212,Fleming Avenue,Pennsylvania,79300.0,2019,SingleFamily,1952
1,155961,1.5,3,PGH,1400,171557,3920,10/01/2019,01/31/2013,110000,40.487403,-80.038338,5100,132567,151363,Brighton Road,Pennsylvania,97800.0,2019,SingleFamily,1955
2,175354,2.0,2,PGH,2880,201657,4057,10/01/2019,NA,NA,40.489198,-80.042291,8260,140283,15212,Brandon Road,Pennsylvania,115900.0,2019,Quadruplex,1930
3,150424,1.0,3,PGH,1620,182013,1116,10/01/2019,NA,NA,40.481991,-80.031053,9126,126356,15212,Davis Avenue,Pennsylvania,83900.0,2019,SingleFamily,1918
4,135731,2.0,2,PGH,1710,164235,1866,10/01/2019,12/08/1992,56000,40.485878,-80.041882,4481,99084,151363,Perrott Avenue,Pennsylvania,79400.0,2019,Duplex,1940
5,130215,1.5,3,PGH,1798,143236,3538,10/01/2019,NA,NA,40.480525,-80.031462,4641,102870,15214,Brighton Road,Pennsylvania,56000.0,2019,SingleFamily,1921
6,168832,1.5,2,PGH,1482,180650,398,10/01/2019,12/05/2013,136000,40.486135,-80.02641,4563,148572,15212,Lamplighter Circle,Pennsylvania,107400.0,2019,Townhouse,1984
7,130496,1.0,2,PGH,1644,152680,1043,10/01/2019,01/12/2006,200500,40.487731,-80.031147,25800,100482,15212,Lapish Road,Pennsylvania,80700.0,2019,SingleFamily,1920
8,148909,1.0,3,PGH,1584,172734,1225,10/01/2019,11/24/2008,89000,40.484993,-80.033664,6098,128062,15212,Goe Avenue,Pennsylvania,82800.0,2019,SingleFamily,1925
9,190155,1.0,4,PGH,1800,216777,1024,10/01/2019,06/02/2017,144000,40.483879,-80.029571,4800,171140,15212,Cornell Street,Pennsylvania,122100.0,2019,SingleFamily,1928
10,164067,1.0,4,PGH,1937,195240,724,10/01/2019,NA,NA,40.48283,-80.026123,12439,142738,15212,Woods Run Avenue,Pennsylvania,114500.0,2019,SingleFamily,1928
11,153123,1.0,3,PGH,1482,171498,1172,10/01/2019,02/04/1986,39900,40.482887,-80.030823,4812,134748,15212,Pemberton Street,Pennsylvania,85400.0,2019,SingleFamily,1940
12,186647,2.0,3,PGH,1876,210911,4000,10/01/2019,07/07/1987,67500,40.487928,-80.040833,10123,167982,151363,Brighton Road,Pennsylvania,111800.0,2019,SingleFamily,1930
13,,1.5,2,PGH,1814,,1897,01/01/1970,NA,NA,40.479646,-80.042219,2903,,15212,Davis Avenue,Pennsylvania,32000.0,2019,SingleFamily,1901
14,126841,1.0,1,PGH,1224,140794,2042,10/01/2019,03/25/1987,43000,40.484898,-80.045112,5000,100204,15212,Stonelea Street,Pennsylvania,80200.0,2019,SingleFamily,1950
15,141015,1.0,3,PGH,1553,166398,3901,10/01/2019,10/24/2003,89000,40.487417,-80.03704,4257,125503,15212,Kleber Street,Pennsylvania,80800.0,2019,SingleFamily,1921
16,,1.0,4,PGH,750,,1701,01/01/1970,05/31/2018,59000,40.483375,-80.042109,4400,,15212,Marmaduke Street,Pennsylvania,80000.0,2019,Apartment,1910
17,186508,3.0,5,PGH,3512,231270,106,10/01/2019,12/26/2017,43500,40.487174,-80.036544,5906,134286,15212,Richbarn Road,Pennsylvania,95600.0,2019,SingleFamily,1900
18,126685,2.0,3,PGH,1338,145688,3512,10/01/2019,11/13/2007,89900,40.479507,-80.030771,3936,105149,15214,Brighton Road,Pennsylvania,55400.0,2019,SingleFamily,1927
19,200160,3.0,3,PGH,3000,234187,3826,10/01/2019,06/02/2014,125000,40.485184,-80.041107,7650,164131,15212,California Avenue,Pennsylvania,92600.0,2019,MultiFamily2To4,1905
