,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,134798,2.0,3,PGH,1650,150974,1420,10/07/2019,09/19/2016,110000,40.392936,-80.008212,3300,119970,15226,Bellaire Place,Pennsylvania,85500.0,2019,SingleFamily,1926
1,66926,1.0,2,PGH,1038,84996,398,10/07/2019,06/26/2003,27000,40.395028,-80.02748,2848,44171,15226,Aidyl Avenue,Pennsylvania,47700.0,2019,SingleFamily,1932
2,178244,1.5,3,PGH,1426,197851,916,10/07/2019,NA,NA,40.403504,-80.002898,8408,160420,15226,Timberland Avenue,Pennsylvania,118200.0,2019,SingleFamily,2003
3,154505,2.0,3,PGH,1008,171501,1673,10/07/2019,04/26/2013,135000,40.393725,-80.003163,7950,139055,15226,Bellaire Place,Pennsylvania,114000.0,2019,SingleFamily,1946
4,148331,2.0,3,PGH,1204,163164,1734,10/07/2019,12/01/2009,97000,40.396727,-80.002037,8405,134981,15210,Hallowell Street,Pennsylvania,84600.0,2019,SingleFamily,1948
5,128950,1.5,3,PGH,1428,144424,2447,10/07/2019,NA,NA,40.398864,-80.022706,4800,112186,15226,Plainview Avenue,Pennsylvania,55000.0,2019,SingleFamily,1956
6,117718,1.0,3,PGH,1044,134199,1932,10/07/2019,NA,NA,40.393391,-80.000624,5500,97706,15226,Altmar Street,Pennsylvania,66600.0,2019,SingleFamily,1946
7,146535,1.0,3,PGH,1176,164119,727,10/07/2019,06/29/2011,35000,40.401788,-80.010959,3000,133347,15226,Mayville Avenue,Pennsylvania,83500.0,2019,SingleFamily,1954
8,207141,2.0,3,PGH,1869,231998,330,10/07/2019,12/19/2013,133000,40.408138,-80.008477,16100,182284,15226,Leavitt Street,Pennsylvania,135100.0,2019,SingleFamily,1952
9,122221,1.5,3,PGH,1134,136888,1684,10/07/2019,NA,NA,40.40765,-80.015482,5063,102666,15226,Pioneer Avenue,Pennsylvania,73900.0,2019,SingleFamily,1960
10,117137,1.0,2,PGH,944,133536,637,10/07/2019,10/04/2010,50000,40.401815,-80.013163,5050,97224,15226,Mayville Avenue,Pennsylvania,62000.0,2019,SingleFamily,1950
11,165311,4.0,3,PGH,1824,173577,263,10/07/2019,05/23/2019,165000,40.410211,-80.009426,1576,157045,15226,Londontowne Drive,Pennsylvania,131100.0,2019,Townhouse,1979
12,165939,2.5,2,PGH,1528,177555,165,10/07/2019,03/31/1993,86000,40.410225,-80.009545,1280,157642,15226,Londontowne Drive,Pennsylvania,115300.0,2019,SingleFamily,1979
13,158739,1.5,3,PGH,1000,171438,611,10/07/2019,10/31/1991,70000,40.39786,-80.015767,13006,144452,15226,Perrilyn Street,Pennsylvania,106400.0,2019,SingleFamily,1951
14,161938,1.5,2,PGH,1499,176512,1700,10/07/2019,08/15/2005,105000,40.38625,-80.008081,12039,148983,15226,Harcor Drive,Pennsylvania,100400.0,2019,SingleFamily,1951
