,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,NA,NA,PGH,NA,,435,01/01/1970,NA,NA,40.441158,-79.996492,NA,,15222,Sixth Avenue,Pennsylvania,NA,NA,Unknown,NA
1,,1.0,1,PGH,728,,1420,01/01/1970,NA,NA,40.440016,-79.98623,NA,,15232,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
2,,1.0,3,PGH,976,,987,01/01/1970,NA,NA,40.46199,-79.905895,3599,,15219,Washington Place,Pennsylvania,20800.0,2019,SingleFamily,1923
3,199339,1.0,1,PGH,1000,291035,420,10/07/2019,03/13/2013,549000,40.442324,-80.00671,37470,147511,15222,Fort Duquesne Boulevard,Pennsylvania,NA,2019,SingleFamily,1965
4,,1.0,1,PGH,775,,1100,01/01/1970,NA,NA,40.444211,-79.992468,NA,,15222,Liberty Avenue,Pennsylvania,NA,NA,Apartment,NA
5,,1.0,1,PGH,1000,,320,01/01/1970,03/30/2011,106500,40.442324,-80.00671,37471,,15222,Fort Duquesne Boulevard,Pennsylvania,NA,2019,MultiFamily5Plus,1965
6,172011,1.0,3,PGH,1080,190932,107,10/07/2019,NA,NA,40.531856,-80.022365,18750,158250,15222,6th Street,Pennsylvania,102300.0,2019,SingleFamily,1958
7,,1.0,1,PGH,900,,310,01/01/1970,07/02/2018,161500,40.438111,-79.980609,2889,,15222,Fifth Avenue,Pennsylvania,120900.0,2019,Apartment,1894
8,,2.0,2,PGH,1300,,201,01/01/1970,12/17/2003,84000,40.438111,-79.980609,1162,,15222,Fifth Avenue,Pennsylvania,119000.0,2019,MultiFamily5Plus,1894
9,294940,1.0,3,PGH,1180,318535,301,10/07/2019,NA,NA,40.438125,-79.998815,NA,268395,15219,Grant Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
10,109546,1.0,1,PGH,623,128169,112,10/07/2019,07/23/2010,67500,40.439444,-79.992242,549,92019,15219,Washington Place,Pennsylvania,70400.0,2019,Condominium,1968
11,161450,1.0,3,PGH,1224,177595,125,10/07/2019,11/30/2017,148400,40.528842,-80.027064,6250,146920,15222,First Avenue,Pennsylvania,113100.0,2019,SingleFamily,1958
12,164704,1.0,2,PGH,960,181174,210,10/07/2019,07/03/1989,53000,40.529801,-80.021122,10596,146587,15222,Sixth Avenue,Pennsylvania,122400.0,2019,SingleFamily,1956
13,112234,1.5,3,PGH,1162,123457,304,10/07/2019,05/31/1974,29000,40.380954,-79.805607,7200,92032,15222,Third Avenue,Pennsylvania,75800.0,2019,SingleFamily,1962
