,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,52609,1.5,2,PGH,1242,75231,769,09/25/2019,NA,NA,40.456685,-79.875583,4791,33670,15221,Wilkinsburg Avenue,Pennsylvania,54700.0,2019,SingleFamily,1918
1,,1.5,2,PGH,978,,646,01/01/1970,07/25/2006,17900,40.453625,-79.877496,6174,,15221,Dornbush Street,Pennsylvania,35200.0,2019,SingleFamily,1960
2,,NA,0,PGH,NA,,632,01/01/1970,NA,NA,40.450913,-79.882251,4510,,15221,Karl Street,Pennsylvania,4800.0,2019,SingleFamily,NA
3,,NA,0,Wilkinsburg,NA,,546,01/01/1970,NA,NA,40.452682,-79.882663,1742,,15221,Sickles Street,Pennsylvania,500.0,2019,VacantResidentialLand,2019
4,55664,2.5,3,PGH,1284,71250,674,09/25/2019,05/06/2015,53750,40.439552,-79.868597,4080,37295,15221,Wilkinsburg Avenue,Pennsylvania,33500.0,2019,SingleFamily,1925
5,,1.0,2,PGH,1241,,514,01/01/1970,NA,NA,40.450354,-79.87852,1484,,15221,Seagirt Street,Pennsylvania,29000.0,2019,SingleFamily,1900
6,66071,1.5,3,PGH,1440,83249,2041,09/25/2019,04/27/2016,95000,40.451743,-79.870716,5160,50214,15221,Frankella Avenue,Pennsylvania,63900.0,2019,SingleFamily,1940
7,35218,1.0,3,PGH,816,38740,565,09/25/2019,12/01/2017,32000,40.453767,-79.880141,3450,32048,15221,Seagirt Street,Pennsylvania,21100.0,2019,SingleFamily,1920
8,,1.0,3,Wilkinsburg,1288,,1798,01/01/1970,NA,NA,40.449519,-79.877385,4800,,15221,Maplewood Avenue,Pennsylvania,36500.0,2019,SingleFamily,1950
9,,1.0,3,PGH,1020,,605,01/01/1970,02/11/1975,5800,40.452071,-79.879512,2070,,15221,Seagirt Street,Pennsylvania,16800.0,2019,SingleFamily,1920
10,,1.0,3,PGH,1104,,718,01/01/1970,NA,NA,40.451825,-79.883214,2250,,15221,Singer Place,Pennsylvania,18400.0,2019,SingleFamily,1920
11,,NA,0,PGH,NA,,8000,01/01/1970,NA,NA,40.453848,-79.884134,NA,,15221,Bennett Street,Pennsylvania,NA,NA,SingleFamily,NA
12,74388,1.5,3,PGH,1320,98936,113,09/25/2019,05/17/1984,49900,40.451747,-79.874963,5233,51328,15221,Crestline Place,Pennsylvania,62500.0,2019,SingleFamily,1960
13,,NA,0,PGH,NA,,642,01/01/1970,NA,NA,40.453179,-79.879402,1524,,15221,Seagirt Street,Pennsylvania,800.0,2019,SingleFamily,NA
14,,1.5,5,PGH,2136,,598,01/01/1970,02/24/2006,17160,40.450135,-79.879356,3150,,15221,Warsaw Street,Pennsylvania,26300.0,2019,SingleFamily,1900
15,,1.0,2,PGH,888,,670,01/01/1970,04/06/1984,26000,40.454644,-79.875739,7750,,15221,Wilkinsburg Avenue,Pennsylvania,19800.0,2019,SingleFamily,1920
16,60235,1.5,3,PGH,1325,74691,2040,09/25/2019,09/14/1994,44900,40.451922,-79.870218,4313,45779,15221,Frankella Avenue,Pennsylvania,58500.0,2019,SingleFamily,1950
17,52413,1.0,3,Wilkinsburg,1008,71282,2099,09/25/2019,NA,NA,40.450192,-79.870569,4400,35117,15221,Fairlawn Street,Pennsylvania,47200.0,2019,SingleFamily,1940
18,69907,2.0,4,PGH,1716,90180,1846,09/25/2019,NA,NA,40.452623,-79.875831,7040,49634,15221,Calistoga Street,Pennsylvania,62000.0,2019,SingleFamily,1959
19,,2.0,2,PGH,1600,,682,01/01/1970,05/07/2008,1606,40.439723,-79.868706,4200,,15221,Wilkinsburg Avenue,Pennsylvania,14000.0,2019,Duplex,1928
20,,1.0,3,Wilkinsburg,1040,,2109,01/01/1970,04/07/2017,26000,40.45179,-79.868387,4098,,15221,Robinson Boulevard,Pennsylvania,49700.0,2019,SingleFamily,1920
21,,1.0,3,Wilkinsburg,1026,,641,01/01/1970,NA,NA,40.4523,-79.883948,3690,,15221,Singer Place,Pennsylvania,3500.0,2019,SingleFamily,1920
22,86929,1.0,3,PGH,1498,110400,650,09/25/2019,11/17/2004,14000,40.453871,-79.877796,5610,64327,15221,Dornbush Street,Pennsylvania,89400.0,2019,SingleFamily,1974
23,62140,1.0,3,PGH,1736,79539,1858,09/25/2019,NA,NA,40.452753,-79.875644,3046,43498,15221,Calistoga Street,Pennsylvania,74500.0,2019,SingleFamily,1970
24,,NA,0,PGH,NA,,589,01/01/1970,NA,NA,40.451972,-79.878927,3016,,15221,Seagirt Street,Pennsylvania,700.0,2019,SingleFamily,NA
25,72090,2.0,3,Wilkinsburg,1080,86508,597,09/25/2019,12/22/1986,30000,40.449639,-79.881911,11700,53347,15221,Sickles Street,Pennsylvania,61900.0,2019,SingleFamily,1962
26,52609,1.5,2,PGH,1242,75231,669,09/25/2019,07/31/1989,45000,40.456685,-79.875583,4791,33670,15221,Wilkinsburg Avenue,Pennsylvania,54700.0,2019,SingleFamily,1918
27,,1.0,2,PGH,896,,8001,01/01/1970,NA,NA,40.457713,-79.901298,1329,,15221,Bennett Street,Pennsylvania,7400.0,2019,SingleFamily,1920
28,50331,1.0,3,PGH,960,65430,127,09/25/2019,NA,NA,40.451745,-79.875177,5233,34225,15221,Crestline Place,Pennsylvania,48700.0,2019,SingleFamily,1960
29,175246,2.0,4,PGH,2088,208543,29,09/25/2019,02/02/2007,140000,40.451072,-79.875911,11936,147207,15221,Crestline Court,Pennsylvania,106900.0,2019,SingleFamily,2006
30,35218,1.0,3,PGH,816,38740,675,09/25/2019,12/01/2017,32000,40.453767,-79.880141,3450,32048,15221,Seagirt Street,Pennsylvania,21100.0,2019,SingleFamily,1920
31,73808,1.5,3,PGH,2052,100379,2098,09/25/2019,10/03/1994,74550,40.452334,-79.872872,8955,52404,15221,Calistoga Place,Pennsylvania,78100.0,2019,SingleFamily,1960
32,,1.0,2,PGH,960,,649,01/01/1970,03/23/2006,10000,40.454518,-79.875581,3402,,15221,Wilkinsburg Avenue,Pennsylvania,17700.0,2019,SingleFamily,1927
33,,1.0,2,PGH,1008,,711,01/01/1970,09/07/1978,2750,40.453225,-79.883681,1140,,15221,Singer Place,Pennsylvania,14500.0,2019,SingleFamily,1925
34,48697,1.5,2,Wilkinsburg,1344,66715,621,09/25/2019,NA,NA,40.451885,-79.883689,6000,30679,15221,Singer Place,Pennsylvania,38600.0,2019,SingleFamily,1910
35,,NA,NA,Wilkinsburg,NA,,2151,01/01/1970,NA,NA,40.455239,-79.864363,NA,,15221,Robinson Boulevard,Pennsylvania,NA,NA,Unknown,NA
36,107909,1.5,3,PGH,1756,124095,2059,09/25/2019,NA,NA,40.451318,-79.873295,5200,89564,15221,Calistoga Place,Pennsylvania,92400.0,2019,SingleFamily,1970
37,75727,1.5,3,PGH,1250,91630,1806,09/25/2019,09/05/2003,73000,40.451359,-79.87622,28204,59824,15221,Crestline Place,Pennsylvania,80200.0,2019,SingleFamily,1965
38,78183,1.0,3,PGH,1026,101638,2182,09/25/2019,08/28/1997,139875,40.404245,-80.025373,3975,60983,15221,East Hills Drive,Pennsylvania,59700.0,2019,SingleFamily,1951
39,84839,2.0,3,PGH,1672,114533,51,09/25/2019,07/02/1986,13500,40.450333,-79.875398,9825,60236,15221,Crestline Court,Pennsylvania,75600.0,2019,SingleFamily,1986
40,,1.0,2,PGH,1728,,8118,01/01/1970,NA,NA,40.45515,-79.882553,2375,,15221,Frankstown Avenue,Pennsylvania,28800.0,2019,SingleFamily,1900
41,,1.0,2,PGH,1200,,563,01/01/1970,NA,NA,40.453692,-79.880019,3150,,15221,Seagirt Street,Pennsylvania,41200.0,2019,SingleFamily,1920
42,,1.0,3,PGH,1064,,799,01/01/1970,12/07/2017,5000,40.453213,-79.88374,1381,,15221,Singer Place,Pennsylvania,15100.0,2019,SingleFamily,1925
43,72045,2.0,3,PGH,1971,89336,199,09/25/2019,01/21/2014,34900,40.457861,-79.873799,17653,52593,15221,Kilmer Street,Pennsylvania,66400.0,2019,SingleFamily,1943
44,,1.0,2,PGH,986,,2200,01/01/1970,01/12/2001,25000,40.453652,-79.873961,867,,15221,East Hills Drive,Pennsylvania,33500.0,2019,SingleFamily,1965
45,,1.0,2,PGH,1992,,534,01/01/1970,06/02/1975,15000,40.452919,-79.879336,18435,,15221,Seagirt Street,Pennsylvania,35200.0,2019,SingleFamily,1920
46,,1.0,2,PGH,986,,2120,01/01/1970,06/04/1998,23900,40.454805,-79.874565,2991,,15221,East Hills Drive,Pennsylvania,38500.0,2019,SingleFamily,1965
47,,NA,NA,PGH,NA,,1842,01/01/1970,02/08/2011,6576,40.452176,-79.876333,3113,,15221,Calistoga Street,Pennsylvania,4100.0,2019,SingleFamily,1930
48,37546,1.0,2,Wilkinsburg,1085,48059,1967,09/25/2019,10/15/1975,24500,40.450743,-79.868556,4899,24029,15221,Robinson Boulevard,Pennsylvania,33000.0,2019,SingleFamily,1945
49,,1.0,3,PGH,1408,,664,01/01/1970,03/12/1979,7900,40.45425,-79.875575,3525,,15221,Wilkinsburg Avenue,Pennsylvania,41800.0,2019,SingleFamily,1920
50,,1.0,1,Wilkinsburg,2038,,696,01/01/1970,NA,NA,40.451528,-79.882179,5720,,15221,Sickles Street,Pennsylvania,41200.0,2019,SingleFamily,1870
51,,1.0,5,PGH,1692,,519,01/01/1970,09/10/2007,1000,40.450472,-79.878991,3150,,15221,Seagirt Street,Pennsylvania,26500.0,2019,SingleFamily,1900
52,43542,1.5,3,Wilkinsburg,1377,61830,606,09/25/2019,NA,NA,40.452317,-79.884416,4668,25254,15221,Haverhill Street,Pennsylvania,32800.0,2019,SingleFamily,1930
53,,1.0,3,PGH,1408,,647,01/01/1970,03/12/1979,7900,40.45425,-79.875575,3525,,15221,Wilkinsburg Avenue,Pennsylvania,41800.0,2019,SingleFamily,1920
54,,1.0,4,PGH,1800,,8130,01/01/1970,10/05/1998,3500,40.455024,-79.882109,2070,,15221,Frankstown Avenue,Pennsylvania,28300.0,2019,SingleFamily,1900
55,,NA,0,PGH,NA,,615,01/01/1970,NA,NA,40.452325,-79.879595,1890,,15221,Seagirt Street,Pennsylvania,500.0,2019,SingleFamily,NA
56,,1.0,4,PGH,1512,,587,01/01/1970,NA,NA,40.451484,-79.879313,2625,,15221,Seagirt Street,Pennsylvania,36000.0,2019,SingleFamily,1920
57,,1.0,2,PGH,1842,,814,01/01/1970,NA,NA,40.453449,-79.885208,3900,,15208,Oakwood Street,Pennsylvania,3600.0,2019,Townhouse,1910
58,,1.0,4,PGH,1669,,803,01/01/1970,11/09/2015,10000,40.453285,-79.879174,2030,,15221,Tokay Street,Pennsylvania,19100.0,2019,SingleFamily,1900
59,,1.0,2,PGH,1020,,601,01/01/1970,NA,NA,40.45196,-79.879476,1680,,15221,Seagirt Street,Pennsylvania,16300.0,2019,SingleFamily,1920
60,,1.0,1,PGH,896,,619,01/01/1970,NA,NA,40.452775,-79.877064,5000,,15221,Dornbush Street,Pennsylvania,16500.0,2019,SingleFamily,1920
61,56524,1.5,2,PGH,875,71785,1884,09/25/2019,12/19/1973,16500,40.452346,-79.876067,9993,39002,15221,Calistoga Street,Pennsylvania,51800.0,2019,SingleFamily,1957
62,,1.0,4,Wilkinsburg,1388,,2156,01/01/1970,NA,NA,40.445481,-80.085378,18730,,15221,Robinson Boulevard,Pennsylvania,48800.0,2019,SingleFamily,1945
63,56524,1.5,2,PGH,875,71785,1848,09/25/2019,12/19/1973,16500,40.452346,-79.876067,9993,39002,15221,Calistoga Street,Pennsylvania,51800.0,2019,SingleFamily,1957
64,,2.5,5,PGH,2521,,8897,01/01/1970,08/02/1993,45000,40.460253,-79.872339,8881,,15221,Bricelyn Street,Pennsylvania,50000.0,2019,SingleFamily,1948
65,,1.0,3,PGH,1280,,618,01/01/1970,03/05/1986,1800,40.452448,-79.877431,5000,,15221,Tokay Street,Pennsylvania,4000.0,2019,SingleFamily,1920
66,179310,3.0,4,PGH,1681,199034,2170,09/25/2019,06/29/2016,127200,40.404511,-80.025546,6136,161379,15221,East Hills Drive,Pennsylvania,94500.0,2019,SingleFamily,1950
67,42075,1.0,3,PGH,962,52594,643,09/25/2019,04/30/1981,28500,40.453629,-79.876268,3696,26086,15221,Wilkinsburg Avenue,Pennsylvania,40400.0,2019,SingleFamily,1950
68,,2.5,5,PGH,2521,,8808,01/01/1970,08/02/1993,45000,40.460253,-79.872339,8881,,15221,Bricelyn Street,Pennsylvania,50000.0,2019,SingleFamily,1948
69,,1.5,3,PGH,1450,,8371,01/01/1970,02/25/1999,55000,40.455685,-79.876753,5500,,15221,Vidette Street,Pennsylvania,68900.0,2019,SingleFamily,1964
70,,1.0,2,PGH,1020,,625,01/01/1970,NA,NA,40.452648,-79.879637,2070,,15221,Seagirt Street,Pennsylvania,25400.0,2019,SingleFamily,1920
71,66085,1.5,3,PGH,1400,83267,2090,09/25/2019,10/20/1993,59000,40.451946,-79.872742,9250,48242,15221,Calistoga Place,Pennsylvania,58300.0,2019,SingleFamily,1960
72,69455,1.5,3,PGH,1355,86819,2192,09/25/2019,06/27/1995,49000,40.453672,-79.861253,5011,54869,15221,East Hills Drive,Pennsylvania,40300.0,2019,SingleFamily,1942
73,60071,1.0,3,Wilkinsburg,1344,73887,2083,09/25/2019,06/07/2007,59900,40.451276,-79.870928,4080,39046,15221,Fairlawn Street,Pennsylvania,53600.0,2019,SingleFamily,1940
74,52221,1.5,3,PGH,1188,70498,2096,09/25/2019,07/29/2003,68000,40.452219,-79.872795,9350,36555,15221,Calistoga Place,Pennsylvania,46700.0,2019,SingleFamily,1960
75,,1.5,2,PGH,1218,,2152,01/01/1970,11/20/2001,17000,40.455855,-79.872949,920,,15221,East Hills Drive,Pennsylvania,31700.0,2019,SingleFamily,1965
76,,1.0,3,Wilkinsburg,1364,,1739,01/01/1970,NA,NA,40.450991,-79.877844,2530,,15221,Maplewood Avenue,Pennsylvania,21600.0,2019,SingleFamily,1920
77,,1.0,2,Wilkinsburg,1102,,527,01/01/1970,NA,NA,40.449734,-79.883348,3600,,15221,Singer Place,Pennsylvania,16800.0,2019,SingleFamily,1920
78,83675,1.0,3,PGH,2512,114635,661,09/25/2019,12/18/2002,78000,40.453396,-79.886406,13464,59409,15221,Wilkinsburg Avenue,Pennsylvania,62100.0,2019,SingleFamily,1977
79,,1.5,3,PGH,1360,,1834,01/01/1970,10/12/1964,10500,40.452047,-79.876534,2925,,15221,Calistoga Street,Pennsylvania,30300.0,2019,SingleFamily,1930
80,70541,2.0,3,PGH,1404,86765,2045,09/25/2019,06/24/2010,70000,40.450681,-79.873161,6000,50084,15221,Calistoga Place,Pennsylvania,61900.0,2019,SingleFamily,1960
81,,1.5,2,PGH,986,,2278,01/01/1970,12/31/1997,210000,40.454146,-79.873843,1020,,15221,East Hills Drive,Pennsylvania,30300.0,2019,SingleFamily,1965
82,,NA,0,Wilkinsburg,NA,,660,01/01/1970,NA,NA,40.451025,-79.883133,3640,,15221,Singer Place,Pennsylvania,3500.0,2019,SingleFamily,NA
83,46824,1.0,3,PGH,996,65554,693,09/25/2019,09/26/1988,812,40.452916,-79.876233,7134,29031,15221,Wilkinsburg Avenue,Pennsylvania,31900.0,2019,SingleFamily,1925
84,,1.0,2,PGH,780,,8119,01/01/1970,NA,NA,40.454947,-79.882882,848,,15221,Conemaugh Street,Pennsylvania,300.0,2019,SingleFamily,1920
85,,1.5,2,PGH,1218,,2270,01/01/1970,10/04/1977,21500,40.453898,-79.873864,816,,15221,East Hills Drive,Pennsylvania,38600.0,2019,SingleFamily,1965
86,,1.5,5,PGH,1378,,726,01/01/1970,04/08/1993,8500,40.453957,-79.879366,2875,,15221,Tokay Street,Pennsylvania,11600.0,2019,SingleFamily,1900
87,49265,1.0,3,Wilkinsburg,1092,61089,583,09/25/2019,NA,NA,40.451015,-79.883721,12148,33500,15221,Singer Place,Pennsylvania,38200.0,2019,SingleFamily,1954
88,67568,1.5,3,Wilkinsburg,1296,84460,2060,09/25/2019,NA,NA,40.45113,-79.872064,9381,47973,15221,Sonny Street,Pennsylvania,58600.0,2019,SingleFamily,1964
89,58736,1.0,3,Wilkinsburg,916,77532,1763,09/25/2019,11/04/2015,25000,40.451,-79.877399,5760,40528,15221,Maplewood Avenue,Pennsylvania,55000.0,2019,SingleFamily,1965
90,,1.5,3,PGH,1600,,678,01/01/1970,06/21/1999,32000,40.439634,-79.868682,4200,,15221,Wilkinsburg Avenue,Pennsylvania,30200.0,2019,Duplex,1930
91,55918,1.0,3,Wilkinsburg,1000,69898,2075,09/25/2019,08/14/2014,63000,40.452273,-79.87213,14664,39702,15221,Fairlawn Street,Pennsylvania,44900.0,2019,SingleFamily,1955
92,,1.0,3,PGH,1155,,8373,01/01/1970,NA,NA,40.455731,-79.876604,2750,,15221,Vidette Street,Pennsylvania,11600.0,2019,SingleFamily,1925
93,,1.0,3,PGH,1233,,2136,01/01/1970,09/23/1991,25000,40.459151,-79.859828,3600,,15221,East Hills Drive,Pennsylvania,35500.0,2019,SingleFamily,1924
94,,1.0,3,Wilkinsburg,1929,,640,01/01/1970,11/12/1999,15000,40.452543,-79.882623,3575,,15221,Sickles Street,Pennsylvania,46300.0,2019,SingleFamily,1920
95,52894,1.0,2,PGH,1526,70878,139,09/25/2019,07/18/1977,24450,40.457943,-79.87344,5400,34910,15221,Kilmer Street,Pennsylvania,51000.0,2019,SingleFamily,1948
