,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,33297,1.0,3,PGH,1546,44618,1072,10/01/2019,01/16/1997,10000,40.446933,-80.037082,2808,23974,15220,Valonia Street,Pennsylvania,26800.0,2019,SingleFamily,1905
1,587314,2.5,3,PGH,2764,646045,1847,10/01/2019,01/24/2018,545000,40.431012,-79.979179,1180,534456,15219,West Carson Street,Pennsylvania,321100.0,2019,SingleFamily,2016
2,,1.5,3,PGH,1726,,215,01/01/1970,06/20/2019,130000,40.45063,-80.0439,5000,,15220,Corliss Street,Pennsylvania,40600.0,2019,SingleFamily,1900
3,31771,1.0,2,PGH,1272,37807,1312,10/01/2019,10/19/2000,6500,40.44806,-80.043773,2500,23511,15220,Chartiers Avenue,Pennsylvania,40200.0,2019,SingleFamily,1890
4,128688,1.5,2,PGH,1061,144131,99,10/01/2019,04/17/1985,46000,40.503527,-79.954706,7600,108098,15205,Jones Street,Pennsylvania,83100.0,2019,SingleFamily,1958
5,,NA,0,PGH,NA,,257,01/01/1970,NA,NA,40.444257,-80.033691,2640,,15220,Advent Street,Pennsylvania,900.0,2019,SingleFamily,NA
6,36140,1.0,2,PGH,1358,49873,199,10/01/2019,NA,NA,40.443229,-80.038748,2422,23852,15220,Comstock Way,Pennsylvania,38900.0,2019,SingleFamily,1900
7,,NA,0,PGH,NA,,607,01/01/1970,NA,NA,40.415776,-80.072055,3100,,15220,Noblestown Road,Pennsylvania,13000.0,2019,SingleFamily,NA
8,,1.0,3,PGH,1344,,408,01/01/1970,01/09/2017,20000,40.44686,-80.036616,5341,,15220,Lorenz Avenue,Pennsylvania,55500.0,2019,SingleFamily,1905
9,67224,3.0,5,PGH,1970,114281,801,10/01/2019,03/30/2016,630000,40.44282,-80.039255,5843,38318,15220,Chartiers Avenue,Pennsylvania,38900.0,2019,Triplex,1910
10,,NA,0,PGH,NA,,637,01/01/1970,NA,NA,40.437421,-80.04264,11534,,15220,Noblestown Road,Pennsylvania,16600.0,2019,SingleFamily,NA
11,,2.5,4,PGH,2139,,138,01/01/1970,04/11/2005,45000,40.445255,-80.041211,5000,,15220,Elliott Street,Pennsylvania,64200.0,2019,SingleFamily,1900
12,,1.0,1,PGH,643,,2,01/01/1970,NA,NA,40.45129,-79.9492,NA,,15220,Mark Way,Pennsylvania,NA,NA,Apartment,1973
13,,1.0,2,PGH,1460,,628,01/01/1970,01/12/2007,5500,40.437523,-80.041421,9800,,15220,Noblestown Road,Pennsylvania,14400.0,2019,SingleFamily,1900
14,,NA,0,PGH,NA,,741,01/01/1970,NA,NA,40.439009,-80.036049,4800,,15220,Kerr Street,Pennsylvania,6700.0,2019,SingleFamily,NA
15,,2.0,2,PGH,1024,,601,01/01/1970,12/15/2017,15900,40.442195,-80.035889,3699,,15220,Attica Street,Pennsylvania,19900.0,2019,SingleFamily,1900
16,477834,4.0,3,PGH,2004,525617,1816,10/01/2019,02/26/2018,447390,40.429941,-79.979664,1920,434829,15204,West Carson Street,Pennsylvania,342900.0,2019,SingleFamily,2017
17,62227,1.5,3,PGH,2213,85873,809,10/01/2019,04/27/2009,17000,40.441028,-80.044294,7260,39825,15220,Herschel Street,Pennsylvania,51200.0,2019,SingleFamily,1900
18,,1.0,2,PGH,1142,,101,01/01/1970,11/02/2010,5000,40.443076,-80.036774,3000,,15220,Herndon Street,Pennsylvania,11200.0,2019,SingleFamily,1900
19,33258,1.5,3,PGH,1290,50885,1070,10/01/2019,03/27/1995,20000,40.442391,-80.043855,1560,22283,15220,Wymore Street,Pennsylvania,41800.0,2019,SingleFamily,1900
20,114308,1.5,3,PGH,1800,137170,942,10/01/2019,01/02/2019,33000,40.443762,-80.044151,2565,80016,15220,Berdella Street,Pennsylvania,73500.0,2019,SingleFamily,1920
21,,1.0,2,PGH,1383,,200,01/01/1970,04/20/2006,16000,40.463183,-80.054698,3000,,15220,Corliss Street,Pennsylvania,52100.0,2019,SingleFamily,1881
22,35195,1.0,3,PGH,1663,47161,1020,10/01/2019,01/04/2008,14000,40.447078,-80.037369,2808,27804,15220,Valonia Street,Pennsylvania,30000.0,2019,SingleFamily,1905
23,,2.0,4,PGH,2112,,124,01/01/1970,08/27/2010,4872,40.442712,-80.036708,7500,,15220,Herndon Street,Pennsylvania,14200.0,2019,SingleFamily,1900
24,,1.5,3,PGH,1650,,667,01/01/1970,NA,NA,40.445811,-80.032717,35520,,15220,Corfu Street,Pennsylvania,16800.0,2019,SingleFamily,1900
25,,NA,0,PGH,NA,,1841,01/01/1970,NA,NA,40.459005,-80.046939,9398,,15219,West Carson Street,Pennsylvania,30400.0,2019,SingleFamily,NA
26,108793,1.5,4,PGH,1914,146871,1224,10/01/2019,NA,NA,40.446626,-80.043137,6000,77243,15220,Strahley Place,Pennsylvania,75900.0,2019,SingleFamily,1920
27,74619,1.0,2,PGH,1056,100736,1305,10/01/2019,04/13/2016,31000,40.448254,-80.042431,7388,52979,15220,Stem Street,Pennsylvania,45900.0,2019,SingleFamily,1931
28,535655,2.5,4,PGH,2204,605290,1858,10/01/2019,03/03/2008,499000,40.43119,-79.979759,1437,466020,15219,West Carson Street,Pennsylvania,390700.0,2019,SingleFamily,2008
29,,1.0,2,PGH,1172,,710,01/01/1970,04/04/2016,35000,40.443352,-80.039029,2250,,15220,Marlow Street,Pennsylvania,12300.0,2019,SingleFamily,1910
30,101417,2.0,5,PGH,1600,113587,818,10/01/2019,11/16/2017,90000,40.443139,-80.039523,1942,90261,15220,Chartiers Avenue,Pennsylvania,88300.0,2019,SingleFamily,1910
31,,NA,0,PGH,NA,,631,01/01/1970,NA,NA,40.437421,-80.04264,11534,,15220,Noblestown Road,Pennsylvania,16600.0,2019,SingleFamily,NA
32,,2.0,2,PGH,1024,,701,01/01/1970,12/15/2017,15900,40.442195,-80.035889,3699,,15220,Attica Street,Pennsylvania,19900.0,2019,SingleFamily,1900
33,12562,1.0,2,PGH,1344,13818,815,10/01/2019,11/06/2017,11500,40.441459,-80.041773,4948,11431,15220,Neidel Street,Pennsylvania,24900.0,2019,SingleFamily,1901
34,645139,2.5,3,PGH,3120,677396,1837,10/01/2019,01/04/2013,628850,40.431039,-79.979461,1174,580625,15219,West Carson Street,Pennsylvania,501200.0,2019,SingleFamily,2013
35,,1.0,2,PGH,1280,,713,01/01/1970,10/10/2007,15100,40.444398,-80.039599,1789,,15220,Lorenz Avenue,Pennsylvania,25700.0,2019,SingleFamily,1910
36,,1.0,3,PGH,1126,,771,01/01/1970,06/02/2017,69000,40.439229,-80.036801,2100,,15220,Walbridge Street,Pennsylvania,25000.0,2019,SingleFamily,1910
37,801467,3.0,3,PGH,2292,905658,1843,10/01/2019,10/12/2016,699000,40.431018,-79.979258,1219,713306,15219,West Carson Street,Pennsylvania,634600.0,2019,Townhouse,2016
38,,1.0,2,PGH,1106,,1192,01/01/1970,10/23/2013,13500,40.445419,-80.042823,3650,,15220,Chartiers Avenue,Pennsylvania,18000.0,2019,SingleFamily,1920
39,33127,1.0,3,PGH,1615,45053,1041,10/01/2019,07/20/2006,20000,40.447258,-80.038167,2520,23851,15220,Valonia Street,Pennsylvania,15000.0,2019,SingleFamily,1900
40,,NA,0,PGH,NA,,604,01/01/1970,12/18/2014,1650,40.437386,-80.039693,4809,,15220,Noblestown Road,Pennsylvania,1500.0,2019,SingleFamily,NA
41,185972,3.0,6,PGH,2316,223166,1373,10/01/2019,10/31/1990,69500,40.440286,-80.046074,9265,159936,15220,Arnold Street,Pennsylvania,122900.0,2019,Duplex,1970
