,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,232406,2.0,4,PGH,1400,250998,3699,10/01/2019,09/06/2007,184370,40.362989,-80.020282,9415,218462,15205,West Court,Pennsylvania,181700.0,2019,SingleFamily,1994
1,,2.0,4,Ingram,2798,,324,01/01/1970,11/22/2017,120000,40.442361,-80.074863,5279,,15205,Ingram Avenue,Pennsylvania,99600.0,2019,Duplex,1930
2,145386,1.5,3,Ingram,1827,162832,290,10/01/2019,03/31/2017,130000,40.44729,-80.077286,12951,129394,15205,West Prospect Avenue,Pennsylvania,67800.0,2019,SingleFamily,1939
3,,1.0,2,PGH,1168,,2198,01/01/1970,09/28/1999,2000,40.446468,-80.084234,4000,,15205,Mazette Place,Pennsylvania,34600.0,2019,SingleFamily,1946
4,48023,1.0,3,PGH,975,70594,2163,10/01/2019,05/08/2000,33000,40.445919,-80.084912,4000,30735,15205,Mazette Place,Pennsylvania,34800.0,2019,SingleFamily,1946
5,141282,1.5,3,Ingram,1602,169538,3449,10/01/2019,NA,NA,40.44795,-80.082507,7252,121503,15205,West Prospect Avenue,Pennsylvania,91800.0,2019,SingleFamily,1975
6,560439,4.5,5,PGH,4000,616483,3698,10/01/2019,05/16/2016,435000,40.574096,-79.890218,120661,476373,15205,West Court,Pennsylvania,381000.0,2019,SingleFamily,1940
7,135198,2.0,3,Ingram,1406,151422,315,10/01/2019,10/15/2013,78000,40.441996,-80.07385,3453,121678,15205,Ingram Avenue,Pennsylvania,98100.0,2019,SingleFamily,1965
8,132280,1.5,3,Ingram,1344,156090,264,10/01/2019,10/05/2009,109900,40.441837,-80.077526,13065,97887,15205,Ingram Avenue,Pennsylvania,88000.0,2019,SingleFamily,1900
9,68250,1.0,3,PGH,1379,94868,2105,10/01/2019,05/04/1987,31000,40.446308,-80.083742,13783,41632,15205,Mazette Place,Pennsylvania,42000.0,2019,SingleFamily,1948
10,197284,3.0,4,Ingram,2400,230822,337,10/01/2019,05/06/1992,78500,40.441885,-80.075118,7100,171637,15205,Ingram Avenue,Pennsylvania,145600.0,2019,Duplex,1975
