,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,112778,1.5,2,PGH,1216,160145,5,10/04/2019,02/27/2015,11622,40.425816,-79.947399,3000,71050,15207,Alexis Street,Pennsylvania,33700.0,2019,SingleFamily,1930
1,261254,2.0,3,PGH,1563,303055,4124,10/04/2019,12/01/2009,180000,40.424224,-79.928661,3305,227291,15217,Murray Avenue,Pennsylvania,171900.0,2019,SingleFamily,1921
2,185801,1.0,3,PGH,1324,208097,886,10/04/2019,08/21/2009,113000,40.426958,-79.932887,2250,167221,15217,Flemington Street,Pennsylvania,103700.0,2019,SingleFamily,1925
3,197287,2.0,3,PGH,1180,218989,4315,10/04/2019,08/18/2017,180200,40.420752,-79.939519,4080,177558,15213,Winterburn Avenue,Pennsylvania,126000.0,2019,SingleFamily,1940
4,201193,1.0,3,PGH,1232,221312,3581,10/04/2019,NA,NA,40.425044,-79.927283,3675,171014,15217,Beechwood Boulevard,Pennsylvania,125500.0,2019,SingleFamily,1930
5,215761,NA,0,PGH,1891,256756,3611,10/04/2019,12/18/2009,105000,40.42564,-79.927078,3294,174766,15217,Beechwood Boulevard,Pennsylvania,76700.0,2019,MultiFamily2To4,1915
6,185004,1.0,3,PGH,1120,220155,746,10/04/2019,NA,NA,40.421282,-79.931672,2250,157253,15217,Loretta Street,Pennsylvania,100500.0,2019,SingleFamily,1927
7,,NA,0,PGH,NA,,303,01/01/1970,NA,NA,40.425716,-79.948816,2320,,15207,Greenfield Avenue,Pennsylvania,2900.0,2019,SingleFamily,NA
8,179939,2.5,3,PGH,1312,197933,541,10/04/2019,NA,NA,40.427642,-80.005016,1500,163744,15207,Neeb Street,Pennsylvania,120000.0,2019,SingleFamily,1920
9,229746,3.0,3,PGH,1232,241233,736,10/04/2019,08/19/2019,230000,40.421783,-79.932496,2613,218259,15217,Melbourne Street,Pennsylvania,140700.0,2019,SingleFamily,1956
10,229385,1.5,3,PGH,1414,254617,4382,10/04/2019,09/29/1995,75000,40.419069,-79.940077,4304,201859,15207,Winterburn Avenue,Pennsylvania,130400.0,2019,SingleFamily,1939
11,192405,1.5,4,PGH,1835,215494,3800,10/04/2019,01/31/2017,170000,40.427582,-79.940985,2700,171240,15207,Nantasket Street,Pennsylvania,129300.0,2019,SingleFamily,1926
12,209989,2.0,3,PGH,1386,237288,4230,10/04/2019,03/03/2015,99000,40.42212,-79.943939,4000,176391,15207,Stanley Street,Pennsylvania,128400.0,2019,SingleFamily,1928
13,139949,1.5,3,PGH,1112,173537,4018,10/04/2019,01/28/2019,48000,40.424617,-79.941486,2800,107761,15207,Coleman Street,Pennsylvania,65100.0,2019,SingleFamily,1905
14,,NA,0,PGH,NA,,411,01/01/1970,NA,NA,40.425581,-79.943746,1872,,15207,Greenfield Avenue,Pennsylvania,800.0,2019,SingleFamily,NA
15,188054,1.0,1,PGH,922,203098,906,10/04/2019,06/04/1992,32000,40.423197,-79.9334,5400,169249,15217,Deely Street,Pennsylvania,121300.0,2019,SingleFamily,1970
16,219878,2.0,3,PGH,1701,241866,4223,10/04/2019,10/17/1995,85000,40.424621,-79.9395,3000,193493,15207,Winterburn Avenue,Pennsylvania,133300.0,2019,SingleFamily,1920
17,,NA,0,PGH,1830,,309,01/01/1970,03/14/2001,18000,40.425678,-79.948635,2000,,15207,Greenfield Avenue,Pennsylvania,28000.0,2019,MultiFamily2To4,1900
18,214397,1.0,3,PGH,1836,240125,1093,10/04/2019,03/10/2014,84900,40.426103,-79.931061,6934,173662,15217,Welfer Street,Pennsylvania,118400.0,2019,SingleFamily,1946
19,185550,2.0,3,PGH,1260,213382,885,10/04/2019,07/20/2018,100000,40.427256,-79.933748,1398,163284,15217,Monteiro Street,Pennsylvania,99200.0,2019,SingleFamily,1920
20,167674,1.0,3,PGH,1406,184441,4200,10/04/2019,11/25/1997,39500,40.423257,-79.943069,3698,144200,15207,Haldane Street,Pennsylvania,90000.0,2019,SingleFamily,1925
21,213921,2.0,3,PGH,2062,239592,3914,10/04/2019,01/16/2007,85000,40.427379,-79.940039,2848,183972,15207,Winterburn Avenue,Pennsylvania,134600.0,2019,SingleFamily,1925
22,,2.0,4,PGH,1702,,3803,01/01/1970,12/21/2018,56500,40.42793,-79.930153,6405,,15217,Beechwood Boulevard,Pennsylvania,26000.0,2019,Duplex,1925
23,158047,1.0,3,PGH,1026,177013,4193,10/04/2019,03/20/1996,69500,40.423849,-79.944615,8120,137501,15207,Rosalia Place,Pennsylvania,85000.0,2019,SingleFamily,1957
24,193214,2.0,5,PGH,1891,231857,761,10/04/2019,05/06/2013,4000,40.42113,-79.931081,2250,166164,15217,Montclair Street,Pennsylvania,111300.0,2019,SingleFamily,1945
25,,NA,NA,PGH,NA,,4381,01/01/1970,NA,NA,40.41978,-79.92793,2726,,15217,Murray Avenue,Pennsylvania,121300.0,2019,SingleFamily,1928
26,188884,1.5,3,PGH,1322,219105,3954,10/04/2019,01/31/1980,26500,40.427994,-79.941156,1778,164329,15207,Nantasket Street,Pennsylvania,94000.0,2019,SingleFamily,1916
27,171505,2.0,4,PGH,1272,192086,629,10/04/2019,07/02/2018,60000,40.420535,-79.935043,2178,149209,15217,Montclair Street,Pennsylvania,88200.0,2019,SingleFamily,1927
28,184786,1.0,3,PGH,1288,201417,700,10/04/2019,NA,NA,40.424135,-79.935473,3000,171851,15207,Greenfield Avenue,Pennsylvania,119100.0,2019,SingleFamily,1950
29,,NA,0,PGH,NA,,506,01/01/1970,NA,NA,40.42783,-79.94456,25113,,15207,Saline Street,Pennsylvania,5800.0,2019,SingleFamily,NA
30,185184,1.0,2,PGH,1120,205554,992,10/04/2019,04/24/2014,155000,40.425298,-79.932297,3875,166666,15217,Kennebec Street,Pennsylvania,110100.0,2019,SingleFamily,1940
31,,NA,0,PGH,NA,,519,01/01/1970,NA,NA,40.425667,-79.950797,2392,,15207,Greenfield Avenue,Pennsylvania,3000.0,2019,SingleFamily,NA
32,221232,2.0,3,PGH,1105,243355,4280,10/04/2019,11/28/2017,204000,40.421837,-79.937322,3872,201321,15217,McCaslin Street,Pennsylvania,140200.0,2019,SingleFamily,1942
33,192558,1.0,3,PGH,1366,221442,3743,10/04/2019,10/03/2011,76000,40.427333,-79.928617,4481,157898,15217,Beechwood Boulevard,Pennsylvania,89900.0,2019,SingleFamily,1920
34,,NA,0,PGH,NA,,173,01/01/1970,NA,NA,40.425801,-79.950135,4600,,15207,Greenfield Avenue,Pennsylvania,3800.0,2019,SingleFamily,NA
35,133755,1.0,2,PGH,1490,157831,720,10/04/2019,03/08/1996,5000,40.418387,-79.935848,4961,109679,15217,Hazelwood Avenue,Pennsylvania,78700.0,2019,SingleFamily,1920
36,216962,1.0,3,PGH,1276,234319,946,10/04/2019,05/19/2000,86000,40.423359,-79.931895,2500,188757,15217,Greenfield Avenue,Pennsylvania,137200.0,2019,SingleFamily,1955
37,183078,1.0,4,PGH,1936,208709,4208,10/04/2019,11/20/1995,48000,40.42298,-79.94293,2500,162939,15207,Haldane Street,Pennsylvania,119500.0,2019,SingleFamily,1920
38,,NA,4,PGH,3249,,1135,01/01/1970,04/11/2019,30000,40.420604,-79.929191,3223,,15217,Greenfield Avenue,Pennsylvania,37200.0,2019,VacantResidentialLand,2019
39,219682,2.0,3,PGH,2116,250437,1131,10/04/2019,12/11/1963,13500,40.420789,-79.929237,3331,184533,15217,Greenfield Avenue,Pennsylvania,140900.0,2019,SingleFamily,1922
40,218571,1.5,3,PGH,1300,236057,908,10/04/2019,03/27/1997,80000,40.427165,-79.932475,5356,196714,15217,Flemington Street,Pennsylvania,128300.0,2019,SingleFamily,1938
41,176124,1.0,1,PGH,NA,236006,954,10/04/2019,NA,NA,40.424603,-79.930581,NA,126809,15217,Kennebec Street,Pennsylvania,NA,NA,MultiFamily2To4,NA
42,194923,2.0,3,PGH,1336,224161,4237,10/04/2019,05/03/1988,41000,40.424103,-79.939505,2880,165685,15207,Winterburn Avenue,Pennsylvania,113000.0,2019,SingleFamily,1920
43,198705,2.0,3,PGH,1292,232485,3879,10/04/2019,08/01/1995,63000,40.428007,-79.932623,5550,170886,15217,Beechwood Boulevard,Pennsylvania,118400.0,2019,SingleFamily,1929
44,171337,1.0,3,PGH,1218,198751,1007,10/04/2019,05/27/2014,98000,40.427444,-79.930303,3600,143923,15217,Flemington Street,Pennsylvania,93700.0,2019,SingleFamily,1931
45,137127,1.0,3,PGH,1641,165924,520,10/04/2019,NA,NA,40.428627,-79.944474,2640,101474,15207,Saline Street,Pennsylvania,57700.0,2019,SingleFamily,1900
46,225621,2.0,3,PGH,1736,245927,992,10/04/2019,06/10/1993,68000,40.422618,-79.932687,2707,198546,15217,Norfolk Street,Pennsylvania,136000.0,2019,SingleFamily,1953
47,187090,1.0,5,PGH,1800,228250,816,10/04/2019,08/11/1994,28500,40.426662,-79.935271,5000,151543,15217,Monteiro Street,Pennsylvania,94900.0,2019,SingleFamily,1895
48,203625,1.0,3,PGH,1483,232133,562,10/04/2019,02/06/2002,109000,40.420842,-79.937795,3361,171045,15217,Loretto Road,Pennsylvania,122500.0,2019,SingleFamily,1948
49,147683,1.5,3,PGH,1358,160974,943,10/04/2019,06/05/2018,142125,40.427568,-79.931607,3301,135868,15217,Flemington Street,Pennsylvania,90900.0,2019,SingleFamily,1930
50,207392,2.0,4,PGH,1568,232279,880,10/04/2019,06/01/2009,114000,40.426867,-79.933086,4050,172135,15217,Flemington Street,Pennsylvania,112800.0,2019,MultiFamily2To4,1949
51,154284,1.5,1,PGH,775,174341,4221,10/04/2019,11/04/1993,66000,40.422561,-79.943384,5000,131141,15207,Stanley Street,Pennsylvania,103300.0,2019,SingleFamily,1954
52,211419,2.0,3,PGH,1560,247360,3562,10/04/2019,07/28/2017,10000,40.424273,-79.926848,3200,173364,15217,Beechwood Boulevard,Pennsylvania,127300.0,2019,SingleFamily,1880
53,175603,1.0,2,PGH,1280,194919,700,10/04/2019,NA,NA,40.420264,-79.930277,2338,156287,15217,Exeter Street,Pennsylvania,109900.0,2019,SingleFamily,1980
54,217968,1.5,2,PGH,1898,244124,4107,10/04/2019,08/12/2013,142000,40.424835,-79.928877,3000,187452,15217,Windsor Street,Pennsylvania,130200.0,2019,SingleFamily,1919
55,177864,1.0,3,PGH,1264,208101,4016,10/04/2019,08/26/2011,86000,40.425277,-79.940866,1320,149406,15207,Hoosac Street,Pennsylvania,93500.0,2019,SingleFamily,1922
56,153624,3.0,4,PGH,1873,202784,501,10/04/2019,08/26/2011,35000,40.423461,-79.941705,2275,99856,15207,Farnsworth Street,Pennsylvania,35000.0,2019,SingleFamily,1804
57,292822,3.0,3,PGH,1290,307463,352,10/04/2019,07/19/2019,293000,40.423734,-79.946226,239,278181,15207,Kaercher Street,Pennsylvania,190000.0,2019,SingleFamily,1925
58,184326,1.0,3,PGH,1328,211975,3739,10/04/2019,11/06/1985,37000,40.427359,-79.928405,4356,158520,15217,Beechwood Boulevard,Pennsylvania,95000.0,2019,SingleFamily,1928
59,256971,NA,0,PGH,2430,305795,3555,10/04/2019,05/27/1994,56600,40.424252,-79.927535,5432,210716,15217,Beechwood Boulevard,Pennsylvania,135500.0,2019,MultiFamily2To4,1897
60,251682,1.0,3,PGH,1286,281884,889,10/04/2019,05/23/2017,228000,40.425687,-79.932166,3379,226514,15217,Kennebec Street,Pennsylvania,137800.0,2019,SingleFamily,1940
61,149142,1.0,3,PGH,1080,170022,1007,10/04/2019,04/30/2013,102000,40.426739,-79.93055,2288,114839,15217,Mirror Street,Pennsylvania,82600.0,2019,SingleFamily,1938
