,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,81993,1.0,3,PGH,1330,100031,223,10/06/2019,05/01/1991,50000,40.396341,-79.983546,3646,63955,15227,West Agnew Road,Pennsylvania,68300.0,2019,SingleFamily,1915
1,80560,1.0,2,West Mifflin,964,91838,60,10/06/2019,07/10/2006,78000,40.377343,-79.926863,2237,66059,15207,Lebanon Road,Pennsylvania,60000.0,2019,SingleFamily,1951
2,123886,2.0,3,PGH,1360,143708,549,10/06/2019,03/17/1997,47300,40.391075,-79.949388,20845,95392,15236,Glass Run Road,Pennsylvania,70400.0,2019,SingleFamily,1940
3,82445,1.0,2,PGH,1240,103881,200,10/06/2019,04/08/1991,43000,40.395614,-79.984321,5623,65956,15227,West Agnew Road,Pennsylvania,67000.0,2019,SingleFamily,1932
4,83096,1.0,2,PGH,768,98053,793,10/06/2019,10/01/1998,48000,40.409271,-79.963226,3426,68139,15210,Becks Run Road,Pennsylvania,61000.0,2019,SingleFamily,1952
5,,2.0,3,PGH,1557,,221,01/01/1970,05/27/2004,69000,40.396355,-79.983689,3625,,15227,West Agnew Road,Pennsylvania,57500.0,2019,SingleFamily,1920
6,65138,1.0,3,PGH,1050,76863,207,10/06/2019,04/02/2010,56500,40.396179,-79.984279,4375,41037,15227,West Agnew Road,Pennsylvania,54800.0,2019,SingleFamily,1925
7,69529,1.0,3,PGH,1210,83435,129,10/06/2019,07/05/1995,32500,40.395979,-79.984912,3125,49366,15227,West Agnew Road,Pennsylvania,58400.0,2019,SingleFamily,1927
8,91648,1.0,3,PGH,2048,118226,740,10/06/2019,NA,NA,40.37919,-79.936893,4551,57738,15207,Baldwin Road,Pennsylvania,89900.0,2019,Duplex,1900
9,,NA,0,PGH,NA,,620,01/01/1970,NA,NA,40.382028,-79.934169,6333,,15207,Baldwin Road,Pennsylvania,12100.0,2019,SingleFamily,NA
10,,NA,0,PGH,NA,,819,01/01/1970,NA,NA,40.40944,-79.961756,5920,,15210,Becks Run Road,Pennsylvania,2000.0,2019,SingleFamily,NA
11,272952,2.0,2,West Mifflin,1806,302977,172,10/06/2019,07/23/1987,75000,40.366939,-80.040643,8372,240198,15207,Lebanon Road,Pennsylvania,198400.0,2019,Duplex,1958
12,71620,1.0,2,PGH,1344,84512,231,10/06/2019,04/24/2009,40000,40.396485,-79.98325,3750,48702,15227,West Agnew Road,Pennsylvania,56000.0,2019,SingleFamily,1929
13,,1.0,4,PGH,1386,,694,01/01/1970,NA,NA,40.383219,-79.930875,1308,,15207,Mifflin Road,Pennsylvania,500.0,2019,SingleFamily,1926
14,105255,1.5,4,PGH,1527,128411,228,10/06/2019,09/15/2014,50000,40.395945,-79.983188,7705,73679,15227,West Agnew Road,Pennsylvania,50000.0,2019,SingleFamily,1948
15,,2.0,2,PGH,1848,,853,01/01/1970,NA,NA,40.409914,-79.959305,5643,,15210,Becks Run Road,Pennsylvania,16000.0,2019,Duplex,1910
16,148116,1.0,2,PGH,1500,164409,928,10/06/2019,09/01/2017,127500,40.363999,-80.029402,2479,134786,15207,Baldwin Road,Pennsylvania,106400.0,2019,MultiFamily2To4,1950
17,259552,2.0,6,West Mifflin,2033,298485,154,10/06/2019,07/11/2000,90000,40.366458,-80.041273,9760,233597,15207,Lebanon Road,Pennsylvania,176000.0,2019,Duplex,1951
18,132259,2.0,4,PGH,2658,150775,131,10/06/2019,NA,NA,40.396016,-79.984791,6250,107130,15227,West Agnew Road,Pennsylvania,91400.0,2019,SingleFamily,1934
19,162905,1.0,3,West Mifflin,989,180825,176,10/06/2019,01/28/2011,82000,40.367017,-80.04035,5885,143356,15207,Lebanon Road,Pennsylvania,119000.0,2019,SingleFamily,1958
20,88035,1.0,4,PGH,2257,120608,11,10/06/2019,12/11/2000,20000,40.38057,-79.935905,6015,53701,15207,Comer Street,Pennsylvania,80500.0,2019,SingleFamily,1898
21,135078,2.0,2,Baldwin,1050,151287,868,10/06/2019,08/20/2003,65000,40.387499,-79.965299,16117,120219,15236,Glass Run Road,Pennsylvania,84800.0,2019,SingleFamily,1950
22,,NA,0,PGH,NA,,57,01/01/1970,NA,NA,40.380924,-79.932103,22970,,15207,Wheeling Street,Pennsylvania,7600.0,2019,SingleFamily,NA
23,51369,1.0,2,PGH,1215,75512,925,10/06/2019,07/14/2010,15000,40.409457,-79.961537,13113,35958,15210,Becks Run Road,Pennsylvania,25500.0,2019,SingleFamily,1900
24,,NA,NA,PGH,NA,,857,01/01/1970,06/05/1989,300,40.409934,-79.959158,1096,,15210,Becks Run Road,Pennsylvania,4000.0,2019,SingleFamily,1910
25,169327,1.5,2,PGH,1194,181180,1048,10/06/2019,09/06/1995,87000,40.360237,-79.976013,7592,155781,15207,Baldwin Road,Pennsylvania,122400.0,2019,SingleFamily,1954
26,,NA,0,PGH,NA,,622,01/01/1970,NA,NA,40.381349,-79.934809,10821,,15207,Baldwin Road,Pennsylvania,12500.0,2019,SingleFamily,NA
27,,NA,NA,PGH,NA,,801,01/01/1970,12/30/2014,78000,40.409255,-79.96259,NA,,15210,Becks Run Road,Pennsylvania,NA,NA,SingleFamily,1974
28,582568,5.0,7,PGH,5200,693256,100,10/06/2019,08/26/2011,260000,40.436487,-80.089017,87120,506834,15207,Baldwin Road,Pennsylvania,255500.0,2019,SingleFamily,1935
29,30414,3.0,4,PGH,2952,32543,698,10/06/2019,02/06/2019,30000,40.383193,-79.930733,4100,28589,15207,Mifflin Road,Pennsylvania,118200.0,2019,Duplex,1886
30,,1.0,2,Baldwin,1080,,643,01/01/1970,07/09/2013,25000,40.389551,-79.952911,195833,,15236,Glass Run Road,Pennsylvania,45000.0,2019,SingleFamily,1922
31,158153,1.5,3,PGH,1154,170805,1099,10/06/2019,NA,NA,40.330947,-79.991614,6423,148664,15207,Baldwin Road,Pennsylvania,114500.0,2019,SingleFamily,1972
32,,2.0,6,West Mifflin,2030,,22,01/01/1970,07/16/1998,35000,40.378607,-79.926254,13200,,15207,Lebanon Road,Pennsylvania,12700.0,2019,SingleFamily,1900
33,16775,1.0,3,PGH,1280,18788,847,10/06/2019,03/10/2017,15000,40.409696,-79.960248,2007,14930,15210,Becks Run Road,Pennsylvania,26100.0,2019,SingleFamily,1880
