,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,171425,1.0,2,PGH,1164,186853,4564,09/24/2019,NA,NA,40.415835,-79.941432,7910,154283,15207,Parade Street,Pennsylvania,129500.0,2019,SingleFamily,1940
1,,1.0,2,PGH,1440,,4718,01/01/1970,10/29/1998,6000,40.412607,-79.943583,1800,,15207,Monongahela Street,Pennsylvania,2700.0,2019,SingleFamily,1910
2,,2.0,5,PGH,1880,,410,01/01/1970,04/19/2019,43000,40.405972,-79.936713,2700,,15207,Mansion Street,Pennsylvania,18100.0,2019,SingleFamily,1905
3,,1.0,2,PGH,960,,323,01/01/1970,NA,NA,40.412151,-79.936967,1600,,15207,Flowers Avenue,Pennsylvania,2600.0,2019,SingleFamily,1911
4,,1.0,2,PGH,896,,319,01/01/1970,10/23/1991,3900,40.403052,-79.93719,2730,,15207,Renova Street,Pennsylvania,14700.0,2019,SingleFamily,1920
5,,1.0,4,PGH,816,,5271,01/01/1970,12/29/2017,54235,40.404889,-79.944696,749,,15207,Lytle Street,Pennsylvania,8600.0,2019,Townhouse,1910
6,,3.0,4,PGH,2420,,5400,01/01/1970,02/16/2010,3709,40.402172,-79.940044,4036,,15207,Sunnyside Street,Pennsylvania,3600.0,2019,SingleFamily,1900
7,178140,1.0,3,PGH,925,195954,4585,09/24/2019,09/01/2015,159000,40.41612,-79.941572,6100,160326,15207,Parade Street,Pennsylvania,122500.0,2019,SingleFamily,1965
8,,1.0,2,PGH,896,,276,01/01/1970,08/08/2008,4000,40.411788,-79.938294,1980,,15207,Hazelwood Avenue,Pennsylvania,17200.0,2019,SingleFamily,1920
9,,1.0,3,PGH,1296,,416,01/01/1970,10/16/2012,11586,40.411803,-79.93733,1800,,15207,Hazelwood Avenue,Pennsylvania,2700.0,2019,SingleFamily,1905
10,32515,1.0,2,PGH,704,46822,5699,09/24/2019,NA,NA,40.401302,-79.938717,572,21135,15207,Gate Lodge Way,Pennsylvania,14000.0,2019,SingleFamily,1905
11,158718,1.0,3,PGH,1088,180939,4737,09/24/2019,06/19/2007,121500,40.422759,-79.945028,3432,136497,15207,Gladstone Street,Pennsylvania,113800.0,2019,SingleFamily,1950
12,163238,1.0,2,PGH,1800,181194,580,09/24/2019,NA,NA,40.41766,-79.936749,3858,133855,15207,Hazelwood Avenue,Pennsylvania,94000.0,2019,SingleFamily,1900
13,100034,1.0,2,PGH,1312,133045,4324,09/24/2019,NA,NA,40.419644,-79.945261,4500,70024,15207,Bristol Street,Pennsylvania,52000.0,2019,SingleFamily,1930
14,173052,1.5,3,PGH,1557,193818,4841,09/24/2019,11/03/2009,130000,40.412589,-79.94283,6380,159208,15207,Monongahela Street,Pennsylvania,133500.0,2019,SingleFamily,2008
15,,2.0,4,PGH,1904,,4713,01/01/1970,03/16/2009,51300,40.413118,-79.943259,4820,,15207,Monongahela Street,Pennsylvania,16500.0,2019,Duplex,1930
16,213824,2.0,4,PGH,2184,241621,700,09/24/2019,NA,NA,40.417878,-79.936554,9920,181750,15217,Hazelwood Avenue,Pennsylvania,134700.0,2019,SingleFamily,1895
17,27646,1.0,2,PGH,1187,39257,5154,09/24/2019,10/26/2012,19203,40.405258,-79.946441,1199,12717,15207,Blair Street,Pennsylvania,5700.0,2019,SingleFamily,1905
18,,NA,0,PGH,NA,,4670,01/01/1970,NA,NA,40.413815,-79.943037,1113,,15207,Sylvan Avenue,Pennsylvania,300.0,2019,SingleFamily,NA
19,,1.0,3,PGH,1258,,4531,01/01/1970,11/21/2006,21000,40.415996,-79.943704,4125,,15207,Sylvan Avenue,Pennsylvania,900.0,2019,SingleFamily,1900
20,227185,1.5,3,PGH,1533,249903,690,09/24/2019,03/05/2007,124900,40.418881,-79.933846,5280,197651,15207,Frayne Street,Pennsylvania,138400.0,2019,SingleFamily,1953
21,74314,3.0,4,PGH,2483,118159,5293,09/24/2019,02/02/2015,85000,40.40512,-79.941295,3565,40873,15207,Gertrude Street,Pennsylvania,20000.0,2019,SingleFamily,1905
22,175001,2.0,3,PGH,1296,183751,4642,09/24/2019,09/19/2019,175000,40.415142,-79.940513,5998,166251,15207,Georgekay Road,Pennsylvania,136900.0,2019,SingleFamily,1971
23,,1.0,2,PGH,768,,284,01/01/1970,06/18/2018,2000,40.401947,-79.93818,776,,15207,Glenwood Avenue,Pennsylvania,6500.0,2019,SingleFamily,1910
24,,1.0,2,PGH,1152,,324,01/01/1970,12/08/2006,20000,40.411169,-79.93965,2880,,15207,Hazelwood Avenue,Pennsylvania,12600.0,2019,SingleFamily,1940
25,,1.0,2,PGH,988,,4762,01/01/1970,11/21/2001,10000,40.41399,-79.943142,1518,,15207,Sylvan Avenue,Pennsylvania,7800.0,2019,SingleFamily,1900
26,85614,2.0,4,PGH,2540,89895,127,09/24/2019,06/17/2019,85000,40.406699,-79.941555,4351,81333,15207,Johnston Avenue,Pennsylvania,32200.0,2019,SingleFamily,1900
