,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,577797,4.0,6,PGH,3904,635577,5656,10/06/2019,07/02/2014,368500,40.4778,-79.921028,6011,525795,15206,Callowhill Street,Pennsylvania,334600.0,2019,SingleFamily,1916
1,379961,3.0,4,PGH,2048,417957,1125,10/06/2019,01/30/2018,355000,40.47398,-79.915021,3810,345765,15206,Heberton Street,Pennsylvania,200000.0,2019,SingleFamily,1905
2,308476,1.5,2,PGH,1108,354747,5905,10/06/2019,09/14/2006,220000,40.47734,-79.918616,6616,277628,15206,Callowhill Street,Pennsylvania,212500.0,2019,SingleFamily,1965
3,314018,1.0,5,PGH,2099,354840,1007,10/06/2019,05/31/2011,155000,40.474155,-79.923273,3600,257495,15206,Mellon Street,Pennsylvania,155000.0,2019,SingleFamily,1915
4,371472,2.0,4,PGH,2210,430908,806,10/06/2019,07/25/2014,231000,40.47061,-79.922002,4410,308322,15206,North Beatty Street,Pennsylvania,206000.0,2019,SingleFamily,1900
5,,2.0,2,PGH,1600,,930,01/01/1970,NA,NA,40.473243,-79.925077,NA,,15206,North Negley Avenue,Pennsylvania,NA,NA,Apartment,NA
6,316041,3.0,3,PGH,2505,398212,921,10/06/2019,11/06/2006,92900,40.472483,-79.922037,3584,233870,15206,North Euclid Avenue,Pennsylvania,128100.0,2019,SingleFamily,1920
7,256550,1.5,3,PGH,1320,287336,1103,10/06/2019,NA,NA,40.473129,-79.913905,4837,241157,15206,Winterton Street,Pennsylvania,154200.0,2019,SingleFamily,1928
8,364000,1.0,3,PGH,1600,389480,1311,10/06/2019,12/05/2018,355000,40.479347,-79.925928,4356,338520,15206,King Avenue,Pennsylvania,169300.0,2019,SingleFamily,1920
9,590002,2.0,3,PGH,3030,649002,7646,10/06/2019,06/23/1997,203000,40.485511,-79.908841,14375,525102,15206,Lock Way West,Pennsylvania,383700.0,2019,SingleFamily,1915
10,,1.0,2,PGH,950,,6041,01/01/1970,07/26/2016,324000,40.469492,-79.919382,4800,,15206,Stanton Avenue,Pennsylvania,260500.0,2019,Apartment,1900
11,653127,3.5,5,PGH,4929,751096,1212,10/06/2019,NA,NA,40.474831,-79.914009,9270,600877,15206,Heberton Street,Pennsylvania,350000.0,2019,SingleFamily,1903
12,515109,2.5,5,PGH,2538,587224,938,10/06/2019,07/03/1985,135000,40.471905,-79.91957,8665,442994,15206,North Highland Avenue,Pennsylvania,267200.0,2019,SingleFamily,1920
13,219841,1.0,3,PGH,1097,230833,6435,10/06/2019,05/28/2019,220300,40.4696,-79.912352,3898,208849,15206,Stanton Avenue,Pennsylvania,126800.0,2019,SingleFamily,1919
14,481339,2.5,3,PGH,2175,553540,1414,10/06/2019,07/21/2006,262000,40.477331,-79.917703,4213,418765,15206,Greystone Drive,Pennsylvania,267900.0,2019,SingleFamily,1930
15,257401,1.0,3,PGH,1512,293437,1109,10/06/2019,NA,NA,40.473661,-79.918147,3845,231661,15206,Farragut Street,Pennsylvania,134400.0,2019,SingleFamily,1930
16,188088,2.0,4,PGH,2340,220063,943,10/06/2019,07/17/2019,75000,40.506424,-80.050662,8828,161756,15206,Wellesley Avenue,Pennsylvania,133800.0,2019,Duplex,1921
17,218402,1.0,2,PGH,972,238058,1458,10/06/2019,06/08/2018,211500,40.478761,-79.917682,2696,200930,15206,North Euclid Avenue,Pennsylvania,118400.0,2019,Townhouse,1925
