,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,2.0,3,Mount Oliver,1889,,204,01/01/1970,09/02/2015,10500,40.411384,-79.993199,2178,,15210,Moore Avenue,Pennsylvania,47200.0,2019,SingleFamily,1890
1,,1.0,3,PGH,1902,,494,01/01/1970,06/10/2002,1000,40.414759,-79.995406,3125,,15210,Rochelle Street,Pennsylvania,800.0,2019,SingleFamily,1905
2,,1.0,3,Mount Oliver,1678,,497,01/01/1970,07/16/1996,30500,40.417392,-79.995596,2500,,15210,Jucunda Street,Pennsylvania,23900.0,2019,SingleFamily,1900
3,73823,2.0,4,PGH,3296,104090,299,09/25/2019,NA,NA,40.410701,-79.990969,3728,47985,15210,Suncrest Street,Pennsylvania,69100.0,2019,Duplex,1900
4,,1.0,5,PGH,1686,,470,01/01/1970,NA,NA,40.414751,-79.99574,4356,,15210,Rochelle Street,Pennsylvania,49900.0,2019,SingleFamily,1905
5,,1.0,3,PGH,1323,,322,01/01/1970,10/19/2005,13000,40.414049,-79.994086,2500,,15210,Bausman Street,Pennsylvania,26900.0,2019,SingleFamily,1915
6,,1.0,3,PGH,1307,,34,01/01/1970,09/26/1984,25000,40.413152,-79.989707,2500,,15210,Grape Street,Pennsylvania,38600.0,2019,SingleFamily,1890
7,,1.0,2,PGH,960,,408,01/01/1970,09/30/1999,34000,40.413124,-79.993409,2658,,15210,Mathews Avenue,Pennsylvania,32600.0,2019,SingleFamily,1907
8,267548,2.0,4,PGH,1360,299654,105,09/25/2019,08/29/2008,195000,40.577458,-79.890835,28018,224740,15210,Charles Street,Pennsylvania,181700.0,2019,SingleFamily,1954
9,,1.0,5,PGH,2243,,249,01/01/1970,NA,NA,40.41006,-79.99277,3600,,15210,Alice Street,Pennsylvania,55700.0,2019,SingleFamily,1908
10,,1.0,3,PGH,NA,,471,01/01/1970,NA,NA,40.418138,-79.995755,NA,,15210,Orchard Place,Pennsylvania,NA,NA,Miscellaneous,NA
11,,1.0,2,PGH,960,,199,01/01/1970,10/09/2012,10000,40.413644,-79.993196,1920,,15210,Grimes Avenue,Pennsylvania,19100.0,2019,SingleFamily,1900
12,,1.0,4,PGH,2152,,301,01/01/1970,10/02/2002,22500,40.415234,-79.993138,2500,,15210,Rochelle Street,Pennsylvania,37100.0,2019,Duplex,1925
13,7472,1.0,3,Mount Oliver,1914,8369,239,09/25/2019,01/26/2017,6500,40.416003,-79.992509,2500,6650,15210,Zara Street,Pennsylvania,36400.0,2019,SingleFamily,1897
14,248728,1.0,2,PGH,749,273601,810,09/25/2019,08/10/2017,223500,40.391519,-80.057174,749,226342,15210,Cedarhurst Street,Pennsylvania,167800.0,2019,Condominium,1983
15,,1.0,3,PGH,2075,,253,01/01/1970,05/19/1993,19000,40.415267,-79.992293,2500,,15210,Rochelle Street,Pennsylvania,4500.0,2019,SingleFamily,1900
16,,1.0,2,PGH,896,,151,01/01/1970,09/06/2000,23900,40.413477,-79.993109,1920,,15210,Grimes Avenue,Pennsylvania,24600.0,2019,SingleFamily,1912
17,,1.0,3,PGH,1467,,224,01/01/1970,NA,NA,40.41412,-79.991715,2500,,15210,Bausman Street,Pennsylvania,28800.0,2019,SingleFamily,1902
18,,1.0,2,Mount Oliver,1459,,399,01/01/1970,06/26/1989,13000,40.411876,-79.993325,2500,,15210,Moore Avenue,Pennsylvania,15000.0,2019,SingleFamily,1900
19,,NA,0,PGH,NA,,256,01/01/1970,01/05/1999,30320,40.414845,-79.992651,3000,,15210,Rochelle Street,Pennsylvania,4800.0,2019,SingleFamily,NA
20,,2.0,4,PGH,2152,,395,01/01/1970,02/24/1978,19900,40.415229,-79.993335,2500,,15210,Rochelle Street,Pennsylvania,36400.0,2019,Duplex,1925
21,,1.0,2,PGH,960,,310,01/01/1970,05/30/2001,34000,40.41315,-79.993491,2658,,15210,Mathews Avenue,Pennsylvania,32400.0,2019,SingleFamily,1907
22,,1.0,2,PGH,1120,,323,01/01/1970,04/20/1979,28900,40.41441,-79.994099,2500,,15210,Bausman Street,Pennsylvania,28800.0,2019,SingleFamily,1918
23,,1.0,3,PGH,2005,,246,01/01/1970,01/20/2009,31000,40.410455,-79.992954,7858,,15210,Suncrest Street,Pennsylvania,50300.0,2019,SingleFamily,1907
24,,2.0,4,Mount Oliver,1600,,230,01/01/1970,11/13/2018,21000,40.41122,-79.991881,3172,,15210,Moore Avenue,Pennsylvania,14300.0,2019,SingleFamily,1907
25,52125,1.0,6,PGH,1856,78709,218,09/25/2019,02/09/2015,14000,40.407559,-79.99338,3785,28148,15210,Wilbur Street,Pennsylvania,50100.0,2019,SingleFamily,1914
26,,1.0,2,Mount Oliver,1978,,167,01/01/1970,05/19/2008,1633,40.412995,-79.990646,3750,,15210,Knox Avenue,Pennsylvania,60000.0,2019,SingleFamily,1902
27,,1.0,2,PGH,1575,,238,01/01/1970,10/25/1999,22900,40.412166,-79.99238,2429,,15210,Arabella Street,Pennsylvania,33400.0,2019,SingleFamily,1900
28,,2.0,2,PGH,1424,,295,01/01/1970,01/27/2010,5000,40.407815,-79.992811,1377,,15210,Wilbur Street,Pennsylvania,32400.0,2019,SingleFamily,1919
29,,1.5,4,Mount Oliver,1898,,67,01/01/1970,10/19/2017,17500,40.419096,-79.988275,2500,,15210,Amanda Street,Pennsylvania,45100.0,2019,SingleFamily,1900
30,,1.0,2,Mount Oliver,1152,,432,01/01/1970,09/01/2006,4500,40.417042,-79.994737,1509,,15210,Jucunda Street,Pennsylvania,3900.0,2019,SingleFamily,1906
31,,1.0,2,PGH,1100,,262,01/01/1970,04/16/1991,15000,40.413014,-79.992195,2300,,15210,Mathews Avenue,Pennsylvania,4400.0,2019,SingleFamily,1910
32,38852,1.5,4,Mount Oliver,1678,42737,225,09/25/2019,09/08/2017,35000,40.411601,-79.991896,3406,35355,15210,Moore Avenue,Pennsylvania,49500.0,2019,SingleFamily,1900
33,30289,2.0,2,PGH,960,37861,100,09/25/2019,05/11/2006,26500,40.413676,-79.992255,2080,20899,15210,Romeyn Street,Pennsylvania,34200.0,2019,SingleFamily,1906
34,78335,4.0,6,PGH,3200,83818,244,09/25/2019,11/14/2018,75000,40.4082,-79.993996,2402,73635,15210,Reifert Street,Pennsylvania,68300.0,2019,Quadruplex,1928
35,75303,2.0,3,PGH,1168,79068,278,09/25/2019,05/28/2019,74500,40.414874,-79.991488,3920,71538,15210,Rochelle Street,Pennsylvania,64900.0,2019,SingleFamily,1961
36,,1.0,2,PGH,1260,,393,01/01/1970,NA,NA,40.407926,-79.994592,2289,,15210,Wilbur Street,Pennsylvania,34900.0,2019,SingleFamily,1890
37,,1.0,2,PGH,1120,,447,01/01/1970,11/21/2007,48000,40.414391,-79.996796,2500,,15210,Bausman Street,Pennsylvania,29700.0,2019,SingleFamily,1916
38,,2.0,3,Mount Oliver,1433,,354,01/01/1970,02/05/2010,4500,40.411924,-79.99486,2500,,15210,Moore Avenue,Pennsylvania,50400.0,2019,SingleFamily,1903
39,,1.0,3,PGH,1886,,439,01/01/1970,NA,NA,40.410298,-79.996575,3840,,15210,Alice Street,Pennsylvania,24600.0,2019,SingleFamily,1914
40,20522,1.0,2,PGH,1071,36324,445,09/25/2019,05/06/2009,16000,40.415119,-79.996918,1747,14160,15210,Rochelle Street,Pennsylvania,20000.0,2019,SingleFamily,1900
41,69472,1.0,4,PGH,1575,81977,360,09/25/2019,10/08/2013,37000,40.408442,-79.994623,2500,47241,15210,Reifert Street,Pennsylvania,61000.0,2019,SingleFamily,1929
42,,1.0,2,PGH,1050,,282,01/01/1970,NA,NA,40.413018,-79.992269,2300,,15210,Mathews Avenue,Pennsylvania,29400.0,2019,SingleFamily,1902
43,19862,1.0,2,PGH,1040,31978,18,09/25/2019,NA,NA,40.413793,-79.989256,2500,14896,15210,Grape Street,Pennsylvania,24800.0,2019,SingleFamily,1885
44,,1.0,2,PGH,960,,391,01/01/1970,NA,NA,40.413642,-79.993814,2946,,15210,Mathews Avenue,Pennsylvania,30000.0,2019,SingleFamily,1910
45,,1.0,3,PGH,2391,,437,01/01/1970,11/21/1995,14000,40.415835,-79.996928,5000,,15210,Zara Street,Pennsylvania,47700.0,2019,SingleFamily,1910
46,,1.5,4,Mount Oliver,1734,,422,01/01/1970,01/27/2006,4000,40.416954,-79.996452,3750,,15210,Jucunda Street,Pennsylvania,5300.0,2019,SingleFamily,1880
47,,3.0,3,PGH,2605,,306,01/01/1970,04/21/2014,5000,40.410604,-79.993546,4719,,15210,Suncrest Street,Pennsylvania,64200.0,2019,Triplex,1910
48,,1.0,2,Mount Oliver,2041,,207,01/01/1970,03/10/2000,26765,40.41156,-79.990811,2022,,15210,Moore Avenue,Pennsylvania,58300.0,2019,SingleFamily,1905
49,51316,1.5,2,PGH,1174,72869,330,09/25/2019,05/04/2012,15000,40.409196,-79.995287,2800,31303,15210,Reifert Street,Pennsylvania,45900.0,2019,SingleFamily,1916
50,,1.0,3,PGH,1232,,213,01/01/1970,NA,NA,40.408415,-79.992641,2750,,15210,Reifert Street,Pennsylvania,17700.0,2019,SingleFamily,1915
51,,2.0,2,PGH,1597,,121,01/01/1970,10/08/2002,7500,40.416828,-79.989255,2020,,15210,Charles Street,Pennsylvania,41900.0,2019,SingleFamily,1878
52,,1.0,3,PGH,1584,,498,01/01/1970,10/28/2013,25000,40.409932,-79.995579,2750,,15210,Alice Street,Pennsylvania,45600.0,2019,SingleFamily,1926
53,,1.0,2,Mount Oliver,1392,,199,01/01/1970,05/03/1973,11000,40.417762,-79.987704,1515,,15210,John Street,Pennsylvania,28800.0,2019,SingleFamily,1915
54,,1.0,3,PGH,1506,,477,01/01/1970,07/09/2014,9519,40.418116,-79.996283,3125,,15210,Orchard Place,Pennsylvania,9500.0,2019,SingleFamily,1900
55,18407,1.0,2,PGH,896,27979,101,09/25/2019,04/21/1998,25000,40.413856,-79.993198,1920,12517,15210,Grimes Avenue,Pennsylvania,18000.0,2019,SingleFamily,1912
56,61401,1.0,4,Mount Oliver,1795,77365,300,09/25/2019,NA,NA,40.411352,-79.993006,7194,39911,15210,Moore Avenue,Pennsylvania,44900.0,2019,SingleFamily,1928
57,,1.0,3,PGH,1979,,601,01/01/1970,08/03/2001,45000,40.41076,-79.994617,3371,,15210,Georgia Avenue,Pennsylvania,49700.0,2019,SingleFamily,1902
58,66270,2.0,3,PGH,1746,94103,294,09/25/2019,12/01/2011,39900,40.408526,-79.993895,1477119,43075,15210,Reifert Street,Pennsylvania,49500.0,2019,SingleFamily,1929
59,,NA,0,PGH,NA,,324,01/01/1970,07/02/2002,3000,40.417756,-79.994302,2500,,15210,Orchard Place,Pennsylvania,700.0,2019,SingleFamily,NA
60,,1.0,3,Mount Oliver,2093,,298,01/01/1970,07/21/1993,35000,40.417123,-79.991455,5500,,15210,Jucunda Street,Pennsylvania,55300.0,2019,SingleFamily,1897
61,,1.0,2,PGH,1176,,449,01/01/1970,01/05/2010,36500,40.414388,-79.996931,5000,,15210,Bausman Street,Pennsylvania,31700.0,2019,SingleFamily,1918
62,,1.0,3,PGH,1584,,472,01/01/1970,08/21/2006,37000,40.409927,-79.995756,2750,,15210,Alice Street,Pennsylvania,44100.0,2019,SingleFamily,1924
63,,2.0,3,PGH,2371,,243,01/01/1970,NA,NA,40.418213,-79.99283,2585,,15210,Orchard Place,Pennsylvania,45700.0,2019,SingleFamily,1900
64,,1.0,3,Mount Oliver,1344,,71,01/01/1970,03/22/2019,1000,40.418967,-79.988311,1740,,15210,Amanda Street,Pennsylvania,32400.0,2019,SingleFamily,1910
65,,1.0,2,PGH,1260,,433,01/01/1970,03/23/1998,38500,40.412394,-79.996821,2719,,15210,Arabella Street,Pennsylvania,42500.0,2019,SingleFamily,1913
66,,1.0,3,Mount Oliver,1956,,270,01/01/1970,06/19/1974,12000,40.415624,-79.991111,2500,,15210,Zara Street,Pennsylvania,19800.0,2019,SingleFamily,1900
67,,NA,0,PGH,NA,,263,01/01/1970,NA,NA,40.408063,-79.99362,3004,,15210,Reifert Street,Pennsylvania,900.0,2019,SingleFamily,NA
68,,2.0,6,Mount Oliver,2893,,297,01/01/1970,07/01/2005,49000,40.417501,-79.991475,5500,,15210,Jucunda Street,Pennsylvania,53700.0,2019,SingleFamily,1900
69,,1.0,3,PGH,2211,,127,01/01/1970,NA,NA,40.415274,-79.991934,2500,,15210,Rochelle Street,Pennsylvania,39500.0,2019,SingleFamily,1906
70,,1.0,3,PGH,2211,,227,01/01/1970,NA,NA,40.415274,-79.991934,2500,,15210,Rochelle Street,Pennsylvania,39500.0,2019,SingleFamily,1906
71,,1.0,2,PGH,1596,,321,01/01/1970,07/30/2004,72000,40.408397,-79.995129,2500,,15210,Wilbur Street,Pennsylvania,48300.0,2019,SingleFamily,1925
72,,1.0,4,Mount Oliver,1664,,200,01/01/1970,08/30/2001,16000,40.416043,-79.991129,2500,,15210,Zara Street,Pennsylvania,46800.0,2019,SingleFamily,1900
73,44401,1.0,4,PGH,1320,63937,279,09/25/2019,03/18/2019,49900,40.415287,-79.991578,2500,30193,15210,Rochelle Street,Pennsylvania,27200.0,2019,SingleFamily,1927
74,,1.0,3,Mount Oliver,1442,,101,01/01/1970,09/10/2009,2000,40.476919,-79.970882,1465,,15210,Marland Avenue,Pennsylvania,500.0,2019,SingleFamily,1902
75,,1.0,3,PGH,1352,,50,01/01/1970,01/09/2004,47000,40.417889,-79.990507,3200,,15210,Knox Avenue,Pennsylvania,36500.0,2019,SingleFamily,1900
76,18662,1.0,3,PGH,1000,29299,152,09/25/2019,02/19/2014,10500,40.414914,-79.990034,1383,14370,15210,Rochelle Street,Pennsylvania,10500.0,2019,SingleFamily,1904
77,,1.5,2,PGH,1516,,212,01/01/1970,NA,NA,40.411813,-79.9912,1975,,15210,Marland Avenue,Pennsylvania,25000.0,2019,SingleFamily,1898
78,,4.0,6,Mount Oliver,2567,,400,01/01/1970,09/29/2017,13240,40.416983,-79.995308,2304,,15210,Jucunda Street,Pennsylvania,11600.0,2019,SingleFamily,1915
79,,1.0,3,Mount Oliver,1287,,221,01/01/1970,02/09/1988,36150,40.409223,-79.992645,3080,,15210,McKinley Street,Pennsylvania,40600.0,2019,SingleFamily,1927
80,,1.0,3,PGH,1443,,374,01/01/1970,11/07/1974,18000,40.414804,-79.993958,3500,,15210,Rochelle Street,Pennsylvania,47300.0,2019,SingleFamily,1925
81,,1.0,3,PGH,1459,,341,01/01/1970,05/25/2010,4300,40.413141,-79.994663,3000,,15210,Arabella Street,Pennsylvania,32800.0,2019,SingleFamily,1900
82,,1.25,6,PGH,2079,,226,01/01/1970,06/01/2017,25000,40.404928,-79.975004,2500,,15210,Bausman Street,Pennsylvania,31800.0,2019,SingleFamily,1911
83,,1.0,3,Mount Oliver,1956,,201,01/01/1970,06/19/1974,12000,40.415624,-79.991111,2500,,15210,Zara Street,Pennsylvania,19800.0,2019,SingleFamily,1900
84,59918,NA,0,PGH,2137,76096,208,09/25/2019,02/09/2015,45000,40.407986,-79.99254,2174,34752,15210,Reifert Street,Pennsylvania,50800.0,2019,MultiFamily2To4,1912
85,,1.0,2,PGH,1610,,313,01/01/1970,NA,NA,40.415221,-79.993768,3125,,15210,Rochelle Street,Pennsylvania,46500.0,2019,SingleFamily,1920
86,,1.0,4,PGH,2001,,337,01/01/1970,04/15/2013,18100,40.411435,-79.994525,2907,,15210,Suncrest Street,Pennsylvania,25750.0,2019,SingleFamily,1898
87,29844,1.0,2,PGH,1655,53421,328,09/25/2019,09/18/2015,500,40.411194,-79.996278,2750,20294,15210,Suncrest Street,Pennsylvania,46800.0,2019,SingleFamily,1900
88,,1.0,4,Mount Oliver,1664,,209,01/01/1970,08/30/2001,16000,40.416043,-79.991129,2500,,15210,Zara Street,Pennsylvania,46800.0,2019,SingleFamily,1900
89,,1.0,3,PGH,1200,,446,01/01/1970,08/30/2005,55000,40.413982,-79.996818,4500,,15210,Bausman Street,Pennsylvania,43400.0,2019,SingleFamily,1955
90,54574,1.0,3,PGH,1588,82952,349,09/25/2019,NA,NA,40.411599,-79.995023,2907,33836,15210,Suncrest Street,Pennsylvania,49200.0,2019,SingleFamily,1927
91,,2.0,4,Mount Oliver,1534,,176,01/01/1970,04/07/2017,500,40.41491,-79.990282,1327,,15210,Knox Avenue,Pennsylvania,400.0,2019,SingleFamily,1890
