,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,136636,1.5,3,PGH,1504,173528,1247,10/06/2019,NA,NA,40.469951,-79.905641,16000,91546,15206,Larimer Avenue,Pennsylvania,65900.0,2019,SingleFamily,1956
1,,1.0,2,PGH,1190,,1367,01/01/1970,02/01/1980,18500,40.468968,-79.897866,3000,,15206,Montezuma Street,Pennsylvania,19900.0,2019,SingleFamily,1908
2,,1.0,2,PGH,910,,1011,01/01/1970,08/09/2001,1500,40.4648,-79.902908,1075,,15206,Grapevine Street,Pennsylvania,16800.0,2019,SingleFamily,1900
3,,1.0,3,PGH,678,,1535,01/01/1970,02/08/1994,41000,40.466628,-79.890703,5000,,15206,Oakdene Street,Pennsylvania,40900.0,2019,SingleFamily,1965
4,185812,3.0,3,PGH,1796,230407,7044,10/06/2019,07/06/1995,70000,40.473655,-79.893267,9059,150508,15206,Campania Street,Pennsylvania,104000.0,2019,SingleFamily,1965
5,,1.0,2,PGH,1056,,6624,01/01/1970,NA,NA,40.464699,-79.903954,2832,,15206,Rowan Street,Pennsylvania,11500.0,2019,SingleFamily,1900
6,,NA,0,PGH,NA,,6660,01/01/1970,NA,NA,40.466629,-79.900015,3775,,15206,Bower Street,Pennsylvania,800.0,2019,SingleFamily,NA
7,,2.0,5,PGH,1785,,6525,01/01/1970,10/11/2006,47900,40.466775,-79.90477,3020,,15206,Deary Street,Pennsylvania,40400.0,2019,SingleFamily,1930
8,,NA,0,PGH,NA,,6664,01/01/1970,NA,NA,40.466571,-79.899846,4316,,15206,Bower Street,Pennsylvania,1700.0,2019,SingleFamily,NA
9,,1.0,2,PGH,1152,,6664,01/01/1970,03/07/1986,4000,40.465991,-79.900722,3175,,15206,Hedge Street,Pennsylvania,700.0,2019,SingleFamily,1900
10,,1.0,3,PGH,1221,,6428,01/01/1970,04/18/1991,35000,40.468525,-79.904886,3000,,15206,Dean Street,Pennsylvania,32900.0,2019,SingleFamily,1920
11,,NA,0,PGH,NA,,1255,01/01/1970,NA,NA,40.468945,-79.901564,3000,,15206,Paulson Avenue,Pennsylvania,1200.0,2019,SingleFamily,NA
12,68748,1.5,3,PGH,1540,85248,7145,10/06/2019,06/03/2009,57000,40.471136,-79.89467,4000,49499,15206,Wiltsie Street,Pennsylvania,58300.0,2019,SingleFamily,1940
13,,2.0,3,PGH,1999,,6569,01/01/1970,03/11/2009,7202,40.464887,-79.905271,8229,,15206,Odessa Place,Pennsylvania,4300.0,2019,SingleFamily,1900
14,38898,1.5,4,PGH,1296,56402,1229,10/06/2019,NA,NA,40.466259,-79.899592,2800,20616,15206,Pointview Street,Pennsylvania,32500.0,2019,SingleFamily,1940
15,,1.5,3,PGH,1040,,1352,01/01/1970,02/08/1984,27000,40.467922,-79.89773,4550,,15206,Pointview Street,Pennsylvania,20800.0,2019,SingleFamily,1930
16,,1.5,3,PGH,1056,,6650,01/01/1970,NA,NA,40.46558,-79.901929,2880,,15206,Apple Avenue,Pennsylvania,24500.0,2019,SingleFamily,1900
17,85609,1.0,2,PGH,1537,107011,162,10/06/2019,09/10/1980,25000,40.474034,-79.890084,5406,65919,15206,Broadcrest Drive,Pennsylvania,70900.0,2019,SingleFamily,1960
18,,1.0,4,PGH,2172,,1334,01/01/1970,NA,NA,40.467345,-79.896872,2509,,15206,Lincoln Avenue,Pennsylvania,3000.0,2019,SingleFamily,1910
19,,NA,0,PGH,NA,,6902,01/01/1970,NA,NA,40.47139,-79.898513,3000,,15206,Lemington Avenue,Pennsylvania,1200.0,2019,SingleFamily,NA
20,,1.5,4,PGH,2021,,7072,01/01/1970,03/08/2001,10500,40.473171,-79.892104,3281,,15206,Ebel Street,Pennsylvania,28600.0,2019,SingleFamily,1900
21,,1.0,2,PGH,NA,,1377,01/01/1970,NA,NA,40.47176,-79.8998,NA,,15206,Schwerner Court,Pennsylvania,NA,NA,Townhouse,NA
22,38876,1.0,3,PGH,2148,54038,1654,10/06/2019,NA,NA,40.471704,-79.891018,7980,23326,15206,Lincoln Avenue,Pennsylvania,35400.0,2019,SingleFamily,1930
23,151767,1.5,2,PGH,1378,182120,6412,10/06/2019,08/24/2000,50000,40.471389,-79.903214,30464,116861,15206,Olivant Street,Pennsylvania,67100.0,2019,SingleFamily,1950
24,,1.5,2,PGH,1000,,1303,01/01/1970,NA,NA,40.466836,-79.898828,2970,,15206,Pointview Street,Pennsylvania,16500.0,2019,SingleFamily,1920
25,181362,2.5,3,PGH,1566,224889,6417,10/06/2019,08/17/2005,70000,40.47169,-79.902614,6468,141462,15206,Olivant Street,Pennsylvania,82500.0,2019,SingleFamily,1947
26,135809,1.0,3,PGH,1368,172477,716,10/06/2019,04/14/1989,12000,40.471904,-79.902359,10340,90992,15206,Olivant Place,Pennsylvania,57700.0,2019,SingleFamily,1955
27,,1.0,3,PGH,1302,,633,01/01/1970,NA,NA,40.470837,-79.902344,2730,,15206,Dunmore Street,Pennsylvania,34700.0,2019,SingleFamily,1935
28,,1.0,4,PGH,1777,,1366,01/01/1970,07/28/1975,13800,40.468315,-79.898018,2500,,15206,Pointview Street,Pennsylvania,25900.0,2019,SingleFamily,1920
29,,1.0,2,PGH,1288,,6946,01/01/1970,05/08/1990,33000,40.471981,-79.897677,4957,,15206,Churchland Street,Pennsylvania,25200.0,2019,SingleFamily,1920
30,,1.0,2,PGH,1080,,1223,01/01/1970,NA,NA,40.465087,-79.897252,2875,,15206,Grotto Street,Pennsylvania,14600.0,2019,SingleFamily,1930
31,,NA,0,PGH,NA,,142,01/01/1970,NA,NA,40.475224,-79.889497,6837,,15206,Broadcrest Drive,Pennsylvania,14200.0,2019,SingleFamily,NA
32,,NA,0,PGH,NA,,7365,01/01/1970,NA,NA,40.462212,-79.891358,2500,,15206,Stranahan Street,Pennsylvania,600.0,2019,SingleFamily,NA
33,53972,1.5,3,PGH,1408,77720,6560,10/06/2019,NA,NA,40.465443,-79.905225,3296,33463,15206,Rowan Street,Pennsylvania,34800.0,2019,SingleFamily,1925
34,45571,1.0,2,PGH,1263,61065,7171,10/06/2019,11/30/2004,40000,40.470978,-79.893097,6944,31900,15206,Ross Garden Road,Pennsylvania,37400.0,2019,SingleFamily,1950
35,,NA,0,PGH,NA,,1335,01/01/1970,NA,NA,40.467619,-79.898433,8538,,15206,Pointview Street,Pennsylvania,4300.0,2019,SingleFamily,NA
36,,1.5,3,PGH,1080,,1108,01/01/1970,06/04/1997,500,40.466774,-79.902699,1680,,15206,Montezuma Street,Pennsylvania,16500.0,2019,SingleFamily,1910
37,,NA,0,PGH,NA,,1113,01/01/1970,02/10/2000,19291,40.468442,-79.906926,2500,,15206,Larimer Avenue,Pennsylvania,600.0,2019,SingleFamily,NA
38,82375,1.5,3,PGH,940,100498,113,10/06/2019,01/19/2000,61900,40.474696,-79.888996,4791,65900,15206,Broadcrest Drive,Pennsylvania,66100.0,2019,SingleFamily,1962
