,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,1,PGH,650,,3641,01/01/1970,NA,NA,40.462171,-79.962373,NA,,15201,Liberty Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
1,224585,1.0,2,PGH,NA,276240,3521,10/01/2019,NA,NA,40.464586,-79.966517,NA,184160,15201,Mulberry Way,Pennsylvania,NA,NA,Townhouse,NA
2,,5.0,0,PGH,2146,,3480,01/01/1970,10/19/2009,1000,40.463194,-79.967807,820,,15201,Charlotte Street,Pennsylvania,400.0,2019,SingleFamily,2017
3,270513,2.0,4,PGH,1858,302975,183,10/01/2019,05/08/2012,178000,40.464415,-79.966892,1880,240757,15201,35th Street,Pennsylvania,178000.0,2019,SingleFamily,1900
4,145221,1.0,2,PGH,1344,177170,3425,10/01/2019,03/22/2017,114000,40.462314,-79.965462,1080,100202,15201,Denny Street,Pennsylvania,21200.0,2019,SingleFamily,1890
5,380774,2.1,3,PGH,1395,399813,177,10/01/2019,05/28/2019,380000,40.465915,-79.966201,1742,361735,15201,37th Street,Pennsylvania,290600.0,2019,SingleFamily,1910
6,,2.0,4,PGH,1640,,3380,01/01/1970,NA,NA,40.48095,-79.996582,10000,,15201,Spring Way,Pennsylvania,35600.0,2019,SingleFamily,1900
7,266382,NA,0,PGH,NA,364943,3825,10/01/2019,NA,NA,40.464896,-79.960612,NA,181140,15224,Penn Avenue,Pennsylvania,NA,NA,SingleFamily,NA
8,,1.0,2,PGH,896,,3404,01/01/1970,03/17/2011,55000,40.463081,-79.967684,767,,15201,Mulberry Way,Pennsylvania,34000.0,2019,SingleFamily,1900
9,265107,1.5,2,PGH,NA,331384,2,10/01/2019,NA,NA,40.465373,-79.965961,NA,198830,15201,36th Street,Pennsylvania,NA,NA,SingleFamily,1850
10,247520,1.0,3,PGH,1536,274747,3807,10/01/2019,06/06/2008,50000,40.463457,-79.959292,1940,205442,15201,Howley Street,Pennsylvania,76000.0,2019,SingleFamily,1900
11,306756,2.0,6,PGH,3160,392648,200,10/01/2019,12/10/2001,39000,40.465081,-79.960938,1296,236202,15201,39th Street,Pennsylvania,126100.0,2019,Duplex,1900
12,733357,3.5,3,PGH,NA,770025,3847,10/01/2019,07/10/2019,714725,40.462925,-79.9577,1999,696689,15201,Liberty Avenue,Pennsylvania,6000.0,2019,SingleFamily,NA
13,299388,1.0,1,PGH,NA,326333,1,10/01/2019,NA,NA,40.465984,-79.966262,NA,266455,15201,36th Street,Pennsylvania,NA,NA,MultiFamily2To4,1850
14,218965,1.0,3,PGH,1608,247430,3660,10/01/2019,11/10/2016,191000,40.463284,-79.962344,1800,194879,15201,Mintwood Street,Pennsylvania,56900.0,2019,SingleFamily,1890
15,143692,1.0,2,PGH,930,183926,198,10/01/2019,02/22/1999,21500,40.46415,-79.96152,600,80468,15201,38th Street,Pennsylvania,25000.0,2019,SingleFamily,1900
16,156764,1.0,2,PGH,1103,199090,306,10/01/2019,06/27/2014,110000,40.463931,-79.961471,654,120708,15201,38th Street,Pennsylvania,32400.0,2019,MultiFamily2To4,1900
17,312547,1.0,3,PGH,1397,350053,139,10/01/2019,04/15/2014,306568,40.474343,-79.960545,1400,281292,15201,36th Street,Pennsylvania,69200.0,2019,SingleFamily,1898
18,277658,1.0,3,PGH,1608,319307,3692,10/01/2019,NA,NA,40.463201,-79.963943,1815,247116,15201,Mintwood Street,Pennsylvania,57000.0,2019,SingleFamily,1890
19,302860,3.0,6,PGH,2628,393718,3704,10/01/2019,06/10/1997,700,40.466777,-79.965197,1500,221088,15201,Charlotte Street,Pennsylvania,62000.0,2019,Duplex,1900
20,227243,1.0,3,PGH,2160,293143,249,10/01/2019,05/24/2002,25000,40.465876,-79.962722,1676,195429,15201,38th Street,Pennsylvania,51000.0,2019,SingleFamily,1890
21,260696,1.0,2,PGH,1130,281552,3814,10/01/2019,09/21/2018,250500,40.463253,-79.960534,1999,242447,15201,Cabinet Way,Pennsylvania,154000.0,2019,SingleFamily,1890
22,78966,2.0,4,PGH,1840,88442,3322,10/01/2019,02/27/2017,70000,40.478995,-79.995899,5000,70280,15201,Spring Way,Pennsylvania,42900.0,2019,SingleFamily,1900
23,,1.0,2,PGH,NA,,308,01/01/1970,NA,NA,40.463848,-79.961511,NA,,15201,38th Street,Pennsylvania,NA,NA,Townhouse,NA
24,216622,1.0,2,PGH,1680,233952,3500,10/01/2019,08/03/2018,210000,40.463838,-79.965029,1346,199292,15201,Penn Avenue,Pennsylvania,72400.0,2019,SingleFamily,1910
25,571025,4.0,3,PGH,2342,622417,303,10/01/2019,04/27/2017,80000,40.464113,-79.961189,1400,496792,15201,37th Street,Pennsylvania,374700.0,2019,Townhouse,2018
26,158193,1.0,2,PGH,1122,200905,3945,10/01/2019,10/01/1985,15000,40.463855,-79.958338,1060,123391,15224,Cabinet Way,Pennsylvania,35900.0,2019,SingleFamily,1900
27,112167,1.0,2,PGH,1016,143574,3738,10/01/2019,09/29/1992,22000,40.461956,-79.960851,1452,74030,15201,Liberty Avenue,Pennsylvania,43000.0,2019,Townhouse,1920
28,212817,1.0,2,PGH,2592,268149,3918,10/01/2019,NA,NA,40.462369,-79.958534,2000,170254,15224,Liberty Avenue,Pennsylvania,45000.0,2019,SingleFamily,1890
29,183478,1.0,2,PGH,NA,267878,3471,10/01/2019,NA,NA,40.46261,-79.96599,NA,115591,15201,Ligonier Street,Pennsylvania,NA,NA,SingleFamily,1900
30,242165,1.0,3,PGH,1216,278490,151,10/01/2019,09/07/2010,29200,40.468172,-79.965664,1170,193732,15201,39th Street,Pennsylvania,61500.0,2019,Townhouse,1890
