,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,139133,2.0,3,PGH,1254,157220,2363,10/06/2019,10/25/2016,122000,40.453459,-79.854144,5980,123828,15219,La Place Street,Pennsylvania,88200.0,2019,SingleFamily,1940
1,10918,1.0,2,PGH,660,12119,354,10/06/2019,07/12/2017,10000,40.467874,-80.009224,7016,9826,15219,Perry Street,Pennsylvania,30000.0,2019,SingleFamily,1950
2,135785,2.0,6,PGH,2210,169731,511,10/06/2019,NA,NA,40.449151,-79.965374,1973,92334,15219,Herron Avenue,Pennsylvania,69400.0,2019,Duplex,1932
3,,NA,0,PGH,NA,,772,01/01/1970,NA,NA,40.447763,-79.977806,728,,15219,Kirkpatrick Street,Pennsylvania,1500.0,2019,SingleFamily,NA
4,58140,1.0,4,PGH,1384,95350,2298,10/06/2019,NA,NA,40.448041,-79.975676,2075,35465,15219,Webster Avenue,Pennsylvania,39300.0,2019,SingleFamily,1900
5,,1.0,3,PGH,1384,,2633,01/01/1970,NA,NA,40.446785,-79.969853,1722,,15219,Elba Street,Pennsylvania,700.0,2019,SingleFamily,1920
6,,1.0,3,PGH,630,,2915,01/01/1970,NA,NA,40.451437,-79.966449,735,,15219,Orbin Street,Pennsylvania,300.0,2019,SingleFamily,1915
7,,1.0,2,PGH,1260,,2224,01/01/1970,06/04/2003,10004,40.445389,-79.973031,989,,15219,La Place Street,Pennsylvania,400.0,2019,SingleFamily,1920
8,,1.0,2,PGH,1042,,2200,01/01/1970,NA,NA,40.447669,-79.977666,6750,,15219,Webster Avenue,Pennsylvania,14200.0,2019,SingleFamily,1951
9,,NA,0,PGH,NA,,601,01/01/1970,NA,NA,40.447422,-79.974339,3164,,15219,Somers Street,Pennsylvania,16300.0,2019,SingleFamily,NA
10,368135,2.5,4,PGH,2352,393904,2394,10/06/2019,12/12/1988,138000,40.589814,-80.083033,21401,346047,15219,La Place Street,Pennsylvania,230800.0,2019,SingleFamily,1979
11,135140,1.5,2,PGH,1040,158114,73,10/06/2019,08/02/1999,85500,40.445038,-79.980198,1350,110815,15219,Davenport Street,Pennsylvania,74100.0,2019,SingleFamily,1998
12,,1.0,2,PGH,960,,2262,01/01/1970,02/01/2008,23500,40.52675,-79.850346,3027,,15219,La Place Street,Pennsylvania,23800.0,2019,SingleFamily,1915
13,,2.0,4,PGH,3036,,2801,01/01/1970,06/07/1983,1373,40.451435,-79.966691,13746,,15219,Orbin Street,Pennsylvania,20800.0,2019,SingleFamily,1950
14,,1.0,4,PGH,2115,,2136,01/01/1970,02/07/1995,35000,40.448636,-79.976924,2960,,15219,Bedford Avenue,Pennsylvania,49700.0,2019,SingleFamily,1910
15,,NA,0,PGH,NA,,2421,01/01/1970,NA,NA,40.444864,-79.972761,2000,,15219,Reed Street,Pennsylvania,4000.0,2019,SingleFamily,NA
16,72068,1.0,2,PGH,1024,102337,2119,10/06/2019,11/13/1997,21000,40.445321,-79.97872,1358,44682,15219,Wylie Avenue,Pennsylvania,10500.0,2019,SingleFamily,1999
17,178099,1.0,3,PGH,1187,195909,194,10/06/2019,09/01/1981,1500,40.445399,-79.981936,8448,160289,15219,Devilliers Street,Pennsylvania,131500.0,2019,SingleFamily,1982
18,131416,1.5,3,PGH,1230,147186,507,10/06/2019,05/12/1994,4000,40.449899,-79.968444,3775,116960,15219,Morgan Street,Pennsylvania,82300.0,2019,SingleFamily,1985
19,,1.0,3,PGH,1480,,2252,01/01/1970,NA,NA,40.447985,-79.975925,1131,,15219,Webster Avenue,Pennsylvania,12300.0,2019,SingleFamily,1900
20,71896,1.5,3,PGH,1488,77648,2344,10/06/2019,11/15/2018,70000,40.454384,-79.858121,6481,66863,15219,La Place Street,Pennsylvania,45700.0,2019,SingleFamily,1945
21,105381,1.5,1,PGH,1240,139103,2152,10/06/2019,06/16/1998,1100,40.445454,-79.977408,1520,63229,15219,Wylie Avenue,Pennsylvania,52500.0,2019,Duplex,1960
22,,NA,0,PGH,NA,,2233,01/01/1970,NA,NA,40.362473,-79.873119,4224,,15219,Webster Avenue,Pennsylvania,1300.0,2019,SingleFamily,NA
23,308377,2.5,4,PGH,2328,333047,104,10/06/2019,NA,NA,40.541777,-80.003131,33411,292958,15219,Erin Street,Pennsylvania,188300.0,2019,SingleFamily,1975
24,,NA,0,PGH,NA,,2301,01/01/1970,NA,NA,40.44841,-79.976097,1963,,15219,Webster Avenue,Pennsylvania,600.0,2019,SingleFamily,NA
25,,NA,0,PGH,NA,,2126,01/01/1970,NA,NA,40.446487,-79.979458,8196,,15219,Webster Avenue,Pennsylvania,601600.0,2019,SingleFamily,NA
26,117977,2.0,4,PGH,1792,153370,2815,10/06/2019,03/26/1997,20000,40.450061,-79.967587,1226,68427,15219,Wylie Avenue,Pennsylvania,58900.0,2019,Duplex,1900
27,,NA,0,PGH,NA,,619,01/01/1970,03/15/1995,1025,40.448602,-79.972262,3840,,15219,Junilla Street,Pennsylvania,7700.0,2019,SingleFamily,NA
28,166827,2.0,4,PGH,1504,181841,2238,10/06/2019,08/31/1993,86500,40.479365,-79.715394,6789,153481,15219,La Place Street,Pennsylvania,115900.0,2019,SingleFamily,1981
29,,1.0,1,PGH,NA,,2116,01/01/1970,NA,NA,40.447209,-79.980268,NA,,15219,Bedford Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
30,,1.0,2,PGH,1132,,603,01/01/1970,11/05/2012,6000,40.450792,-79.967736,1042,,15219,Hollace Street,Pennsylvania,15700.0,2019,SingleFamily,1928
31,,2.0,4,PGH,3036,,2902,01/01/1970,06/07/1983,1373,40.451435,-79.966691,13746,,15219,Orbin Street,Pennsylvania,20800.0,2019,SingleFamily,1950
32,,1.0,5,PGH,2430,,558,01/01/1970,03/07/1995,3000,40.449347,-79.967468,2762,,15219,Morgan Street,Pennsylvania,15500.0,2019,SingleFamily,1900
33,,1.0,1,PGH,780,,2000,01/01/1970,NA,NA,40.440016,-79.98623,NA,,15219,Centre Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
34,,NA,0,PGH,NA,,101,01/01/1970,NA,NA,40.473647,-80.008883,2160,,15219,Perry Street,Pennsylvania,3900.0,2019,SingleFamily,NA
35,287765,2.5,3,PGH,2212,302153,100,10/06/2019,NA,NA,40.541446,-80.002716,10757,264744,15219,Erin Street,Pennsylvania,179700.0,2019,SingleFamily,1976
36,102592,2.0,2,PGH,1086,110799,2304,10/06/2019,09/26/2018,99900,40.544611,-80.017796,1086,95411,15219,La Place Street,Pennsylvania,76800.0,2019,Condominium,1968
37,,NA,0,PGH,NA,,2166,01/01/1970,NA,NA,40.447903,-79.978703,1763,,15219,Bedford Avenue,Pennsylvania,5300.0,2019,SingleFamily,NA
38,,1.0,4,PGH,2080,,554,01/01/1970,NA,NA,40.449219,-79.967394,2460,,15219,Morgan Street,Pennsylvania,14900.0,2019,SingleFamily,1900
39,,NA,0,PGH,NA,,649,01/01/1970,NA,NA,40.447023,-79.977801,608,,15219,Kirkpatrick Street,Pennsylvania,300.0,2019,SingleFamily,NA
40,,1.0,3,PGH,1600,,2240,01/01/1970,11/26/1997,11000,40.447829,-79.976287,1255,,15219,Webster Avenue,Pennsylvania,12800.0,2019,SingleFamily,1915
41,,NA,0,PGH,NA,,2544,01/01/1970,NA,NA,40.446641,-79.969127,588,,15219,Elba Street,Pennsylvania,300.0,2019,SingleFamily,NA
42,,1.0,2,PGH,1416,,672,01/01/1970,NA,NA,40.450431,-79.967513,1017,,15219,Hollace Street,Pennsylvania,2000.0,2019,SingleFamily,1918
43,153969,2.0,3,PGH,875,166287,2274,10/06/2019,09/11/2018,150000,40.396659,-80.009068,5998,141651,15219,La Place Street,Pennsylvania,67800.0,2019,SingleFamily,1950
44,200206,3.0,2,PGH,1829,236243,2657,10/06/2019,11/24/2014,90000,40.446978,-79.969203,11030,174179,15219,Elba Street,Pennsylvania,122800.0,2019,SingleFamily,1960
45,,1.0,2,PGH,1132,,630,01/01/1970,11/05/2012,6000,40.450792,-79.967736,1042,,15219,Hollace Street,Pennsylvania,15700.0,2019,SingleFamily,1928
46,,1.5,4,PGH,1890,,2599,01/01/1970,03/04/2003,2000,40.447421,-79.97037,2400,,15219,Hallett Street,Pennsylvania,30400.0,2019,SingleFamily,1920
47,166860,2.0,8,PGH,2173,198563,2798,10/06/2019,NA,NA,40.449266,-79.968319,3731,121808,15219,Wylie Avenue,Pennsylvania,84900.0,2019,Duplex,1920
48,72008,1.0,2,PGH,1024,102251,2129,10/06/2019,11/13/1997,21000,40.445367,-79.978463,2207,43205,15219,Wylie Avenue,Pennsylvania,10500.0,2019,SingleFamily,1999
49,,NA,0,PGH,NA,,2213,01/01/1970,NA,NA,40.44776,-79.977558,2750,,15219,Webster Avenue,Pennsylvania,5500.0,2019,SingleFamily,NA
50,,2.0,3,PGH,1488,,2139,01/01/1970,09/25/2017,48900,40.445624,-79.973397,1079,,15219,Centre Avenue,Pennsylvania,33500.0,2019,SingleFamily,1920
51,95159,1.0,2,PGH,1404,100869,2369,10/06/2019,04/09/2019,95000,40.400751,-80.027693,6660,89449,15219,La Place Street,Pennsylvania,72000.0,2019,SingleFamily,1913
52,,NA,0,PGH,NA,,2500,01/01/1970,NA,NA,40.449231,-79.971861,2240,,15219,Upton Street,Pennsylvania,14500.0,2019,SingleFamily,NA
53,,1.0,3,PGH,1506,,2923,01/01/1970,03/16/2006,23676,40.450204,-79.967303,1516,,15219,Wylie Avenue,Pennsylvania,23200.0,2019,SingleFamily,1920
54,88912,1.0,2,PGH,950,99581,2299,10/06/2019,03/28/2017,79900,40.395928,-80.009576,6875,79132,15219,La Place Street,Pennsylvania,70600.0,2019,SingleFamily,1955
55,,NA,0,PGH,NA,,2536,01/01/1970,NA,NA,40.446537,-79.969436,781,,15219,Elba Street,Pennsylvania,400.0,2019,SingleFamily,NA
56,,3.0,6,PGH,4672,,2218,01/01/1970,10/26/2012,50966,40.444909,-79.975288,2688,,15219,La Place Street,Pennsylvania,15400.0,2019,SingleFamily,1910
57,46928,1.0,2,PGH,572,50213,2315,10/06/2019,01/07/2019,46000,40.361858,-79.873557,7248,43643,15219,Webster Avenue,Pennsylvania,38400.0,2019,SingleFamily,1955
58,129352,1.0,2,PGH,1260,143581,2370,10/06/2019,05/24/1985,40000,40.474247,-79.980811,9345,111243,15219,La Place Street,Pennsylvania,88500.0,2019,SingleFamily,1945
59,,NA,0,PGH,NA,,2224,01/01/1970,NA,NA,40.445877,-79.975435,2400,,15219,Mahon Street,Pennsylvania,4800.0,2019,SingleFamily,NA
60,,1.0,2,PGH,2002,,5,01/01/1970,08/31/1999,9000,40.461203,-80.015743,2050,,15219,Perry Street,Pennsylvania,21200.0,2019,SingleFamily,1900
61,,NA,0,PGH,NA,,701,01/01/1970,NA,NA,40.449413,-79.973649,891,,15219,Duff Street,Pennsylvania,400.0,2019,SingleFamily,NA
62,,NA,0,PGH,NA,,700,01/01/1970,NA,NA,40.451493,-79.969358,830,,15219,Morgan Street,Pennsylvania,1700.0,2019,SingleFamily,NA
63,84810,1.0,3,PGH,1163,97531,2415,10/06/2019,NA,NA,40.361179,-79.874326,7000,72937,15219,Webster Avenue,Pennsylvania,60700.0,2019,SingleFamily,1952
