,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,103995,2.0,1,PGH,1250,128954,57,10/05/2019,05/17/1991,3000,40.428175,-80.006009,4094,62397,15211,Wyoming Street,Pennsylvania,40600.0,2019,Townhouse,1995
1,126623,2.0,3,PGH,1925,159545,485,10/05/2019,NA,NA,40.424533,-80.012054,2500,84837,15211,Norton Street,Pennsylvania,59200.0,2019,SingleFamily,1910
2,193910,1.5,3,PGH,1593,213301,478,10/05/2019,NA,NA,40.341262,-79.97291,6960,178397,15211,Grace Street,Pennsylvania,124500.0,2019,SingleFamily,1959
3,143783,1.0,2,PGH,1218,194107,338,10/05/2019,04/24/2003,115000,40.432282,-80.009958,1990,76205,15211,West Sycamore Street,Pennsylvania,68000.0,2019,SingleFamily,1940
4,57226,1.0,3,PGH,840,77255,65,10/05/2019,NA,NA,40.424654,-80.00453,2062,41203,15211,Cushman Way,Pennsylvania,34400.0,2019,SingleFamily,1925
5,196884,2.0,4,PGH,1734,220510,398,10/05/2019,NA,NA,40.338667,-79.972281,11277,175227,15211,Grace Street,Pennsylvania,128800.0,2019,SingleFamily,1960
6,169941,3.0,4,PGH,2280,217524,399,10/05/2019,05/02/1978,20000,40.424218,-80.008877,2913,122358,15211,Boggs Avenue,Pennsylvania,84700.0,2019,Triplex,1920
7,186935,1.0,2,PGH,1384,226191,265,10/05/2019,09/16/2010,116000,40.495064,-79.901571,5760,149548,15211,Virginia Avenue,Pennsylvania,110700.0,2019,SingleFamily,1917
8,,1.0,2,PGH,NA,,555,01/01/1970,NA,NA,40.422313,-80.012177,NA,,15211,Southern Avenue,Pennsylvania,NA,NA,Townhouse,NA
9,,1.5,3,PGH,1680,,364,01/01/1970,02/22/1996,3500,40.429617,-80.010736,1613,,15211,Maple Terrace,Pennsylvania,57500.0,2019,SingleFamily,1900
10,215070,1.0,3,PGH,1488,240878,177,10/05/2019,09/25/2013,160000,40.434719,-80.01662,2363,184960,15211,Olympia Street,Pennsylvania,160000.0,2019,SingleFamily,1920
11,46350,1.5,3,PGH,1377,59328,301,10/05/2019,08/17/1992,20000,40.425504,-80.008111,2436,35226,15211,Boggs Avenue,Pennsylvania,33100.0,2019,SingleFamily,1900
12,,NA,0,PGH,NA,,320,01/01/1970,NA,NA,40.428574,-79.998007,4791,,15203,Arlington Avenue,Pennsylvania,2100.0,2019,VacantResidentialLand,2019
13,135105,2.0,3,PGH,1372,158073,615,10/05/2019,09/28/2007,54590,40.421291,-80.012515,2425,116190,15211,Southern Avenue,Pennsylvania,63100.0,2019,SingleFamily,1940
14,307822,1.5,2,PGH,1434,347839,131,10/05/2019,10/12/2016,270000,40.436412,-80.017867,3467,273962,15211,Meridan Street,Pennsylvania,208000.0,2019,Condominium,1991
15,76902,2.0,2,PGH,936,89206,632,10/05/2019,10/01/1996,50000,40.456748,-79.851793,7500,64598,15211,Southern Avenue,Pennsylvania,71800.0,2019,SingleFamily,1948
16,,1.0,1,PGH,1000,,1,01/01/1970,NA,NA,40.427271,-80.009972,NA,,15211,Cowan Street,Pennsylvania,NA,NA,Apartment,NA
17,224133,2.0,3,PGH,1460,251029,390,10/05/2019,01/07/2014,194000,40.431616,-80.014004,4702,197237,15211,Merrimac Street,Pennsylvania,176000.0,2019,SingleFamily,1901
18,,NA,0,PGH,NA,,636,01/01/1970,10/20/1999,200,40.420745,-80.009682,942,,15211,Curtis Street,Pennsylvania,1700.0,2019,SingleFamily,NA
19,,1.0,1,PGH,NA,,1,01/01/1970,NA,NA,40.422636,-80.001057,NA,,15211,Estella Avenue,Pennsylvania,NA,NA,Apartment,1930
20,140007,1.0,3,PGH,1268,177809,606,10/05/2019,07/30/2001,40000,40.430519,-80.014344,1875,113406,15211,Omaha Street,Pennsylvania,50000.0,2019,SingleFamily,1900
21,,1.0,3,PGH,1831,,447,01/01/1970,06/30/2000,19000,40.421916,-79.998788,2500,,15211,Kingsboro Street,Pennsylvania,16400.0,2019,SingleFamily,1910
22,233397,2.0,3,PGH,1200,256737,250,10/05/2019,03/06/2018,220000,40.433563,-80.012606,2800,212391,15211,Ulysses Street,Pennsylvania,73000.0,2019,SingleFamily,1905
23,83475,1.5,3,PGH,1360,109352,260,10/05/2019,NA,NA,40.422023,-80.007866,1890,62606,15211,Paul Street,Pennsylvania,49100.0,2019,SingleFamily,1915
24,,1.0,2,PGH,520,,459,01/01/1970,04/05/1985,18500,40.427969,-80.013917,4900,,15211,Belonda Street,Pennsylvania,43700.0,2019,SingleFamily,1910
25,143426,1.5,2,PGH,1300,160637,318,10/05/2019,06/27/1977,33500,40.426079,-80.00172,4732,127649,15211,Kambach Street,Pennsylvania,95100.0,2019,SingleFamily,1949
26,79504,NA,2,PGH,1024,88249,503,10/05/2019,10/04/2017,73000,40.422286,-80.012908,1938,71554,15211,Simms Street,Pennsylvania,48700.0,2019,SingleFamily,1890
27,92001,1.5,3,PGH,1144,107641,623,10/05/2019,10/17/2001,61900,40.457095,-79.851227,8178,81881,15211,Southern Avenue,Pennsylvania,72600.0,2019,SingleFamily,1948
28,143193,1.0,3,PGH,1814,167536,185,10/05/2019,11/05/2007,60000,40.432805,-80.012315,6181,114554,15211,Ulysses Street,Pennsylvania,86300.0,2019,SingleFamily,1900
29,95440,1.0,3,PGH,1360,129798,25,10/05/2019,03/18/2015,80000,40.424966,-79.998367,1900,64899,15211,Craighead Street,Pennsylvania,35000.0,2019,SingleFamily,1925
30,127706,1.5,3,PGH,1783,145585,306,10/05/2019,05/10/2002,67000,40.386945,-79.905914,5000,111104,15211,Virginia Avenue,Pennsylvania,78300.0,2019,SingleFamily,1900
31,,1.5,3,PGH,2015,,216,01/01/1970,NA,NA,40.429323,-80.010169,3355,,15211,Natchez Street,Pennsylvania,79200.0,2019,SingleFamily,1890
