,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,2,PGH,1920,,230,01/01/1970,05/21/2004,363384,40.440259,-79.953884,1912,,15213,South Bouquet Street,Pennsylvania,92300.0,2019,Apartment,1930
1,,2.0,3,PGH,1120,,3871,01/01/1970,NA,NA,40.438658,-79.952322,NA,,15213,Dawson Street,Pennsylvania,NA,NA,Apartment,NA
2,,1.0,1,PGH,700,,3229,01/01/1970,NA,NA,40.43026,-79.953411,2500,,15213,Parkview Avenue,Pennsylvania,117600.0,2019,Apartment,1915
3,190145,1.0,2,PGH,1076,220568,3409,10/06/2019,02/26/2014,125000,40.435502,-79.956552,1500,161623,15213,Bates Street,Pennsylvania,125000.0,2019,SingleFamily,1915
4,,1.0,2,PGH,1100,,3469,01/01/1970,12/18/2014,294000,40.433582,-79.95268,3378,,15213,Parkview Avenue,Pennsylvania,215000.0,2019,Apartment,1920
5,227213,1.5,3,PGH,1462,247662,3246,10/06/2019,09/10/2012,150000,40.43206,-79.954945,1341,202220,15213,Ward Street,Pennsylvania,119200.0,2019,Condominium,1985
6,,1.0,2,PGH,3360,,3221,01/01/1970,02/11/1991,32000,40.432086,-79.956056,3250,,15213,Hardie Way,Pennsylvania,120300.0,2019,Apartment,1890
7,204288,2.0,4,PGH,1300,245146,3329,10/06/2019,01/24/2012,86000,40.43263,-79.952899,2205,173645,15213,Parkview Avenue,Pennsylvania,49700.0,2019,SingleFamily,1920
8,280064,3.0,6,PGH,3762,372485,390,10/06/2019,NA,NA,40.438687,-79.956682,1030,207247,15213,Semple Street,Pennsylvania,118800.0,2019,Triplex,1900
9,,1.0,2,PGH,NA,,306,01/01/1970,NA,NA,40.435258,-79.961177,NA,,15213,Craft Avenue,Pennsylvania,NA,NA,Apartment,NA
10,,1.0,1,PGH,NA,,371,01/01/1970,NA,NA,40.434689,-79.951548,NA,,15213,Oakland Avenue,Pennsylvania,NA,NA,Apartment,NA
11,149753,1.0,2,PGH,1102,184196,102,10/06/2019,09/13/2001,10050,40.431559,-79.955135,2180,130285,15213,Oakland Court,Pennsylvania,44000.0,2019,SingleFamily,1920
12,,3.0,5,PGH,NA,,326,01/01/1970,NA,NA,40.438919,-79.955307,NA,,15213,Atwood Street,Pennsylvania,NA,NA,Unknown,NA
13,189785,1.0,1,PGH,1649,225844,376,10/06/2019,02/22/2006,54000,40.436556,-79.955978,3037,151828,15213,McKee Place,Pennsylvania,98300.0,2019,MultiFamily2To4,1924
14,185043,1.0,3,PGH,1064,210949,3324,10/06/2019,02/02/2004,48000,40.433515,-79.95309,2574,159137,15213,Dawson Street,Pennsylvania,86500.0,2019,SingleFamily,1925
15,,1.0,1,PGH,3820,,3112,01/01/1970,01/02/1997,65000,40.43373,-79.960259,4666,,15213,Niagara Street,Pennsylvania,120000.0,2019,Apartment,1910
16,269576,2.0,5,PGH,1550,283055,3728,10/06/2019,09/18/2013,32000,40.429896,-79.954799,1598,256097,15213,Frazier Street,Pennsylvania,62200.0,2019,SingleFamily,1900
17,,NA,0,PGH,NA,,2522,01/01/1970,08/29/2007,6120,40.436664,-79.967565,1584,,15213,Fifth Avenue,Pennsylvania,600.0,2019,SingleFamily,NA
18,,3.0,5,PGH,2516,,358,01/01/1970,NA,NA,40.437804,-79.955204,1672,,15213,Oakland Avenue,Pennsylvania,134300.0,2019,Apartment,1910
19,254107,1.0,4,PGH,2768,302387,308,10/06/2019,05/19/2016,290000,40.438814,-79.956487,1870,213450,15213,Meyran Avenue,Pennsylvania,100000.0,2019,SingleFamily,1910
20,247191,1.0,2,PGH,3094,289213,3294,10/06/2019,12/29/1999,110000,40.432814,-79.953233,7260,210112,15213,Dawson Street,Pennsylvania,140000.0,2019,SingleFamily,1900
21,,1.5,3,PGH,2686,,386,01/01/1970,03/19/1999,42000,40.437431,-79.954806,1615,,15213,Meyran Avenue,Pennsylvania,131600.0,2019,Apartment,1910
22,,2.0,3,PGH,1764,,3274,01/01/1970,09/07/1993,21000,40.434955,-79.961583,1800,,15213,Joe Hammer Square,Pennsylvania,100400.0,2019,Apartment,1900
23,201188,1.0,4,PGH,1700,229354,3336,10/06/2019,12/04/2000,40200,40.434141,-79.954283,4667,166986,15213,Ward Street,Pennsylvania,74200.0,2019,SingleFamily,1920
24,239657,3.0,3,PGH,1462,254036,3244,10/06/2019,05/14/2019,240000,40.432016,-79.954954,1341,227674,15213,Ward Street,Pennsylvania,119200.0,2019,Townhouse,1985
25,200655,2.0,5,PGH,1936,238779,355,10/06/2019,01/04/1999,45000,40.438154,-79.954957,2200,168550,15213,Meyran Avenue,Pennsylvania,89100.0,2019,Townhouse,1910
26,166288,2.0,4,PGH,1320,184580,252,10/06/2019,NA,NA,40.434009,-79.961147,1180,139682,15213,Ophelia Street,Pennsylvania,49900.0,2019,SingleFamily,1930
27,,NA,0,PGH,2142,,3521,01/01/1970,12/14/2006,2000,40.430401,-79.95479,6098,,15213,Frazier Street,Pennsylvania,45100.0,2019,VacantResidentialLand,2019
28,151062,1.0,2,PGH,918,173721,3219,10/06/2019,NA,NA,40.42999,-79.953475,2500,122360,15213,Parkview Avenue,Pennsylvania,51600.0,2019,SingleFamily,1900
29,274756,3.0,5,PGH,2500,318717,3775,10/06/2019,NA,NA,40.42952,-79.951382,2415,228047,15213,Childs Street,Pennsylvania,149700.0,2019,Townhouse,2014
30,207197,2.0,4,PGH,1852,256924,3245,10/06/2019,05/25/1982,25000,40.432527,-79.955986,2000,163686,15213,Hardie Way,Pennsylvania,80700.0,2019,Duplex,1900
31,,NA,0,PGH,NA,,3747,01/01/1970,05/02/2016,26000,40.42895,-79.952757,2400,,15213,Frazier Street,Pennsylvania,10800.0,2019,SingleFamily,NA
32,277599,3.0,5,PGH,1702,322015,237,10/06/2019,01/22/1998,74605,40.438007,-79.959741,3526,238735,15213,Halket Place,Pennsylvania,140900.0,2019,Triplex,1905
33,287595,4.0,7,PGH,2919,370998,11,10/06/2019,05/01/2006,201000,40.436821,-79.951823,3044,224324,15213,Oakland Square,Pennsylvania,132400.0,2019,Quadruplex,1920
34,132626,1.0,2,PGH,864,177719,3519,10/06/2019,12/18/2015,175000,40.431099,-79.956267,1300,83554,15213,Frazier Street,Pennsylvania,36900.0,2019,SingleFamily,1890
35,144929,1.0,2,PGH,1036,168118,3821,10/06/2019,03/28/2014,45000,40.429669,-79.952324,1600,111595,15213,Orpwood Street,Pennsylvania,50000.0,2019,SingleFamily,1920
36,261613,1.5,5,PGH,1900,298239,3228,10/06/2019,NA,NA,40.430138,-79.95294,1900,235452,15213,Parkview Avenue,Pennsylvania,190000.0,2019,SingleFamily,1925
37,,NA,0,PGH,1302,,3698,01/01/1970,07/19/1994,600,40.430013,-79.955693,2500,,15213,Whitney Street,Pennsylvania,5000.0,2019,SingleFamily,1900
38,,1.0,4,PGH,NA,,3614,01/01/1970,NA,NA,40.441408,-79.958435,NA,,15213,Fifth Avenue,Pennsylvania,NA,NA,Apartment,NA
39,226731,1.0,6,PGH,2705,269810,3243,10/06/2019,NA,NA,40.432108,-79.955557,6270,170048,15213,Ward Street,Pennsylvania,110200.0,2019,SingleFamily,1900
40,177230,1.0,2,PGH,NA,249894,354,10/06/2019,NA,NA,40.438244,-79.954676,NA,127606,15213,York Way,Pennsylvania,NA,NA,SingleFamily,NA
41,202178,1.0,3,PGH,2484,260810,3292,10/06/2019,09/09/2005,90000,40.432566,-79.956823,2520,167808,15213,Juliet Street,Pennsylvania,68900.0,2019,SingleFamily,1900
42,187374,1.5,3,PGH,1380,209859,3390,10/06/2019,04/08/2009,125000,40.432628,-79.953348,3352,163015,15213,Dawson Street,Pennsylvania,100700.0,2019,SingleFamily,1954
43,180949,1.0,2,PGH,1060,208091,3600,10/06/2019,05/06/2014,63500,40.430253,-79.95589,1250,151997,15213,Whitney Street,Pennsylvania,72100.0,2019,SingleFamily,1890
44,254107,1.0,4,PGH,2768,302387,380,10/06/2019,05/19/2016,290000,40.438814,-79.956487,1870,213450,15213,Meyran Avenue,Pennsylvania,100000.0,2019,SingleFamily,1910
45,182037,1.0,3,PGH,2026,231187,3200,10/06/2019,NA,NA,40.432044,-79.956937,2760,149270,15213,Juliet Street,Pennsylvania,61400.0,2019,SingleFamily,1900
46,250291,2.0,6,PGH,2344,290338,3612,10/06/2019,04/04/1995,28000,40.43736,-79.954375,2400,212747,15213,Bates Street,Pennsylvania,112100.0,2019,Duplex,1920
47,116681,1.0,1,PGH,1080,140017,3259,10/06/2019,04/06/1994,25000,40.43446,-79.959233,565,93345,15213,Niagara Street,Pennsylvania,59700.0,2019,Condominium,1975
48,215950,1.5,3,PGH,1360,250502,379,10/06/2019,12/01/2008,120000,40.437335,-79.957771,1800,179238,15213,Coltart Avenue,Pennsylvania,113000.0,2019,SingleFamily,1927
49,278455,2.0,4,PGH,1816,303516,344,10/06/2019,03/27/1980,28000,40.434246,-79.961642,4221,247825,15213,Ophelia Street,Pennsylvania,207600.0,2019,Quadruplex,1920
50,227100,1.0,2,PGH,2587,267978,1,10/06/2019,07/28/2000,10000,40.432891,-79.960149,3121,190764,15213,Ayers Street,Pennsylvania,130200.0,2019,SingleFamily,1920
51,221022,3.0,4,PGH,1605,245334,343,10/06/2019,06/08/2009,110000,40.436943,-79.957283,2790,187869,15213,Coltart Avenue,Pennsylvania,103300.0,2019,SingleFamily,1910
52,168474,1.0,2,PGH,1064,203854,3264,10/06/2019,06/27/2001,43000,40.431133,-79.952657,2280,139833,15213,Parkview Avenue,Pennsylvania,60500.0,2019,SingleFamily,1920
53,261957,2.5,5,PGH,1872,290772,3479,10/06/2019,11/01/2017,241000,40.433885,-79.952612,1981,235761,15213,Parkview Avenue,Pennsylvania,57900.0,2019,Townhouse,1920
54,270941,2.0,3,PGH,1985,284488,3233,10/06/2019,08/24/2009,166900,40.430393,-79.953379,2500,254685,15213,Parkview Avenue,Pennsylvania,160800.0,2019,SingleFamily,1909
55,104200,1.0,2,PGH,1048,113578,3371,10/06/2019,05/29/1998,43500,40.435285,-79.959894,1383,78150,15213,Niagara Street,Pennsylvania,62300.0,2019,SingleFamily,1935
56,182258,1.5,2,PGH,1384,224177,10,10/06/2019,NA,NA,40.437046,-79.953532,1302,154919,15213,Cable Place,Pennsylvania,54400.0,2019,SingleFamily,1910
57,,1.0,2,PGH,NA,,320,01/01/1970,NA,NA,40.438307,-79.954584,NA,,15213,York Way,Pennsylvania,NA,NA,Apartment,NA
58,146888,1.5,2,PGH,984,174797,3478,10/06/2019,01/21/2010,42000,40.437364,-79.958778,2341,114573,15213,Louisa Street,Pennsylvania,56500.0,2019,SingleFamily,1920
59,220377,1.5,3,PGH,1400,242415,3701,10/06/2019,04/22/2015,32000,40.429701,-79.953142,2400,196136,15213,Orpwood Street,Pennsylvania,127800.0,2019,SingleFamily,1921
60,209147,3.0,4,PGH,1776,261434,3420,10/06/2019,NA,NA,40.435212,-79.954211,1658,169409,15213,Ward Street,Pennsylvania,67000.0,2019,Duplex,1914
