,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,416141,3.5,4,PGH,2278,474401,7041,10/03/2019,06/11/2007,190000,40.45045,-79.904079,8515,349558,15208,Penn Avenue,Pennsylvania,160100.0,2019,SingleFamily,1929
1,337751,3.0,4,PGH,2418,408679,6820,10/03/2019,NA,NA,40.454336,-79.907654,3920,246558,15208,McPherson Boulevard,Pennsylvania,148100.0,2019,SingleFamily,1900
2,149672,1.5,2,PGH,1278,157156,154,10/03/2019,06/15/1983,65000,40.543899,-80.02071,1034,142188,15208,North Linden Avenue,Pennsylvania,118000.0,2019,Condominium,1976
3,404216,3.0,5,PGH,3764,489101,312,10/03/2019,03/14/2001,146000,40.445089,-79.896536,15993,331457,15208,North Braddock Avenue,Pennsylvania,168700.0,2019,Triplex,1900
4,,3.5,4,PGH,3888,,6845,01/01/1970,09/06/2001,1050,40.454498,-79.909513,7539,,15208,Thomas Boulevard,Pennsylvania,12500.0,2019,SingleFamily,1900
5,171110,1.0,1,PGH,1078,196776,6791,10/03/2019,NA,NA,40.4557,-79.909678,3500,145444,15208,McPherson Boulevard,Pennsylvania,103400.0,2019,MultiFamily2To4,1912
6,,1.0,2,PGH,946,,6977,01/01/1970,08/05/2016,375000,40.454221,-79.905532,6732,,15208,McPherson Boulevard,Pennsylvania,299500.0,2019,Apartment,1918
7,241006,3.0,3,PGH,2628,354279,6759,10/03/2019,NA,NA,40.45483,-79.90892,2990,173524,15208,McPherson Boulevard,Pennsylvania,50000.0,2019,SingleFamily,1924
8,218333,1.0,4,PGH,1960,259816,7175,10/03/2019,06/09/1998,21000,40.450872,-79.902271,2660,189950,15208,Meade Street,Pennsylvania,119200.0,2019,SingleFamily,1930
9,171110,1.0,1,PGH,1078,196776,6779,10/03/2019,NA,NA,40.4557,-79.909678,3500,145444,15208,McPherson Boulevard,Pennsylvania,103400.0,2019,MultiFamily2To4,1912
10,197040,1.5,1,PGH,1189,236448,136,10/03/2019,NA,NA,40.450594,-79.902914,4726,163543,15208,North Lang Avenue,Pennsylvania,90000.0,2019,SingleFamily,1954
11,280453,2.5,5,PGH,2570,319716,325,10/03/2019,10/06/2016,180000,40.439402,-79.890507,3713,235581,15208,North Braddock Avenue,Pennsylvania,156800.0,2019,SingleFamily,1920
12,177054,1.0,2,PGH,1404,192989,199,10/03/2019,05/29/2015,146000,40.490092,-79.966456,9361,161119,15208,North Linden Avenue,Pennsylvania,128500.0,2019,SingleFamily,1961
13,,1.0,3,PGH,1600,,7255,01/01/1970,02/28/2007,153000,40.450498,-79.901182,5600,,15208,Meade Street,Pennsylvania,146100.0,2019,Apartment,1925
14,220891,2.0,3,PGH,920,249607,7008,10/03/2019,12/31/2014,176000,40.450451,-79.905916,3980,187757,15208,Penn Avenue,Pennsylvania,149800.0,2019,SingleFamily,1957
15,294325,1.5,4,PGH,2239,323757,7142,10/03/2019,11/07/2017,270000,40.450153,-79.901791,3898,267836,15208,Meade Street,Pennsylvania,132400.0,2019,SingleFamily,1903
16,181218,1.0,3,PGH,1960,233771,7173,10/03/2019,07/07/1998,52000,40.450858,-79.902378,3342,123228,15208,Meade Street,Pennsylvania,73000.0,2019,SingleFamily,1930
17,469341,1.0,2,PGH,3266,539742,6741,10/03/2019,NA,NA,40.455428,-79.908812,7000,403633,15208,McPherson Boulevard,Pennsylvania,317800.0,2019,MultiFamily2To4,1890
18,243748,2.0,2,PGH,1190,268123,7023,10/03/2019,02/20/2013,155000,40.45028,-79.90539,3569,221811,15208,Penn Avenue,Pennsylvania,155000.0,2019,SingleFamily,2019
19,300560,2.0,6,PGH,3238,375700,300,10/03/2019,NA,NA,40.450869,-79.90268,6665,225420,15208,North Lang Avenue,Pennsylvania,141500.0,2019,Duplex,1873
20,,1.5,3,PGH,2000,,321,01/01/1970,NA,NA,40.452654,-79.904438,NA,,15208,North Murtland Street,Pennsylvania,NA,NA,Apartment,NA
21,265143,1.0,5,PGH,2623,328777,6734,10/03/2019,09/16/1999,33500,40.454023,-79.90699,3360,209463,15208,McPherson Boulevard,Pennsylvania,126900.0,2019,SingleFamily,1910
22,200446,1.0,3,PGH,1464,228508,6902,10/03/2019,03/08/2000,49000,40.45381,-79.906205,3900,164366,15208,McPherson Boulevard,Pennsylvania,118400.0,2019,SingleFamily,1920
23,288569,1.1,4,PGH,1710,323197,6800,10/03/2019,04/04/2017,258885,40.454664,-79.908298,2400,256826,15208,McPherson Boulevard,Pennsylvania,182800.0,2019,SingleFamily,1909
24,,4.0,4,PGH,4690,,6735,01/01/1970,NA,NA,40.454572,-79.909692,8534,,15208,Thomas Street,Pennsylvania,12000.0,2019,Quadruplex,1900
25,,1.0,2,PGH,860,,7283,01/01/1970,06/23/1999,7000,40.469681,-79.88416,6640,,15208,Penn Avenue,Pennsylvania,30600.0,2019,SingleFamily,1900
26,539605,3.0,6,PGH,5408,658318,301,10/03/2019,05/01/1981,119000,40.451884,-79.90535,14049,420892,15208,North Murtland Street,Pennsylvania,269000.0,2019,SingleFamily,1903
27,,NA,0,PGH,NA,,6816,01/01/1970,08/15/2017,22000,40.455304,-79.910642,1960,,15208,Fifth Avenue,Pennsylvania,2800.0,2019,SingleFamily,NA
28,286051,2.0,6,PGH,2562,366145,7143,10/03/2019,06/18/1976,33000,40.450627,-79.901651,3966,205957,15208,Meade Street,Pennsylvania,145800.0,2019,SingleFamily,1909
29,362732,2.5,4,PGH,3018,424396,6832,10/03/2019,07/03/2006,204500,40.453328,-79.908034,6155,297440,15208,Thomas Boulevard,Pennsylvania,181500.0,2019,Duplex,1910
30,652042,2.5,4,PGH,3074,723767,122,10/03/2019,07/21/1979,145000,40.446827,-79.899681,7773,593358,15208,Point Breeze Place,Pennsylvania,386300.0,2019,SingleFamily,1952
31,100617,2.0,3,PGH,1178,126777,408,10/03/2019,01/14/2003,14000,40.452523,-79.90021,4608,74457,15208,Jonathan Court,Pennsylvania,68600.0,2019,SingleFamily,1925
32,128477,1.5,3,PGH,1618,138755,6769,10/03/2019,08/09/2018,124900,40.482641,-79.797643,5776,118199,15208,Penn Avenue,Pennsylvania,99100.0,2019,SingleFamily,1959
33,486626,2.5,6,PGH,4880,618015,6818,10/03/2019,06/12/2007,320000,40.453386,-79.908437,8513,394167,15208,Thomas Boulevard,Pennsylvania,218600.0,2019,SingleFamily,1910
34,449674,3.0,4,PGH,2579,521622,6873,10/03/2019,09/05/2012,257500,40.452668,-79.907915,4350,377726,15208,Meade Street,Pennsylvania,257000.0,2019,SingleFamily,1931
35,,1.0,2,PGH,NA,,7401,01/01/1970,NA,NA,40.448598,-79.897777,NA,,15208,Penfield Court,Pennsylvania,NA,NA,Apartment,NA
