,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,479767,3.0,4,PGH,2473,542137,7022,10/06/2019,09/07/1988,79000,40.447566,-79.907114,3167,426993,15208,Reynolds Street,Pennsylvania,243200.0,2019,SingleFamily,1921
1,368423,2.0,3,PGH,1467,401581,6915,10/06/2019,06/03/2008,226600,40.44665,-79.909505,4970,327896,15208,Willard Street,Pennsylvania,214000.0,2019,SingleFamily,1920
2,774041,4.0,6,PGH,4565,866926,338,10/06/2019,05/21/2008,790000,40.450269,-79.912902,6000,696637,15206,South Linden Avenue,Pennsylvania,514400.0,2019,SingleFamily,1900
3,379313,1.5,4,PGH,1835,405865,623,10/06/2019,11/13/2009,190000,40.447542,-79.916048,3600,345175,15206,Hastings Street,Pennsylvania,195000.0,2019,SingleFamily,1925
4,,2.0,4,Wilkinsburg,2484,,350,01/01/1970,11/16/2011,10000,40.444323,-79.89321,1976,,15221,Peebles Street,Pennsylvania,17500.0,2019,Duplex,1900
5,191620,1.0,2,PGH,1063,226112,6709,10/06/2019,08/21/1981,13000,40.451474,-79.914544,2616,153296,15206,Reynolds Street,Pennsylvania,106300.0,2019,SingleFamily,1881
6,795082,3.5,5,PGH,4059,858689,567,10/06/2019,05/03/2000,363000,40.440209,-79.898813,11200,699672,15221,Briarcliff Road,Pennsylvania,491300.0,2019,SingleFamily,1920
7,578669,3.5,4,PGH,2536,624963,118,10/06/2019,07/24/2007,355000,40.450613,-79.908088,4488,526589,15208,Yorkshire Drive,Pennsylvania,320600.0,2019,SingleFamily,1930
8,382640,1.0,3,PGH,1780,424730,639,10/06/2019,01/07/1993,75000,40.444622,-79.907761,2400,332897,15208,Kirtland Street,Pennsylvania,174900.0,2019,SingleFamily,1928
9,,1.0,1,PGH,NA,,5,01/01/1970,NA,NA,40.457003,-80.02698,NA,,15206,Juniata Place,Pennsylvania,NA,NA,MultiFamily2To4,NA
10,410161,2.0,6,PGH,2736,459380,633,10/06/2019,08/23/2001,193500,40.447247,-79.916248,6000,356840,15206,Hastings Street,Pennsylvania,225800.0,2019,Duplex,1900
11,588060,2.0,3,PGH,1918,635105,108,10/06/2019,09/11/2006,425000,40.449352,-79.91794,7800,546896,15206,Beechmont Road,Pennsylvania,320700.0,2019,SingleFamily,1953
12,243904,1.0,5,PGH,1650,282929,7728,10/06/2019,NA,NA,40.44296,-79.894297,2500,214636,15221,Lyman Street,Pennsylvania,137700.0,2019,SingleFamily,1890
13,699576,2.0,3,PGH,3821,797517,1275,10/06/2019,NA,NA,40.446559,-79.91802,7500,636614,15206,Beechwood Boulevard,Pennsylvania,488800.0,2019,SingleFamily,1925
14,637039,3.0,5,PGH,2577,694373,411,10/06/2019,03/26/2012,400000,40.4475,-79.907774,6136,573335,15208,South Murtland Street,Pennsylvania,400000.0,2019,SingleFamily,1921
15,352081,2.0,4,PGH,2285,401372,347,10/06/2019,01/11/1995,62000,40.450296,-79.913496,3000,306310,15206,Hastings Street,Pennsylvania,171700.0,2019,Duplex,1900
16,614675,3.0,4,PGH,2372,700730,1169,10/06/2019,04/05/1995,182000,40.447805,-79.921225,12593,553208,15206,Shady Avenue,Pennsylvania,319900.0,2019,SingleFamily,1934
17,478882,4.0,5,PGH,2241,565081,523,10/06/2019,07/09/2012,268000,40.445885,-79.907506,2613,426205,15208,Lloyd Street,Pennsylvania,233900.0,2019,SingleFamily,1902
18,224118,1.0,3,PGH,1636,246530,567,10/06/2019,NA,NA,40.44055,-79.897354,2586,181536,15221,South Braddock Avenue,Pennsylvania,100000.0,2019,SingleFamily,1920
19,530912,3.5,5,PGH,2100,599931,434,10/06/2019,10/21/2016,465550,40.44794,-79.911061,4680,472512,15208,South Dallas Avenue,Pennsylvania,335200.0,2019,SingleFamily,1925
20,552218,1.5,3,PGH,2100,612962,6905,10/06/2019,05/15/1985,128500,40.447888,-79.908502,6000,474907,15208,Reynolds Street,Pennsylvania,343100.0,2019,SingleFamily,1921
21,185608,2.0,3,PGH,1250,213449,7026,10/06/2019,02/17/2011,130000,40.450245,-79.905283,4133,152199,15208,Penn Avenue,Pennsylvania,86200.0,2019,SingleFamily,1957
